result/tencentBlock.ns2044.oracleGeneral.zst ARC cache size      328, 3429143 req, miss ratio 0.4060, byte miss ratio 0.4060
result/tencentBlock.ns2044.oracleGeneral.zst ARC cache size      986, 3429143 req, miss ratio 0.3920, byte miss ratio 0.3920
result/tencentBlock.ns2044.oracleGeneral.zst ARC cache size     3287, 3429143 req, miss ratio 0.3786, byte miss ratio 0.3786
result/tencentBlock.ns2044.oracleGeneral.zst ARC cache size     9861, 3429143 req, miss ratio 0.3215, byte miss ratio 0.3215
result/tencentBlock.ns2044.oracleGeneral.zst ARC cache size    32872, 3429143 req, miss ratio 0.1593, byte miss ratio 0.1593
result/tencentBlock.ns2044.oracleGeneral.zst ARC cache size    65744, 3429143 req, miss ratio 0.1350, byte miss ratio 0.1350
result/tencentBlock.ns2044.oracleGeneral.zst ARC cache size   131488, 3429143 req, miss ratio 0.1006, byte miss ratio 0.1006
result/tencentBlock.ns2044.oracleGeneral.zst ARC cache size   262977, 3429143 req, miss ratio 0.0960, byte miss ratio 0.0960
result/tencentBlock.ns2044.oracleGeneral.zst S3FIFO-1 cache size      328, 3429143 req, miss ratio 0.4073, byte miss ratio 0.4073
result/tencentBlock.ns2044.oracleGeneral.zst S3FIFO-1 cache size      986, 3429143 req, miss ratio 0.3914, byte miss ratio 0.3914
result/tencentBlock.ns2044.oracleGeneral.zst S3FIFO-1 cache size     3287, 3429143 req, miss ratio 0.3775, byte miss ratio 0.3775
result/tencentBlock.ns2044.oracleGeneral.zst S3FIFO-1 cache size     9861, 3429143 req, miss ratio 0.3091, byte miss ratio 0.3091
result/tencentBlock.ns2044.oracleGeneral.zst S3FIFO-1 cache size    32872, 3429143 req, miss ratio 0.1600, byte miss ratio 0.1600
result/tencentBlock.ns2044.oracleGeneral.zst S3FIFO-1 cache size    65744, 3429143 req, miss ratio 0.1310, byte miss ratio 0.1310
result/tencentBlock.ns2044.oracleGeneral.zst S3FIFO-1 cache size   131488, 3429143 req, miss ratio 0.1007, byte miss ratio 0.1007
result/tencentBlock.ns2044.oracleGeneral.zst S3FIFO-1 cache size   262977, 3429143 req, miss ratio 0.0960, byte miss ratio 0.0960
result/tencentBlock.ns2044.oracleGeneral.zst clock2 cache size      328, 3429143 req, miss ratio 0.4311, byte miss ratio 0.4311
result/tencentBlock.ns2044.oracleGeneral.zst clock2 cache size      986, 3429143 req, miss ratio 0.4045, byte miss ratio 0.4045
result/tencentBlock.ns2044.oracleGeneral.zst clock2 cache size     3287, 3429143 req, miss ratio 0.3911, byte miss ratio 0.3911
result/tencentBlock.ns2044.oracleGeneral.zst clock2 cache size     9861, 3429143 req, miss ratio 0.3791, byte miss ratio 0.3791
result/tencentBlock.ns2044.oracleGeneral.zst clock2 cache size    32872, 3429143 req, miss ratio 0.1785, byte miss ratio 0.1785
result/tencentBlock.ns2044.oracleGeneral.zst clock2 cache size    65744, 3429143 req, miss ratio 0.1352, byte miss ratio 0.1352
result/tencentBlock.ns2044.oracleGeneral.zst clock2 cache size   131488, 3429143 req, miss ratio 0.1012, byte miss ratio 0.1012
result/tencentBlock.ns2044.oracleGeneral.zst clock2 cache size   262977, 3429143 req, miss ratio 0.0960, byte miss ratio 0.0960
result/tencentBlock.ns2044.oracleGeneral.zst Clock cache size      328, 3429143 req, miss ratio 0.4345, byte miss ratio 0.4345
result/tencentBlock.ns2044.oracleGeneral.zst Clock cache size      986, 3429143 req, miss ratio 0.4075, byte miss ratio 0.4075
result/tencentBlock.ns2044.oracleGeneral.zst Clock cache size     3287, 3429143 req, miss ratio 0.3928, byte miss ratio 0.3928
result/tencentBlock.ns2044.oracleGeneral.zst Clock cache size     9861, 3429143 req, miss ratio 0.3807, byte miss ratio 0.3807
result/tencentBlock.ns2044.oracleGeneral.zst Clock cache size    32872, 3429143 req, miss ratio 0.1916, byte miss ratio 0.1916
result/tencentBlock.ns2044.oracleGeneral.zst Clock cache size    65744, 3429143 req, miss ratio 0.1369, byte miss ratio 0.1369
result/tencentBlock.ns2044.oracleGeneral.zst Clock cache size   131488, 3429143 req, miss ratio 0.1030, byte miss ratio 0.1030
result/tencentBlock.ns2044.oracleGeneral.zst Clock cache size   262977, 3429143 req, miss ratio 0.0960, byte miss ratio 0.0960
result/tencentBlock.ns2044.oracleGeneral.zst Cacheus cache size      328, 3429143 req, miss ratio 0.4127, byte miss ratio 0.4127
result/tencentBlock.ns2044.oracleGeneral.zst Cacheus cache size      986, 3429143 req, miss ratio 0.3941, byte miss ratio 0.3941
result/tencentBlock.ns2044.oracleGeneral.zst Cacheus cache size     3287, 3429143 req, miss ratio 0.3784, byte miss ratio 0.3784
result/tencentBlock.ns2044.oracleGeneral.zst Cacheus cache size     9861, 3429143 req, miss ratio 0.3575, byte miss ratio 0.3575
result/tencentBlock.ns2044.oracleGeneral.zst Cacheus cache size    32872, 3429143 req, miss ratio 0.1726, byte miss ratio 0.1726
result/tencentBlock.ns2044.oracleGeneral.zst Cacheus cache size    65744, 3429143 req, miss ratio 0.1321, byte miss ratio 0.1321
result/tencentBlock.ns2044.oracleGeneral.zst Cacheus cache size   131488, 3429143 req, miss ratio 0.1011, byte miss ratio 0.1011
result/tencentBlock.ns2044.oracleGeneral.zst Cacheus cache size   262977, 3429143 req, miss ratio 0.0962, byte miss ratio 0.0962
result/tencentBlock.ns2044.oracleGeneral.zst FIFO cache size      328, 3429143 req, miss ratio 0.4766, byte miss ratio 0.4766
result/tencentBlock.ns2044.oracleGeneral.zst FIFO cache size      986, 3429143 req, miss ratio 0.4287, byte miss ratio 0.4287
result/tencentBlock.ns2044.oracleGeneral.zst FIFO cache size     3287, 3429143 req, miss ratio 0.4037, byte miss ratio 0.4037
result/tencentBlock.ns2044.oracleGeneral.zst FIFO cache size     9861, 3429143 req, miss ratio 0.3844, byte miss ratio 0.3844
result/tencentBlock.ns2044.oracleGeneral.zst FIFO cache size    32872, 3429143 req, miss ratio 0.2309, byte miss ratio 0.2309
result/tencentBlock.ns2044.oracleGeneral.zst FIFO cache size    65744, 3429143 req, miss ratio 0.1684, byte miss ratio 0.1684
result/tencentBlock.ns2044.oracleGeneral.zst FIFO cache size   131488, 3429143 req, miss ratio 0.1094, byte miss ratio 0.1094
result/tencentBlock.ns2044.oracleGeneral.zst FIFO cache size   262977, 3429143 req, miss ratio 0.0963, byte miss ratio 0.0963
result/tencentBlock.ns2044.oracleGeneral.zst LeCaR cache size      328, 3429143 req, miss ratio 0.4270, byte miss ratio 0.4270
result/tencentBlock.ns2044.oracleGeneral.zst LeCaR cache size      986, 3429143 req, miss ratio 0.4005, byte miss ratio 0.4005
result/tencentBlock.ns2044.oracleGeneral.zst LeCaR cache size     3287, 3429143 req, miss ratio 0.3857, byte miss ratio 0.3857
