result/tencentBlock.ns16684.oracleGeneral.zst clock2 cache size      437, 3157322 req, miss ratio 0.6131, byte miss ratio 0.6131
result/tencentBlock.ns16684.oracleGeneral.zst clock2 cache size     1311, 3157322 req, miss ratio 0.5499, byte miss ratio 0.5499
result/tencentBlock.ns16684.oracleGeneral.zst clock2 cache size     4371, 3157322 req, miss ratio 0.4659, byte miss ratio 0.4659
result/tencentBlock.ns16684.oracleGeneral.zst clock2 cache size    13113, 3157322 req, miss ratio 0.4450, byte miss ratio 0.4450
result/tencentBlock.ns16684.oracleGeneral.zst clock2 cache size    43711, 3157322 req, miss ratio 0.4010, byte miss ratio 0.4010
result/tencentBlock.ns16684.oracleGeneral.zst clock2 cache size    87423, 3157322 req, miss ratio 0.3735, byte miss ratio 0.3735
result/tencentBlock.ns16684.oracleGeneral.zst clock2 cache size   174846, 3157322 req, miss ratio 0.2718, byte miss ratio 0.2718
result/tencentBlock.ns16684.oracleGeneral.zst clock2 cache size   349693, 3157322 req, miss ratio 0.1429, byte miss ratio 0.1429
result/tencentBlock.ns16684.oracleGeneral.zst Clock cache size      437, 3157322 req, miss ratio 0.6162, byte miss ratio 0.6162
result/tencentBlock.ns16684.oracleGeneral.zst Clock cache size     1311, 3157322 req, miss ratio 0.5523, byte miss ratio 0.5523
result/tencentBlock.ns16684.oracleGeneral.zst Clock cache size     4371, 3157322 req, miss ratio 0.4750, byte miss ratio 0.4750
result/tencentBlock.ns16684.oracleGeneral.zst Clock cache size    13113, 3157322 req, miss ratio 0.4471, byte miss ratio 0.4471
result/tencentBlock.ns16684.oracleGeneral.zst Clock cache size    43711, 3157322 req, miss ratio 0.4028, byte miss ratio 0.4028
result/tencentBlock.ns16684.oracleGeneral.zst Clock cache size    87423, 3157322 req, miss ratio 0.3742, byte miss ratio 0.3742
result/tencentBlock.ns16684.oracleGeneral.zst Clock cache size   174846, 3157322 req, miss ratio 0.2566, byte miss ratio 0.2566
result/tencentBlock.ns16684.oracleGeneral.zst Clock cache size   349693, 3157322 req, miss ratio 0.1430, byte miss ratio 0.1430
result/tencentBlock.ns16684.oracleGeneral.zst S3FIFO-1 cache size      437, 3157322 req, miss ratio 0.6066, byte miss ratio 0.6066
result/tencentBlock.ns16684.oracleGeneral.zst S3FIFO-1 cache size     1311, 3157322 req, miss ratio 0.4896, byte miss ratio 0.4896
result/tencentBlock.ns16684.oracleGeneral.zst S3FIFO-1 cache size     4371, 3157322 req, miss ratio 0.4537, byte miss ratio 0.4537
result/tencentBlock.ns16684.oracleGeneral.zst S3FIFO-1 cache size    13113, 3157322 req, miss ratio 0.4315, byte miss ratio 0.4315
result/tencentBlock.ns16684.oracleGeneral.zst S3FIFO-1 cache size    43711, 3157322 req, miss ratio 0.3905, byte miss ratio 0.3905
result/tencentBlock.ns16684.oracleGeneral.zst S3FIFO-1 cache size    87423, 3157322 req, miss ratio 0.3360, byte miss ratio 0.3360
result/tencentBlock.ns16684.oracleGeneral.zst S3FIFO-1 cache size   174846, 3157322 req, miss ratio 0.2488, byte miss ratio 0.2488
result/tencentBlock.ns16684.oracleGeneral.zst S3FIFO-1 cache size   349693, 3157322 req, miss ratio 0.1429, byte miss ratio 0.1429
result/tencentBlock.ns16684.oracleGeneral.zst FIFO cache size      437, 3157322 req, miss ratio 0.6942, byte miss ratio 0.6942
result/tencentBlock.ns16684.oracleGeneral.zst FIFO cache size     1311, 3157322 req, miss ratio 0.5917, byte miss ratio 0.5917
result/tencentBlock.ns16684.oracleGeneral.zst FIFO cache size     4371, 3157322 req, miss ratio 0.5129, byte miss ratio 0.5129
result/tencentBlock.ns16684.oracleGeneral.zst FIFO cache size    13113, 3157322 req, miss ratio 0.4681, byte miss ratio 0.4681
result/tencentBlock.ns16684.oracleGeneral.zst FIFO cache size    43711, 3157322 req, miss ratio 0.4145, byte miss ratio 0.4145
result/tencentBlock.ns16684.oracleGeneral.zst FIFO cache size    87423, 3157322 req, miss ratio 0.3794, byte miss ratio 0.3794
result/tencentBlock.ns16684.oracleGeneral.zst FIFO cache size   174846, 3157322 req, miss ratio 0.2706, byte miss ratio 0.2706
result/tencentBlock.ns16684.oracleGeneral.zst FIFO cache size   349693, 3157322 req, miss ratio 0.1617, byte miss ratio 0.1617
result/tencentBlock.ns16684.oracleGeneral.zst ARC cache size      437, 3157322 req, miss ratio 0.6010, byte miss ratio 0.6010
