result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size        9, 1241566 req, miss ratio 0.6122, byte miss ratio 0.6122
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size       27, 1241566 req, miss ratio 0.3971, byte miss ratio 0.3971
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size       91, 1241566 req, miss ratio 0.2626, byte miss ratio 0.2626
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size      274, 1241566 req, miss ratio 0.1550, byte miss ratio 0.1550
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size      916, 1241566 req, miss ratio 0.0903, byte miss ratio 0.0903
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size     1832, 1241566 req, miss ratio 0.0448, byte miss ratio 0.0448
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size     3664, 1241566 req, miss ratio 0.0164, byte miss ratio 0.0164
result/cdn2_colo28.ns462.oracleGeneral.zst Cacheus cache size     7328, 1241566 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-1 cache size        9, 1241566 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-1 cache size       27, 1241566 req, miss ratio 0.3351, byte miss ratio 0.3351
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-1 cache size       91, 1241566 req, miss ratio 0.2322, byte miss ratio 0.2322
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-1 cache size      274, 1241566 req, miss ratio 0.1522, byte miss ratio 0.1522
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-1 cache size      916, 1241566 req, miss ratio 0.0860, byte miss ratio 0.0860
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-1 cache size     1832, 1241566 req, miss ratio 0.0478, byte miss ratio 0.0478
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-1 cache size     3664, 1241566 req, miss ratio 0.0170, byte miss ratio 0.0170
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-1 cache size     7328, 1241566 req, miss ratio 0.0078, byte miss ratio 0.0078
result/cdn2_colo28.ns462.oracleGeneral.zst LeCaR cache size        9, 1241566 req, miss ratio 0.6061, byte miss ratio 0.6061
result/cdn2_colo28.ns462.oracleGeneral.zst LeCaR cache size       27, 1241566 req, miss ratio 0.3873, byte miss ratio 0.3873
result/cdn2_colo28.ns462.oracleGeneral.zst LeCaR cache size       91, 1241566 req, miss ratio 0.2694, byte miss ratio 0.2694
result/cdn2_colo28.ns462.oracleGeneral.zst LeCaR cache size      274, 1241566 req, miss ratio 0.1804, byte miss ratio 0.1804
result/cdn2_colo28.ns462.oracleGeneral.zst LeCaR cache size      916, 1241566 req, miss ratio 0.1003, byte miss ratio 0.1003
result/cdn2_colo28.ns462.oracleGeneral.zst LeCaR cache size     1832, 1241566 req, miss ratio 0.0541, byte miss ratio 0.0541
result/cdn2_colo28.ns462.oracleGeneral.zst LeCaR cache size     3664, 1241566 req, miss ratio 0.0181, byte miss ratio 0.0181
result/cdn2_colo28.ns462.oracleGeneral.zst LeCaR cache size     7328, 1241566 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_colo28.ns462.oracleGeneral.zst clock2 cache size        9, 1241566 req, miss ratio 0.6104, byte miss ratio 0.6104
result/cdn2_colo28.ns462.oracleGeneral.zst clock2 cache size       27, 1241566 req, miss ratio 0.4000, byte miss ratio 0.4000
result/cdn2_colo28.ns462.oracleGeneral.zst clock2 cache size       91, 1241566 req, miss ratio 0.2672, byte miss ratio 0.2672
result/cdn2_colo28.ns462.oracleGeneral.zst clock2 cache size      274, 1241566 req, miss ratio 0.1774, byte miss ratio 0.1774
result/cdn2_colo28.ns462.oracleGeneral.zst clock2 cache size      916, 1241566 req, miss ratio 0.0953, byte miss ratio 0.0953
result/cdn2_colo28.ns462.oracleGeneral.zst clock2 cache size     1832, 1241566 req, miss ratio 0.0513, byte miss ratio 0.0513
result/cdn2_colo28.ns462.oracleGeneral.zst clock2 cache size     3664, 1241566 req, miss ratio 0.0177, byte miss ratio 0.0177
result/cdn2_colo28.ns462.oracleGeneral.zst clock2 cache size     7328, 1241566 req, miss ratio 0.0079, byte miss ratio 0.0079
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d-1 cache size        9, 1241566 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_colo28.ns462.oracleGeneral.zst S3FIFO-d-1 cache size       27, 1241566 req, miss ratio 0.3347, byte miss ratio 0.3347
