result/tencentBlock.ns11487.oracleGeneral.zst clock2 cache size      931, 4873733 req, miss ratio 0.5080, byte miss ratio 0.5080
result/tencentBlock.ns11487.oracleGeneral.zst clock2 cache size     2793, 4873733 req, miss ratio 0.4043, byte miss ratio 0.4043
result/tencentBlock.ns11487.oracleGeneral.zst clock2 cache size     9312, 4873733 req, miss ratio 0.3640, byte miss ratio 0.3640
result/tencentBlock.ns11487.oracleGeneral.zst clock2 cache size    27937, 4873733 req, miss ratio 0.3442, byte miss ratio 0.3442
result/tencentBlock.ns11487.oracleGeneral.zst clock2 cache size    93123, 4873733 req, miss ratio 0.2828, byte miss ratio 0.2828
result/tencentBlock.ns11487.oracleGeneral.zst clock2 cache size   186246, 4873733 req, miss ratio 0.2326, byte miss ratio 0.2326
result/tencentBlock.ns11487.oracleGeneral.zst clock2 cache size   372493, 4873733 req, miss ratio 0.2030, byte miss ratio 0.2030
result/tencentBlock.ns11487.oracleGeneral.zst clock2 cache size   744987, 4873733 req, miss ratio 0.1914, byte miss ratio 0.1914
result/tencentBlock.ns11487.oracleGeneral.zst S3FIFO-1 cache size      931, 4873733 req, miss ratio 0.4751, byte miss ratio 0.4751
result/tencentBlock.ns11487.oracleGeneral.zst S3FIFO-1 cache size     2793, 4873733 req, miss ratio 0.3747, byte miss ratio 0.3747
result/tencentBlock.ns11487.oracleGeneral.zst S3FIFO-1 cache size     9312, 4873733 req, miss ratio 0.3603, byte miss ratio 0.3603
result/tencentBlock.ns11487.oracleGeneral.zst S3FIFO-1 cache size    27937, 4873733 req, miss ratio 0.3312, byte miss ratio 0.3312
result/tencentBlock.ns11487.oracleGeneral.zst S3FIFO-1 cache size    93123, 4873733 req, miss ratio 0.2608, byte miss ratio 0.2608
result/tencentBlock.ns11487.oracleGeneral.zst S3FIFO-1 cache size   186246, 4873733 req, miss ratio 0.2188, byte miss ratio 0.2188
result/tencentBlock.ns11487.oracleGeneral.zst S3FIFO-1 cache size   372493, 4873733 req, miss ratio 0.1981, byte miss ratio 0.1981
result/tencentBlock.ns11487.oracleGeneral.zst S3FIFO-1 cache size   744987, 4873733 req, miss ratio 0.1914, byte miss ratio 0.1914
result/tencentBlock.ns11487.oracleGeneral.zst LRU cache size      931, 4873733 req, miss ratio 0.5098, byte miss ratio 0.5098
result/tencentBlock.ns11487.oracleGeneral.zst LRU cache size     2793, 4873733 req, miss ratio 0.4246, byte miss ratio 0.4246
result/tencentBlock.ns11487.oracleGeneral.zst LRU cache size     9312, 4873733 req, miss ratio 0.3682, byte miss ratio 0.3682
result/tencentBlock.ns11487.oracleGeneral.zst LRU cache size    27937, 4873733 req, miss ratio 0.3414, byte miss ratio 0.3414
result/tencentBlock.ns11487.oracleGeneral.zst LRU cache size    93123, 4873733 req, miss ratio 0.2754, byte miss ratio 0.2754
result/tencentBlock.ns11487.oracleGeneral.zst LRU cache size   186246, 4873733 req, miss ratio 0.2336, byte miss ratio 0.2336
result/tencentBlock.ns11487.oracleGeneral.zst LRU cache size   372493, 4873733 req, miss ratio 0.2004, byte miss ratio 0.2004
result/tencentBlock.ns11487.oracleGeneral.zst LRU cache size   744987, 4873733 req, miss ratio 0.1913, byte miss ratio 0.1913
result/tencentBlock.ns11487.oracleGeneral.zst LeCaR cache size      931, 4873733 req, miss ratio 0.5090, byte miss ratio 0.5090
