result/tencentBlock.ns10592.oracleGeneral.zst clock2 cache size       54, 1235831 req, miss ratio 0.2753, byte miss ratio 0.2753
result/tencentBlock.ns10592.oracleGeneral.zst clock2 cache size      162, 1235831 req, miss ratio 0.2010, byte miss ratio 0.2010
result/tencentBlock.ns10592.oracleGeneral.zst clock2 cache size      540, 1235831 req, miss ratio 0.1841, byte miss ratio 0.1841
result/tencentBlock.ns10592.oracleGeneral.zst clock2 cache size     1621, 1235831 req, miss ratio 0.1794, byte miss ratio 0.1794
result/tencentBlock.ns10592.oracleGeneral.zst clock2 cache size     5406, 1235831 req, miss ratio 0.1754, byte miss ratio 0.1754
result/tencentBlock.ns10592.oracleGeneral.zst clock2 cache size    10812, 1235831 req, miss ratio 0.1646, byte miss ratio 0.1646
result/tencentBlock.ns10592.oracleGeneral.zst clock2 cache size    21624, 1235831 req, miss ratio 0.0746, byte miss ratio 0.0746
result/tencentBlock.ns10592.oracleGeneral.zst clock2 cache size    43248, 1235831 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns10592.oracleGeneral.zst Clock cache size       54, 1235831 req, miss ratio 0.2887, byte miss ratio 0.2887
result/tencentBlock.ns10592.oracleGeneral.zst Clock cache size      162, 1235831 req, miss ratio 0.1995, byte miss ratio 0.1995
result/tencentBlock.ns10592.oracleGeneral.zst Clock cache size      540, 1235831 req, miss ratio 0.1847, byte miss ratio 0.1847
result/tencentBlock.ns10592.oracleGeneral.zst Clock cache size     1621, 1235831 req, miss ratio 0.1797, byte miss ratio 0.1797
result/tencentBlock.ns10592.oracleGeneral.zst Clock cache size     5406, 1235831 req, miss ratio 0.1762, byte miss ratio 0.1762
result/tencentBlock.ns10592.oracleGeneral.zst Clock cache size    10812, 1235831 req, miss ratio 0.1685, byte miss ratio 0.1685
result/tencentBlock.ns10592.oracleGeneral.zst Clock cache size    21624, 1235831 req, miss ratio 0.0718, byte miss ratio 0.0718
result/tencentBlock.ns10592.oracleGeneral.zst Clock cache size    43248, 1235831 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns10592.oracleGeneral.zst LHD cache size       54, 1235831 req, miss ratio 0.2963, byte miss ratio 0.2963
result/tencentBlock.ns10592.oracleGeneral.zst LHD cache size      162, 1235831 req, miss ratio 0.1951, byte miss ratio 0.1951
result/tencentBlock.ns10592.oracleGeneral.zst LHD cache size      540, 1235831 req, miss ratio 0.1842, byte miss ratio 0.1842
result/tencentBlock.ns10592.oracleGeneral.zst LHD cache size     1621, 1235831 req, miss ratio 0.1794, byte miss ratio 0.1794
result/tencentBlock.ns10592.oracleGeneral.zst LHD cache size     5406, 1235831 req, miss ratio 0.1733, byte miss ratio 0.1733
result/tencentBlock.ns10592.oracleGeneral.zst LHD cache size    10812, 1235831 req, miss ratio 0.1546, byte miss ratio 0.1546
result/tencentBlock.ns10592.oracleGeneral.zst LHD cache size    21624, 1235831 req, miss ratio 0.0718, byte miss ratio 0.0718
result/tencentBlock.ns10592.oracleGeneral.zst LHD cache size    43248, 1235831 req, miss ratio 0.0458, byte miss ratio 0.0458
result/tencentBlock.ns10592.oracleGeneral.zst Cacheus cache size       54, 1235831 req, miss ratio 0.2658, byte miss ratio 0.2658
result/tencentBlock.ns10592.oracleGeneral.zst Cacheus cache size      162, 1235831 req, miss ratio 0.1908, byte miss ratio 0.1908
result/tencentBlock.ns10592.oracleGeneral.zst Cacheus cache size      540, 1235831 req, miss ratio 0.1811, byte miss ratio 0.1811
result/tencentBlock.ns10592.oracleGeneral.zst Cacheus cache size     1621, 1235831 req, miss ratio 0.1780, byte miss ratio 0.1780
result/tencentBlock.ns10592.oracleGeneral.zst Cacheus cache size     5406, 1235831 req, miss ratio 0.1666, byte miss ratio 0.1666
result/tencentBlock.ns10592.oracleGeneral.zst Cacheus cache size    10812, 1235831 req, miss ratio 0.1331, byte miss ratio 0.1331
result/tencentBlock.ns10592.oracleGeneral.zst Cacheus cache size    21624, 1235831 req, miss ratio 0.0646, byte miss ratio 0.0646
result/tencentBlock.ns10592.oracleGeneral.zst Cacheus cache size    43248, 1235831 req, miss ratio 0.0446, byte miss ratio 0.0446
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d-1 cache size       54, 1235831 req, miss ratio 0.2612, byte miss ratio 0.2612
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d-1 cache size      162, 1235831 req, miss ratio 0.1871, byte miss ratio 0.1871
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d-1 cache size      540, 1235831 req, miss ratio 0.1808, byte miss ratio 0.1808
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d-1 cache size     1621, 1235831 req, miss ratio 0.1771, byte miss ratio 0.1771
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d-1 cache size     5406, 1235831 req, miss ratio 0.1669, byte miss ratio 0.1669
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d-1 cache size    10812, 1235831 req, miss ratio 0.1353, byte miss ratio 0.1353
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d-1 cache size    21624, 1235831 req, miss ratio 0.0623, byte miss ratio 0.0623
result/tencentBlock.ns10592.oracleGeneral.zst S3FIFO-d-1 cache size    43248, 1235831 req, miss ratio 0.0443, byte miss ratio 0.0443
result/tencentBlock.ns10592.oracleGeneral.zst LRB cache size       54, 1235831 req, miss ratio 0.3341, byte miss ratio 0.3341
result/tencentBlock.ns10592.oracleGeneral.zst LRB cache size      162, 1235831 req, miss ratio 0.1985, byte miss ratio 0.1985
result/tencentBlock.ns10592.oracleGeneral.zst LRB cache size      540, 1235831 req, miss ratio 0.1858, byte miss ratio 0.1858
result/tencentBlock.ns10592.oracleGeneral.zst LRB cache size     1621, 1235831 req, miss ratio 0.1712, byte miss ratio 0.1712
result/tencentBlock.ns10592.oracleGeneral.zst LRB cache size     5406, 1235831 req, miss ratio 0.1523, byte miss ratio 0.1523
result/tencentBlock.ns10592.oracleGeneral.zst LRB cache size    10812, 1235831 req, miss ratio 0.1278, byte miss ratio 0.1278
result/tencentBlock.ns10592.oracleGeneral.zst LRB cache size    21624, 1235831 req, miss ratio 0.0610, byte miss ratio 0.0610
result/tencentBlock.ns10592.oracleGeneral.zst LRB cache size    43248, 1235831 req, miss ratio 0.0458, byte miss ratio 0.0458
result/tencentBlock.ns10592.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       54, 1235831 req, miss ratio 0.3659, byte miss ratio 0.3659
result/tencentBlock.ns10592.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      162, 1235831 req, miss ratio 0.2349, byte miss ratio 0.2349
result/tencentBlock.ns10592.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      540, 1235831 req, miss ratio 0.1894, byte miss ratio 0.1894
result/tencentBlock.ns10592.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1621, 1235831 req, miss ratio 0.1806, byte miss ratio 0.1806
result/tencentBlock.ns10592.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     5406, 1235831 req, miss ratio 0.1705, byte miss ratio 0.1705
result/tencentBlock.ns10592.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10812, 1235831 req, miss ratio 0.1533, byte miss ratio 0.1533
