result/tencentBlock.ns23689.oracleGeneral.zst FIFO cache size     3609, 14503139 req, miss ratio 0.6940, byte miss ratio 0.6940
result/tencentBlock.ns23689.oracleGeneral.zst FIFO cache size    10827, 14503139 req, miss ratio 0.6445, byte miss ratio 0.6445
result/tencentBlock.ns23689.oracleGeneral.zst FIFO cache size    36091, 14503139 req, miss ratio 0.4889, byte miss ratio 0.4889
result/tencentBlock.ns23689.oracleGeneral.zst FIFO cache size   108273, 14503139 req, miss ratio 0.3596, byte miss ratio 0.3596
result/tencentBlock.ns23689.oracleGeneral.zst FIFO cache size   360913, 14503139 req, miss ratio 0.2925, byte miss ratio 0.2925
result/tencentBlock.ns23689.oracleGeneral.zst FIFO cache size   721826, 14503139 req, miss ratio 0.2706, byte miss ratio 0.2706
result/tencentBlock.ns23689.oracleGeneral.zst FIFO cache size  1443652, 14503139 req, miss ratio 0.2548, byte miss ratio 0.2548
result/tencentBlock.ns23689.oracleGeneral.zst FIFO cache size  2887304, 14503139 req, miss ratio 0.2513, byte miss ratio 0.2513
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-1 cache size     3609, 14503139 req, miss ratio 0.6255, byte miss ratio 0.6255
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-1 cache size    10827, 14503139 req, miss ratio 0.6049, byte miss ratio 0.6049
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-1 cache size    36091, 14503139 req, miss ratio 0.4222, byte miss ratio 0.4222
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-1 cache size   108273, 14503139 req, miss ratio 0.2874, byte miss ratio 0.2874
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-1 cache size   360913, 14503139 req, miss ratio 0.2656, byte miss ratio 0.2656
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-1 cache size   721826, 14503139 req, miss ratio 0.2584, byte miss ratio 0.2584
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-1 cache size  1443652, 14503139 req, miss ratio 0.2498, byte miss ratio 0.2498
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-1 cache size  2887304, 14503139 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns23689.oracleGeneral.zst LRU cache size     3609, 14503139 req, miss ratio 0.6631, byte miss ratio 0.6631
result/tencentBlock.ns23689.oracleGeneral.zst LRU cache size    10827, 14503139 req, miss ratio 0.6195, byte miss ratio 0.6195
result/tencentBlock.ns23689.oracleGeneral.zst LRU cache size    36091, 14503139 req, miss ratio 0.4689, byte miss ratio 0.4689
result/tencentBlock.ns23689.oracleGeneral.zst LRU cache size   108273, 14503139 req, miss ratio 0.3279, byte miss ratio 0.3279
result/tencentBlock.ns23689.oracleGeneral.zst LRU cache size   360913, 14503139 req, miss ratio 0.2698, byte miss ratio 0.2698
result/tencentBlock.ns23689.oracleGeneral.zst LRU cache size   721826, 14503139 req, miss ratio 0.2583, byte miss ratio 0.2583
result/tencentBlock.ns23689.oracleGeneral.zst LRU cache size  1443652, 14503139 req, miss ratio 0.2499, byte miss ratio 0.2499
result/tencentBlock.ns23689.oracleGeneral.zst LRU cache size  2887304, 14503139 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns23689.oracleGeneral.zst Cacheus cache size     3609, 14503139 req, miss ratio 0.6318, byte miss ratio 0.6318
result/tencentBlock.ns23689.oracleGeneral.zst Cacheus cache size    10827, 14503139 req, miss ratio 0.6067, byte miss ratio 0.6067
result/tencentBlock.ns23689.oracleGeneral.zst Cacheus cache size    36091, 14503139 req, miss ratio 0.4577, byte miss ratio 0.4577
result/tencentBlock.ns23689.oracleGeneral.zst Cacheus cache size   108273, 14503139 req, miss ratio 0.2916, byte miss ratio 0.2916
result/tencentBlock.ns23689.oracleGeneral.zst Cacheus cache size   360913, 14503139 req, miss ratio 0.2654, byte miss ratio 0.2654
result/tencentBlock.ns23689.oracleGeneral.zst Cacheus cache size   721826, 14503139 req, miss ratio 0.2599, byte miss ratio 0.2599
result/tencentBlock.ns23689.oracleGeneral.zst Cacheus cache size  1443652, 14503139 req, miss ratio 0.2569, byte miss ratio 0.2569
result/tencentBlock.ns23689.oracleGeneral.zst Cacheus cache size  2887304, 14503139 req, miss ratio 0.2496, byte miss ratio 0.2496
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d-1 cache size     3609, 14503139 req, miss ratio 0.6235, byte miss ratio 0.6235
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d-1 cache size    10827, 14503139 req, miss ratio 0.6036, byte miss ratio 0.6036
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d-1 cache size    36091, 14503139 req, miss ratio 0.4129, byte miss ratio 0.4129
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d-1 cache size   108273, 14503139 req, miss ratio 0.2858, byte miss ratio 0.2858
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d-1 cache size   360913, 14503139 req, miss ratio 0.2656, byte miss ratio 0.2656
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d-1 cache size   721826, 14503139 req, miss ratio 0.2584, byte miss ratio 0.2584
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d-1 cache size  1443652, 14503139 req, miss ratio 0.2498, byte miss ratio 0.2498
result/tencentBlock.ns23689.oracleGeneral.zst S3FIFO-d-1 cache size  2887304, 14503139 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns23689.oracleGeneral.zst LRB cache size     3609, 14503139 req, miss ratio 0.6274, byte miss ratio 0.6274
result/tencentBlock.ns23689.oracleGeneral.zst LRB cache size    10827, 14503139 req, miss ratio 0.5691, byte miss ratio 0.5691
result/tencentBlock.ns23689.oracleGeneral.zst LRB cache size    36091, 14503139 req, miss ratio 0.3888, byte miss ratio 0.3888
result/tencentBlock.ns23689.oracleGeneral.zst LRB cache size   108273, 14503139 req, miss ratio 0.3104, byte miss ratio 0.3104
result/tencentBlock.ns23689.oracleGeneral.zst LRB cache size   360913, 14503139 req, miss ratio 0.2822, byte miss ratio 0.2822
result/tencentBlock.ns23689.oracleGeneral.zst LRB cache size   721826, 14503139 req, miss ratio 0.2656, byte miss ratio 0.2656
result/tencentBlock.ns23689.oracleGeneral.zst LRB cache size  1443652, 14503139 req, miss ratio 0.2583, byte miss ratio 0.2583
result/tencentBlock.ns23689.oracleGeneral.zst LRB cache size  2887304, 14503139 req, miss ratio 0.2496, byte miss ratio 0.2496
result/tencentBlock.ns23689.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3609, 14503139 req, miss ratio 0.6416, byte miss ratio 0.6416
result/tencentBlock.ns23689.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10827, 14503139 req, miss ratio 0.6012, byte miss ratio 0.6012
result/tencentBlock.ns23689.oracleGeneral.zst S4LRU(25:25:25:25) cache size    36091, 14503139 req, miss ratio 0.5103, byte miss ratio 0.5103
result/tencentBlock.ns23689.oracleGeneral.zst S4LRU(25:25:25:25) cache size   108273, 14503139 req, miss ratio 0.3082, byte miss ratio 0.3082
result/tencentBlock.ns23689.oracleGeneral.zst S4LRU(25:25:25:25) cache size   360913, 14503139 req, miss ratio 0.2732, byte miss ratio 0.2732
result/tencentBlock.ns23689.oracleGeneral.zst S4LRU(25:25:25:25) cache size   721826, 14503139 req, miss ratio 0.2580, byte miss ratio 0.2580
result/tencentBlock.ns23689.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1443652, 14503139 req, miss ratio 0.2515, byte miss ratio 0.2515
result/tencentBlock.ns23689.oracleGeneral.zst S4LRU(25:25:25:25) cache size  2887304, 14503139 req, miss ratio 0.2490, byte miss ratio 0.2490
result/tencentBlock.ns23689.oracleGeneral.zst TwoQ cache size     3609, 14503139 req, miss ratio 0.6243, byte miss ratio 0.6243
result/tencentBlock.ns23689.oracleGeneral.zst TwoQ cache size    10827, 14503139 req, miss ratio 0.6093, byte miss ratio 0.6093
result/tencentBlock.ns23689.oracleGeneral.zst TwoQ cache size    36091, 14503139 req, miss ratio 0.4437, byte miss ratio 0.4437
result/tencentBlock.ns23689.oracleGeneral.zst TwoQ cache size   108273, 14503139 req, miss ratio 0.2950, byte miss ratio 0.2950
result/tencentBlock.ns23689.oracleGeneral.zst TwoQ cache size   360913, 14503139 req, miss ratio 0.2731, byte miss ratio 0.2731
result/tencentBlock.ns23689.oracleGeneral.zst TwoQ cache size   721826, 14503139 req, miss ratio 0.2633, byte miss ratio 0.2633
result/tencentBlock.ns23689.oracleGeneral.zst TwoQ cache size  1443652, 14503139 req, miss ratio 0.2525, byte miss ratio 0.2525
result/tencentBlock.ns23689.oracleGeneral.zst TwoQ cache size  2887304, 14503139 req, miss ratio 0.2513, byte miss ratio 0.2513
result/tencentBlock.ns23689.oracleGeneral.zst B-LRU cache size     3609, 14503139 req, miss ratio 0.6800, byte miss ratio 0.6800
result/tencentBlock.ns23689.oracleGeneral.zst B-LRU cache size    10827, 14503139 req, miss ratio 0.6391, byte miss ratio 0.6391
result/tencentBlock.ns23689.oracleGeneral.zst B-LRU cache size    36091, 14503139 req, miss ratio 0.4661, byte miss ratio 0.4661
result/tencentBlock.ns23689.oracleGeneral.zst B-LRU cache size   108273, 14503139 req, miss ratio 0.3187, byte miss ratio 0.3187
result/tencentBlock.ns23689.oracleGeneral.zst B-LRU cache size   360913, 14503139 req, miss ratio 0.3034, byte miss ratio 0.3034
result/tencentBlock.ns23689.oracleGeneral.zst B-LRU cache size   721826, 14503139 req, miss ratio 0.3023, byte miss ratio 0.3023
result/tencentBlock.ns23689.oracleGeneral.zst B-LRU cache size  1443652, 14503139 req, miss ratio 0.3023, byte miss ratio 0.3023
result/tencentBlock.ns23689.oracleGeneral.zst B-LRU cache size  2887304, 14503139 req, miss ratio 0.3023, byte miss ratio 0.3023
result/tencentBlock.ns23689.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3609, 14503139 req, miss ratio 0.6573, byte miss ratio 0.6573
result/tencentBlock.ns23689.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10827, 14503139 req, miss ratio 0.6085, byte miss ratio 0.6085
result/tencentBlock.ns23689.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    36091, 14503139 req, miss ratio 0.4798, byte miss ratio 0.4798
result/tencentBlock.ns23689.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   108273, 14503139 req, miss ratio 0.3321, byte miss ratio 0.3321
result/tencentBlock.ns23689.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   360913, 14503139 req, miss ratio 0.2776, byte miss ratio 0.2776
result/tencentBlock.ns23689.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   721826, 14503139 req, miss ratio 0.2610, byte miss ratio 0.2610
