result/tencentBlock.ns7250.oracleGeneral.zst Clock cache size      177, 7021432 req, miss ratio 0.4083, byte miss ratio 0.4083
result/tencentBlock.ns7250.oracleGeneral.zst Clock cache size      533, 7021432 req, miss ratio 0.1728, byte miss ratio 0.1728
result/tencentBlock.ns7250.oracleGeneral.zst Clock cache size     1779, 7021432 req, miss ratio 0.1266, byte miss ratio 0.1266
result/tencentBlock.ns7250.oracleGeneral.zst Clock cache size     5337, 7021432 req, miss ratio 0.1103, byte miss ratio 0.1103
result/tencentBlock.ns7250.oracleGeneral.zst Clock cache size    17791, 7021432 req, miss ratio 0.0970, byte miss ratio 0.0970
result/tencentBlock.ns7250.oracleGeneral.zst Clock cache size    35583, 7021432 req, miss ratio 0.0871, byte miss ratio 0.0871
result/tencentBlock.ns7250.oracleGeneral.zst Clock cache size    71167, 7021432 req, miss ratio 0.0513, byte miss ratio 0.0513
result/tencentBlock.ns7250.oracleGeneral.zst Clock cache size   142335, 7021432 req, miss ratio 0.0267, byte miss ratio 0.0267
result/tencentBlock.ns7250.oracleGeneral.zst ARC cache size      177, 7021432 req, miss ratio 0.2901, byte miss ratio 0.2901
result/tencentBlock.ns7250.oracleGeneral.zst ARC cache size      533, 7021432 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns7250.oracleGeneral.zst ARC cache size     1779, 7021432 req, miss ratio 0.1178, byte miss ratio 0.1178
result/tencentBlock.ns7250.oracleGeneral.zst ARC cache size     5337, 7021432 req, miss ratio 0.1046, byte miss ratio 0.1046
result/tencentBlock.ns7250.oracleGeneral.zst ARC cache size    17791, 7021432 req, miss ratio 0.0917, byte miss ratio 0.0917
result/tencentBlock.ns7250.oracleGeneral.zst ARC cache size    35583, 7021432 req, miss ratio 0.0850, byte miss ratio 0.0850
result/tencentBlock.ns7250.oracleGeneral.zst ARC cache size    71167, 7021432 req, miss ratio 0.0514, byte miss ratio 0.0514
result/tencentBlock.ns7250.oracleGeneral.zst ARC cache size   142335, 7021432 req, miss ratio 0.0261, byte miss ratio 0.0261
result/tencentBlock.ns7250.oracleGeneral.zst LeCaR cache size      177, 7021432 req, miss ratio 0.3903, byte miss ratio 0.3903
result/tencentBlock.ns7250.oracleGeneral.zst LeCaR cache size      533, 7021432 req, miss ratio 0.1652, byte miss ratio 0.1652
result/tencentBlock.ns7250.oracleGeneral.zst LeCaR cache size     1779, 7021432 req, miss ratio 0.1241, byte miss ratio 0.1241
result/tencentBlock.ns7250.oracleGeneral.zst LeCaR cache size     5337, 7021432 req, miss ratio 0.1089, byte miss ratio 0.1089
result/tencentBlock.ns7250.oracleGeneral.zst LeCaR cache size    17791, 7021432 req, miss ratio 0.0953, byte miss ratio 0.0953
result/tencentBlock.ns7250.oracleGeneral.zst LeCaR cache size    35583, 7021432 req, miss ratio 0.0865, byte miss ratio 0.0865
result/tencentBlock.ns7250.oracleGeneral.zst LeCaR cache size    71167, 7021432 req, miss ratio 0.0512, byte miss ratio 0.0512
result/tencentBlock.ns7250.oracleGeneral.zst LeCaR cache size   142335, 7021432 req, miss ratio 0.0261, byte miss ratio 0.0261
result/tencentBlock.ns7250.oracleGeneral.zst Cacheus cache size      177, 7021432 req, miss ratio 0.3690, byte miss ratio 0.3690
result/tencentBlock.ns7250.oracleGeneral.zst Cacheus cache size      533, 7021432 req, miss ratio 0.1689, byte miss ratio 0.1689
result/tencentBlock.ns7250.oracleGeneral.zst Cacheus cache size     1779, 7021432 req, miss ratio 0.1188, byte miss ratio 0.1188
result/tencentBlock.ns7250.oracleGeneral.zst Cacheus cache size     5337, 7021432 req, miss ratio 0.1052, byte miss ratio 0.1052
result/tencentBlock.ns7250.oracleGeneral.zst Cacheus cache size    17791, 7021432 req, miss ratio 0.0928, byte miss ratio 0.0928
result/tencentBlock.ns7250.oracleGeneral.zst Cacheus cache size    35583, 7021432 req, miss ratio 0.0870, byte miss ratio 0.0870
result/tencentBlock.ns7250.oracleGeneral.zst Cacheus cache size    71167, 7021432 req, miss ratio 0.0509, byte miss ratio 0.0509
result/tencentBlock.ns7250.oracleGeneral.zst Cacheus cache size   142335, 7021432 req, miss ratio 0.0262, byte miss ratio 0.0262
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d-1 cache size      177, 7021432 req, miss ratio 0.2915, byte miss ratio 0.2915
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d-1 cache size      533, 7021432 req, miss ratio 0.1563, byte miss ratio 0.1563
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d-1 cache size     1779, 7021432 req, miss ratio 0.1162, byte miss ratio 0.1162
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d-1 cache size     5337, 7021432 req, miss ratio 0.1029, byte miss ratio 0.1029
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d-1 cache size    17791, 7021432 req, miss ratio 0.0905, byte miss ratio 0.0905
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d-1 cache size    35583, 7021432 req, miss ratio 0.0836, byte miss ratio 0.0836
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d-1 cache size    71167, 7021432 req, miss ratio 0.0519, byte miss ratio 0.0519
result/tencentBlock.ns7250.oracleGeneral.zst S3FIFO-d-1 cache size   142335, 7021432 req, miss ratio 0.0267, byte miss ratio 0.0267
result/tencentBlock.ns7250.oracleGeneral.zst LRB cache size      177, 7021432 req, miss ratio 0.3363, byte miss ratio 0.3363
result/tencentBlock.ns7250.oracleGeneral.zst LRB cache size      533, 7021432 req, miss ratio 0.1719, byte miss ratio 0.1719
result/tencentBlock.ns7250.oracleGeneral.zst LRB cache size     1779, 7021432 req, miss ratio 0.1190, byte miss ratio 0.1190
result/tencentBlock.ns7250.oracleGeneral.zst LRB cache size     5337, 7021432 req, miss ratio 0.1015, byte miss ratio 0.1015
result/tencentBlock.ns7250.oracleGeneral.zst LRB cache size    17791, 7021432 req, miss ratio 0.0875, byte miss ratio 0.0875
