result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-1 cache size      146, 1403090 req, miss ratio 0.4643, byte miss ratio 0.4643
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-1 cache size      439, 1403090 req, miss ratio 0.4455, byte miss ratio 0.4455
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-1 cache size     1464, 1403090 req, miss ratio 0.4411, byte miss ratio 0.4411
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-1 cache size     4394, 1403090 req, miss ratio 0.4397, byte miss ratio 0.4397
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-1 cache size    14646, 1403090 req, miss ratio 0.4094, byte miss ratio 0.4094
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-1 cache size    29293, 1403090 req, miss ratio 0.3588, byte miss ratio 0.3588
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-1 cache size    58587, 1403090 req, miss ratio 0.3089, byte miss ratio 0.3089
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-1 cache size   117175, 1403090 req, miss ratio 0.1293, byte miss ratio 0.1293
result/tencentBlock.ns5836.oracleGeneral.zst LRU cache size      146, 1403090 req, miss ratio 0.5102, byte miss ratio 0.5102
result/tencentBlock.ns5836.oracleGeneral.zst LRU cache size      439, 1403090 req, miss ratio 0.4524, byte miss ratio 0.4524
result/tencentBlock.ns5836.oracleGeneral.zst LRU cache size     1464, 1403090 req, miss ratio 0.4441, byte miss ratio 0.4441
result/tencentBlock.ns5836.oracleGeneral.zst LRU cache size     4394, 1403090 req, miss ratio 0.4408, byte miss ratio 0.4408
result/tencentBlock.ns5836.oracleGeneral.zst LRU cache size    14646, 1403090 req, miss ratio 0.4394, byte miss ratio 0.4394
result/tencentBlock.ns5836.oracleGeneral.zst LRU cache size    29293, 1403090 req, miss ratio 0.3910, byte miss ratio 0.3910
result/tencentBlock.ns5836.oracleGeneral.zst LRU cache size    58587, 1403090 req, miss ratio 0.2793, byte miss ratio 0.2793
result/tencentBlock.ns5836.oracleGeneral.zst LRU cache size   117175, 1403090 req, miss ratio 0.1258, byte miss ratio 0.1258
result/tencentBlock.ns5836.oracleGeneral.zst ARC cache size      146, 1403090 req, miss ratio 0.4657, byte miss ratio 0.4657
result/tencentBlock.ns5836.oracleGeneral.zst ARC cache size      439, 1403090 req, miss ratio 0.4454, byte miss ratio 0.4454
result/tencentBlock.ns5836.oracleGeneral.zst ARC cache size     1464, 1403090 req, miss ratio 0.4414, byte miss ratio 0.4414
result/tencentBlock.ns5836.oracleGeneral.zst ARC cache size     4394, 1403090 req, miss ratio 0.4401, byte miss ratio 0.4401
result/tencentBlock.ns5836.oracleGeneral.zst ARC cache size    14646, 1403090 req, miss ratio 0.4215, byte miss ratio 0.4215
result/tencentBlock.ns5836.oracleGeneral.zst ARC cache size    29293, 1403090 req, miss ratio 0.3809, byte miss ratio 0.3809
result/tencentBlock.ns5836.oracleGeneral.zst ARC cache size    58587, 1403090 req, miss ratio 0.2823, byte miss ratio 0.2823
result/tencentBlock.ns5836.oracleGeneral.zst ARC cache size   117175, 1403090 req, miss ratio 0.1256, byte miss ratio 0.1256
result/tencentBlock.ns5836.oracleGeneral.zst LHD cache size      146, 1403090 req, miss ratio 0.4942, byte miss ratio 0.4942
result/tencentBlock.ns5836.oracleGeneral.zst LHD cache size      439, 1403090 req, miss ratio 0.4514, byte miss ratio 0.4514
result/tencentBlock.ns5836.oracleGeneral.zst LHD cache size     1464, 1403090 req, miss ratio 0.4429, byte miss ratio 0.4429
result/tencentBlock.ns5836.oracleGeneral.zst LHD cache size     4394, 1403090 req, miss ratio 0.4404, byte miss ratio 0.4404
result/tencentBlock.ns5836.oracleGeneral.zst LHD cache size    14646, 1403090 req, miss ratio 0.4261, byte miss ratio 0.4261
result/tencentBlock.ns5836.oracleGeneral.zst LHD cache size    29293, 1403090 req, miss ratio 0.3761, byte miss ratio 0.3761
result/tencentBlock.ns5836.oracleGeneral.zst LHD cache size    58587, 1403090 req, miss ratio 0.2877, byte miss ratio 0.2877
result/tencentBlock.ns5836.oracleGeneral.zst LHD cache size   117175, 1403090 req, miss ratio 0.1196, byte miss ratio 0.1196
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d-1 cache size      146, 1403090 req, miss ratio 0.4626, byte miss ratio 0.4626
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d-1 cache size      439, 1403090 req, miss ratio 0.4439, byte miss ratio 0.4439
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d-1 cache size     1464, 1403090 req, miss ratio 0.4411, byte miss ratio 0.4411
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d-1 cache size     4394, 1403090 req, miss ratio 0.4397, byte miss ratio 0.4397
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d-1 cache size    14646, 1403090 req, miss ratio 0.4094, byte miss ratio 0.4094
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d-1 cache size    29293, 1403090 req, miss ratio 0.3582, byte miss ratio 0.3582
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d-1 cache size    58587, 1403090 req, miss ratio 0.3075, byte miss ratio 0.3075
result/tencentBlock.ns5836.oracleGeneral.zst S3FIFO-d-1 cache size   117175, 1403090 req, miss ratio 0.1290, byte miss ratio 0.1290
result/tencentBlock.ns5836.oracleGeneral.zst LRB cache size      146, 1403090 req, miss ratio 0.5469, byte miss ratio 0.5469
result/tencentBlock.ns5836.oracleGeneral.zst LRB cache size      439, 1403090 req, miss ratio 0.4877, byte miss ratio 0.4877
result/tencentBlock.ns5836.oracleGeneral.zst LRB cache size     1464, 1403090 req, miss ratio 0.4537, byte miss ratio 0.4537
result/tencentBlock.ns5836.oracleGeneral.zst LRB cache size     4394, 1403090 req, miss ratio 0.4291, byte miss ratio 0.4291
result/tencentBlock.ns5836.oracleGeneral.zst LRB cache size    14646, 1403090 req, miss ratio 0.3853, byte miss ratio 0.3853
result/tencentBlock.ns5836.oracleGeneral.zst LRB cache size    29293, 1403090 req, miss ratio 0.3228, byte miss ratio 0.3228
result/tencentBlock.ns5836.oracleGeneral.zst LRB cache size    58587, 1403090 req, miss ratio 0.2137, byte miss ratio 0.2137
result/tencentBlock.ns5836.oracleGeneral.zst LRB cache size   117175, 1403090 req, miss ratio 0.1187, byte miss ratio 0.1187
