result/tencentBlock.ns9356.oracleGeneral.zst LeCaR cache size      155, 1185760 req, miss ratio 0.6181, byte miss ratio 0.6181
result/tencentBlock.ns9356.oracleGeneral.zst LeCaR cache size      465, 1185760 req, miss ratio 0.5804, byte miss ratio 0.5804
result/tencentBlock.ns9356.oracleGeneral.zst LeCaR cache size     1550, 1185760 req, miss ratio 0.5088, byte miss ratio 0.5088
result/tencentBlock.ns9356.oracleGeneral.zst LeCaR cache size     4650, 1185760 req, miss ratio 0.4928, byte miss ratio 0.4928
result/tencentBlock.ns9356.oracleGeneral.zst LeCaR cache size    15501, 1185760 req, miss ratio 0.4825, byte miss ratio 0.4825
result/tencentBlock.ns9356.oracleGeneral.zst LeCaR cache size    31003, 1185760 req, miss ratio 0.4198, byte miss ratio 0.4198
result/tencentBlock.ns9356.oracleGeneral.zst LeCaR cache size    62007, 1185760 req, miss ratio 0.2572, byte miss ratio 0.2572
result/tencentBlock.ns9356.oracleGeneral.zst LeCaR cache size   124014, 1185760 req, miss ratio 0.1319, byte miss ratio 0.1319
result/tencentBlock.ns9356.oracleGeneral.zst Cacheus cache size      155, 1185760 req, miss ratio 0.5848, byte miss ratio 0.5848
result/tencentBlock.ns9356.oracleGeneral.zst Cacheus cache size      465, 1185760 req, miss ratio 0.5354, byte miss ratio 0.5354
result/tencentBlock.ns9356.oracleGeneral.zst Cacheus cache size     1550, 1185760 req, miss ratio 0.5010, byte miss ratio 0.5010
result/tencentBlock.ns9356.oracleGeneral.zst Cacheus cache size     4650, 1185760 req, miss ratio 0.4884, byte miss ratio 0.4884
result/tencentBlock.ns9356.oracleGeneral.zst Cacheus cache size    15501, 1185760 req, miss ratio 0.4562, byte miss ratio 0.4562
result/tencentBlock.ns9356.oracleGeneral.zst Cacheus cache size    31003, 1185760 req, miss ratio 0.4089, byte miss ratio 0.4089
result/tencentBlock.ns9356.oracleGeneral.zst Cacheus cache size    62007, 1185760 req, miss ratio 0.2731, byte miss ratio 0.2731
result/tencentBlock.ns9356.oracleGeneral.zst Cacheus cache size   124014, 1185760 req, miss ratio 0.1325, byte miss ratio 0.1325
