result/tencentBlock.ns8361.oracleGeneral.zst LeCaR cache size      137, 4039176 req, miss ratio 0.3523, byte miss ratio 0.3523
result/tencentBlock.ns8361.oracleGeneral.zst LeCaR cache size      413, 4039176 req, miss ratio 0.2047, byte miss ratio 0.2047
result/tencentBlock.ns8361.oracleGeneral.zst LeCaR cache size     1378, 4039176 req, miss ratio 0.1561, byte miss ratio 0.1561
result/tencentBlock.ns8361.oracleGeneral.zst LeCaR cache size     4136, 4039176 req, miss ratio 0.1190, byte miss ratio 0.1190
result/tencentBlock.ns8361.oracleGeneral.zst LeCaR cache size    13789, 4039176 req, miss ratio 0.0936, byte miss ratio 0.0936
result/tencentBlock.ns8361.oracleGeneral.zst LeCaR cache size    27579, 4039176 req, miss ratio 0.0757, byte miss ratio 0.0757
result/tencentBlock.ns8361.oracleGeneral.zst LeCaR cache size    55158, 4039176 req, miss ratio 0.0493, byte miss ratio 0.0493
result/tencentBlock.ns8361.oracleGeneral.zst LeCaR cache size   110316, 4039176 req, miss ratio 0.0355, byte miss ratio 0.0355
result/tencentBlock.ns8361.oracleGeneral.zst FIFO cache size      137, 4039176 req, miss ratio 0.4575, byte miss ratio 0.4575
result/tencentBlock.ns8361.oracleGeneral.zst FIFO cache size      413, 4039176 req, miss ratio 0.2693, byte miss ratio 0.2693
result/tencentBlock.ns8361.oracleGeneral.zst FIFO cache size     1378, 4039176 req, miss ratio 0.1854, byte miss ratio 0.1854
result/tencentBlock.ns8361.oracleGeneral.zst FIFO cache size     4136, 4039176 req, miss ratio 0.1410, byte miss ratio 0.1410
result/tencentBlock.ns8361.oracleGeneral.zst FIFO cache size    13789, 4039176 req, miss ratio 0.1044, byte miss ratio 0.1044
result/tencentBlock.ns8361.oracleGeneral.zst FIFO cache size    27579, 4039176 req, miss ratio 0.0855, byte miss ratio 0.0855
result/tencentBlock.ns8361.oracleGeneral.zst FIFO cache size    55158, 4039176 req, miss ratio 0.0586, byte miss ratio 0.0586
result/tencentBlock.ns8361.oracleGeneral.zst FIFO cache size   110316, 4039176 req, miss ratio 0.0388, byte miss ratio 0.0388
result/tencentBlock.ns8361.oracleGeneral.zst Cacheus cache size      137, 4039176 req, miss ratio 0.3363, byte miss ratio 0.3363
result/tencentBlock.ns8361.oracleGeneral.zst Cacheus cache size      413, 4039176 req, miss ratio 0.2018, byte miss ratio 0.2018
result/tencentBlock.ns8361.oracleGeneral.zst Cacheus cache size     1378, 4039176 req, miss ratio 0.1462, byte miss ratio 0.1462
result/tencentBlock.ns8361.oracleGeneral.zst Cacheus cache size     4136, 4039176 req, miss ratio 0.1152, byte miss ratio 0.1152
result/tencentBlock.ns8361.oracleGeneral.zst Cacheus cache size    13789, 4039176 req, miss ratio 0.0898, byte miss ratio 0.0898
result/tencentBlock.ns8361.oracleGeneral.zst Cacheus cache size    27579, 4039176 req, miss ratio 0.0754, byte miss ratio 0.0754
result/tencentBlock.ns8361.oracleGeneral.zst Cacheus cache size    55158, 4039176 req, miss ratio 0.0512, byte miss ratio 0.0512
result/tencentBlock.ns8361.oracleGeneral.zst Cacheus cache size   110316, 4039176 req, miss ratio 0.0352, byte miss ratio 0.0352
result/tencentBlock.ns8361.oracleGeneral.zst LHD cache size      137, 4039176 req, miss ratio 0.3248, byte miss ratio 0.3248
result/tencentBlock.ns8361.oracleGeneral.zst LHD cache size      413, 4039176 req, miss ratio 0.2053, byte miss ratio 0.2053
result/tencentBlock.ns8361.oracleGeneral.zst LHD cache size     1378, 4039176 req, miss ratio 0.1478, byte miss ratio 0.1478
result/tencentBlock.ns8361.oracleGeneral.zst LHD cache size     4136, 4039176 req, miss ratio 0.1156, byte miss ratio 0.1156
result/tencentBlock.ns8361.oracleGeneral.zst LHD cache size    13789, 4039176 req, miss ratio 0.0893, byte miss ratio 0.0893
result/tencentBlock.ns8361.oracleGeneral.zst LHD cache size    27579, 4039176 req, miss ratio 0.0732, byte miss ratio 0.0732
result/tencentBlock.ns8361.oracleGeneral.zst LHD cache size    55158, 4039176 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns8361.oracleGeneral.zst LHD cache size   110316, 4039176 req, miss ratio 0.0355, byte miss ratio 0.0355
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d-1 cache size      137, 4039176 req, miss ratio 0.3082, byte miss ratio 0.3082
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d-1 cache size      413, 4039176 req, miss ratio 0.1928, byte miss ratio 0.1928
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d-1 cache size     1378, 4039176 req, miss ratio 0.1383, byte miss ratio 0.1383
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d-1 cache size     4136, 4039176 req, miss ratio 0.1084, byte miss ratio 0.1084
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d-1 cache size    13789, 4039176 req, miss ratio 0.0863, byte miss ratio 0.0863
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d-1 cache size    27579, 4039176 req, miss ratio 0.0714, byte miss ratio 0.0714
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d-1 cache size    55158, 4039176 req, miss ratio 0.0487, byte miss ratio 0.0487
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d-1 cache size   110316, 4039176 req, miss ratio 0.0349, byte miss ratio 0.0349
result/tencentBlock.ns8361.oracleGeneral.zst LRB cache size      137, 4039176 req, miss ratio 0.3264, byte miss ratio 0.3264
result/tencentBlock.ns8361.oracleGeneral.zst LRB cache size      413, 4039176 req, miss ratio 0.2139, byte miss ratio 0.2139
result/tencentBlock.ns8361.oracleGeneral.zst LRB cache size     1378, 4039176 req, miss ratio 0.1400, byte miss ratio 0.1400
result/tencentBlock.ns8361.oracleGeneral.zst LRB cache size     4136, 4039176 req, miss ratio 0.1061, byte miss ratio 0.1061
result/tencentBlock.ns8361.oracleGeneral.zst LRB cache size    13789, 4039176 req, miss ratio 0.0859, byte miss ratio 0.0859
result/tencentBlock.ns8361.oracleGeneral.zst LRB cache size    27579, 4039176 req, miss ratio 0.0694, byte miss ratio 0.0694
result/tencentBlock.ns8361.oracleGeneral.zst LRB cache size    55158, 4039176 req, miss ratio 0.0484, byte miss ratio 0.0484
result/tencentBlock.ns8361.oracleGeneral.zst LRB cache size   110316, 4039176 req, miss ratio 0.0357, byte miss ratio 0.0357
result/tencentBlock.ns8361.oracleGeneral.zst TwoQ cache size      137, 4039176 req, miss ratio 0.3079, byte miss ratio 0.3079
result/tencentBlock.ns8361.oracleGeneral.zst TwoQ cache size      413, 4039176 req, miss ratio 0.1960, byte miss ratio 0.1960
result/tencentBlock.ns8361.oracleGeneral.zst TwoQ cache size     1378, 4039176 req, miss ratio 0.1381, byte miss ratio 0.1381
result/tencentBlock.ns8361.oracleGeneral.zst TwoQ cache size     4136, 4039176 req, miss ratio 0.1075, byte miss ratio 0.1075
result/tencentBlock.ns8361.oracleGeneral.zst TwoQ cache size    13789, 4039176 req, miss ratio 0.0853, byte miss ratio 0.0853
result/tencentBlock.ns8361.oracleGeneral.zst TwoQ cache size    27579, 4039176 req, miss ratio 0.0706, byte miss ratio 0.0706
result/tencentBlock.ns8361.oracleGeneral.zst TwoQ cache size    55158, 4039176 req, miss ratio 0.0511, byte miss ratio 0.0511
result/tencentBlock.ns8361.oracleGeneral.zst TwoQ cache size   110316, 4039176 req, miss ratio 0.0388, byte miss ratio 0.0388
result/tencentBlock.ns8361.oracleGeneral.zst B-LRU cache size      137, 4039176 req, miss ratio 0.3734, byte miss ratio 0.3734
result/tencentBlock.ns8361.oracleGeneral.zst B-LRU cache size      413, 4039176 req, miss ratio 0.2184, byte miss ratio 0.2184
result/tencentBlock.ns8361.oracleGeneral.zst B-LRU cache size     1378, 4039176 req, miss ratio 0.1656, byte miss ratio 0.1656
result/tencentBlock.ns8361.oracleGeneral.zst B-LRU cache size     4136, 4039176 req, miss ratio 0.1292, byte miss ratio 0.1292
result/tencentBlock.ns8361.oracleGeneral.zst B-LRU cache size    13789, 4039176 req, miss ratio 0.1013, byte miss ratio 0.1013
result/tencentBlock.ns8361.oracleGeneral.zst B-LRU cache size    27579, 4039176 req, miss ratio 0.0864, byte miss ratio 0.0864
result/tencentBlock.ns8361.oracleGeneral.zst B-LRU cache size    55158, 4039176 req, miss ratio 0.0638, byte miss ratio 0.0638
result/tencentBlock.ns8361.oracleGeneral.zst B-LRU cache size   110316, 4039176 req, miss ratio 0.0579, byte miss ratio 0.0579
result/tencentBlock.ns8361.oracleGeneral.zst S4LRU(25:25:25:25) cache size      137, 4039176 req, miss ratio 0.3638, byte miss ratio 0.3638
result/tencentBlock.ns8361.oracleGeneral.zst S4LRU(25:25:25:25) cache size      413, 4039176 req, miss ratio 0.2094, byte miss ratio 0.2094
result/tencentBlock.ns8361.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1378, 4039176 req, miss ratio 0.1571, byte miss ratio 0.1571
result/tencentBlock.ns8361.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4136, 4039176 req, miss ratio 0.1182, byte miss ratio 0.1182
result/tencentBlock.ns8361.oracleGeneral.zst S4LRU(25:25:25:25) cache size    13789, 4039176 req, miss ratio 0.0924, byte miss ratio 0.0924
result/tencentBlock.ns8361.oracleGeneral.zst S4LRU(25:25:25:25) cache size    27579, 4039176 req, miss ratio 0.0759, byte miss ratio 0.0759
result/tencentBlock.ns8361.oracleGeneral.zst S4LRU(25:25:25:25) cache size    55158, 4039176 req, miss ratio 0.0519, byte miss ratio 0.0519
result/tencentBlock.ns8361.oracleGeneral.zst S4LRU(25:25:25:25) cache size   110316, 4039176 req, miss ratio 0.0349, byte miss ratio 0.0349
result/tencentBlock.ns8361.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      137, 4039176 req, miss ratio 0.4070, byte miss ratio 0.4070
result/tencentBlock.ns8361.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      413, 4039176 req, miss ratio 0.2281, byte miss ratio 0.2281
result/tencentBlock.ns8361.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1378, 4039176 req, miss ratio 0.1675, byte miss ratio 0.1675
result/tencentBlock.ns8361.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4136, 4039176 req, miss ratio 0.1301, byte miss ratio 0.1301
result/tencentBlock.ns8361.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    13789, 4039176 req, miss ratio 0.0995, byte miss ratio 0.0995
result/tencentBlock.ns8361.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    27579, 4039176 req, miss ratio 0.0792, byte miss ratio 0.0792
result/tencentBlock.ns8361.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    55158, 4039176 req, miss ratio 0.0573, byte miss ratio 0.0573
result/tencentBlock.ns8361.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   110316, 4039176 req, miss ratio 0.0379, byte miss ratio 0.0379
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d cache size      137, 4039176 req, miss ratio 0.3695, byte miss ratio 0.3695
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d cache size      413, 4039176 req, miss ratio 0.1958, byte miss ratio 0.1958
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d cache size     1378, 4039176 req, miss ratio 0.1378, byte miss ratio 0.1378
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d cache size     4136, 4039176 req, miss ratio 0.1084, byte miss ratio 0.1084
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d cache size    13789, 4039176 req, miss ratio 0.0861, byte miss ratio 0.0861
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d cache size    27579, 4039176 req, miss ratio 0.0706, byte miss ratio 0.0706
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d cache size    55158, 4039176 req, miss ratio 0.0495, byte miss ratio 0.0495
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO-d cache size   110316, 4039176 req, miss ratio 0.0354, byte miss ratio 0.0354
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO cache size      137, 4039176 req, miss ratio 0.3019, byte miss ratio 0.3019
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO cache size      413, 4039176 req, miss ratio 0.1946, byte miss ratio 0.1946
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO cache size     1378, 4039176 req, miss ratio 0.1384, byte miss ratio 0.1384
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO cache size     4136, 4039176 req, miss ratio 0.1083, byte miss ratio 0.1083
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO cache size    13789, 4039176 req, miss ratio 0.0862, byte miss ratio 0.0862
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO cache size    27579, 4039176 req, miss ratio 0.0706, byte miss ratio 0.0706
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO cache size    55158, 4039176 req, miss ratio 0.0494, byte miss ratio 0.0494
result/tencentBlock.ns8361.oracleGeneral.zst S3FIFO cache size   110316, 4039176 req, miss ratio 0.0354, byte miss ratio 0.0354
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      137, 4039176 req, miss ratio 0.3171, byte miss ratio 0.3171
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      413, 4039176 req, miss ratio 0.2365, byte miss ratio 0.2365
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     1378, 4039176 req, miss ratio 0.1971, byte miss ratio 0.1971
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     4136, 4039176 req, miss ratio 0.1246, byte miss ratio 0.1246
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    13789, 4039176 req, miss ratio 0.0876, byte miss ratio 0.0876
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    27579, 4039176 req, miss ratio 0.0706, byte miss ratio 0.0706
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    55158, 4039176 req, miss ratio 0.0481, byte miss ratio 0.0481
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   110316, 4039176 req, miss ratio 0.0359, byte miss ratio 0.0359
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      137, 4039176 req, miss ratio 0.3076, byte miss ratio 0.3076
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      413, 4039176 req, miss ratio 0.1989, byte miss ratio 0.1989
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     1378, 4039176 req, miss ratio 0.1376, byte miss ratio 0.1376
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     4136, 4039176 req, miss ratio 0.1075, byte miss ratio 0.1075
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    13789, 4039176 req, miss ratio 0.0862, byte miss ratio 0.0862
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    27579, 4039176 req, miss ratio 0.0700, byte miss ratio 0.0700
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    55158, 4039176 req, miss ratio 0.0490, byte miss ratio 0.0490
result/tencentBlock.ns8361.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   110316, 4039176 req, miss ratio 0.0372, byte miss ratio 0.0372
