result/tencentBlock.ns23336.oracleGeneral.zst LeCaR cache size      455, 3865183 req, miss ratio 0.5824, byte miss ratio 0.5824
result/tencentBlock.ns23336.oracleGeneral.zst LeCaR cache size     1366, 3865183 req, miss ratio 0.4719, byte miss ratio 0.4719
result/tencentBlock.ns23336.oracleGeneral.zst LeCaR cache size     4555, 3865183 req, miss ratio 0.3543, byte miss ratio 0.3543
result/tencentBlock.ns23336.oracleGeneral.zst LeCaR cache size    13665, 3865183 req, miss ratio 0.3256, byte miss ratio 0.3256
result/tencentBlock.ns23336.oracleGeneral.zst LeCaR cache size    45550, 3865183 req, miss ratio 0.2647, byte miss ratio 0.2647
result/tencentBlock.ns23336.oracleGeneral.zst LeCaR cache size    91100, 3865183 req, miss ratio 0.2125, byte miss ratio 0.2125
result/tencentBlock.ns23336.oracleGeneral.zst LeCaR cache size   182200, 3865183 req, miss ratio 0.1436, byte miss ratio 0.1436
result/tencentBlock.ns23336.oracleGeneral.zst LeCaR cache size   364400, 3865183 req, miss ratio 0.1189, byte miss ratio 0.1189
result/tencentBlock.ns23336.oracleGeneral.zst Cacheus cache size      455, 3865183 req, miss ratio 0.5632, byte miss ratio 0.5632
result/tencentBlock.ns23336.oracleGeneral.zst Cacheus cache size     1366, 3865183 req, miss ratio 0.4389, byte miss ratio 0.4389
result/tencentBlock.ns23336.oracleGeneral.zst Cacheus cache size     4555, 3865183 req, miss ratio 0.3488, byte miss ratio 0.3488
result/tencentBlock.ns23336.oracleGeneral.zst Cacheus cache size    13665, 3865183 req, miss ratio 0.3161, byte miss ratio 0.3161
result/tencentBlock.ns23336.oracleGeneral.zst Cacheus cache size    45550, 3865183 req, miss ratio 0.2648, byte miss ratio 0.2648
result/tencentBlock.ns23336.oracleGeneral.zst Cacheus cache size    91100, 3865183 req, miss ratio 0.2236, byte miss ratio 0.2236
result/tencentBlock.ns23336.oracleGeneral.zst Cacheus cache size   182200, 3865183 req, miss ratio 0.1478, byte miss ratio 0.1478
result/tencentBlock.ns23336.oracleGeneral.zst Cacheus cache size   364400, 3865183 req, miss ratio 0.1193, byte miss ratio 0.1193
result/tencentBlock.ns23336.oracleGeneral.zst FIFO cache size      455, 3865183 req, miss ratio 0.6695, byte miss ratio 0.6695
result/tencentBlock.ns23336.oracleGeneral.zst FIFO cache size     1366, 3865183 req, miss ratio 0.5243, byte miss ratio 0.5243
result/tencentBlock.ns23336.oracleGeneral.zst FIFO cache size     4555, 3865183 req, miss ratio 0.4122, byte miss ratio 0.4122
result/tencentBlock.ns23336.oracleGeneral.zst FIFO cache size    13665, 3865183 req, miss ratio 0.3495, byte miss ratio 0.3495
result/tencentBlock.ns23336.oracleGeneral.zst FIFO cache size    45550, 3865183 req, miss ratio 0.2799, byte miss ratio 0.2799
result/tencentBlock.ns23336.oracleGeneral.zst FIFO cache size    91100, 3865183 req, miss ratio 0.2295, byte miss ratio 0.2295
result/tencentBlock.ns23336.oracleGeneral.zst FIFO cache size   182200, 3865183 req, miss ratio 0.1646, byte miss ratio 0.1646
result/tencentBlock.ns23336.oracleGeneral.zst FIFO cache size   364400, 3865183 req, miss ratio 0.1302, byte miss ratio 0.1302
result/tencentBlock.ns23336.oracleGeneral.zst S3FIFO-1 cache size      455, 3865183 req, miss ratio 0.5722, byte miss ratio 0.5722
result/tencentBlock.ns23336.oracleGeneral.zst S3FIFO-1 cache size     1366, 3865183 req, miss ratio 0.3885, byte miss ratio 0.3885
result/tencentBlock.ns23336.oracleGeneral.zst S3FIFO-1 cache size     4555, 3865183 req, miss ratio 0.3496, byte miss ratio 0.3496
result/tencentBlock.ns23336.oracleGeneral.zst S3FIFO-1 cache size    13665, 3865183 req, miss ratio 0.3147, byte miss ratio 0.3147
