result/tencentBlock.ns15397.oracleGeneral.zst FIFO cache size      595, 4997085 req, miss ratio 0.7945, byte miss ratio 0.7945
result/tencentBlock.ns15397.oracleGeneral.zst FIFO cache size     1787, 4997085 req, miss ratio 0.7351, byte miss ratio 0.7351
result/tencentBlock.ns15397.oracleGeneral.zst FIFO cache size     5959, 4997085 req, miss ratio 0.6446, byte miss ratio 0.6446
result/tencentBlock.ns15397.oracleGeneral.zst FIFO cache size    17879, 4997085 req, miss ratio 0.4777, byte miss ratio 0.4777
result/tencentBlock.ns15397.oracleGeneral.zst FIFO cache size    59599, 4997085 req, miss ratio 0.3138, byte miss ratio 0.3138
result/tencentBlock.ns15397.oracleGeneral.zst FIFO cache size   119198, 4997085 req, miss ratio 0.2185, byte miss ratio 0.2185
result/tencentBlock.ns15397.oracleGeneral.zst FIFO cache size   238396, 4997085 req, miss ratio 0.1525, byte miss ratio 0.1525
result/tencentBlock.ns15397.oracleGeneral.zst FIFO cache size   476792, 4997085 req, miss ratio 0.1323, byte miss ratio 0.1323
result/tencentBlock.ns15397.oracleGeneral.zst Clock cache size      595, 4997085 req, miss ratio 0.7406, byte miss ratio 0.7406
result/tencentBlock.ns15397.oracleGeneral.zst Clock cache size     1787, 4997085 req, miss ratio 0.7083, byte miss ratio 0.7083
result/tencentBlock.ns15397.oracleGeneral.zst Clock cache size     5959, 4997085 req, miss ratio 0.6204, byte miss ratio 0.6204
result/tencentBlock.ns15397.oracleGeneral.zst Clock cache size    17879, 4997085 req, miss ratio 0.4244, byte miss ratio 0.4244
result/tencentBlock.ns15397.oracleGeneral.zst Clock cache size    59599, 4997085 req, miss ratio 0.2702, byte miss ratio 0.2702
result/tencentBlock.ns15397.oracleGeneral.zst Clock cache size   119198, 4997085 req, miss ratio 0.1612, byte miss ratio 0.1612
result/tencentBlock.ns15397.oracleGeneral.zst Clock cache size   238396, 4997085 req, miss ratio 0.1227, byte miss ratio 0.1227
result/tencentBlock.ns15397.oracleGeneral.zst Clock cache size   476792, 4997085 req, miss ratio 0.1196, byte miss ratio 0.1196
result/tencentBlock.ns15397.oracleGeneral.zst clock2 cache size      595, 4997085 req, miss ratio 0.7339, byte miss ratio 0.7339
result/tencentBlock.ns15397.oracleGeneral.zst clock2 cache size     1787, 4997085 req, miss ratio 0.7053, byte miss ratio 0.7053
result/tencentBlock.ns15397.oracleGeneral.zst clock2 cache size     5959, 4997085 req, miss ratio 0.6104, byte miss ratio 0.6104
result/tencentBlock.ns15397.oracleGeneral.zst clock2 cache size    17879, 4997085 req, miss ratio 0.4179, byte miss ratio 0.4179
result/tencentBlock.ns15397.oracleGeneral.zst clock2 cache size    59599, 4997085 req, miss ratio 0.2625, byte miss ratio 0.2625
result/tencentBlock.ns15397.oracleGeneral.zst clock2 cache size   119198, 4997085 req, miss ratio 0.1539, byte miss ratio 0.1539
result/tencentBlock.ns15397.oracleGeneral.zst clock2 cache size   238396, 4997085 req, miss ratio 0.1228, byte miss ratio 0.1228
result/tencentBlock.ns15397.oracleGeneral.zst clock2 cache size   476792, 4997085 req, miss ratio 0.1196, byte miss ratio 0.1196
result/tencentBlock.ns15397.oracleGeneral.zst ARC cache size      595, 4997085 req, miss ratio 0.7157, byte miss ratio 0.7157
result/tencentBlock.ns15397.oracleGeneral.zst ARC cache size     1787, 4997085 req, miss ratio 0.6397, byte miss ratio 0.6397
result/tencentBlock.ns15397.oracleGeneral.zst ARC cache size     5959, 4997085 req, miss ratio 0.5086, byte miss ratio 0.5086
result/tencentBlock.ns15397.oracleGeneral.zst ARC cache size    17879, 4997085 req, miss ratio 0.3983, byte miss ratio 0.3983
result/tencentBlock.ns15397.oracleGeneral.zst ARC cache size    59599, 4997085 req, miss ratio 0.2173, byte miss ratio 0.2173
result/tencentBlock.ns15397.oracleGeneral.zst ARC cache size   119198, 4997085 req, miss ratio 0.1380, byte miss ratio 0.1380
result/tencentBlock.ns15397.oracleGeneral.zst ARC cache size   238396, 4997085 req, miss ratio 0.1224, byte miss ratio 0.1224
result/tencentBlock.ns15397.oracleGeneral.zst ARC cache size   476792, 4997085 req, miss ratio 0.1196, byte miss ratio 0.1196
