result/hm_0.IQI.bin.oracleGeneral.zst LIRS cache size      439, 3993316 req, miss ratio 0.4950, byte miss ratio 0.4950
result/hm_0.IQI.bin.oracleGeneral.zst LIRS cache size     1317, 3993316 req, miss ratio 0.4520, byte miss ratio 0.4520
result/hm_0.IQI.bin.oracleGeneral.zst LIRS cache size     4391, 3993316 req, miss ratio 0.4039, byte miss ratio 0.4039
result/hm_0.IQI.bin.oracleGeneral.zst LIRS cache size    13175, 3993316 req, miss ratio 0.3587, byte miss ratio 0.3587
result/hm_0.IQI.bin.oracleGeneral.zst LIRS cache size    43918, 3993316 req, miss ratio 0.2894, byte miss ratio 0.2894
result/hm_0.IQI.bin.oracleGeneral.zst LIRS cache size    87837, 3993316 req, miss ratio 0.2360, byte miss ratio 0.2360
result/hm_0.IQI.bin.oracleGeneral.zst LIRS cache size   175674, 3993316 req, miss ratio 0.1768, byte miss ratio 0.1768
result/hm_0.IQI.bin.oracleGeneral.zst LIRS cache size   351349, 3993316 req, miss ratio 0.1226, byte miss ratio 0.1226
result/hm_0.IQI.bin.oracleGeneral.zst LeCaR cache size      439, 3993316 req, miss ratio 0.5174, byte miss ratio 0.5174
result/hm_0.IQI.bin.oracleGeneral.zst LeCaR cache size     1317, 3993316 req, miss ratio 0.4725, byte miss ratio 0.4725
result/hm_0.IQI.bin.oracleGeneral.zst LeCaR cache size     4391, 3993316 req, miss ratio 0.4189, byte miss ratio 0.4189
result/hm_0.IQI.bin.oracleGeneral.zst LeCaR cache size    13175, 3993316 req, miss ratio 0.3821, byte miss ratio 0.3821
result/hm_0.IQI.bin.oracleGeneral.zst LeCaR cache size    43918, 3993316 req, miss ratio 0.3164, byte miss ratio 0.3164
result/hm_0.IQI.bin.oracleGeneral.zst LeCaR cache size    87837, 3993316 req, miss ratio 0.2516, byte miss ratio 0.2516
result/hm_0.IQI.bin.oracleGeneral.zst LeCaR cache size   175674, 3993316 req, miss ratio 0.1787, byte miss ratio 0.1787
result/hm_0.IQI.bin.oracleGeneral.zst LeCaR cache size   351349, 3993316 req, miss ratio 0.1206, byte miss ratio 0.1206
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size      439, 3993316 req, miss ratio 0.4905, byte miss ratio 0.4905
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size     1317, 3993316 req, miss ratio 0.4497, byte miss ratio 0.4497
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size     4391, 3993316 req, miss ratio 0.3977, byte miss ratio 0.3977
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size    13175, 3993316 req, miss ratio 0.3509, byte miss ratio 0.3509
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size    43918, 3993316 req, miss ratio 0.2875, byte miss ratio 0.2875
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size    87837, 3993316 req, miss ratio 0.2366, byte miss ratio 0.2366
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size   175674, 3993316 req, miss ratio 0.1751, byte miss ratio 0.1751
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size   351349, 3993316 req, miss ratio 0.1178, byte miss ratio 0.1178
result/hm_0.IQI.bin.oracleGeneral.zst LHD cache size      439, 3993316 req, miss ratio 0.5131, byte miss ratio 0.5131
result/hm_0.IQI.bin.oracleGeneral.zst LHD cache size     1317, 3993316 req, miss ratio 0.4676, byte miss ratio 0.4676
result/hm_0.IQI.bin.oracleGeneral.zst LHD cache size     4391, 3993316 req, miss ratio 0.4120, byte miss ratio 0.4120
result/hm_0.IQI.bin.oracleGeneral.zst LHD cache size    13175, 3993316 req, miss ratio 0.3742, byte miss ratio 0.3742
result/hm_0.IQI.bin.oracleGeneral.zst LHD cache size    43918, 3993316 req, miss ratio 0.3048, byte miss ratio 0.3048
result/hm_0.IQI.bin.oracleGeneral.zst LHD cache size    87837, 3993316 req, miss ratio 0.2482, byte miss ratio 0.2482
result/hm_0.IQI.bin.oracleGeneral.zst LHD cache size   175674, 3993316 req, miss ratio 0.1797, byte miss ratio 0.1797
result/hm_0.IQI.bin.oracleGeneral.zst LHD cache size   351349, 3993316 req, miss ratio 0.1201, byte miss ratio 0.1201
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size      439, 3993316 req, miss ratio 0.4895, byte miss ratio 0.4895
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size     1317, 3993316 req, miss ratio 0.4498, byte miss ratio 0.4498
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size     4391, 3993316 req, miss ratio 0.3977, byte miss ratio 0.3977
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size    13175, 3993316 req, miss ratio 0.3509, byte miss ratio 0.3509
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size    43918, 3993316 req, miss ratio 0.2877, byte miss ratio 0.2877
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size    87837, 3993316 req, miss ratio 0.2366, byte miss ratio 0.2366
result/hm_0.IQI.bin.oracleGeneral.zst S3FIFO-d-1 cache size   175674, 3993316 req, miss ratio 0.1742, byte miss ratio 0.1742
