result/cdn2_colo28.ns2736.oracleGeneral.zst Clock cache size   331420, 1033298 req, miss ratio 0.4032, byte miss ratio 0.4032
result/cdn2_colo28.ns2736.oracleGeneral.zst ARC cache size      414, 1033298 req, miss ratio 0.5761, byte miss ratio 0.5761
result/cdn2_colo28.ns2736.oracleGeneral.zst ARC cache size     1242, 1033298 req, miss ratio 0.5422, byte miss ratio 0.5422
result/cdn2_colo28.ns2736.oracleGeneral.zst ARC cache size     4142, 1033298 req, miss ratio 0.4928, byte miss ratio 0.4928
result/cdn2_colo28.ns2736.oracleGeneral.zst ARC cache size    12428, 1033298 req, miss ratio 0.4693, byte miss ratio 0.4693
result/cdn2_colo28.ns2736.oracleGeneral.zst ARC cache size    41427, 1033298 req, miss ratio 0.4510, byte miss ratio 0.4510
result/cdn2_colo28.ns2736.oracleGeneral.zst ARC cache size    82855, 1033298 req, miss ratio 0.4367, byte miss ratio 0.4367
result/cdn2_colo28.ns2736.oracleGeneral.zst ARC cache size   165710, 1033298 req, miss ratio 0.4206, byte miss ratio 0.4206
result/cdn2_colo28.ns2736.oracleGeneral.zst ARC cache size   331420, 1033298 req, miss ratio 0.4032, byte miss ratio 0.4032
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-1 cache size      414, 1033298 req, miss ratio 0.5730, byte miss ratio 0.5730
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-1 cache size     1242, 1033298 req, miss ratio 0.5388, byte miss ratio 0.5388
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-1 cache size     4142, 1033298 req, miss ratio 0.4898, byte miss ratio 0.4898
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-1 cache size    12428, 1033298 req, miss ratio 0.4681, byte miss ratio 0.4681
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-1 cache size    41427, 1033298 req, miss ratio 0.4484, byte miss ratio 0.4484
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-1 cache size    82855, 1033298 req, miss ratio 0.4351, byte miss ratio 0.4351
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-1 cache size   165710, 1033298 req, miss ratio 0.4200, byte miss ratio 0.4200
result/cdn2_colo28.ns2736.oracleGeneral.zst S3FIFO-1 cache size   331420, 1033298 req, miss ratio 0.4032, byte miss ratio 0.4032
result/cdn2_colo28.ns2736.oracleGeneral.zst LIRS cache size      414, 1033298 req, miss ratio 0.5770, byte miss ratio 0.5770
