result/cdn2_allcolo.ns460.oracleGeneral.zst LeCaR cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst clock2 cache size       15, 4501638 req, miss ratio 0.0937, byte miss ratio 0.0937
result/cdn2_allcolo.ns460.oracleGeneral.zst clock2 cache size       47, 4501638 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns460.oracleGeneral.zst clock2 cache size      156, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst clock2 cache size      470, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst clock2 cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst clock2 cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst clock2 cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst clock2 cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-1 cache size       15, 4501638 req, miss ratio 0.0789, byte miss ratio 0.0789
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-1 cache size       47, 4501638 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-1 cache size      156, 4501638 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-1 cache size      470, 4501638 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-1 cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-1 cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-1 cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-1 cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst Clock cache size       15, 4501638 req, miss ratio 0.1039, byte miss ratio 0.1039
result/cdn2_allcolo.ns460.oracleGeneral.zst Clock cache size       47, 4501638 req, miss ratio 0.0041, byte miss ratio 0.0041
result/cdn2_allcolo.ns460.oracleGeneral.zst Clock cache size      156, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst Clock cache size      470, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst Clock cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst Clock cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst Clock cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst Clock cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO cache size       15, 4501638 req, miss ratio 0.1299, byte miss ratio 0.1299
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO cache size       47, 4501638 req, miss ratio 0.0057, byte miss ratio 0.0057
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO cache size      156, 4501638 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO cache size      470, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO cache size     3135, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO cache size     6270, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst FIFO cache size    12540, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d-1 cache size       15, 4501638 req, miss ratio 0.0784, byte miss ratio 0.0784
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d-1 cache size       47, 4501638 req, miss ratio 0.0042, byte miss ratio 0.0042
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d-1 cache size      156, 4501638 req, miss ratio 0.0037, byte miss ratio 0.0037
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d-1 cache size      470, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns460.oracleGeneral.zst S3FIFO-d-1 cache size     1567, 4501638 req, miss ratio 0.0035, byte miss ratio 0.0035
