result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size       44, 1841858 req, miss ratio 0.4897, byte miss ratio 0.4897
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size      133, 1841858 req, miss ratio 0.3163, byte miss ratio 0.3163
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size      445, 1841858 req, miss ratio 0.1724, byte miss ratio 0.1724
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size     1337, 1841858 req, miss ratio 0.1394, byte miss ratio 0.1394
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size     4459, 1841858 req, miss ratio 0.1027, byte miss ratio 0.1027
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size     8919, 1841858 req, miss ratio 0.0834, byte miss ratio 0.0834
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size    17839, 1841858 req, miss ratio 0.0553, byte miss ratio 0.0553
result/tencentBlock.ns3600.oracleGeneral.zst FIFO cache size    35678, 1841858 req, miss ratio 0.0305, byte miss ratio 0.0305
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size       44, 1841858 req, miss ratio 0.3075, byte miss ratio 0.3075
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size      133, 1841858 req, miss ratio 0.2128, byte miss ratio 0.2128
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size      445, 1841858 req, miss ratio 0.1398, byte miss ratio 0.1398
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size     1337, 1841858 req, miss ratio 0.1190, byte miss ratio 0.1190
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size     4459, 1841858 req, miss ratio 0.0867, byte miss ratio 0.0867
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size     8919, 1841858 req, miss ratio 0.0753, byte miss ratio 0.0753
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size    17839, 1841858 req, miss ratio 0.0455, byte miss ratio 0.0455
result/tencentBlock.ns3600.oracleGeneral.zst LIRS cache size    35678, 1841858 req, miss ratio 0.0250, byte miss ratio 0.0250
result/tencentBlock.ns3600.oracleGeneral.zst clock2 cache size       44, 1841858 req, miss ratio 0.4177, byte miss ratio 0.4177
result/tencentBlock.ns3600.oracleGeneral.zst clock2 cache size      133, 1841858 req, miss ratio 0.2723, byte miss ratio 0.2723
result/tencentBlock.ns3600.oracleGeneral.zst clock2 cache size      445, 1841858 req, miss ratio 0.1464, byte miss ratio 0.1464
result/tencentBlock.ns3600.oracleGeneral.zst clock2 cache size     1337, 1841858 req, miss ratio 0.1281, byte miss ratio 0.1281
result/tencentBlock.ns3600.oracleGeneral.zst clock2 cache size     4459, 1841858 req, miss ratio 0.0897, byte miss ratio 0.0897
result/tencentBlock.ns3600.oracleGeneral.zst clock2 cache size     8919, 1841858 req, miss ratio 0.0763, byte miss ratio 0.0763
result/tencentBlock.ns3600.oracleGeneral.zst clock2 cache size    17839, 1841858 req, miss ratio 0.0521, byte miss ratio 0.0521
result/tencentBlock.ns3600.oracleGeneral.zst clock2 cache size    35678, 1841858 req, miss ratio 0.0255, byte miss ratio 0.0255
result/tencentBlock.ns3600.oracleGeneral.zst Cacheus cache size       44, 1841858 req, miss ratio 0.3141, byte miss ratio 0.3141
result/tencentBlock.ns3600.oracleGeneral.zst Cacheus cache size      133, 1841858 req, miss ratio 0.2655, byte miss ratio 0.2655
result/tencentBlock.ns3600.oracleGeneral.zst Cacheus cache size      445, 1841858 req, miss ratio 0.1372, byte miss ratio 0.1372
result/tencentBlock.ns3600.oracleGeneral.zst Cacheus cache size     1337, 1841858 req, miss ratio 0.1236, byte miss ratio 0.1236
result/tencentBlock.ns3600.oracleGeneral.zst Cacheus cache size     4459, 1841858 req, miss ratio 0.0859, byte miss ratio 0.0859
result/tencentBlock.ns3600.oracleGeneral.zst Cacheus cache size     8919, 1841858 req, miss ratio 0.0758, byte miss ratio 0.0758
result/tencentBlock.ns3600.oracleGeneral.zst Cacheus cache size    17839, 1841858 req, miss ratio 0.0474, byte miss ratio 0.0474
result/tencentBlock.ns3600.oracleGeneral.zst Cacheus cache size    35678, 1841858 req, miss ratio 0.0258, byte miss ratio 0.0258
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d-1 cache size       44, 1841858 req, miss ratio 0.3323, byte miss ratio 0.3323
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d-1 cache size      133, 1841858 req, miss ratio 0.2240, byte miss ratio 0.2240
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d-1 cache size      445, 1841858 req, miss ratio 0.1347, byte miss ratio 0.1347
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d-1 cache size     1337, 1841858 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d-1 cache size     4459, 1841858 req, miss ratio 0.0832, byte miss ratio 0.0832
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d-1 cache size     8919, 1841858 req, miss ratio 0.0741, byte miss ratio 0.0741
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d-1 cache size    17839, 1841858 req, miss ratio 0.0481, byte miss ratio 0.0481
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d-1 cache size    35678, 1841858 req, miss ratio 0.0254, byte miss ratio 0.0254
result/tencentBlock.ns3600.oracleGeneral.zst LRB cache size       44, 1841858 req, miss ratio 0.3987, byte miss ratio 0.3987
result/tencentBlock.ns3600.oracleGeneral.zst LRB cache size      133, 1841858 req, miss ratio 0.2618, byte miss ratio 0.2618
result/tencentBlock.ns3600.oracleGeneral.zst LRB cache size      445, 1841858 req, miss ratio 0.1357, byte miss ratio 0.1357
result/tencentBlock.ns3600.oracleGeneral.zst LRB cache size     1337, 1841858 req, miss ratio 0.0998, byte miss ratio 0.0998
result/tencentBlock.ns3600.oracleGeneral.zst LRB cache size     4459, 1841858 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns3600.oracleGeneral.zst LRB cache size     8919, 1841858 req, miss ratio 0.0688, byte miss ratio 0.0688
result/tencentBlock.ns3600.oracleGeneral.zst LRB cache size    17839, 1841858 req, miss ratio 0.0457, byte miss ratio 0.0457
result/tencentBlock.ns3600.oracleGeneral.zst LRB cache size    35678, 1841858 req, miss ratio 0.0264, byte miss ratio 0.0264
result/tencentBlock.ns3600.oracleGeneral.zst TwoQ cache size       44, 1841858 req, miss ratio 0.3384, byte miss ratio 0.3384
result/tencentBlock.ns3600.oracleGeneral.zst TwoQ cache size      133, 1841858 req, miss ratio 0.2362, byte miss ratio 0.2362
result/tencentBlock.ns3600.oracleGeneral.zst TwoQ cache size      445, 1841858 req, miss ratio 0.1412, byte miss ratio 0.1412
result/tencentBlock.ns3600.oracleGeneral.zst TwoQ cache size     1337, 1841858 req, miss ratio 0.1164, byte miss ratio 0.1164
result/tencentBlock.ns3600.oracleGeneral.zst TwoQ cache size     4459, 1841858 req, miss ratio 0.0811, byte miss ratio 0.0811
result/tencentBlock.ns3600.oracleGeneral.zst TwoQ cache size     8919, 1841858 req, miss ratio 0.0716, byte miss ratio 0.0716
result/tencentBlock.ns3600.oracleGeneral.zst TwoQ cache size    17839, 1841858 req, miss ratio 0.0485, byte miss ratio 0.0485
result/tencentBlock.ns3600.oracleGeneral.zst TwoQ cache size    35678, 1841858 req, miss ratio 0.0305, byte miss ratio 0.0305
result/tencentBlock.ns3600.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       44, 1841858 req, miss ratio 0.4897, byte miss ratio 0.4897
result/tencentBlock.ns3600.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      133, 1841858 req, miss ratio 0.2933, byte miss ratio 0.2933
result/tencentBlock.ns3600.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      445, 1841858 req, miss ratio 0.1557, byte miss ratio 0.1557
result/tencentBlock.ns3600.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1337, 1841858 req, miss ratio 0.1300, byte miss ratio 0.1300
result/tencentBlock.ns3600.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4459, 1841858 req, miss ratio 0.0991, byte miss ratio 0.0991
result/tencentBlock.ns3600.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     8919, 1841858 req, miss ratio 0.0771, byte miss ratio 0.0771
result/tencentBlock.ns3600.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    17839, 1841858 req, miss ratio 0.0536, byte miss ratio 0.0536
result/tencentBlock.ns3600.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    35678, 1841858 req, miss ratio 0.0305, byte miss ratio 0.0305
result/tencentBlock.ns3600.oracleGeneral.zst S4LRU(25:25:25:25) cache size       44, 1841858 req, miss ratio 0.4170, byte miss ratio 0.4170
result/tencentBlock.ns3600.oracleGeneral.zst S4LRU(25:25:25:25) cache size      133, 1841858 req, miss ratio 0.2652, byte miss ratio 0.2652
result/tencentBlock.ns3600.oracleGeneral.zst S4LRU(25:25:25:25) cache size      445, 1841858 req, miss ratio 0.1508, byte miss ratio 0.1508
result/tencentBlock.ns3600.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1337, 1841858 req, miss ratio 0.1268, byte miss ratio 0.1268
result/tencentBlock.ns3600.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4459, 1841858 req, miss ratio 0.0879, byte miss ratio 0.0879
result/tencentBlock.ns3600.oracleGeneral.zst S4LRU(25:25:25:25) cache size     8919, 1841858 req, miss ratio 0.0710, byte miss ratio 0.0710
result/tencentBlock.ns3600.oracleGeneral.zst S4LRU(25:25:25:25) cache size    17839, 1841858 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns3600.oracleGeneral.zst S4LRU(25:25:25:25) cache size    35678, 1841858 req, miss ratio 0.0256, byte miss ratio 0.0256
result/tencentBlock.ns3600.oracleGeneral.zst B-LRU cache size       44, 1841858 req, miss ratio 0.4204, byte miss ratio 0.4204
result/tencentBlock.ns3600.oracleGeneral.zst B-LRU cache size      133, 1841858 req, miss ratio 0.2800, byte miss ratio 0.2800
result/tencentBlock.ns3600.oracleGeneral.zst B-LRU cache size      445, 1841858 req, miss ratio 0.1501, byte miss ratio 0.1501
result/tencentBlock.ns3600.oracleGeneral.zst B-LRU cache size     1337, 1841858 req, miss ratio 0.1341, byte miss ratio 0.1341
result/tencentBlock.ns3600.oracleGeneral.zst B-LRU cache size     4459, 1841858 req, miss ratio 0.0968, byte miss ratio 0.0968
result/tencentBlock.ns3600.oracleGeneral.zst B-LRU cache size     8919, 1841858 req, miss ratio 0.0832, byte miss ratio 0.0832
result/tencentBlock.ns3600.oracleGeneral.zst B-LRU cache size    17839, 1841858 req, miss ratio 0.0561, byte miss ratio 0.0561
result/tencentBlock.ns3600.oracleGeneral.zst B-LRU cache size    35678, 1841858 req, miss ratio 0.0432, byte miss ratio 0.0432
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO cache size       44, 1841858 req, miss ratio 0.3312, byte miss ratio 0.3312
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO cache size      133, 1841858 req, miss ratio 0.2273, byte miss ratio 0.2273
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO cache size      445, 1841858 req, miss ratio 0.1355, byte miss ratio 0.1355
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO cache size     1337, 1841858 req, miss ratio 0.1170, byte miss ratio 0.1170
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO cache size     4459, 1841858 req, miss ratio 0.0831, byte miss ratio 0.0831
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO cache size     8919, 1841858 req, miss ratio 0.0718, byte miss ratio 0.0718
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO cache size    17839, 1841858 req, miss ratio 0.0485, byte miss ratio 0.0485
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO cache size    35678, 1841858 req, miss ratio 0.0266, byte miss ratio 0.0266
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d cache size       44, 1841858 req, miss ratio 0.3651, byte miss ratio 0.3651
result/tencentBlock.ns3600.oracleGeneral.zst S3FIFO-d cache size      133, 1841858 req, miss ratio 0.2534, byte miss ratio 0.2534
