result/tencentBlock.ns1627.oracleGeneral.zst LIRS cache size      709, 15314964 req, miss ratio 0.5053, byte miss ratio 0.5053
result/tencentBlock.ns1627.oracleGeneral.zst LIRS cache size     2129, 15314964 req, miss ratio 0.3559, byte miss ratio 0.3559
result/tencentBlock.ns1627.oracleGeneral.zst LIRS cache size     7098, 15314964 req, miss ratio 0.2908, byte miss ratio 0.2908
result/tencentBlock.ns1627.oracleGeneral.zst LIRS cache size    21294, 15314964 req, miss ratio 0.2269, byte miss ratio 0.2269
result/tencentBlock.ns1627.oracleGeneral.zst LIRS cache size    70980, 15314964 req, miss ratio 0.1120, byte miss ratio 0.1120
result/tencentBlock.ns1627.oracleGeneral.zst LIRS cache size   141961, 15314964 req, miss ratio 0.0743, byte miss ratio 0.0743
result/tencentBlock.ns1627.oracleGeneral.zst LIRS cache size   283923, 15314964 req, miss ratio 0.0548, byte miss ratio 0.0548
result/tencentBlock.ns1627.oracleGeneral.zst LIRS cache size   567847, 15314964 req, miss ratio 0.0475, byte miss ratio 0.0475
result/tencentBlock.ns1627.oracleGeneral.zst Clock cache size      709, 15314964 req, miss ratio 0.5536, byte miss ratio 0.5536
result/tencentBlock.ns1627.oracleGeneral.zst Clock cache size     2129, 15314964 req, miss ratio 0.3999, byte miss ratio 0.3999
result/tencentBlock.ns1627.oracleGeneral.zst Clock cache size     7098, 15314964 req, miss ratio 0.3017, byte miss ratio 0.3017
result/tencentBlock.ns1627.oracleGeneral.zst Clock cache size    21294, 15314964 req, miss ratio 0.2564, byte miss ratio 0.2564
result/tencentBlock.ns1627.oracleGeneral.zst Clock cache size    70980, 15314964 req, miss ratio 0.1145, byte miss ratio 0.1145
result/tencentBlock.ns1627.oracleGeneral.zst Clock cache size   141961, 15314964 req, miss ratio 0.0759, byte miss ratio 0.0759
result/tencentBlock.ns1627.oracleGeneral.zst Clock cache size   283923, 15314964 req, miss ratio 0.0520, byte miss ratio 0.0520
result/tencentBlock.ns1627.oracleGeneral.zst Clock cache size   567847, 15314964 req, miss ratio 0.0468, byte miss ratio 0.0468
result/tencentBlock.ns1627.oracleGeneral.zst FIFO cache size      709, 15314964 req, miss ratio 0.6203, byte miss ratio 0.6203
result/tencentBlock.ns1627.oracleGeneral.zst FIFO cache size     2129, 15314964 req, miss ratio 0.4591, byte miss ratio 0.4591
result/tencentBlock.ns1627.oracleGeneral.zst FIFO cache size     7098, 15314964 req, miss ratio 0.3440, byte miss ratio 0.3440
result/tencentBlock.ns1627.oracleGeneral.zst FIFO cache size    21294, 15314964 req, miss ratio 0.2628, byte miss ratio 0.2628
result/tencentBlock.ns1627.oracleGeneral.zst FIFO cache size    70980, 15314964 req, miss ratio 0.1385, byte miss ratio 0.1385
result/tencentBlock.ns1627.oracleGeneral.zst FIFO cache size   141961, 15314964 req, miss ratio 0.0902, byte miss ratio 0.0902
result/tencentBlock.ns1627.oracleGeneral.zst FIFO cache size   283923, 15314964 req, miss ratio 0.0634, byte miss ratio 0.0634
result/tencentBlock.ns1627.oracleGeneral.zst FIFO cache size   567847, 15314964 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tencentBlock.ns1627.oracleGeneral.zst LeCaR cache size      709, 15314964 req, miss ratio 0.5529, byte miss ratio 0.5529
result/tencentBlock.ns1627.oracleGeneral.zst LeCaR cache size     2129, 15314964 req, miss ratio 0.3943, byte miss ratio 0.3943
result/tencentBlock.ns1627.oracleGeneral.zst LeCaR cache size     7098, 15314964 req, miss ratio 0.2983, byte miss ratio 0.2983
result/tencentBlock.ns1627.oracleGeneral.zst LeCaR cache size    21294, 15314964 req, miss ratio 0.2429, byte miss ratio 0.2429
result/tencentBlock.ns1627.oracleGeneral.zst LeCaR cache size    70980, 15314964 req, miss ratio 0.1069, byte miss ratio 0.1069
result/tencentBlock.ns1627.oracleGeneral.zst LeCaR cache size   141961, 15314964 req, miss ratio 0.0705, byte miss ratio 0.0705
result/tencentBlock.ns1627.oracleGeneral.zst LeCaR cache size   283923, 15314964 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns1627.oracleGeneral.zst LeCaR cache size   567847, 15314964 req, miss ratio 0.0465, byte miss ratio 0.0465
result/tencentBlock.ns1627.oracleGeneral.zst LHD cache size      709, 15314964 req, miss ratio 0.5404, byte miss ratio 0.5404
result/tencentBlock.ns1627.oracleGeneral.zst LHD cache size     2129, 15314964 req, miss ratio 0.3832, byte miss ratio 0.3832
result/tencentBlock.ns1627.oracleGeneral.zst LHD cache size     7098, 15314964 req, miss ratio 0.2897, byte miss ratio 0.2897
result/tencentBlock.ns1627.oracleGeneral.zst LHD cache size    21294, 15314964 req, miss ratio 0.2282, byte miss ratio 0.2282
result/tencentBlock.ns1627.oracleGeneral.zst LHD cache size    70980, 15314964 req, miss ratio 0.0970, byte miss ratio 0.0970
result/tencentBlock.ns1627.oracleGeneral.zst LHD cache size   141961, 15314964 req, miss ratio 0.0634, byte miss ratio 0.0634
result/tencentBlock.ns1627.oracleGeneral.zst LHD cache size   283923, 15314964 req, miss ratio 0.0494, byte miss ratio 0.0494
result/tencentBlock.ns1627.oracleGeneral.zst LHD cache size   567847, 15314964 req, miss ratio 0.0465, byte miss ratio 0.0465
result/tencentBlock.ns1627.oracleGeneral.zst Cacheus cache size      709, 15314964 req, miss ratio 0.5170, byte miss ratio 0.5170
result/tencentBlock.ns1627.oracleGeneral.zst Cacheus cache size     2129, 15314964 req, miss ratio 0.3720, byte miss ratio 0.3720
result/tencentBlock.ns1627.oracleGeneral.zst Cacheus cache size     7098, 15314964 req, miss ratio 0.2907, byte miss ratio 0.2907
result/tencentBlock.ns1627.oracleGeneral.zst Cacheus cache size    21294, 15314964 req, miss ratio 0.2366, byte miss ratio 0.2366
result/tencentBlock.ns1627.oracleGeneral.zst Cacheus cache size    70980, 15314964 req, miss ratio 0.1473, byte miss ratio 0.1473
result/tencentBlock.ns1627.oracleGeneral.zst Cacheus cache size   141961, 15314964 req, miss ratio 0.0694, byte miss ratio 0.0694
result/tencentBlock.ns1627.oracleGeneral.zst Cacheus cache size   283923, 15314964 req, miss ratio 0.0500, byte miss ratio 0.0500
