result/tencentBlock.ns19076.oracleGeneral.zst LRU cache size      338, 3013831 req, miss ratio 0.4945, byte miss ratio 0.4945
result/tencentBlock.ns19076.oracleGeneral.zst LRU cache size     1015, 3013831 req, miss ratio 0.4263, byte miss ratio 0.4263
result/tencentBlock.ns19076.oracleGeneral.zst LRU cache size     3383, 3013831 req, miss ratio 0.3474, byte miss ratio 0.3474
result/tencentBlock.ns19076.oracleGeneral.zst LRU cache size    10150, 3013831 req, miss ratio 0.3063, byte miss ratio 0.3063
result/tencentBlock.ns19076.oracleGeneral.zst LRU cache size    33833, 3013831 req, miss ratio 0.2532, byte miss ratio 0.2532
result/tencentBlock.ns19076.oracleGeneral.zst LRU cache size    67667, 3013831 req, miss ratio 0.2119, byte miss ratio 0.2119
result/tencentBlock.ns19076.oracleGeneral.zst LRU cache size   135334, 3013831 req, miss ratio 0.1358, byte miss ratio 0.1358
result/tencentBlock.ns19076.oracleGeneral.zst LRU cache size   270668, 3013831 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns19076.oracleGeneral.zst Cacheus cache size      338, 3013831 req, miss ratio 0.4750, byte miss ratio 0.4750
result/tencentBlock.ns19076.oracleGeneral.zst Cacheus cache size     1015, 3013831 req, miss ratio 0.4103, byte miss ratio 0.4103
result/tencentBlock.ns19076.oracleGeneral.zst Cacheus cache size     3383, 3013831 req, miss ratio 0.3213, byte miss ratio 0.3213
result/tencentBlock.ns19076.oracleGeneral.zst Cacheus cache size    10150, 3013831 req, miss ratio 0.2966, byte miss ratio 0.2966
result/tencentBlock.ns19076.oracleGeneral.zst Cacheus cache size    33833, 3013831 req, miss ratio 0.2485, byte miss ratio 0.2485
result/tencentBlock.ns19076.oracleGeneral.zst Cacheus cache size    67667, 3013831 req, miss ratio 0.1984, byte miss ratio 0.1984
result/tencentBlock.ns19076.oracleGeneral.zst Cacheus cache size   135334, 3013831 req, miss ratio 0.1410, byte miss ratio 0.1410
result/tencentBlock.ns19076.oracleGeneral.zst Cacheus cache size   270668, 3013831 req, miss ratio 0.1143, byte miss ratio 0.1143
result/tencentBlock.ns19076.oracleGeneral.zst FIFO cache size      338, 3013831 req, miss ratio 0.5884, byte miss ratio 0.5884
result/tencentBlock.ns19076.oracleGeneral.zst FIFO cache size     1015, 3013831 req, miss ratio 0.4678, byte miss ratio 0.4678
result/tencentBlock.ns19076.oracleGeneral.zst FIFO cache size     3383, 3013831 req, miss ratio 0.3806, byte miss ratio 0.3806
result/tencentBlock.ns19076.oracleGeneral.zst FIFO cache size    10150, 3013831 req, miss ratio 0.3306, byte miss ratio 0.3306
result/tencentBlock.ns19076.oracleGeneral.zst FIFO cache size    33833, 3013831 req, miss ratio 0.2678, byte miss ratio 0.2678
result/tencentBlock.ns19076.oracleGeneral.zst FIFO cache size    67667, 3013831 req, miss ratio 0.2084, byte miss ratio 0.2084
result/tencentBlock.ns19076.oracleGeneral.zst FIFO cache size   135334, 3013831 req, miss ratio 0.1569, byte miss ratio 0.1569
result/tencentBlock.ns19076.oracleGeneral.zst FIFO cache size   270668, 3013831 req, miss ratio 0.1236, byte miss ratio 0.1236
result/tencentBlock.ns19076.oracleGeneral.zst S3FIFO-1 cache size      338, 3013831 req, miss ratio 0.4815, byte miss ratio 0.4815
result/tencentBlock.ns19076.oracleGeneral.zst S3FIFO-1 cache size     1015, 3013831 req, miss ratio 0.3938, byte miss ratio 0.3938
result/tencentBlock.ns19076.oracleGeneral.zst S3FIFO-1 cache size     3383, 3013831 req, miss ratio 0.3142, byte miss ratio 0.3142
result/tencentBlock.ns19076.oracleGeneral.zst S3FIFO-1 cache size    10150, 3013831 req, miss ratio 0.2901, byte miss ratio 0.2901
result/tencentBlock.ns19076.oracleGeneral.zst S3FIFO-1 cache size    33833, 3013831 req, miss ratio 0.2504, byte miss ratio 0.2504
result/tencentBlock.ns19076.oracleGeneral.zst S3FIFO-1 cache size    67667, 3013831 req, miss ratio 0.2080, byte miss ratio 0.2080
result/tencentBlock.ns19076.oracleGeneral.zst S3FIFO-1 cache size   135334, 3013831 req, miss ratio 0.1389, byte miss ratio 0.1389
result/tencentBlock.ns19076.oracleGeneral.zst S3FIFO-1 cache size   270668, 3013831 req, miss ratio 0.1142, byte miss ratio 0.1142
result/tencentBlock.ns19076.oracleGeneral.zst Clock cache size      338, 3013831 req, miss ratio 0.4891, byte miss ratio 0.4891
result/tencentBlock.ns19076.oracleGeneral.zst Clock cache size     1015, 3013831 req, miss ratio 0.4265, byte miss ratio 0.4265
result/tencentBlock.ns19076.oracleGeneral.zst Clock cache size     3383, 3013831 req, miss ratio 0.3428, byte miss ratio 0.3428
result/tencentBlock.ns19076.oracleGeneral.zst Clock cache size    10150, 3013831 req, miss ratio 0.3055, byte miss ratio 0.3055
result/tencentBlock.ns19076.oracleGeneral.zst Clock cache size    33833, 3013831 req, miss ratio 0.2552, byte miss ratio 0.2552
result/tencentBlock.ns19076.oracleGeneral.zst Clock cache size    67667, 3013831 req, miss ratio 0.2213, byte miss ratio 0.2213
result/tencentBlock.ns19076.oracleGeneral.zst Clock cache size   135334, 3013831 req, miss ratio 0.1415, byte miss ratio 0.1415
result/tencentBlock.ns19076.oracleGeneral.zst Clock cache size   270668, 3013831 req, miss ratio 0.1142, byte miss ratio 0.1142
result/tencentBlock.ns19076.oracleGeneral.zst LeCaR cache size      338, 3013831 req, miss ratio 0.4851, byte miss ratio 0.4851
result/tencentBlock.ns19076.oracleGeneral.zst LeCaR cache size     1015, 3013831 req, miss ratio 0.4257, byte miss ratio 0.4257
result/tencentBlock.ns19076.oracleGeneral.zst LeCaR cache size     3383, 3013831 req, miss ratio 0.3280, byte miss ratio 0.3280
result/tencentBlock.ns19076.oracleGeneral.zst LeCaR cache size    10150, 3013831 req, miss ratio 0.3041, byte miss ratio 0.3041
result/tencentBlock.ns19076.oracleGeneral.zst LeCaR cache size    33833, 3013831 req, miss ratio 0.2520, byte miss ratio 0.2520
result/tencentBlock.ns19076.oracleGeneral.zst LeCaR cache size    67667, 3013831 req, miss ratio 0.2092, byte miss ratio 0.2092
result/tencentBlock.ns19076.oracleGeneral.zst LeCaR cache size   135334, 3013831 req, miss ratio 0.1326, byte miss ratio 0.1326
result/tencentBlock.ns19076.oracleGeneral.zst LeCaR cache size   270668, 3013831 req, miss ratio 0.1134, byte miss ratio 0.1134
result/tencentBlock.ns19076.oracleGeneral.zst ARC cache size      338, 3013831 req, miss ratio 0.4709, byte miss ratio 0.4709
result/tencentBlock.ns19076.oracleGeneral.zst ARC cache size     1015, 3013831 req, miss ratio 0.4057, byte miss ratio 0.4057
result/tencentBlock.ns19076.oracleGeneral.zst ARC cache size     3383, 3013831 req, miss ratio 0.3157, byte miss ratio 0.3157
result/tencentBlock.ns19076.oracleGeneral.zst ARC cache size    10150, 3013831 req, miss ratio 0.2922, byte miss ratio 0.2922
result/tencentBlock.ns19076.oracleGeneral.zst ARC cache size    33833, 3013831 req, miss ratio 0.2489, byte miss ratio 0.2489
result/tencentBlock.ns19076.oracleGeneral.zst ARC cache size    67667, 3013831 req, miss ratio 0.2009, byte miss ratio 0.2009
result/tencentBlock.ns19076.oracleGeneral.zst ARC cache size   135334, 3013831 req, miss ratio 0.1327, byte miss ratio 0.1327
result/tencentBlock.ns19076.oracleGeneral.zst ARC cache size   270668, 3013831 req, miss ratio 0.1142, byte miss ratio 0.1142
result/tencentBlock.ns19076.oracleGeneral.zst LHD cache size      338, 3013831 req, miss ratio 0.4843, byte miss ratio 0.4843
result/tencentBlock.ns19076.oracleGeneral.zst LHD cache size     1015, 3013831 req, miss ratio 0.4231, byte miss ratio 0.4231
result/tencentBlock.ns19076.oracleGeneral.zst LHD cache size     3383, 3013831 req, miss ratio 0.3283, byte miss ratio 0.3283
result/tencentBlock.ns19076.oracleGeneral.zst LHD cache size    10150, 3013831 req, miss ratio 0.2965, byte miss ratio 0.2965
result/tencentBlock.ns19076.oracleGeneral.zst LHD cache size    33833, 3013831 req, miss ratio 0.2450, byte miss ratio 0.2450
result/tencentBlock.ns19076.oracleGeneral.zst LHD cache size    67667, 3013831 req, miss ratio 0.1944, byte miss ratio 0.1944
result/tencentBlock.ns19076.oracleGeneral.zst LHD cache size   135334, 3013831 req, miss ratio 0.1328, byte miss ratio 0.1328
result/tencentBlock.ns19076.oracleGeneral.zst LHD cache size   270668, 3013831 req, miss ratio 0.1140, byte miss ratio 0.1140
result/tencentBlock.ns19076.oracleGeneral.zst clock2 cache size      338, 3013831 req, miss ratio 0.4898, byte miss ratio 0.4898
result/tencentBlock.ns19076.oracleGeneral.zst clock2 cache size     1015, 3013831 req, miss ratio 0.4298, byte miss ratio 0.4298
result/tencentBlock.ns19076.oracleGeneral.zst clock2 cache size     3383, 3013831 req, miss ratio 0.3352, byte miss ratio 0.3352
result/tencentBlock.ns19076.oracleGeneral.zst clock2 cache size    10150, 3013831 req, miss ratio 0.3051, byte miss ratio 0.3051
result/tencentBlock.ns19076.oracleGeneral.zst clock2 cache size    33833, 3013831 req, miss ratio 0.2578, byte miss ratio 0.2578
result/tencentBlock.ns19076.oracleGeneral.zst clock2 cache size    67667, 3013831 req, miss ratio 0.2269, byte miss ratio 0.2269
result/tencentBlock.ns19076.oracleGeneral.zst clock2 cache size   135334, 3013831 req, miss ratio 0.1528, byte miss ratio 0.1528
result/tencentBlock.ns19076.oracleGeneral.zst clock2 cache size   270668, 3013831 req, miss ratio 0.1142, byte miss ratio 0.1142
result/tencentBlock.ns19076.oracleGeneral.zst LIRS cache size      338, 3013831 req, miss ratio 0.5124, byte miss ratio 0.5124
result/tencentBlock.ns19076.oracleGeneral.zst LIRS cache size     1015, 3013831 req, miss ratio 0.4165, byte miss ratio 0.4165
result/tencentBlock.ns19076.oracleGeneral.zst LIRS cache size     3383, 3013831 req, miss ratio 0.3245, byte miss ratio 0.3245
result/tencentBlock.ns19076.oracleGeneral.zst LIRS cache size    10150, 3013831 req, miss ratio 0.2927, byte miss ratio 0.2927
result/tencentBlock.ns19076.oracleGeneral.zst LIRS cache size    33833, 3013831 req, miss ratio 0.2497, byte miss ratio 0.2497
result/tencentBlock.ns19076.oracleGeneral.zst LIRS cache size    67667, 3013831 req, miss ratio 0.2024, byte miss ratio 0.2024
result/tencentBlock.ns19076.oracleGeneral.zst LIRS cache size   135334, 3013831 req, miss ratio 0.1413, byte miss ratio 0.1413
result/tencentBlock.ns19076.oracleGeneral.zst LIRS cache size   270668, 3013831 req, miss ratio 0.1151, byte miss ratio 0.1151
result/tencentBlock.ns19076.oracleGeneral.zst S3FIFO-d-1 cache size      338, 3013831 req, miss ratio 0.4715, byte miss ratio 0.4715
result/tencentBlock.ns19076.oracleGeneral.zst S3FIFO-d-1 cache size     1015, 3013831 req, miss ratio 0.3939, byte miss ratio 0.3939
