result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size    31136, 12518968 req, miss ratio 0.0261, byte miss ratio 0.0261
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size    62272, 12518968 req, miss ratio 0.0166, byte miss ratio 0.0166
result/prxy_0.IQI.bin.oracleGeneral.zst S3FIFO-1 cache size   124544, 12518968 req, miss ratio 0.0134, byte miss ratio 0.0134
result/prxy_0.IQI.bin.oracleGeneral.zst clock2 cache size      155, 12518968 req, miss ratio 0.9233, byte miss ratio 0.9233
result/prxy_0.IQI.bin.oracleGeneral.zst clock2 cache size      467, 12518968 req, miss ratio 0.8945, byte miss ratio 0.8945
result/prxy_0.IQI.bin.oracleGeneral.zst clock2 cache size     1556, 12518968 req, miss ratio 0.3439, byte miss ratio 0.3439
result/prxy_0.IQI.bin.oracleGeneral.zst clock2 cache size     4670, 12518968 req, miss ratio 0.0791, byte miss ratio 0.0791
result/prxy_0.IQI.bin.oracleGeneral.zst clock2 cache size    15568, 12518968 req, miss ratio 0.0496, byte miss ratio 0.0496
result/prxy_0.IQI.bin.oracleGeneral.zst clock2 cache size    31136, 12518968 req, miss ratio 0.0293, byte miss ratio 0.0293
result/prxy_0.IQI.bin.oracleGeneral.zst clock2 cache size    62272, 12518968 req, miss ratio 0.0172, byte miss ratio 0.0172
result/prxy_0.IQI.bin.oracleGeneral.zst clock2 cache size   124544, 12518968 req, miss ratio 0.0129, byte miss ratio 0.0129
result/prxy_0.IQI.bin.oracleGeneral.zst LeCaR cache size      155, 12518968 req, miss ratio 0.9059, byte miss ratio 0.9059
result/prxy_0.IQI.bin.oracleGeneral.zst LeCaR cache size      467, 12518968 req, miss ratio 0.8975, byte miss ratio 0.8975
result/prxy_0.IQI.bin.oracleGeneral.zst LeCaR cache size     1556, 12518968 req, miss ratio 0.3292, byte miss ratio 0.3292
result/prxy_0.IQI.bin.oracleGeneral.zst LeCaR cache size     4670, 12518968 req, miss ratio 0.0808, byte miss ratio 0.0808
result/prxy_0.IQI.bin.oracleGeneral.zst LeCaR cache size    15568, 12518968 req, miss ratio 0.0474, byte miss ratio 0.0474
result/prxy_0.IQI.bin.oracleGeneral.zst LeCaR cache size    31136, 12518968 req, miss ratio 0.0269, byte miss ratio 0.0269
result/prxy_0.IQI.bin.oracleGeneral.zst LeCaR cache size    62272, 12518968 req, miss ratio 0.0164, byte miss ratio 0.0164
result/prxy_0.IQI.bin.oracleGeneral.zst LeCaR cache size   124544, 12518968 req, miss ratio 0.0125, byte miss ratio 0.0125
result/prxy_0.IQI.bin.oracleGeneral.zst ARC cache size      155, 12518968 req, miss ratio 0.8792, byte miss ratio 0.8792
result/prxy_0.IQI.bin.oracleGeneral.zst ARC cache size      467, 12518968 req, miss ratio 0.8581, byte miss ratio 0.8581
result/prxy_0.IQI.bin.oracleGeneral.zst ARC cache size     1556, 12518968 req, miss ratio 0.3001, byte miss ratio 0.3001
result/prxy_0.IQI.bin.oracleGeneral.zst ARC cache size     4670, 12518968 req, miss ratio 0.0742, byte miss ratio 0.0742
result/prxy_0.IQI.bin.oracleGeneral.zst ARC cache size    15568, 12518968 req, miss ratio 0.0464, byte miss ratio 0.0464
result/prxy_0.IQI.bin.oracleGeneral.zst ARC cache size    31136, 12518968 req, miss ratio 0.0270, byte miss ratio 0.0270
result/prxy_0.IQI.bin.oracleGeneral.zst ARC cache size    62272, 12518968 req, miss ratio 0.0167, byte miss ratio 0.0167
result/prxy_0.IQI.bin.oracleGeneral.zst ARC cache size   124544, 12518968 req, miss ratio 0.0128, byte miss ratio 0.0128
result/prxy_0.IQI.bin.oracleGeneral.zst LIRS cache size      155, 12518968 req, miss ratio 0.8882, byte miss ratio 0.8882
result/prxy_0.IQI.bin.oracleGeneral.zst LIRS cache size      467, 12518968 req, miss ratio 0.8598, byte miss ratio 0.8598
result/prxy_0.IQI.bin.oracleGeneral.zst LIRS cache size     1556, 12518968 req, miss ratio 0.2517, byte miss ratio 0.2517
result/prxy_0.IQI.bin.oracleGeneral.zst LIRS cache size     4670, 12518968 req, miss ratio 0.0739, byte miss ratio 0.0739
result/prxy_0.IQI.bin.oracleGeneral.zst LIRS cache size    15568, 12518968 req, miss ratio 0.0465, byte miss ratio 0.0465
result/prxy_0.IQI.bin.oracleGeneral.zst LIRS cache size    31136, 12518968 req, miss ratio 0.0279, byte miss ratio 0.0279
