result/tencentBlock.ns9705.oracleGeneral.zst LRU cache size       58, 2633396 req, miss ratio 0.5945, byte miss ratio 0.5945
result/tencentBlock.ns9705.oracleGeneral.zst LRU cache size      175, 2633396 req, miss ratio 0.4203, byte miss ratio 0.4203
result/tencentBlock.ns9705.oracleGeneral.zst LRU cache size      584, 2633396 req, miss ratio 0.1054, byte miss ratio 0.1054
result/tencentBlock.ns9705.oracleGeneral.zst LRU cache size     1753, 2633396 req, miss ratio 0.0882, byte miss ratio 0.0882
result/tencentBlock.ns9705.oracleGeneral.zst LRU cache size     5845, 2633396 req, miss ratio 0.0694, byte miss ratio 0.0694
result/tencentBlock.ns9705.oracleGeneral.zst LRU cache size    11691, 2633396 req, miss ratio 0.0598, byte miss ratio 0.0598
result/tencentBlock.ns9705.oracleGeneral.zst LRU cache size    23382, 2633396 req, miss ratio 0.0407, byte miss ratio 0.0407
result/tencentBlock.ns9705.oracleGeneral.zst LRU cache size    46765, 2633396 req, miss ratio 0.0247, byte miss ratio 0.0247
result/tencentBlock.ns9705.oracleGeneral.zst LeCaR cache size       58, 2633396 req, miss ratio 0.5820, byte miss ratio 0.5820
result/tencentBlock.ns9705.oracleGeneral.zst LeCaR cache size      175, 2633396 req, miss ratio 0.3188, byte miss ratio 0.3188
result/tencentBlock.ns9705.oracleGeneral.zst LeCaR cache size      584, 2633396 req, miss ratio 0.1042, byte miss ratio 0.1042
result/tencentBlock.ns9705.oracleGeneral.zst LeCaR cache size     1753, 2633396 req, miss ratio 0.0875, byte miss ratio 0.0875
result/tencentBlock.ns9705.oracleGeneral.zst LeCaR cache size     5845, 2633396 req, miss ratio 0.0705, byte miss ratio 0.0705
result/tencentBlock.ns9705.oracleGeneral.zst LeCaR cache size    11691, 2633396 req, miss ratio 0.0597, byte miss ratio 0.0597
result/tencentBlock.ns9705.oracleGeneral.zst LeCaR cache size    23382, 2633396 req, miss ratio 0.0391, byte miss ratio 0.0391
result/tencentBlock.ns9705.oracleGeneral.zst LeCaR cache size    46765, 2633396 req, miss ratio 0.0240, byte miss ratio 0.0240
result/tencentBlock.ns9705.oracleGeneral.zst Clock cache size       58, 2633396 req, miss ratio 0.5906, byte miss ratio 0.5906
result/tencentBlock.ns9705.oracleGeneral.zst Clock cache size      175, 2633396 req, miss ratio 0.3985, byte miss ratio 0.3985
result/tencentBlock.ns9705.oracleGeneral.zst Clock cache size      584, 2633396 req, miss ratio 0.1054, byte miss ratio 0.1054
result/tencentBlock.ns9705.oracleGeneral.zst Clock cache size     1753, 2633396 req, miss ratio 0.0883, byte miss ratio 0.0883
result/tencentBlock.ns9705.oracleGeneral.zst Clock cache size     5845, 2633396 req, miss ratio 0.0725, byte miss ratio 0.0725
result/tencentBlock.ns9705.oracleGeneral.zst Clock cache size    11691, 2633396 req, miss ratio 0.0612, byte miss ratio 0.0612
result/tencentBlock.ns9705.oracleGeneral.zst Clock cache size    23382, 2633396 req, miss ratio 0.0418, byte miss ratio 0.0418
result/tencentBlock.ns9705.oracleGeneral.zst Clock cache size    46765, 2633396 req, miss ratio 0.0234, byte miss ratio 0.0234
result/tencentBlock.ns9705.oracleGeneral.zst clock2 cache size       58, 2633396 req, miss ratio 0.6094, byte miss ratio 0.6094
result/tencentBlock.ns9705.oracleGeneral.zst clock2 cache size      175, 2633396 req, miss ratio 0.3958, byte miss ratio 0.3958
result/tencentBlock.ns9705.oracleGeneral.zst clock2 cache size      584, 2633396 req, miss ratio 0.1057, byte miss ratio 0.1057
result/tencentBlock.ns9705.oracleGeneral.zst clock2 cache size     1753, 2633396 req, miss ratio 0.0892, byte miss ratio 0.0892
result/tencentBlock.ns9705.oracleGeneral.zst clock2 cache size     5845, 2633396 req, miss ratio 0.0766, byte miss ratio 0.0766
result/tencentBlock.ns9705.oracleGeneral.zst clock2 cache size    11691, 2633396 req, miss ratio 0.0589, byte miss ratio 0.0589
result/tencentBlock.ns9705.oracleGeneral.zst clock2 cache size    23382, 2633396 req, miss ratio 0.0412, byte miss ratio 0.0412
result/tencentBlock.ns9705.oracleGeneral.zst clock2 cache size    46765, 2633396 req, miss ratio 0.0234, byte miss ratio 0.0234
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d-1 cache size       58, 2633396 req, miss ratio 0.4742, byte miss ratio 0.4742
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d-1 cache size      175, 2633396 req, miss ratio 0.3413, byte miss ratio 0.3413
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d-1 cache size      584, 2633396 req, miss ratio 0.0985, byte miss ratio 0.0985
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d-1 cache size     1753, 2633396 req, miss ratio 0.0817, byte miss ratio 0.0817
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d-1 cache size     5845, 2633396 req, miss ratio 0.0675, byte miss ratio 0.0675
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d-1 cache size    11691, 2633396 req, miss ratio 0.0597, byte miss ratio 0.0597
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d-1 cache size    23382, 2633396 req, miss ratio 0.0387, byte miss ratio 0.0387
result/tencentBlock.ns9705.oracleGeneral.zst S3FIFO-d-1 cache size    46765, 2633396 req, miss ratio 0.0234, byte miss ratio 0.0234
result/tencentBlock.ns9705.oracleGeneral.zst LRB cache size       58, 2633396 req, miss ratio 0.5669, byte miss ratio 0.5669
result/tencentBlock.ns9705.oracleGeneral.zst LRB cache size      175, 2633396 req, miss ratio 0.3008, byte miss ratio 0.3008
result/tencentBlock.ns9705.oracleGeneral.zst LRB cache size      584, 2633396 req, miss ratio 0.1008, byte miss ratio 0.1008
result/tencentBlock.ns9705.oracleGeneral.zst LRB cache size     1753, 2633396 req, miss ratio 0.0798, byte miss ratio 0.0798
result/tencentBlock.ns9705.oracleGeneral.zst LRB cache size     5845, 2633396 req, miss ratio 0.0672, byte miss ratio 0.0672
result/tencentBlock.ns9705.oracleGeneral.zst LRB cache size    11691, 2633396 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns9705.oracleGeneral.zst LRB cache size    23382, 2633396 req, miss ratio 0.0369, byte miss ratio 0.0369
result/tencentBlock.ns9705.oracleGeneral.zst LRB cache size    46765, 2633396 req, miss ratio 0.0259, byte miss ratio 0.0259
result/tencentBlock.ns9705.oracleGeneral.zst B-LRU cache size       58, 2633396 req, miss ratio 0.5956, byte miss ratio 0.5956
result/tencentBlock.ns9705.oracleGeneral.zst B-LRU cache size      175, 2633396 req, miss ratio 0.4216, byte miss ratio 0.4216
result/tencentBlock.ns9705.oracleGeneral.zst B-LRU cache size      584, 2633396 req, miss ratio 0.1099, byte miss ratio 0.1099
result/tencentBlock.ns9705.oracleGeneral.zst B-LRU cache size     1753, 2633396 req, miss ratio 0.0931, byte miss ratio 0.0931
result/tencentBlock.ns9705.oracleGeneral.zst B-LRU cache size     5845, 2633396 req, miss ratio 0.0752, byte miss ratio 0.0752
result/tencentBlock.ns9705.oracleGeneral.zst B-LRU cache size    11691, 2633396 req, miss ratio 0.0672, byte miss ratio 0.0672
result/tencentBlock.ns9705.oracleGeneral.zst B-LRU cache size    23382, 2633396 req, miss ratio 0.0484, byte miss ratio 0.0484
result/tencentBlock.ns9705.oracleGeneral.zst B-LRU cache size    46765, 2633396 req, miss ratio 0.0380, byte miss ratio 0.0380
result/tencentBlock.ns9705.oracleGeneral.zst S4LRU(25:25:25:25) cache size       58, 2633396 req, miss ratio 0.5547, byte miss ratio 0.5547
result/tencentBlock.ns9705.oracleGeneral.zst S4LRU(25:25:25:25) cache size      175, 2633396 req, miss ratio 0.4312, byte miss ratio 0.4312
