result/tencentBlock.ns5413.oracleGeneral.zst Cacheus cache size      191, 2017838 req, miss ratio 0.4170, byte miss ratio 0.4170
result/tencentBlock.ns5413.oracleGeneral.zst Cacheus cache size      575, 2017838 req, miss ratio 0.3623, byte miss ratio 0.3623
result/tencentBlock.ns5413.oracleGeneral.zst Cacheus cache size     1918, 2017838 req, miss ratio 0.3291, byte miss ratio 0.3291
result/tencentBlock.ns5413.oracleGeneral.zst Cacheus cache size     5754, 2017838 req, miss ratio 0.2967, byte miss ratio 0.2967
result/tencentBlock.ns5413.oracleGeneral.zst Cacheus cache size    19182, 2017838 req, miss ratio 0.2365, byte miss ratio 0.2365
result/tencentBlock.ns5413.oracleGeneral.zst Cacheus cache size    38365, 2017838 req, miss ratio 0.1439, byte miss ratio 0.1439
result/tencentBlock.ns5413.oracleGeneral.zst Cacheus cache size    76731, 2017838 req, miss ratio 0.1158, byte miss ratio 0.1158
result/tencentBlock.ns5413.oracleGeneral.zst Cacheus cache size   153462, 2017838 req, miss ratio 0.1015, byte miss ratio 0.1015
result/tencentBlock.ns5413.oracleGeneral.zst ARC cache size      191, 2017838 req, miss ratio 0.4059, byte miss ratio 0.4059
result/tencentBlock.ns5413.oracleGeneral.zst ARC cache size      575, 2017838 req, miss ratio 0.3613, byte miss ratio 0.3613
result/tencentBlock.ns5413.oracleGeneral.zst ARC cache size     1918, 2017838 req, miss ratio 0.3261, byte miss ratio 0.3261
result/tencentBlock.ns5413.oracleGeneral.zst ARC cache size     5754, 2017838 req, miss ratio 0.2913, byte miss ratio 0.2913
result/tencentBlock.ns5413.oracleGeneral.zst ARC cache size    19182, 2017838 req, miss ratio 0.2181, byte miss ratio 0.2181
result/tencentBlock.ns5413.oracleGeneral.zst ARC cache size    38365, 2017838 req, miss ratio 0.1547, byte miss ratio 0.1547
result/tencentBlock.ns5413.oracleGeneral.zst ARC cache size    76731, 2017838 req, miss ratio 0.1169, byte miss ratio 0.1169
result/tencentBlock.ns5413.oracleGeneral.zst ARC cache size   153462, 2017838 req, miss ratio 0.1001, byte miss ratio 0.1001
result/tencentBlock.ns5413.oracleGeneral.zst FIFO cache size      191, 2017838 req, miss ratio 0.4910, byte miss ratio 0.4910
result/tencentBlock.ns5413.oracleGeneral.zst FIFO cache size      575, 2017838 req, miss ratio 0.4023, byte miss ratio 0.4023
result/tencentBlock.ns5413.oracleGeneral.zst FIFO cache size     1918, 2017838 req, miss ratio 0.3540, byte miss ratio 0.3540
result/tencentBlock.ns5413.oracleGeneral.zst FIFO cache size     5754, 2017838 req, miss ratio 0.3140, byte miss ratio 0.3140
result/tencentBlock.ns5413.oracleGeneral.zst FIFO cache size    19182, 2017838 req, miss ratio 0.2504, byte miss ratio 0.2504
result/tencentBlock.ns5413.oracleGeneral.zst FIFO cache size    38365, 2017838 req, miss ratio 0.1649, byte miss ratio 0.1649
result/tencentBlock.ns5413.oracleGeneral.zst FIFO cache size    76731, 2017838 req, miss ratio 0.1287, byte miss ratio 0.1287
result/tencentBlock.ns5413.oracleGeneral.zst FIFO cache size   153462, 2017838 req, miss ratio 0.1113, byte miss ratio 0.1113
result/tencentBlock.ns5413.oracleGeneral.zst S3FIFO-1 cache size      191, 2017838 req, miss ratio 0.4058, byte miss ratio 0.4058
result/tencentBlock.ns5413.oracleGeneral.zst S3FIFO-1 cache size      575, 2017838 req, miss ratio 0.3615, byte miss ratio 0.3615
result/tencentBlock.ns5413.oracleGeneral.zst S3FIFO-1 cache size     1918, 2017838 req, miss ratio 0.3264, byte miss ratio 0.3264
result/tencentBlock.ns5413.oracleGeneral.zst S3FIFO-1 cache size     5754, 2017838 req, miss ratio 0.2931, byte miss ratio 0.2931
result/tencentBlock.ns5413.oracleGeneral.zst S3FIFO-1 cache size    19182, 2017838 req, miss ratio 0.2195, byte miss ratio 0.2195
result/tencentBlock.ns5413.oracleGeneral.zst S3FIFO-1 cache size    38365, 2017838 req, miss ratio 0.1585, byte miss ratio 0.1585
result/tencentBlock.ns5413.oracleGeneral.zst S3FIFO-1 cache size    76731, 2017838 req, miss ratio 0.1172, byte miss ratio 0.1172
result/tencentBlock.ns5413.oracleGeneral.zst S3FIFO-1 cache size   153462, 2017838 req, miss ratio 0.1001, byte miss ratio 0.1001
result/tencentBlock.ns5413.oracleGeneral.zst LRU cache size      191, 2017838 req, miss ratio 0.4516, byte miss ratio 0.4516
result/tencentBlock.ns5413.oracleGeneral.zst LRU cache size      575, 2017838 req, miss ratio 0.3735, byte miss ratio 0.3735
result/tencentBlock.ns5413.oracleGeneral.zst LRU cache size     1918, 2017838 req, miss ratio 0.3380, byte miss ratio 0.3380
result/tencentBlock.ns5413.oracleGeneral.zst LRU cache size     5754, 2017838 req, miss ratio 0.3044, byte miss ratio 0.3044
result/tencentBlock.ns5413.oracleGeneral.zst LRU cache size    19182, 2017838 req, miss ratio 0.2426, byte miss ratio 0.2426
result/tencentBlock.ns5413.oracleGeneral.zst LRU cache size    38365, 2017838 req, miss ratio 0.1437, byte miss ratio 0.1437
result/tencentBlock.ns5413.oracleGeneral.zst LRU cache size    76731, 2017838 req, miss ratio 0.1199, byte miss ratio 0.1199
result/tencentBlock.ns5413.oracleGeneral.zst LRU cache size   153462, 2017838 req, miss ratio 0.0966, byte miss ratio 0.0966
result/tencentBlock.ns5413.oracleGeneral.zst clock2 cache size      191, 2017838 req, miss ratio 0.4504, byte miss ratio 0.4504
result/tencentBlock.ns5413.oracleGeneral.zst clock2 cache size      575, 2017838 req, miss ratio 0.3711, byte miss ratio 0.3711
result/tencentBlock.ns5413.oracleGeneral.zst clock2 cache size     1918, 2017838 req, miss ratio 0.3410, byte miss ratio 0.3410
result/tencentBlock.ns5413.oracleGeneral.zst clock2 cache size     5754, 2017838 req, miss ratio 0.3030, byte miss ratio 0.3030
result/tencentBlock.ns5413.oracleGeneral.zst clock2 cache size    19182, 2017838 req, miss ratio 0.2382, byte miss ratio 0.2382
result/tencentBlock.ns5413.oracleGeneral.zst clock2 cache size    38365, 2017838 req, miss ratio 0.1495, byte miss ratio 0.1495
result/tencentBlock.ns5413.oracleGeneral.zst clock2 cache size    76731, 2017838 req, miss ratio 0.1195, byte miss ratio 0.1195
result/tencentBlock.ns5413.oracleGeneral.zst clock2 cache size   153462, 2017838 req, miss ratio 0.1001, byte miss ratio 0.1001
result/tencentBlock.ns5413.oracleGeneral.zst LeCaR cache size      191, 2017838 req, miss ratio 0.4394, byte miss ratio 0.4394
result/tencentBlock.ns5413.oracleGeneral.zst LeCaR cache size      575, 2017838 req, miss ratio 0.3696, byte miss ratio 0.3696
result/tencentBlock.ns5413.oracleGeneral.zst LeCaR cache size     1918, 2017838 req, miss ratio 0.3366, byte miss ratio 0.3366
result/tencentBlock.ns5413.oracleGeneral.zst LeCaR cache size     5754, 2017838 req, miss ratio 0.3024, byte miss ratio 0.3024
result/tencentBlock.ns5413.oracleGeneral.zst LeCaR cache size    19182, 2017838 req, miss ratio 0.2069, byte miss ratio 0.2069
result/tencentBlock.ns5413.oracleGeneral.zst LeCaR cache size    38365, 2017838 req, miss ratio 0.1450, byte miss ratio 0.1450
result/tencentBlock.ns5413.oracleGeneral.zst LeCaR cache size    76731, 2017838 req, miss ratio 0.1193, byte miss ratio 0.1193
result/tencentBlock.ns5413.oracleGeneral.zst LeCaR cache size   153462, 2017838 req, miss ratio 0.0967, byte miss ratio 0.0967
result/tencentBlock.ns5413.oracleGeneral.zst LIRS cache size      191, 2017838 req, miss ratio 0.4202, byte miss ratio 0.4202
result/tencentBlock.ns5413.oracleGeneral.zst LIRS cache size      575, 2017838 req, miss ratio 0.3762, byte miss ratio 0.3762
result/tencentBlock.ns5413.oracleGeneral.zst LIRS cache size     1918, 2017838 req, miss ratio 0.3339, byte miss ratio 0.3339
result/tencentBlock.ns5413.oracleGeneral.zst LIRS cache size     5754, 2017838 req, miss ratio 0.2917, byte miss ratio 0.2917
result/tencentBlock.ns5413.oracleGeneral.zst LIRS cache size    19182, 2017838 req, miss ratio 0.2011, byte miss ratio 0.2011
result/tencentBlock.ns5413.oracleGeneral.zst LIRS cache size    38365, 2017838 req, miss ratio 0.1623, byte miss ratio 0.1623
result/tencentBlock.ns5413.oracleGeneral.zst LIRS cache size    76731, 2017838 req, miss ratio 0.1420, byte miss ratio 0.1420
result/tencentBlock.ns5413.oracleGeneral.zst LIRS cache size   153462, 2017838 req, miss ratio 0.1002, byte miss ratio 0.1002
result/tencentBlock.ns5413.oracleGeneral.zst LHD cache size      191, 2017838 req, miss ratio 0.4197, byte miss ratio 0.4197
result/tencentBlock.ns5413.oracleGeneral.zst LHD cache size      575, 2017838 req, miss ratio 0.3701, byte miss ratio 0.3701
result/tencentBlock.ns5413.oracleGeneral.zst LHD cache size     1918, 2017838 req, miss ratio 0.3352, byte miss ratio 0.3352
result/tencentBlock.ns5413.oracleGeneral.zst LHD cache size     5754, 2017838 req, miss ratio 0.2970, byte miss ratio 0.2970
result/tencentBlock.ns5413.oracleGeneral.zst LHD cache size    19182, 2017838 req, miss ratio 0.2161, byte miss ratio 0.2161
result/tencentBlock.ns5413.oracleGeneral.zst LHD cache size    38365, 2017838 req, miss ratio 0.1848, byte miss ratio 0.1848
result/tencentBlock.ns5413.oracleGeneral.zst LHD cache size    76731, 2017838 req, miss ratio 0.1227, byte miss ratio 0.1227
result/tencentBlock.ns5413.oracleGeneral.zst LHD cache size   153462, 2017838 req, miss ratio 0.1002, byte miss ratio 0.1002
result/tencentBlock.ns5413.oracleGeneral.zst Clock cache size      191, 2017838 req, miss ratio 0.4522, byte miss ratio 0.4522
