result/cdn2_allcolo.ns3424.oracleGeneral.zst LRU cache size      337, 2027971 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns3424.oracleGeneral.zst LRU cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst LeCaR cache size        8, 2027971 req, miss ratio 0.0240, byte miss ratio 0.0240
result/cdn2_allcolo.ns3424.oracleGeneral.zst LeCaR cache size       25, 2027971 req, miss ratio 0.0088, byte miss ratio 0.0088
result/cdn2_allcolo.ns3424.oracleGeneral.zst LeCaR cache size       84, 2027971 req, miss ratio 0.0040, byte miss ratio 0.0040
result/cdn2_allcolo.ns3424.oracleGeneral.zst LeCaR cache size      168, 2027971 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns3424.oracleGeneral.zst LeCaR cache size      337, 2027971 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns3424.oracleGeneral.zst LeCaR cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst ARC cache size        8, 2027971 req, miss ratio 0.0249, byte miss ratio 0.0249
result/cdn2_allcolo.ns3424.oracleGeneral.zst ARC cache size       25, 2027971 req, miss ratio 0.0087, byte miss ratio 0.0087
result/cdn2_allcolo.ns3424.oracleGeneral.zst ARC cache size       84, 2027971 req, miss ratio 0.0038, byte miss ratio 0.0038
result/cdn2_allcolo.ns3424.oracleGeneral.zst ARC cache size      168, 2027971 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns3424.oracleGeneral.zst ARC cache size      337, 2027971 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns3424.oracleGeneral.zst ARC cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d-1 cache size        8, 2027971 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d-1 cache size       25, 2027971 req, miss ratio 0.0083, byte miss ratio 0.0083
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d-1 cache size       84, 2027971 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d-1 cache size      168, 2027971 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d-1 cache size      337, 2027971 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d-1 cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst LRB cache size        8, 2027971 req, miss ratio 0.0199, byte miss ratio 0.0199
result/cdn2_allcolo.ns3424.oracleGeneral.zst LRB cache size       25, 2027971 req, miss ratio 0.0067, byte miss ratio 0.0067
result/cdn2_allcolo.ns3424.oracleGeneral.zst LRB cache size       84, 2027971 req, miss ratio 0.0032, byte miss ratio 0.0032
result/cdn2_allcolo.ns3424.oracleGeneral.zst LRB cache size      168, 2027971 req, miss ratio 0.0020, byte miss ratio 0.0020
result/cdn2_allcolo.ns3424.oracleGeneral.zst LRB cache size      337, 2027971 req, miss ratio 0.0010, byte miss ratio 0.0010
result/cdn2_allcolo.ns3424.oracleGeneral.zst LRB cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst TwoQ cache size        8, 2027971 req, miss ratio 0.0246, byte miss ratio 0.0246
result/cdn2_allcolo.ns3424.oracleGeneral.zst TwoQ cache size       25, 2027971 req, miss ratio 0.0077, byte miss ratio 0.0077
result/cdn2_allcolo.ns3424.oracleGeneral.zst TwoQ cache size       84, 2027971 req, miss ratio 0.0035, byte miss ratio 0.0035
result/cdn2_allcolo.ns3424.oracleGeneral.zst TwoQ cache size      168, 2027971 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns3424.oracleGeneral.zst TwoQ cache size      337, 2027971 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns3424.oracleGeneral.zst TwoQ cache size      675, 2027971 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns3424.oracleGeneral.zst S4LRU(25:25:25:25) cache size        8, 2027971 req, miss ratio 0.0245, byte miss ratio 0.0245
result/cdn2_allcolo.ns3424.oracleGeneral.zst S4LRU(25:25:25:25) cache size       25, 2027971 req, miss ratio 0.0089, byte miss ratio 0.0089
result/cdn2_allcolo.ns3424.oracleGeneral.zst S4LRU(25:25:25:25) cache size       84, 2027971 req, miss ratio 0.0039, byte miss ratio 0.0039
result/cdn2_allcolo.ns3424.oracleGeneral.zst S4LRU(25:25:25:25) cache size      168, 2027971 req, miss ratio 0.0024, byte miss ratio 0.0024
result/cdn2_allcolo.ns3424.oracleGeneral.zst S4LRU(25:25:25:25) cache size      337, 2027971 req, miss ratio 0.0012, byte miss ratio 0.0012
result/cdn2_allcolo.ns3424.oracleGeneral.zst S4LRU(25:25:25:25) cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size        8, 2027971 req, miss ratio 0.0357, byte miss ratio 0.0357
result/cdn2_allcolo.ns3424.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       25, 2027971 req, miss ratio 0.0129, byte miss ratio 0.0129
result/cdn2_allcolo.ns3424.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size       84, 2027971 req, miss ratio 0.0053, byte miss ratio 0.0053
result/cdn2_allcolo.ns3424.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      168, 2027971 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn2_allcolo.ns3424.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      337, 2027971 req, miss ratio 0.0013, byte miss ratio 0.0013
result/cdn2_allcolo.ns3424.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      675, 2027971 req, miss ratio 0.0006, byte miss ratio 0.0006
result/cdn2_allcolo.ns3424.oracleGeneral.zst B-LRU cache size        8, 2027971 req, miss ratio 0.0258, byte miss ratio 0.0258
result/cdn2_allcolo.ns3424.oracleGeneral.zst B-LRU cache size       25, 2027971 req, miss ratio 0.0091, byte miss ratio 0.0091
result/cdn2_allcolo.ns3424.oracleGeneral.zst B-LRU cache size       84, 2027971 req, miss ratio 0.0043, byte miss ratio 0.0043
result/cdn2_allcolo.ns3424.oracleGeneral.zst B-LRU cache size      168, 2027971 req, miss ratio 0.0028, byte miss ratio 0.0028
result/cdn2_allcolo.ns3424.oracleGeneral.zst B-LRU cache size      337, 2027971 req, miss ratio 0.0017, byte miss ratio 0.0017
result/cdn2_allcolo.ns3424.oracleGeneral.zst B-LRU cache size      675, 2027971 req, miss ratio 0.0009, byte miss ratio 0.0009
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO cache size        8, 2027971 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO cache size       25, 2027971 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO cache size       84, 2027971 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO cache size      168, 2027971 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO cache size      337, 2027971 req, miss ratio 0.0011, byte miss ratio 0.0011
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO cache size      675, 2027971 req, miss ratio 0.0005, byte miss ratio 0.0005
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d cache size        8, 2027971 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d cache size       25, 2027971 req, miss ratio 0.0080, byte miss ratio 0.0080
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d cache size       84, 2027971 req, miss ratio 0.0036, byte miss ratio 0.0036
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d cache size      168, 2027971 req, miss ratio 0.0022, byte miss ratio 0.0022
result/cdn2_allcolo.ns3424.oracleGeneral.zst S3FIFO-d cache size      337, 2027971 req, miss ratio 0.0011, byte miss ratio 0.0011
