result/tencentBlock.ns11081.oracleGeneral.zst S3FIFO-1 cache size      214, 1363239 req, miss ratio 0.3460, byte miss ratio 0.3460
result/tencentBlock.ns11081.oracleGeneral.zst S3FIFO-1 cache size      642, 1363239 req, miss ratio 0.3401, byte miss ratio 0.3401
result/tencentBlock.ns11081.oracleGeneral.zst S3FIFO-1 cache size     2143, 1363239 req, miss ratio 0.3381, byte miss ratio 0.3381
result/tencentBlock.ns11081.oracleGeneral.zst S3FIFO-1 cache size     6429, 1363239 req, miss ratio 0.3271, byte miss ratio 0.3271
result/tencentBlock.ns11081.oracleGeneral.zst S3FIFO-1 cache size    21431, 1363239 req, miss ratio 0.2765, byte miss ratio 0.2765
result/tencentBlock.ns11081.oracleGeneral.zst S3FIFO-1 cache size    42862, 1363239 req, miss ratio 0.2156, byte miss ratio 0.2156
result/tencentBlock.ns11081.oracleGeneral.zst S3FIFO-1 cache size    85725, 1363239 req, miss ratio 0.1747, byte miss ratio 0.1747
result/tencentBlock.ns11081.oracleGeneral.zst S3FIFO-1 cache size   171451, 1363239 req, miss ratio 0.1574, byte miss ratio 0.1574
result/tencentBlock.ns11081.oracleGeneral.zst FIFO cache size      214, 1363239 req, miss ratio 0.4024, byte miss ratio 0.4024
result/tencentBlock.ns11081.oracleGeneral.zst FIFO cache size      642, 1363239 req, miss ratio 0.3607, byte miss ratio 0.3607
result/tencentBlock.ns11081.oracleGeneral.zst FIFO cache size     2143, 1363239 req, miss ratio 0.3451, byte miss ratio 0.3451
result/tencentBlock.ns11081.oracleGeneral.zst FIFO cache size     6429, 1363239 req, miss ratio 0.3402, byte miss ratio 0.3402
result/tencentBlock.ns11081.oracleGeneral.zst FIFO cache size    21431, 1363239 req, miss ratio 0.2798, byte miss ratio 0.2798
result/tencentBlock.ns11081.oracleGeneral.zst FIFO cache size    42862, 1363239 req, miss ratio 0.2358, byte miss ratio 0.2358
result/tencentBlock.ns11081.oracleGeneral.zst FIFO cache size    85725, 1363239 req, miss ratio 0.1954, byte miss ratio 0.1954
result/tencentBlock.ns11081.oracleGeneral.zst FIFO cache size   171451, 1363239 req, miss ratio 0.1710, byte miss ratio 0.1710
result/tencentBlock.ns11081.oracleGeneral.zst ARC cache size      214, 1363239 req, miss ratio 0.3440, byte miss ratio 0.3440
result/tencentBlock.ns11081.oracleGeneral.zst ARC cache size      642, 1363239 req, miss ratio 0.3401, byte miss ratio 0.3401
result/tencentBlock.ns11081.oracleGeneral.zst ARC cache size     2143, 1363239 req, miss ratio 0.3382, byte miss ratio 0.3382
result/tencentBlock.ns11081.oracleGeneral.zst ARC cache size     6429, 1363239 req, miss ratio 0.3289, byte miss ratio 0.3289
result/tencentBlock.ns11081.oracleGeneral.zst ARC cache size    21431, 1363239 req, miss ratio 0.2732, byte miss ratio 0.2732
result/tencentBlock.ns11081.oracleGeneral.zst ARC cache size    42862, 1363239 req, miss ratio 0.2192, byte miss ratio 0.2192
result/tencentBlock.ns11081.oracleGeneral.zst ARC cache size    85725, 1363239 req, miss ratio 0.1677, byte miss ratio 0.1677
result/tencentBlock.ns11081.oracleGeneral.zst ARC cache size   171451, 1363239 req, miss ratio 0.1574, byte miss ratio 0.1574
result/tencentBlock.ns11081.oracleGeneral.zst LIRS cache size      214, 1363239 req, miss ratio 0.4319, byte miss ratio 0.4319
result/tencentBlock.ns11081.oracleGeneral.zst LIRS cache size      642, 1363239 req, miss ratio 0.3690, byte miss ratio 0.3690
result/tencentBlock.ns11081.oracleGeneral.zst LIRS cache size     2143, 1363239 req, miss ratio 0.3429, byte miss ratio 0.3429
result/tencentBlock.ns11081.oracleGeneral.zst LIRS cache size     6429, 1363239 req, miss ratio 0.3262, byte miss ratio 0.3262
result/tencentBlock.ns11081.oracleGeneral.zst LIRS cache size    21431, 1363239 req, miss ratio 0.2781, byte miss ratio 0.2781
result/tencentBlock.ns11081.oracleGeneral.zst LIRS cache size    42862, 1363239 req, miss ratio 0.2228, byte miss ratio 0.2228
result/tencentBlock.ns11081.oracleGeneral.zst LIRS cache size    85725, 1363239 req, miss ratio 0.1718, byte miss ratio 0.1718
result/tencentBlock.ns11081.oracleGeneral.zst LIRS cache size   171451, 1363239 req, miss ratio 0.1574, byte miss ratio 0.1574
result/tencentBlock.ns11081.oracleGeneral.zst LRU cache size      214, 1363239 req, miss ratio 0.3503, byte miss ratio 0.3503
result/tencentBlock.ns11081.oracleGeneral.zst LRU cache size      642, 1363239 req, miss ratio 0.3411, byte miss ratio 0.3411
result/tencentBlock.ns11081.oracleGeneral.zst LRU cache size     2143, 1363239 req, miss ratio 0.3386, byte miss ratio 0.3386
result/tencentBlock.ns11081.oracleGeneral.zst LRU cache size     6429, 1363239 req, miss ratio 0.3378, byte miss ratio 0.3378
result/tencentBlock.ns11081.oracleGeneral.zst LRU cache size    21431, 1363239 req, miss ratio 0.2653, byte miss ratio 0.2653
result/tencentBlock.ns11081.oracleGeneral.zst LRU cache size    42862, 1363239 req, miss ratio 0.2163, byte miss ratio 0.2163
result/tencentBlock.ns11081.oracleGeneral.zst LRU cache size    85725, 1363239 req, miss ratio 0.1695, byte miss ratio 0.1695
result/tencentBlock.ns11081.oracleGeneral.zst LRU cache size   171451, 1363239 req, miss ratio 0.1573, byte miss ratio 0.1573
result/tencentBlock.ns11081.oracleGeneral.zst clock2 cache size      214, 1363239 req, miss ratio 0.3507, byte miss ratio 0.3507
result/tencentBlock.ns11081.oracleGeneral.zst clock2 cache size      642, 1363239 req, miss ratio 0.3408, byte miss ratio 0.3408
result/tencentBlock.ns11081.oracleGeneral.zst clock2 cache size     2143, 1363239 req, miss ratio 0.3390, byte miss ratio 0.3390
