result/tencentBlock.ns2545.oracleGeneral.zst ARC cache size      478, 4229280 req, miss ratio 0.5469, byte miss ratio 0.5469
result/tencentBlock.ns2545.oracleGeneral.zst ARC cache size     1435, 4229280 req, miss ratio 0.4041, byte miss ratio 0.4041
result/tencentBlock.ns2545.oracleGeneral.zst ARC cache size     4784, 4229280 req, miss ratio 0.3435, byte miss ratio 0.3435
result/tencentBlock.ns2545.oracleGeneral.zst ARC cache size    14353, 4229280 req, miss ratio 0.2990, byte miss ratio 0.2990
result/tencentBlock.ns2545.oracleGeneral.zst ARC cache size    47845, 4229280 req, miss ratio 0.2500, byte miss ratio 0.2500
result/tencentBlock.ns2545.oracleGeneral.zst ARC cache size    95691, 4229280 req, miss ratio 0.2105, byte miss ratio 0.2105
result/tencentBlock.ns2545.oracleGeneral.zst ARC cache size   191382, 4229280 req, miss ratio 0.1354, byte miss ratio 0.1354
result/tencentBlock.ns2545.oracleGeneral.zst ARC cache size   382765, 4229280 req, miss ratio 0.1143, byte miss ratio 0.1143
result/tencentBlock.ns2545.oracleGeneral.zst LeCaR cache size      478, 4229280 req, miss ratio 0.5599, byte miss ratio 0.5599
result/tencentBlock.ns2545.oracleGeneral.zst LeCaR cache size     1435, 4229280 req, miss ratio 0.4585, byte miss ratio 0.4585
result/tencentBlock.ns2545.oracleGeneral.zst LeCaR cache size     4784, 4229280 req, miss ratio 0.3490, byte miss ratio 0.3490
result/tencentBlock.ns2545.oracleGeneral.zst LeCaR cache size    14353, 4229280 req, miss ratio 0.3229, byte miss ratio 0.3229
result/tencentBlock.ns2545.oracleGeneral.zst LeCaR cache size    47845, 4229280 req, miss ratio 0.2492, byte miss ratio 0.2492
result/tencentBlock.ns2545.oracleGeneral.zst LeCaR cache size    95691, 4229280 req, miss ratio 0.2010, byte miss ratio 0.2010
result/tencentBlock.ns2545.oracleGeneral.zst LeCaR cache size   191382, 4229280 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns2545.oracleGeneral.zst LeCaR cache size   382765, 4229280 req, miss ratio 0.1143, byte miss ratio 0.1143
result/tencentBlock.ns2545.oracleGeneral.zst Clock cache size      478, 4229280 req, miss ratio 0.5602, byte miss ratio 0.5602
result/tencentBlock.ns2545.oracleGeneral.zst Clock cache size     1435, 4229280 req, miss ratio 0.4599, byte miss ratio 0.4599
result/tencentBlock.ns2545.oracleGeneral.zst Clock cache size     4784, 4229280 req, miss ratio 0.3549, byte miss ratio 0.3549
result/tencentBlock.ns2545.oracleGeneral.zst Clock cache size    14353, 4229280 req, miss ratio 0.3242, byte miss ratio 0.3242
result/tencentBlock.ns2545.oracleGeneral.zst Clock cache size    47845, 4229280 req, miss ratio 0.2519, byte miss ratio 0.2519
result/tencentBlock.ns2545.oracleGeneral.zst Clock cache size    95691, 4229280 req, miss ratio 0.2167, byte miss ratio 0.2167
result/tencentBlock.ns2545.oracleGeneral.zst Clock cache size   191382, 4229280 req, miss ratio 0.1485, byte miss ratio 0.1485
result/tencentBlock.ns2545.oracleGeneral.zst Clock cache size   382765, 4229280 req, miss ratio 0.1143, byte miss ratio 0.1143
result/tencentBlock.ns2545.oracleGeneral.zst LHD cache size      478, 4229280 req, miss ratio 0.5606, byte miss ratio 0.5606
result/tencentBlock.ns2545.oracleGeneral.zst LHD cache size     1435, 4229280 req, miss ratio 0.4317, byte miss ratio 0.4317
result/tencentBlock.ns2545.oracleGeneral.zst LHD cache size     4784, 4229280 req, miss ratio 0.3478, byte miss ratio 0.3478
result/tencentBlock.ns2545.oracleGeneral.zst LHD cache size    14353, 4229280 req, miss ratio 0.3031, byte miss ratio 0.3031
result/tencentBlock.ns2545.oracleGeneral.zst LHD cache size    47845, 4229280 req, miss ratio 0.2481, byte miss ratio 0.2481
result/tencentBlock.ns2545.oracleGeneral.zst LHD cache size    95691, 4229280 req, miss ratio 0.1953, byte miss ratio 0.1953
result/tencentBlock.ns2545.oracleGeneral.zst LHD cache size   191382, 4229280 req, miss ratio 0.1390, byte miss ratio 0.1390
result/tencentBlock.ns2545.oracleGeneral.zst LHD cache size   382765, 4229280 req, miss ratio 0.1146, byte miss ratio 0.1146
result/tencentBlock.ns2545.oracleGeneral.zst LIRS cache size      478, 4229280 req, miss ratio 0.5647, byte miss ratio 0.5647
result/tencentBlock.ns2545.oracleGeneral.zst LIRS cache size     1435, 4229280 req, miss ratio 0.4148, byte miss ratio 0.4148
result/tencentBlock.ns2545.oracleGeneral.zst LIRS cache size     4784, 4229280 req, miss ratio 0.3579, byte miss ratio 0.3579
result/tencentBlock.ns2545.oracleGeneral.zst LIRS cache size    14353, 4229280 req, miss ratio 0.3000, byte miss ratio 0.3000
result/tencentBlock.ns2545.oracleGeneral.zst LIRS cache size    47845, 4229280 req, miss ratio 0.2603, byte miss ratio 0.2603
result/tencentBlock.ns2545.oracleGeneral.zst LIRS cache size    95691, 4229280 req, miss ratio 0.2103, byte miss ratio 0.2103
result/tencentBlock.ns2545.oracleGeneral.zst LIRS cache size   191382, 4229280 req, miss ratio 0.1457, byte miss ratio 0.1457
result/tencentBlock.ns2545.oracleGeneral.zst LIRS cache size   382765, 4229280 req, miss ratio 0.1183, byte miss ratio 0.1183
result/tencentBlock.ns2545.oracleGeneral.zst LRU cache size      478, 4229280 req, miss ratio 0.5641, byte miss ratio 0.5641
result/tencentBlock.ns2545.oracleGeneral.zst LRU cache size     1435, 4229280 req, miss ratio 0.4655, byte miss ratio 0.4655
