result/tencentBlock.ns22035.oracleGeneral.zst Cacheus cache size      370, 1919410 req, miss ratio 0.6433, byte miss ratio 0.6433
result/tencentBlock.ns22035.oracleGeneral.zst Cacheus cache size     1112, 1919410 req, miss ratio 0.6403, byte miss ratio 0.6403
result/tencentBlock.ns22035.oracleGeneral.zst Cacheus cache size     3708, 1919410 req, miss ratio 0.6384, byte miss ratio 0.6384
result/tencentBlock.ns22035.oracleGeneral.zst Cacheus cache size    11126, 1919410 req, miss ratio 0.6361, byte miss ratio 0.6361
result/tencentBlock.ns22035.oracleGeneral.zst Cacheus cache size    37089, 1919410 req, miss ratio 0.5934, byte miss ratio 0.5934
result/tencentBlock.ns22035.oracleGeneral.zst Cacheus cache size    74179, 1919410 req, miss ratio 0.5474, byte miss ratio 0.5474
result/tencentBlock.ns22035.oracleGeneral.zst Cacheus cache size   148358, 1919410 req, miss ratio 0.3606, byte miss ratio 0.3606
result/tencentBlock.ns22035.oracleGeneral.zst Cacheus cache size   296716, 1919410 req, miss ratio 0.1979, byte miss ratio 0.1979
result/tencentBlock.ns22035.oracleGeneral.zst LRU cache size      370, 1919410 req, miss ratio 0.6519, byte miss ratio 0.6519
result/tencentBlock.ns22035.oracleGeneral.zst LRU cache size     1112, 1919410 req, miss ratio 0.6433, byte miss ratio 0.6433
result/tencentBlock.ns22035.oracleGeneral.zst LRU cache size     3708, 1919410 req, miss ratio 0.6393, byte miss ratio 0.6393
result/tencentBlock.ns22035.oracleGeneral.zst LRU cache size    11126, 1919410 req, miss ratio 0.6377, byte miss ratio 0.6377
result/tencentBlock.ns22035.oracleGeneral.zst LRU cache size    37089, 1919410 req, miss ratio 0.6142, byte miss ratio 0.6142
result/tencentBlock.ns22035.oracleGeneral.zst LRU cache size    74179, 1919410 req, miss ratio 0.5837, byte miss ratio 0.5837
result/tencentBlock.ns22035.oracleGeneral.zst LRU cache size   148358, 1919410 req, miss ratio 0.4184, byte miss ratio 0.4184
