result/io_traces.ns34.oracleGeneral.zst LeCaR cache size    48789, 18800000 req, miss ratio 0.1100, byte miss ratio 0.1100
result/io_traces.ns34.oracleGeneral.zst LeCaR cache size   162631, 18800000 req, miss ratio 0.1038, byte miss ratio 0.1038
result/io_traces.ns34.oracleGeneral.zst LeCaR cache size   325263, 18800000 req, miss ratio 0.0994, byte miss ratio 0.0994
result/io_traces.ns34.oracleGeneral.zst LeCaR cache size   650527, 18800000 req, miss ratio 0.0932, byte miss ratio 0.0932
result/io_traces.ns34.oracleGeneral.zst LeCaR cache size  1301055, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns34.oracleGeneral.zst S3FIFO-1 cache size     1626, 18800000 req, miss ratio 0.1161, byte miss ratio 0.1161
result/io_traces.ns34.oracleGeneral.zst S3FIFO-1 cache size     4878, 18800000 req, miss ratio 0.1146, byte miss ratio 0.1146
result/io_traces.ns34.oracleGeneral.zst S3FIFO-1 cache size    16263, 18800000 req, miss ratio 0.1096, byte miss ratio 0.1096
result/io_traces.ns34.oracleGeneral.zst S3FIFO-1 cache size    48789, 18800000 req, miss ratio 0.1068, byte miss ratio 0.1068
result/io_traces.ns34.oracleGeneral.zst S3FIFO-1 cache size   162631, 18800000 req, miss ratio 0.0996, byte miss ratio 0.0996
result/io_traces.ns34.oracleGeneral.zst S3FIFO-1 cache size   325263, 18800000 req, miss ratio 0.0962, byte miss ratio 0.0962
result/io_traces.ns34.oracleGeneral.zst S3FIFO-1 cache size   650527, 18800000 req, miss ratio 0.0919, byte miss ratio 0.0919
result/io_traces.ns34.oracleGeneral.zst S3FIFO-1 cache size  1301055, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns34.oracleGeneral.zst Cacheus cache size     1626, 18800000 req, miss ratio 0.1164, byte miss ratio 0.1164
result/io_traces.ns34.oracleGeneral.zst Cacheus cache size     4878, 18800000 req, miss ratio 0.1151, byte miss ratio 0.1151
result/io_traces.ns34.oracleGeneral.zst Cacheus cache size    16263, 18800000 req, miss ratio 0.1106, byte miss ratio 0.1106
result/io_traces.ns34.oracleGeneral.zst Cacheus cache size    48789, 18800000 req, miss ratio 0.1086, byte miss ratio 0.1086
result/io_traces.ns34.oracleGeneral.zst Cacheus cache size   162631, 18800000 req, miss ratio 0.1010, byte miss ratio 0.1010
result/io_traces.ns34.oracleGeneral.zst Cacheus cache size   325263, 18800000 req, miss ratio 0.0971, byte miss ratio 0.0971
result/io_traces.ns34.oracleGeneral.zst Cacheus cache size   650527, 18800000 req, miss ratio 0.0944, byte miss ratio 0.0944
result/io_traces.ns34.oracleGeneral.zst Cacheus cache size  1301055, 18800000 req, miss ratio 0.0900, byte miss ratio 0.0900
result/io_traces.ns34.oracleGeneral.zst LHD cache size     1626, 18800000 req, miss ratio 0.1177, byte miss ratio 0.1177
result/io_traces.ns34.oracleGeneral.zst LHD cache size     4878, 18800000 req, miss ratio 0.1152, byte miss ratio 0.1152
result/io_traces.ns34.oracleGeneral.zst LHD cache size    16263, 18800000 req, miss ratio 0.1120, byte miss ratio 0.1120
result/io_traces.ns34.oracleGeneral.zst LHD cache size    48789, 18800000 req, miss ratio 0.1090, byte miss ratio 0.1090
result/io_traces.ns34.oracleGeneral.zst LHD cache size   162631, 18800000 req, miss ratio 0.1055, byte miss ratio 0.1055
result/io_traces.ns34.oracleGeneral.zst LHD cache size   325263, 18800000 req, miss ratio 0.0993, byte miss ratio 0.0993
result/io_traces.ns34.oracleGeneral.zst LHD cache size   650527, 18800000 req, miss ratio 0.0924, byte miss ratio 0.0924
result/io_traces.ns34.oracleGeneral.zst LHD cache size  1301055, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d-1 cache size     1626, 18800000 req, miss ratio 0.1159, byte miss ratio 0.1159
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d-1 cache size     4878, 18800000 req, miss ratio 0.1146, byte miss ratio 0.1146
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d-1 cache size    16263, 18800000 req, miss ratio 0.1096, byte miss ratio 0.1096
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d-1 cache size    48789, 18800000 req, miss ratio 0.1067, byte miss ratio 0.1067
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d-1 cache size   162631, 18800000 req, miss ratio 0.0996, byte miss ratio 0.0996
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d-1 cache size   325263, 18800000 req, miss ratio 0.0962, byte miss ratio 0.0962
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d-1 cache size   650527, 18800000 req, miss ratio 0.0919, byte miss ratio 0.0919
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d-1 cache size  1301055, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns34.oracleGeneral.zst LRB cache size     1626, 18800000 req, miss ratio 0.1172, byte miss ratio 0.1172
result/io_traces.ns34.oracleGeneral.zst LRB cache size     4878, 18800000 req, miss ratio 0.1129, byte miss ratio 0.1129
result/io_traces.ns34.oracleGeneral.zst LRB cache size    16263, 18800000 req, miss ratio 0.1104, byte miss ratio 0.1104
result/io_traces.ns34.oracleGeneral.zst LRB cache size    48789, 18800000 req, miss ratio 0.1081, byte miss ratio 0.1081
result/io_traces.ns34.oracleGeneral.zst LRB cache size   162631, 18800000 req, miss ratio 0.1021, byte miss ratio 0.1021
result/io_traces.ns34.oracleGeneral.zst LRB cache size   325263, 18800000 req, miss ratio 0.0978, byte miss ratio 0.0978
result/io_traces.ns34.oracleGeneral.zst LRB cache size   650527, 18800000 req, miss ratio 0.0936, byte miss ratio 0.0936
result/io_traces.ns34.oracleGeneral.zst LRB cache size  1301055, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1626, 18800000 req, miss ratio 0.1162, byte miss ratio 0.1162
result/io_traces.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size     4878, 18800000 req, miss ratio 0.1147, byte miss ratio 0.1147
result/io_traces.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size    16263, 18800000 req, miss ratio 0.1128, byte miss ratio 0.1128
result/io_traces.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size    48789, 18800000 req, miss ratio 0.1093, byte miss ratio 0.1093
result/io_traces.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size   162631, 18800000 req, miss ratio 0.1011, byte miss ratio 0.1011
result/io_traces.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size   325263, 18800000 req, miss ratio 0.0982, byte miss ratio 0.0982
result/io_traces.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size   650527, 18800000 req, miss ratio 0.0916, byte miss ratio 0.0916
result/io_traces.ns34.oracleGeneral.zst S4LRU(25:25:25:25) cache size  1301055, 18800000 req, miss ratio 0.0870, byte miss ratio 0.0870
result/io_traces.ns34.oracleGeneral.zst B-LRU cache size     1626, 18800000 req, miss ratio 0.1191, byte miss ratio 0.1191
result/io_traces.ns34.oracleGeneral.zst B-LRU cache size     4878, 18800000 req, miss ratio 0.1165, byte miss ratio 0.1165
result/io_traces.ns34.oracleGeneral.zst B-LRU cache size    16263, 18800000 req, miss ratio 0.1129, byte miss ratio 0.1129
result/io_traces.ns34.oracleGeneral.zst B-LRU cache size    48789, 18800000 req, miss ratio 0.1088, byte miss ratio 0.1088
result/io_traces.ns34.oracleGeneral.zst B-LRU cache size   162631, 18800000 req, miss ratio 0.1030, byte miss ratio 0.1030
result/io_traces.ns34.oracleGeneral.zst B-LRU cache size   325263, 18800000 req, miss ratio 0.1016, byte miss ratio 0.1016
result/io_traces.ns34.oracleGeneral.zst B-LRU cache size   650527, 18800000 req, miss ratio 0.1016, byte miss ratio 0.1016
result/io_traces.ns34.oracleGeneral.zst B-LRU cache size  1301055, 18800000 req, miss ratio 0.1016, byte miss ratio 0.1016
result/io_traces.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1626, 18800000 req, miss ratio 0.1213, byte miss ratio 0.1213
result/io_traces.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     4878, 18800000 req, miss ratio 0.1168, byte miss ratio 0.1168
result/io_traces.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    16263, 18800000 req, miss ratio 0.1133, byte miss ratio 0.1133
result/io_traces.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    48789, 18800000 req, miss ratio 0.1095, byte miss ratio 0.1095
result/io_traces.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   162631, 18800000 req, miss ratio 0.1032, byte miss ratio 0.1032
result/io_traces.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   325263, 18800000 req, miss ratio 0.0971, byte miss ratio 0.0971
result/io_traces.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   650527, 18800000 req, miss ratio 0.0922, byte miss ratio 0.0922
result/io_traces.ns34.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size  1301055, 18800000 req, miss ratio 0.0871, byte miss ratio 0.0871
result/io_traces.ns34.oracleGeneral.zst TwoQ cache size     1626, 18800000 req, miss ratio 0.1172, byte miss ratio 0.1172
result/io_traces.ns34.oracleGeneral.zst TwoQ cache size     4878, 18800000 req, miss ratio 0.1155, byte miss ratio 0.1155
result/io_traces.ns34.oracleGeneral.zst TwoQ cache size    16263, 18800000 req, miss ratio 0.1102, byte miss ratio 0.1102
result/io_traces.ns34.oracleGeneral.zst TwoQ cache size    48789, 18800000 req, miss ratio 0.1092, byte miss ratio 0.1092
result/io_traces.ns34.oracleGeneral.zst TwoQ cache size   162631, 18800000 req, miss ratio 0.1035, byte miss ratio 0.1035
result/io_traces.ns34.oracleGeneral.zst TwoQ cache size   325263, 18800000 req, miss ratio 0.0996, byte miss ratio 0.0996
result/io_traces.ns34.oracleGeneral.zst TwoQ cache size   650527, 18800000 req, miss ratio 0.0946, byte miss ratio 0.0946
result/io_traces.ns34.oracleGeneral.zst TwoQ cache size  1301055, 18800000 req, miss ratio 0.0881, byte miss ratio 0.0881
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d cache size     1626, 18800000 req, miss ratio 0.1160, byte miss ratio 0.1160
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d cache size     4878, 18800000 req, miss ratio 0.1147, byte miss ratio 0.1147
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d cache size    16263, 18800000 req, miss ratio 0.1094, byte miss ratio 0.1094
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d cache size    48789, 18800000 req, miss ratio 0.1074, byte miss ratio 0.1074
result/io_traces.ns34.oracleGeneral.zst S3FIFO-d cache size   162631, 18800000 req, miss ratio 0.1009, byte miss ratio 0.1009
