result/tencentBlock.ns2003.oracleGeneral.zst LeCaR cache size      104, 1310061 req, miss ratio 0.4475, byte miss ratio 0.4475
result/tencentBlock.ns2003.oracleGeneral.zst LeCaR cache size      312, 1310061 req, miss ratio 0.4200, byte miss ratio 0.4200
result/tencentBlock.ns2003.oracleGeneral.zst LeCaR cache size     1042, 1310061 req, miss ratio 0.4129, byte miss ratio 0.4129
result/tencentBlock.ns2003.oracleGeneral.zst LeCaR cache size     3126, 1310061 req, miss ratio 0.4109, byte miss ratio 0.4109
result/tencentBlock.ns2003.oracleGeneral.zst LeCaR cache size    10420, 1310061 req, miss ratio 0.4078, byte miss ratio 0.4078
result/tencentBlock.ns2003.oracleGeneral.zst LeCaR cache size    20841, 1310061 req, miss ratio 0.4083, byte miss ratio 0.4083
result/tencentBlock.ns2003.oracleGeneral.zst LeCaR cache size    41682, 1310061 req, miss ratio 0.3293, byte miss ratio 0.3293
result/tencentBlock.ns2003.oracleGeneral.zst LeCaR cache size    83364, 1310061 req, miss ratio 0.0898, byte miss ratio 0.0898
result/tencentBlock.ns2003.oracleGeneral.zst LIRS cache size      104, 1310061 req, miss ratio 0.4306, byte miss ratio 0.4306
result/tencentBlock.ns2003.oracleGeneral.zst LIRS cache size      312, 1310061 req, miss ratio 0.4219, byte miss ratio 0.4219
result/tencentBlock.ns2003.oracleGeneral.zst LIRS cache size     1042, 1310061 req, miss ratio 0.4151, byte miss ratio 0.4151
result/tencentBlock.ns2003.oracleGeneral.zst LIRS cache size     3126, 1310061 req, miss ratio 0.4034, byte miss ratio 0.4034
result/tencentBlock.ns2003.oracleGeneral.zst LIRS cache size    10420, 1310061 req, miss ratio 0.3712, byte miss ratio 0.3712
result/tencentBlock.ns2003.oracleGeneral.zst LIRS cache size    20841, 1310061 req, miss ratio 0.3214, byte miss ratio 0.3214
result/tencentBlock.ns2003.oracleGeneral.zst LIRS cache size    41682, 1310061 req, miss ratio 0.2948, byte miss ratio 0.2948
result/tencentBlock.ns2003.oracleGeneral.zst LIRS cache size    83364, 1310061 req, miss ratio 0.0885, byte miss ratio 0.0885
result/tencentBlock.ns2003.oracleGeneral.zst LRU cache size      104, 1310061 req, miss ratio 0.5644, byte miss ratio 0.5644
result/tencentBlock.ns2003.oracleGeneral.zst LRU cache size      312, 1310061 req, miss ratio 0.4249, byte miss ratio 0.4249
result/tencentBlock.ns2003.oracleGeneral.zst LRU cache size     1042, 1310061 req, miss ratio 0.4142, byte miss ratio 0.4142
result/tencentBlock.ns2003.oracleGeneral.zst LRU cache size     3126, 1310061 req, miss ratio 0.4110, byte miss ratio 0.4110
result/tencentBlock.ns2003.oracleGeneral.zst LRU cache size    10420, 1310061 req, miss ratio 0.4104, byte miss ratio 0.4104
result/tencentBlock.ns2003.oracleGeneral.zst LRU cache size    20841, 1310061 req, miss ratio 0.4085, byte miss ratio 0.4085
result/tencentBlock.ns2003.oracleGeneral.zst LRU cache size    41682, 1310061 req, miss ratio 0.3395, byte miss ratio 0.3395
result/tencentBlock.ns2003.oracleGeneral.zst LRU cache size    83364, 1310061 req, miss ratio 0.0931, byte miss ratio 0.0931
result/tencentBlock.ns2003.oracleGeneral.zst FIFO cache size      104, 1310061 req, miss ratio 0.6792, byte miss ratio 0.6792
result/tencentBlock.ns2003.oracleGeneral.zst FIFO cache size      312, 1310061 req, miss ratio 0.4992, byte miss ratio 0.4992
result/tencentBlock.ns2003.oracleGeneral.zst FIFO cache size     1042, 1310061 req, miss ratio 0.4395, byte miss ratio 0.4395
result/tencentBlock.ns2003.oracleGeneral.zst FIFO cache size     3126, 1310061 req, miss ratio 0.4207, byte miss ratio 0.4207
result/tencentBlock.ns2003.oracleGeneral.zst FIFO cache size    10420, 1310061 req, miss ratio 0.4135, byte miss ratio 0.4135
result/tencentBlock.ns2003.oracleGeneral.zst FIFO cache size    20841, 1310061 req, miss ratio 0.4100, byte miss ratio 0.4100
result/tencentBlock.ns2003.oracleGeneral.zst FIFO cache size    41682, 1310061 req, miss ratio 0.3490, byte miss ratio 0.3490
result/tencentBlock.ns2003.oracleGeneral.zst FIFO cache size    83364, 1310061 req, miss ratio 0.1183, byte miss ratio 0.1183
result/tencentBlock.ns2003.oracleGeneral.zst Clock cache size      104, 1310061 req, miss ratio 0.4777, byte miss ratio 0.4777
result/tencentBlock.ns2003.oracleGeneral.zst Clock cache size      312, 1310061 req, miss ratio 0.4227, byte miss ratio 0.4227
result/tencentBlock.ns2003.oracleGeneral.zst Clock cache size     1042, 1310061 req, miss ratio 0.4139, byte miss ratio 0.4139
result/tencentBlock.ns2003.oracleGeneral.zst Clock cache size     3126, 1310061 req, miss ratio 0.4109, byte miss ratio 0.4109
result/tencentBlock.ns2003.oracleGeneral.zst Clock cache size    10420, 1310061 req, miss ratio 0.4102, byte miss ratio 0.4102
result/tencentBlock.ns2003.oracleGeneral.zst Clock cache size    20841, 1310061 req, miss ratio 0.4097, byte miss ratio 0.4097
result/tencentBlock.ns2003.oracleGeneral.zst Clock cache size    41682, 1310061 req, miss ratio 0.3225, byte miss ratio 0.3225
result/tencentBlock.ns2003.oracleGeneral.zst Clock cache size    83364, 1310061 req, miss ratio 0.0926, byte miss ratio 0.0926
result/tencentBlock.ns2003.oracleGeneral.zst clock2 cache size      104, 1310061 req, miss ratio 0.4521, byte miss ratio 0.4521
result/tencentBlock.ns2003.oracleGeneral.zst clock2 cache size      312, 1310061 req, miss ratio 0.4211, byte miss ratio 0.4211
result/tencentBlock.ns2003.oracleGeneral.zst clock2 cache size     1042, 1310061 req, miss ratio 0.4133, byte miss ratio 0.4133
result/tencentBlock.ns2003.oracleGeneral.zst clock2 cache size     3126, 1310061 req, miss ratio 0.4109, byte miss ratio 0.4109
result/tencentBlock.ns2003.oracleGeneral.zst clock2 cache size    10420, 1310061 req, miss ratio 0.4102, byte miss ratio 0.4102
result/tencentBlock.ns2003.oracleGeneral.zst clock2 cache size    20841, 1310061 req, miss ratio 0.4054, byte miss ratio 0.4054
result/tencentBlock.ns2003.oracleGeneral.zst clock2 cache size    41682, 1310061 req, miss ratio 0.3201, byte miss ratio 0.3201
result/tencentBlock.ns2003.oracleGeneral.zst clock2 cache size    83364, 1310061 req, miss ratio 0.0923, byte miss ratio 0.0923
result/tencentBlock.ns2003.oracleGeneral.zst LHD cache size      104, 1310061 req, miss ratio 0.4417, byte miss ratio 0.4417
result/tencentBlock.ns2003.oracleGeneral.zst LHD cache size      312, 1310061 req, miss ratio 0.4223, byte miss ratio 0.4223
result/tencentBlock.ns2003.oracleGeneral.zst LHD cache size     1042, 1310061 req, miss ratio 0.4135, byte miss ratio 0.4135
result/tencentBlock.ns2003.oracleGeneral.zst LHD cache size     3126, 1310061 req, miss ratio 0.4108, byte miss ratio 0.4108
result/tencentBlock.ns2003.oracleGeneral.zst LHD cache size    10420, 1310061 req, miss ratio 0.4047, byte miss ratio 0.4047
result/tencentBlock.ns2003.oracleGeneral.zst LHD cache size    20841, 1310061 req, miss ratio 0.3878, byte miss ratio 0.3878
result/tencentBlock.ns2003.oracleGeneral.zst LHD cache size    41682, 1310061 req, miss ratio 0.3042, byte miss ratio 0.3042
result/tencentBlock.ns2003.oracleGeneral.zst LHD cache size    83364, 1310061 req, miss ratio 0.0980, byte miss ratio 0.0980
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-1 cache size      104, 1310061 req, miss ratio 0.4285, byte miss ratio 0.4285
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-1 cache size      312, 1310061 req, miss ratio 0.4148, byte miss ratio 0.4148
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-1 cache size     1042, 1310061 req, miss ratio 0.4116, byte miss ratio 0.4116
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-1 cache size     3126, 1310061 req, miss ratio 0.4046, byte miss ratio 0.4046
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-1 cache size    10420, 1310061 req, miss ratio 0.4039, byte miss ratio 0.4039
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-1 cache size    20841, 1310061 req, miss ratio 0.3336, byte miss ratio 0.3336
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-1 cache size    41682, 1310061 req, miss ratio 0.2953, byte miss ratio 0.2953
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-1 cache size    83364, 1310061 req, miss ratio 0.0925, byte miss ratio 0.0925
result/tencentBlock.ns2003.oracleGeneral.zst ARC cache size      104, 1310061 req, miss ratio 0.4237, byte miss ratio 0.4237
result/tencentBlock.ns2003.oracleGeneral.zst ARC cache size      312, 1310061 req, miss ratio 0.4144, byte miss ratio 0.4144
result/tencentBlock.ns2003.oracleGeneral.zst ARC cache size     1042, 1310061 req, miss ratio 0.4120, byte miss ratio 0.4120
result/tencentBlock.ns2003.oracleGeneral.zst ARC cache size     3126, 1310061 req, miss ratio 0.4056, byte miss ratio 0.4056
result/tencentBlock.ns2003.oracleGeneral.zst ARC cache size    10420, 1310061 req, miss ratio 0.4041, byte miss ratio 0.4041
result/tencentBlock.ns2003.oracleGeneral.zst ARC cache size    20841, 1310061 req, miss ratio 0.4001, byte miss ratio 0.4001
result/tencentBlock.ns2003.oracleGeneral.zst ARC cache size    41682, 1310061 req, miss ratio 0.3093, byte miss ratio 0.3093
result/tencentBlock.ns2003.oracleGeneral.zst ARC cache size    83364, 1310061 req, miss ratio 0.0891, byte miss ratio 0.0891
result/tencentBlock.ns2003.oracleGeneral.zst Cacheus cache size      104, 1310061 req, miss ratio 0.4424, byte miss ratio 0.4424
result/tencentBlock.ns2003.oracleGeneral.zst Cacheus cache size      312, 1310061 req, miss ratio 0.4139, byte miss ratio 0.4139
result/tencentBlock.ns2003.oracleGeneral.zst Cacheus cache size     1042, 1310061 req, miss ratio 0.4114, byte miss ratio 0.4114
result/tencentBlock.ns2003.oracleGeneral.zst Cacheus cache size     3126, 1310061 req, miss ratio 0.4103, byte miss ratio 0.4103
result/tencentBlock.ns2003.oracleGeneral.zst Cacheus cache size    10420, 1310061 req, miss ratio 0.4040, byte miss ratio 0.4040
result/tencentBlock.ns2003.oracleGeneral.zst Cacheus cache size    20841, 1310061 req, miss ratio 0.3615, byte miss ratio 0.3615
result/tencentBlock.ns2003.oracleGeneral.zst Cacheus cache size    41682, 1310061 req, miss ratio 0.2968, byte miss ratio 0.2968
result/tencentBlock.ns2003.oracleGeneral.zst Cacheus cache size    83364, 1310061 req, miss ratio 0.0940, byte miss ratio 0.0940
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-d-1 cache size      104, 1310061 req, miss ratio 0.4274, byte miss ratio 0.4274
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-d-1 cache size      312, 1310061 req, miss ratio 0.4147, byte miss ratio 0.4147
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-d-1 cache size     1042, 1310061 req, miss ratio 0.4116, byte miss ratio 0.4116
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-d-1 cache size     3126, 1310061 req, miss ratio 0.4046, byte miss ratio 0.4046
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-d-1 cache size    10420, 1310061 req, miss ratio 0.4039, byte miss ratio 0.4039
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-d-1 cache size    20841, 1310061 req, miss ratio 0.3333, byte miss ratio 0.3333
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-d-1 cache size    41682, 1310061 req, miss ratio 0.2987, byte miss ratio 0.2987
result/tencentBlock.ns2003.oracleGeneral.zst S3FIFO-d-1 cache size    83364, 1310061 req, miss ratio 0.0929, byte miss ratio 0.0929
result/tencentBlock.ns2003.oracleGeneral.zst LRB cache size      104, 1310061 req, miss ratio 0.4888, byte miss ratio 0.4888
result/tencentBlock.ns2003.oracleGeneral.zst LRB cache size      312, 1310061 req, miss ratio 0.4433, byte miss ratio 0.4433
result/tencentBlock.ns2003.oracleGeneral.zst LRB cache size     1042, 1310061 req, miss ratio 0.4200, byte miss ratio 0.4200
result/tencentBlock.ns2003.oracleGeneral.zst LRB cache size     3126, 1310061 req, miss ratio 0.4031, byte miss ratio 0.4031
result/tencentBlock.ns2003.oracleGeneral.zst LRB cache size    10420, 1310061 req, miss ratio 0.3733, byte miss ratio 0.3733
result/tencentBlock.ns2003.oracleGeneral.zst LRB cache size    20841, 1310061 req, miss ratio 0.3344, byte miss ratio 0.3344
result/tencentBlock.ns2003.oracleGeneral.zst LRB cache size    41682, 1310061 req, miss ratio 0.2518, byte miss ratio 0.2518
result/tencentBlock.ns2003.oracleGeneral.zst LRB cache size    83364, 1310061 req, miss ratio 0.0919, byte miss ratio 0.0919
result/tencentBlock.ns2003.oracleGeneral.zst TwoQ cache size      104, 1310061 req, miss ratio 0.4332, byte miss ratio 0.4332
result/tencentBlock.ns2003.oracleGeneral.zst TwoQ cache size      312, 1310061 req, miss ratio 0.4204, byte miss ratio 0.4204
result/tencentBlock.ns2003.oracleGeneral.zst TwoQ cache size     1042, 1310061 req, miss ratio 0.4125, byte miss ratio 0.4125
result/tencentBlock.ns2003.oracleGeneral.zst TwoQ cache size     3126, 1310061 req, miss ratio 0.4106, byte miss ratio 0.4106
result/tencentBlock.ns2003.oracleGeneral.zst TwoQ cache size    10420, 1310061 req, miss ratio 0.4101, byte miss ratio 0.4101
result/tencentBlock.ns2003.oracleGeneral.zst TwoQ cache size    20841, 1310061 req, miss ratio 0.3521, byte miss ratio 0.3521
result/tencentBlock.ns2003.oracleGeneral.zst TwoQ cache size    41682, 1310061 req, miss ratio 0.3272, byte miss ratio 0.3272
result/tencentBlock.ns2003.oracleGeneral.zst TwoQ cache size    83364, 1310061 req, miss ratio 0.1183, byte miss ratio 0.1183
result/tencentBlock.ns2003.oracleGeneral.zst B-LRU cache size      104, 1310061 req, miss ratio 0.5229, byte miss ratio 0.5229
result/tencentBlock.ns2003.oracleGeneral.zst B-LRU cache size      312, 1310061 req, miss ratio 0.4293, byte miss ratio 0.4293
result/tencentBlock.ns2003.oracleGeneral.zst B-LRU cache size     1042, 1310061 req, miss ratio 0.4202, byte miss ratio 0.4202
result/tencentBlock.ns2003.oracleGeneral.zst B-LRU cache size     3126, 1310061 req, miss ratio 0.4173, byte miss ratio 0.4173
result/tencentBlock.ns2003.oracleGeneral.zst B-LRU cache size    10420, 1310061 req, miss ratio 0.4160, byte miss ratio 0.4160
result/tencentBlock.ns2003.oracleGeneral.zst B-LRU cache size    20841, 1310061 req, miss ratio 0.4074, byte miss ratio 0.4074
result/tencentBlock.ns2003.oracleGeneral.zst B-LRU cache size    41682, 1310061 req, miss ratio 0.3448, byte miss ratio 0.3448
result/tencentBlock.ns2003.oracleGeneral.zst B-LRU cache size    83364, 1310061 req, miss ratio 0.1496, byte miss ratio 0.1496
result/tencentBlock.ns2003.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      104, 1310061 req, miss ratio 0.5807, byte miss ratio 0.5807
result/tencentBlock.ns2003.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      312, 1310061 req, miss ratio 0.4308, byte miss ratio 0.4308
result/tencentBlock.ns2003.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1042, 1310061 req, miss ratio 0.4160, byte miss ratio 0.4160
