result/ibis_api_cache.0.oracleGeneral.sample10.zst Clock cache size    86074, 314957022 req, miss ratio 0.0763, byte miss ratio 0.0763
result/ibis_api_cache.0.oracleGeneral.sample10.zst Clock cache size   258224, 314957022 req, miss ratio 0.0634, byte miss ratio 0.0634
result/ibis_api_cache.0.oracleGeneral.sample10.zst Clock cache size   860747, 314957022 req, miss ratio 0.0449, byte miss ratio 0.0449
result/ibis_api_cache.0.oracleGeneral.sample10.zst Clock cache size  1721495, 314957022 req, miss ratio 0.0328, byte miss ratio 0.0328
result/ibis_api_cache.0.oracleGeneral.sample10.zst Clock cache size  3442991, 314957022 req, miss ratio 0.0281, byte miss ratio 0.0281
result/ibis_api_cache.0.oracleGeneral.sample10.zst Clock cache size  6885982, 314957022 req, miss ratio 0.0273, byte miss ratio 0.0273
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     8607, 314957022 req, miss ratio 0.1016, byte miss ratio 0.1016
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    25822, 314957022 req, miss ratio 0.0847, byte miss ratio 0.0847
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    86074, 314957022 req, miss ratio 0.0700, byte miss ratio 0.0700
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   258224, 314957022 req, miss ratio 0.0561, byte miss ratio 0.0561
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   860747, 314957022 req, miss ratio 0.0369, byte miss ratio 0.0369
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1721495, 314957022 req, miss ratio 0.0286, byte miss ratio 0.0286
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  3442991, 314957022 req, miss ratio 0.0276, byte miss ratio 0.0276
result/ibis_api_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  6885982, 314957022 req, miss ratio 0.0273, byte miss ratio 0.0273
result/ibis_api_cache.0.oracleGeneral.sample10.zst LRB cache size     8607, 314957022 req, miss ratio 0.1019, byte miss ratio 0.1019
result/ibis_api_cache.0.oracleGeneral.sample10.zst LRB cache size    25822, 314957022 req, miss ratio 0.0853, byte miss ratio 0.0853
result/ibis_api_cache.0.oracleGeneral.sample10.zst LRB cache size    86074, 314957022 req, miss ratio 0.0702, byte miss ratio 0.0702
result/ibis_api_cache.0.oracleGeneral.sample10.zst LRB cache size   258224, 314957022 req, miss ratio 0.0555, byte miss ratio 0.0555
result/ibis_api_cache.0.oracleGeneral.sample10.zst LRB cache size   860747, 314957022 req, miss ratio 0.0349, byte miss ratio 0.0349
result/ibis_api_cache.0.oracleGeneral.sample10.zst LRB cache size  1721495, 314957022 req, miss ratio 0.0310, byte miss ratio 0.0310
result/ibis_api_cache.0.oracleGeneral.sample10.zst LRB cache size  3442991, 314957022 req, miss ratio 0.0288, byte miss ratio 0.0288
result/ibis_api_cache.0.oracleGeneral.sample10.zst LRB cache size  6885982, 314957022 req, miss ratio 0.0274, byte miss ratio 0.0274
result/ibis_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size     8607, 314957022 req, miss ratio 0.1104, byte miss ratio 0.1104
result/ibis_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    25822, 314957022 req, miss ratio 0.0890, byte miss ratio 0.0890
result/ibis_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size    86074, 314957022 req, miss ratio 0.0736, byte miss ratio 0.0736
result/ibis_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   258224, 314957022 req, miss ratio 0.0609, byte miss ratio 0.0609
result/ibis_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size   860747, 314957022 req, miss ratio 0.0444, byte miss ratio 0.0444
result/ibis_api_cache.0.oracleGeneral.sample10.zst FIFO_Merge_FREQUENCY cache size  1721495, 314957022 req, miss ratio 0.0337, byte miss ratio 0.0337
