result/cdn1_nyc.ns338.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size      818, 1000762 req, miss ratio 0.0034, byte miss ratio 0.0034
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S4LRU(25:25:25:25) cache size     1636, 1000762 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn1_nyc.ns338.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size        6, 1000762 req, miss ratio 0.0449, byte miss ratio 0.0449
result/cdn1_nyc.ns338.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       20, 1000762 req, miss ratio 0.0356, byte miss ratio 0.0356
result/cdn1_nyc.ns338.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size       61, 1000762 req, miss ratio 0.0291, byte miss ratio 0.0291
result/cdn1_nyc.ns338.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      204, 1000762 req, miss ratio 0.0179, byte miss ratio 0.0179
result/cdn1_nyc.ns338.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      409, 1000762 req, miss ratio 0.0106, byte miss ratio 0.0106
result/cdn1_nyc.ns338.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size      818, 1000762 req, miss ratio 0.0044, byte miss ratio 0.0044
result/cdn1_nyc.ns338.oracleGeneral.bin.zst FIFO_Merge_FREQUENCY cache size     1636, 1000762 req, miss ratio 0.0025, byte miss ratio 0.0025
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO cache size        6, 1000762 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO cache size       20, 1000762 req, miss ratio 0.0303, byte miss ratio 0.0303
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO cache size       61, 1000762 req, miss ratio 0.0244, byte miss ratio 0.0244
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO cache size      204, 1000762 req, miss ratio 0.0159, byte miss ratio 0.0159
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO cache size      409, 1000762 req, miss ratio 0.0094, byte miss ratio 0.0094
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO cache size      818, 1000762 req, miss ratio 0.0033, byte miss ratio 0.0033
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO cache size     1636, 1000762 req, miss ratio 0.0021, byte miss ratio 0.0021
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO-d cache size        6, 1000762 req, miss ratio 1.0000, byte miss ratio 1.0000
result/cdn1_nyc.ns338.oracleGeneral.bin.zst S3FIFO-d cache size       20, 1000762 req, miss ratio 0.0301, byte miss ratio 0.0301
