result/tencentBlock.ns3180.oracleGeneral.zst LIRS cache size      112, 1340834 req, miss ratio 0.4313, byte miss ratio 0.4313
result/tencentBlock.ns3180.oracleGeneral.zst LIRS cache size      338, 1340834 req, miss ratio 0.3830, byte miss ratio 0.3830
result/tencentBlock.ns3180.oracleGeneral.zst LIRS cache size     1129, 1340834 req, miss ratio 0.3533, byte miss ratio 0.3533
result/tencentBlock.ns3180.oracleGeneral.zst LIRS cache size     3389, 1340834 req, miss ratio 0.3067, byte miss ratio 0.3067
result/tencentBlock.ns3180.oracleGeneral.zst LIRS cache size    11299, 1340834 req, miss ratio 0.2696, byte miss ratio 0.2696
result/tencentBlock.ns3180.oracleGeneral.zst LIRS cache size    22598, 1340834 req, miss ratio 0.2311, byte miss ratio 0.2311
result/tencentBlock.ns3180.oracleGeneral.zst LIRS cache size    45196, 1340834 req, miss ratio 0.1798, byte miss ratio 0.1798
result/tencentBlock.ns3180.oracleGeneral.zst LIRS cache size    90392, 1340834 req, miss ratio 0.0950, byte miss ratio 0.0950
result/tencentBlock.ns3180.oracleGeneral.zst LRU cache size      112, 1340834 req, miss ratio 0.4829, byte miss ratio 0.4829
result/tencentBlock.ns3180.oracleGeneral.zst LRU cache size      338, 1340834 req, miss ratio 0.3981, byte miss ratio 0.3981
result/tencentBlock.ns3180.oracleGeneral.zst LRU cache size     1129, 1340834 req, miss ratio 0.3655, byte miss ratio 0.3655
result/tencentBlock.ns3180.oracleGeneral.zst LRU cache size     3389, 1340834 req, miss ratio 0.3519, byte miss ratio 0.3519
result/tencentBlock.ns3180.oracleGeneral.zst LRU cache size    11299, 1340834 req, miss ratio 0.2851, byte miss ratio 0.2851
result/tencentBlock.ns3180.oracleGeneral.zst LRU cache size    22598, 1340834 req, miss ratio 0.2626, byte miss ratio 0.2626
result/tencentBlock.ns3180.oracleGeneral.zst LRU cache size    45196, 1340834 req, miss ratio 0.2419, byte miss ratio 0.2419
result/tencentBlock.ns3180.oracleGeneral.zst LRU cache size    90392, 1340834 req, miss ratio 0.1005, byte miss ratio 0.1005
result/tencentBlock.ns3180.oracleGeneral.zst ARC cache size      112, 1340834 req, miss ratio 0.4269, byte miss ratio 0.4269
result/tencentBlock.ns3180.oracleGeneral.zst ARC cache size      338, 1340834 req, miss ratio 0.3714, byte miss ratio 0.3714
result/tencentBlock.ns3180.oracleGeneral.zst ARC cache size     1129, 1340834 req, miss ratio 0.3471, byte miss ratio 0.3471
result/tencentBlock.ns3180.oracleGeneral.zst ARC cache size     3389, 1340834 req, miss ratio 0.3318, byte miss ratio 0.3318
result/tencentBlock.ns3180.oracleGeneral.zst ARC cache size    11299, 1340834 req, miss ratio 0.2728, byte miss ratio 0.2728
result/tencentBlock.ns3180.oracleGeneral.zst ARC cache size    22598, 1340834 req, miss ratio 0.2350, byte miss ratio 0.2350
result/tencentBlock.ns3180.oracleGeneral.zst ARC cache size    45196, 1340834 req, miss ratio 0.2260, byte miss ratio 0.2260
result/tencentBlock.ns3180.oracleGeneral.zst ARC cache size    90392, 1340834 req, miss ratio 0.1024, byte miss ratio 0.1024
result/tencentBlock.ns3180.oracleGeneral.zst LHD cache size      112, 1340834 req, miss ratio 0.4559, byte miss ratio 0.4559
result/tencentBlock.ns3180.oracleGeneral.zst LHD cache size      338, 1340834 req, miss ratio 0.3877, byte miss ratio 0.3877
result/tencentBlock.ns3180.oracleGeneral.zst LHD cache size     1129, 1340834 req, miss ratio 0.3622, byte miss ratio 0.3622
result/tencentBlock.ns3180.oracleGeneral.zst LHD cache size     3389, 1340834 req, miss ratio 0.3447, byte miss ratio 0.3447
result/tencentBlock.ns3180.oracleGeneral.zst LHD cache size    11299, 1340834 req, miss ratio 0.2817, byte miss ratio 0.2817
result/tencentBlock.ns3180.oracleGeneral.zst LHD cache size    22598, 1340834 req, miss ratio 0.2584, byte miss ratio 0.2584
result/tencentBlock.ns3180.oracleGeneral.zst LHD cache size    45196, 1340834 req, miss ratio 0.2257, byte miss ratio 0.2257
result/tencentBlock.ns3180.oracleGeneral.zst LHD cache size    90392, 1340834 req, miss ratio 0.0993, byte miss ratio 0.0993
result/tencentBlock.ns3180.oracleGeneral.zst Cacheus cache size      112, 1340834 req, miss ratio 0.4410, byte miss ratio 0.4410
result/tencentBlock.ns3180.oracleGeneral.zst Cacheus cache size      338, 1340834 req, miss ratio 0.3749, byte miss ratio 0.3749
result/tencentBlock.ns3180.oracleGeneral.zst Cacheus cache size     1129, 1340834 req, miss ratio 0.3505, byte miss ratio 0.3505
result/tencentBlock.ns3180.oracleGeneral.zst Cacheus cache size     3389, 1340834 req, miss ratio 0.3167, byte miss ratio 0.3167
result/tencentBlock.ns3180.oracleGeneral.zst Cacheus cache size    11299, 1340834 req, miss ratio 0.2784, byte miss ratio 0.2784
result/tencentBlock.ns3180.oracleGeneral.zst Cacheus cache size    22598, 1340834 req, miss ratio 0.2360, byte miss ratio 0.2360
result/tencentBlock.ns3180.oracleGeneral.zst Cacheus cache size    45196, 1340834 req, miss ratio 0.1949, byte miss ratio 0.1949
result/tencentBlock.ns3180.oracleGeneral.zst Cacheus cache size    90392, 1340834 req, miss ratio 0.1047, byte miss ratio 0.1047
result/tencentBlock.ns3180.oracleGeneral.zst Clock cache size      112, 1340834 req, miss ratio 0.4737, byte miss ratio 0.4737
result/tencentBlock.ns3180.oracleGeneral.zst Clock cache size      338, 1340834 req, miss ratio 0.3936, byte miss ratio 0.3936
result/tencentBlock.ns3180.oracleGeneral.zst Clock cache size     1129, 1340834 req, miss ratio 0.3639, byte miss ratio 0.3639
result/tencentBlock.ns3180.oracleGeneral.zst Clock cache size     3389, 1340834 req, miss ratio 0.3488, byte miss ratio 0.3488
result/tencentBlock.ns3180.oracleGeneral.zst Clock cache size    11299, 1340834 req, miss ratio 0.2811, byte miss ratio 0.2811
result/tencentBlock.ns3180.oracleGeneral.zst Clock cache size    22598, 1340834 req, miss ratio 0.2591, byte miss ratio 0.2591
result/tencentBlock.ns3180.oracleGeneral.zst Clock cache size    45196, 1340834 req, miss ratio 0.2329, byte miss ratio 0.2329
result/tencentBlock.ns3180.oracleGeneral.zst Clock cache size    90392, 1340834 req, miss ratio 0.1018, byte miss ratio 0.1018
result/tencentBlock.ns3180.oracleGeneral.zst FIFO cache size      112, 1340834 req, miss ratio 0.5662, byte miss ratio 0.5662
result/tencentBlock.ns3180.oracleGeneral.zst FIFO cache size      338, 1340834 req, miss ratio 0.4465, byte miss ratio 0.4465
result/tencentBlock.ns3180.oracleGeneral.zst FIFO cache size     1129, 1340834 req, miss ratio 0.3861, byte miss ratio 0.3861
result/tencentBlock.ns3180.oracleGeneral.zst FIFO cache size     3389, 1340834 req, miss ratio 0.3629, byte miss ratio 0.3629
result/tencentBlock.ns3180.oracleGeneral.zst FIFO cache size    11299, 1340834 req, miss ratio 0.3055, byte miss ratio 0.3055
result/tencentBlock.ns3180.oracleGeneral.zst FIFO cache size    22598, 1340834 req, miss ratio 0.2769, byte miss ratio 0.2769
result/tencentBlock.ns3180.oracleGeneral.zst FIFO cache size    45196, 1340834 req, miss ratio 0.2542, byte miss ratio 0.2542
result/tencentBlock.ns3180.oracleGeneral.zst FIFO cache size    90392, 1340834 req, miss ratio 0.1109, byte miss ratio 0.1109
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-1 cache size      112, 1340834 req, miss ratio 0.4347, byte miss ratio 0.4347
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-1 cache size      338, 1340834 req, miss ratio 0.3741, byte miss ratio 0.3741
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-1 cache size     1129, 1340834 req, miss ratio 0.3463, byte miss ratio 0.3463
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-1 cache size     3389, 1340834 req, miss ratio 0.3110, byte miss ratio 0.3110
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-1 cache size    11299, 1340834 req, miss ratio 0.2708, byte miss ratio 0.2708
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-1 cache size    22598, 1340834 req, miss ratio 0.2347, byte miss ratio 0.2347
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-1 cache size    45196, 1340834 req, miss ratio 0.2137, byte miss ratio 0.2137
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-1 cache size    90392, 1340834 req, miss ratio 0.1012, byte miss ratio 0.1012
result/tencentBlock.ns3180.oracleGeneral.zst clock2 cache size      112, 1340834 req, miss ratio 0.4743, byte miss ratio 0.4743
result/tencentBlock.ns3180.oracleGeneral.zst clock2 cache size      338, 1340834 req, miss ratio 0.3924, byte miss ratio 0.3924
result/tencentBlock.ns3180.oracleGeneral.zst clock2 cache size     1129, 1340834 req, miss ratio 0.3622, byte miss ratio 0.3622
result/tencentBlock.ns3180.oracleGeneral.zst clock2 cache size     3389, 1340834 req, miss ratio 0.3468, byte miss ratio 0.3468
result/tencentBlock.ns3180.oracleGeneral.zst clock2 cache size    11299, 1340834 req, miss ratio 0.2801, byte miss ratio 0.2801
result/tencentBlock.ns3180.oracleGeneral.zst clock2 cache size    22598, 1340834 req, miss ratio 0.2572, byte miss ratio 0.2572
result/tencentBlock.ns3180.oracleGeneral.zst clock2 cache size    45196, 1340834 req, miss ratio 0.2379, byte miss ratio 0.2379
result/tencentBlock.ns3180.oracleGeneral.zst clock2 cache size    90392, 1340834 req, miss ratio 0.1027, byte miss ratio 0.1027
result/tencentBlock.ns3180.oracleGeneral.zst LeCaR cache size      112, 1340834 req, miss ratio 0.4692, byte miss ratio 0.4692
result/tencentBlock.ns3180.oracleGeneral.zst LeCaR cache size      338, 1340834 req, miss ratio 0.3834, byte miss ratio 0.3834
result/tencentBlock.ns3180.oracleGeneral.zst LeCaR cache size     1129, 1340834 req, miss ratio 0.3601, byte miss ratio 0.3601
result/tencentBlock.ns3180.oracleGeneral.zst LeCaR cache size     3389, 1340834 req, miss ratio 0.3437, byte miss ratio 0.3437
result/tencentBlock.ns3180.oracleGeneral.zst LeCaR cache size    11299, 1340834 req, miss ratio 0.2833, byte miss ratio 0.2833
result/tencentBlock.ns3180.oracleGeneral.zst LeCaR cache size    22598, 1340834 req, miss ratio 0.2547, byte miss ratio 0.2547
result/tencentBlock.ns3180.oracleGeneral.zst LeCaR cache size    45196, 1340834 req, miss ratio 0.2355, byte miss ratio 0.2355
result/tencentBlock.ns3180.oracleGeneral.zst LeCaR cache size    90392, 1340834 req, miss ratio 0.1010, byte miss ratio 0.1010
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-d-1 cache size      112, 1340834 req, miss ratio 0.4350, byte miss ratio 0.4350
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-d-1 cache size      338, 1340834 req, miss ratio 0.3710, byte miss ratio 0.3710
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-d-1 cache size     1129, 1340834 req, miss ratio 0.3462, byte miss ratio 0.3462
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-d-1 cache size     3389, 1340834 req, miss ratio 0.3110, byte miss ratio 0.3110
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-d-1 cache size    11299, 1340834 req, miss ratio 0.2706, byte miss ratio 0.2706
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-d-1 cache size    22598, 1340834 req, miss ratio 0.2345, byte miss ratio 0.2345
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-d-1 cache size    45196, 1340834 req, miss ratio 0.2130, byte miss ratio 0.2130
result/tencentBlock.ns3180.oracleGeneral.zst S3FIFO-d-1 cache size    90392, 1340834 req, miss ratio 0.1013, byte miss ratio 0.1013
result/tencentBlock.ns3180.oracleGeneral.zst LRB cache size      112, 1340834 req, miss ratio 0.4815, byte miss ratio 0.4815
result/tencentBlock.ns3180.oracleGeneral.zst LRB cache size      338, 1340834 req, miss ratio 0.4104, byte miss ratio 0.4104
result/tencentBlock.ns3180.oracleGeneral.zst LRB cache size     1129, 1340834 req, miss ratio 0.3587, byte miss ratio 0.3587
result/tencentBlock.ns3180.oracleGeneral.zst LRB cache size     3389, 1340834 req, miss ratio 0.3259, byte miss ratio 0.3259
result/tencentBlock.ns3180.oracleGeneral.zst LRB cache size    11299, 1340834 req, miss ratio 0.2747, byte miss ratio 0.2747
result/tencentBlock.ns3180.oracleGeneral.zst LRB cache size    22598, 1340834 req, miss ratio 0.2452, byte miss ratio 0.2452
result/tencentBlock.ns3180.oracleGeneral.zst LRB cache size    45196, 1340834 req, miss ratio 0.1987, byte miss ratio 0.1987
result/tencentBlock.ns3180.oracleGeneral.zst LRB cache size    90392, 1340834 req, miss ratio 0.1035, byte miss ratio 0.1035
result/tencentBlock.ns3180.oracleGeneral.zst S4LRU(25:25:25:25) cache size      112, 1340834 req, miss ratio 0.4898, byte miss ratio 0.4898
result/tencentBlock.ns3180.oracleGeneral.zst S4LRU(25:25:25:25) cache size      338, 1340834 req, miss ratio 0.3966, byte miss ratio 0.3966
result/tencentBlock.ns3180.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1129, 1340834 req, miss ratio 0.3536, byte miss ratio 0.3536
