result/tencentBlock.ns11753.oracleGeneral.zst Clock cache size       54, 1573928 req, miss ratio 0.2789, byte miss ratio 0.2789
result/tencentBlock.ns11753.oracleGeneral.zst Clock cache size      163, 1573928 req, miss ratio 0.1624, byte miss ratio 0.1624
result/tencentBlock.ns11753.oracleGeneral.zst Clock cache size      545, 1573928 req, miss ratio 0.1346, byte miss ratio 0.1346
result/tencentBlock.ns11753.oracleGeneral.zst Clock cache size     1635, 1573928 req, miss ratio 0.1214, byte miss ratio 0.1214
result/tencentBlock.ns11753.oracleGeneral.zst Clock cache size     5452, 1573928 req, miss ratio 0.1064, byte miss ratio 0.1064
result/tencentBlock.ns11753.oracleGeneral.zst Clock cache size    10904, 1573928 req, miss ratio 0.0831, byte miss ratio 0.0831
result/tencentBlock.ns11753.oracleGeneral.zst Clock cache size    21808, 1573928 req, miss ratio 0.0592, byte miss ratio 0.0592
result/tencentBlock.ns11753.oracleGeneral.zst Clock cache size    43616, 1573928 req, miss ratio 0.0372, byte miss ratio 0.0372
result/tencentBlock.ns11753.oracleGeneral.zst LIRS cache size       54, 1573928 req, miss ratio 0.2151, byte miss ratio 0.2151
result/tencentBlock.ns11753.oracleGeneral.zst LIRS cache size      163, 1573928 req, miss ratio 0.1615, byte miss ratio 0.1615
result/tencentBlock.ns11753.oracleGeneral.zst LIRS cache size      545, 1573928 req, miss ratio 0.1334, byte miss ratio 0.1334
result/tencentBlock.ns11753.oracleGeneral.zst LIRS cache size     1635, 1573928 req, miss ratio 0.1118, byte miss ratio 0.1118
result/tencentBlock.ns11753.oracleGeneral.zst LIRS cache size     5452, 1573928 req, miss ratio 0.0933, byte miss ratio 0.0933
result/tencentBlock.ns11753.oracleGeneral.zst LIRS cache size    10904, 1573928 req, miss ratio 0.0794, byte miss ratio 0.0794
result/tencentBlock.ns11753.oracleGeneral.zst LIRS cache size    21808, 1573928 req, miss ratio 0.0538, byte miss ratio 0.0538
result/tencentBlock.ns11753.oracleGeneral.zst LIRS cache size    43616, 1573928 req, miss ratio 0.0352, byte miss ratio 0.0352
result/tencentBlock.ns11753.oracleGeneral.zst Cacheus cache size       54, 1573928 req, miss ratio 0.2160, byte miss ratio 0.2160
result/tencentBlock.ns11753.oracleGeneral.zst Cacheus cache size      163, 1573928 req, miss ratio 0.1576, byte miss ratio 0.1576
result/tencentBlock.ns11753.oracleGeneral.zst Cacheus cache size      545, 1573928 req, miss ratio 0.1290, byte miss ratio 0.1290
result/tencentBlock.ns11753.oracleGeneral.zst Cacheus cache size     1635, 1573928 req, miss ratio 0.1124, byte miss ratio 0.1124
result/tencentBlock.ns11753.oracleGeneral.zst Cacheus cache size     5452, 1573928 req, miss ratio 0.0953, byte miss ratio 0.0953
result/tencentBlock.ns11753.oracleGeneral.zst Cacheus cache size    10904, 1573928 req, miss ratio 0.0833, byte miss ratio 0.0833
result/tencentBlock.ns11753.oracleGeneral.zst Cacheus cache size    21808, 1573928 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns11753.oracleGeneral.zst Cacheus cache size    43616, 1573928 req, miss ratio 0.0359, byte miss ratio 0.0359
result/tencentBlock.ns11753.oracleGeneral.zst LRU cache size       54, 1573928 req, miss ratio 0.2732, byte miss ratio 0.2732
result/tencentBlock.ns11753.oracleGeneral.zst LRU cache size      163, 1573928 req, miss ratio 0.1641, byte miss ratio 0.1641
result/tencentBlock.ns11753.oracleGeneral.zst LRU cache size      545, 1573928 req, miss ratio 0.1344, byte miss ratio 0.1344
result/tencentBlock.ns11753.oracleGeneral.zst LRU cache size     1635, 1573928 req, miss ratio 0.1218, byte miss ratio 0.1218
result/tencentBlock.ns11753.oracleGeneral.zst LRU cache size     5452, 1573928 req, miss ratio 0.0918, byte miss ratio 0.0918
result/tencentBlock.ns11753.oracleGeneral.zst LRU cache size    10904, 1573928 req, miss ratio 0.0805, byte miss ratio 0.0805
result/tencentBlock.ns11753.oracleGeneral.zst LRU cache size    21808, 1573928 req, miss ratio 0.0522, byte miss ratio 0.0522
result/tencentBlock.ns11753.oracleGeneral.zst LRU cache size    43616, 1573928 req, miss ratio 0.0352, byte miss ratio 0.0352
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d-1 cache size       54, 1573928 req, miss ratio 0.2218, byte miss ratio 0.2218
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d-1 cache size      163, 1573928 req, miss ratio 0.1450, byte miss ratio 0.1450
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d-1 cache size      545, 1573928 req, miss ratio 0.1273, byte miss ratio 0.1273
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d-1 cache size     1635, 1573928 req, miss ratio 0.1087, byte miss ratio 0.1087
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d-1 cache size     5452, 1573928 req, miss ratio 0.0921, byte miss ratio 0.0921
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d-1 cache size    10904, 1573928 req, miss ratio 0.0810, byte miss ratio 0.0810
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d-1 cache size    21808, 1573928 req, miss ratio 0.0545, byte miss ratio 0.0545
result/tencentBlock.ns11753.oracleGeneral.zst S3FIFO-d-1 cache size    43616, 1573928 req, miss ratio 0.0368, byte miss ratio 0.0368
