result/tencentBlock.ns1915.oracleGeneral.zst LHD cache size      239, 5530528 req, miss ratio 0.3032, byte miss ratio 0.3032
result/tencentBlock.ns1915.oracleGeneral.zst LHD cache size      719, 5530528 req, miss ratio 0.2541, byte miss ratio 0.2541
result/tencentBlock.ns1915.oracleGeneral.zst LHD cache size     2399, 5530528 req, miss ratio 0.2229, byte miss ratio 0.2229
result/tencentBlock.ns1915.oracleGeneral.zst LHD cache size     7197, 5530528 req, miss ratio 0.1911, byte miss ratio 0.1911
result/tencentBlock.ns1915.oracleGeneral.zst LHD cache size    23990, 5530528 req, miss ratio 0.1296, byte miss ratio 0.1296
result/tencentBlock.ns1915.oracleGeneral.zst LHD cache size    47981, 5530528 req, miss ratio 0.0870, byte miss ratio 0.0870
result/tencentBlock.ns1915.oracleGeneral.zst LHD cache size    95963, 5530528 req, miss ratio 0.0574, byte miss ratio 0.0574
result/tencentBlock.ns1915.oracleGeneral.zst LHD cache size   191926, 5530528 req, miss ratio 0.0444, byte miss ratio 0.0444
result/tencentBlock.ns1915.oracleGeneral.zst LIRS cache size      239, 5530528 req, miss ratio 0.3023, byte miss ratio 0.3023
result/tencentBlock.ns1915.oracleGeneral.zst LIRS cache size      719, 5530528 req, miss ratio 0.2586, byte miss ratio 0.2586
result/tencentBlock.ns1915.oracleGeneral.zst LIRS cache size     2399, 5530528 req, miss ratio 0.2221, byte miss ratio 0.2221
result/tencentBlock.ns1915.oracleGeneral.zst LIRS cache size     7197, 5530528 req, miss ratio 0.1898, byte miss ratio 0.1898
result/tencentBlock.ns1915.oracleGeneral.zst LIRS cache size    23990, 5530528 req, miss ratio 0.1265, byte miss ratio 0.1265
result/tencentBlock.ns1915.oracleGeneral.zst LIRS cache size    47981, 5530528 req, miss ratio 0.0875, byte miss ratio 0.0875
result/tencentBlock.ns1915.oracleGeneral.zst LIRS cache size    95963, 5530528 req, miss ratio 0.0527, byte miss ratio 0.0527
result/tencentBlock.ns1915.oracleGeneral.zst LIRS cache size   191926, 5530528 req, miss ratio 0.0446, byte miss ratio 0.0446
result/tencentBlock.ns1915.oracleGeneral.zst clock2 cache size      239, 5530528 req, miss ratio 0.3110, byte miss ratio 0.3110
result/tencentBlock.ns1915.oracleGeneral.zst clock2 cache size      719, 5530528 req, miss ratio 0.2541, byte miss ratio 0.2541
result/tencentBlock.ns1915.oracleGeneral.zst clock2 cache size     2399, 5530528 req, miss ratio 0.2286, byte miss ratio 0.2286
result/tencentBlock.ns1915.oracleGeneral.zst clock2 cache size     7197, 5530528 req, miss ratio 0.2039, byte miss ratio 0.2039
result/tencentBlock.ns1915.oracleGeneral.zst clock2 cache size    23990, 5530528 req, miss ratio 0.1518, byte miss ratio 0.1518
result/tencentBlock.ns1915.oracleGeneral.zst clock2 cache size    47981, 5530528 req, miss ratio 0.0966, byte miss ratio 0.0966
result/tencentBlock.ns1915.oracleGeneral.zst clock2 cache size    95963, 5530528 req, miss ratio 0.0578, byte miss ratio 0.0578
result/tencentBlock.ns1915.oracleGeneral.zst clock2 cache size   191926, 5530528 req, miss ratio 0.0440, byte miss ratio 0.0440
result/tencentBlock.ns1915.oracleGeneral.zst Clock cache size      239, 5530528 req, miss ratio 0.3151, byte miss ratio 0.3151
result/tencentBlock.ns1915.oracleGeneral.zst Clock cache size      719, 5530528 req, miss ratio 0.2571, byte miss ratio 0.2571
result/tencentBlock.ns1915.oracleGeneral.zst Clock cache size     2399, 5530528 req, miss ratio 0.2305, byte miss ratio 0.2305
result/tencentBlock.ns1915.oracleGeneral.zst Clock cache size     7197, 5530528 req, miss ratio 0.2049, byte miss ratio 0.2049
result/tencentBlock.ns1915.oracleGeneral.zst Clock cache size    23990, 5530528 req, miss ratio 0.1448, byte miss ratio 0.1448
result/tencentBlock.ns1915.oracleGeneral.zst Clock cache size    47981, 5530528 req, miss ratio 0.0949, byte miss ratio 0.0949
result/tencentBlock.ns1915.oracleGeneral.zst Clock cache size    95963, 5530528 req, miss ratio 0.0572, byte miss ratio 0.0572
result/tencentBlock.ns1915.oracleGeneral.zst Clock cache size   191926, 5530528 req, miss ratio 0.0440, byte miss ratio 0.0440
result/tencentBlock.ns1915.oracleGeneral.zst FIFO cache size      239, 5530528 req, miss ratio 0.3774, byte miss ratio 0.3774
result/tencentBlock.ns1915.oracleGeneral.zst FIFO cache size      719, 5530528 req, miss ratio 0.2891, byte miss ratio 0.2891
result/tencentBlock.ns1915.oracleGeneral.zst FIFO cache size     2399, 5530528 req, miss ratio 0.2466, byte miss ratio 0.2466
result/tencentBlock.ns1915.oracleGeneral.zst FIFO cache size     7197, 5530528 req, miss ratio 0.2167, byte miss ratio 0.2167
result/tencentBlock.ns1915.oracleGeneral.zst FIFO cache size    23990, 5530528 req, miss ratio 0.1560, byte miss ratio 0.1560
result/tencentBlock.ns1915.oracleGeneral.zst FIFO cache size    47981, 5530528 req, miss ratio 0.1106, byte miss ratio 0.1106
result/tencentBlock.ns1915.oracleGeneral.zst FIFO cache size    95963, 5530528 req, miss ratio 0.0733, byte miss ratio 0.0733
result/tencentBlock.ns1915.oracleGeneral.zst FIFO cache size   191926, 5530528 req, miss ratio 0.0510, byte miss ratio 0.0510
result/tencentBlock.ns1915.oracleGeneral.zst Cacheus cache size      239, 5530528 req, miss ratio 0.2973, byte miss ratio 0.2973
result/tencentBlock.ns1915.oracleGeneral.zst Cacheus cache size      719, 5530528 req, miss ratio 0.2475, byte miss ratio 0.2475
result/tencentBlock.ns1915.oracleGeneral.zst Cacheus cache size     2399, 5530528 req, miss ratio 0.2196, byte miss ratio 0.2196
result/tencentBlock.ns1915.oracleGeneral.zst Cacheus cache size     7197, 5530528 req, miss ratio 0.1918, byte miss ratio 0.1918
result/tencentBlock.ns1915.oracleGeneral.zst Cacheus cache size    23990, 5530528 req, miss ratio 0.1331, byte miss ratio 0.1331
result/tencentBlock.ns1915.oracleGeneral.zst Cacheus cache size    47981, 5530528 req, miss ratio 0.0899, byte miss ratio 0.0899
