result/cdn2_allcolo.ns3111.oracleGeneral.zst LeCaR cache size     9353, 2193373 req, miss ratio 0.0586, byte miss ratio 0.0586
result/cdn2_allcolo.ns3111.oracleGeneral.zst LeCaR cache size    18707, 2193373 req, miss ratio 0.0131, byte miss ratio 0.0131
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO cache size       23, 2193373 req, miss ratio 0.8067, byte miss ratio 0.8067
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO cache size       70, 2193373 req, miss ratio 0.7019, byte miss ratio 0.7019
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO cache size      233, 2193373 req, miss ratio 0.5632, byte miss ratio 0.5632
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO cache size      701, 2193373 req, miss ratio 0.4255, byte miss ratio 0.4255
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO cache size     2338, 2193373 req, miss ratio 0.2702, byte miss ratio 0.2702
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO cache size     4676, 2193373 req, miss ratio 0.1767, byte miss ratio 0.1767
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO cache size     9353, 2193373 req, miss ratio 0.0868, byte miss ratio 0.0868
result/cdn2_allcolo.ns3111.oracleGeneral.zst FIFO cache size    18707, 2193373 req, miss ratio 0.0197, byte miss ratio 0.0197
result/cdn2_allcolo.ns3111.oracleGeneral.zst Clock cache size       23, 2193373 req, miss ratio 0.7913, byte miss ratio 0.7913
result/cdn2_allcolo.ns3111.oracleGeneral.zst Clock cache size       70, 2193373 req, miss ratio 0.6643, byte miss ratio 0.6643
result/cdn2_allcolo.ns3111.oracleGeneral.zst Clock cache size      233, 2193373 req, miss ratio 0.5121, byte miss ratio 0.5121
result/cdn2_allcolo.ns3111.oracleGeneral.zst Clock cache size      701, 2193373 req, miss ratio 0.3750, byte miss ratio 0.3750
result/cdn2_allcolo.ns3111.oracleGeneral.zst Clock cache size     2338, 2193373 req, miss ratio 0.2291, byte miss ratio 0.2291
result/cdn2_allcolo.ns3111.oracleGeneral.zst Clock cache size     4676, 2193373 req, miss ratio 0.1414, byte miss ratio 0.1414
result/cdn2_allcolo.ns3111.oracleGeneral.zst Clock cache size     9353, 2193373 req, miss ratio 0.0621, byte miss ratio 0.0621
result/cdn2_allcolo.ns3111.oracleGeneral.zst Clock cache size    18707, 2193373 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_allcolo.ns3111.oracleGeneral.zst LHD cache size       23, 2193373 req, miss ratio 0.8130, byte miss ratio 0.8130
result/cdn2_allcolo.ns3111.oracleGeneral.zst LHD cache size       70, 2193373 req, miss ratio 0.6619, byte miss ratio 0.6619
result/cdn2_allcolo.ns3111.oracleGeneral.zst LHD cache size      233, 2193373 req, miss ratio 0.4932, byte miss ratio 0.4932
result/cdn2_allcolo.ns3111.oracleGeneral.zst LHD cache size      701, 2193373 req, miss ratio 0.3757, byte miss ratio 0.3757
result/cdn2_allcolo.ns3111.oracleGeneral.zst LHD cache size     2338, 2193373 req, miss ratio 0.2223, byte miss ratio 0.2223
result/cdn2_allcolo.ns3111.oracleGeneral.zst LHD cache size     4676, 2193373 req, miss ratio 0.1365, byte miss ratio 0.1365
result/cdn2_allcolo.ns3111.oracleGeneral.zst LHD cache size     9353, 2193373 req, miss ratio 0.0613, byte miss ratio 0.0613
result/cdn2_allcolo.ns3111.oracleGeneral.zst LHD cache size    18707, 2193373 req, miss ratio 0.0143, byte miss ratio 0.0143
result/cdn2_allcolo.ns3111.oracleGeneral.zst LIRS cache size       23, 2193373 req, miss ratio 0.7673, byte miss ratio 0.7673
result/cdn2_allcolo.ns3111.oracleGeneral.zst LIRS cache size       70, 2193373 req, miss ratio 0.6468, byte miss ratio 0.6468
result/cdn2_allcolo.ns3111.oracleGeneral.zst LIRS cache size      233, 2193373 req, miss ratio 0.4967, byte miss ratio 0.4967
result/cdn2_allcolo.ns3111.oracleGeneral.zst LIRS cache size      701, 2193373 req, miss ratio 0.3593, byte miss ratio 0.3593
result/cdn2_allcolo.ns3111.oracleGeneral.zst LIRS cache size     2338, 2193373 req, miss ratio 0.2145, byte miss ratio 0.2145
result/cdn2_allcolo.ns3111.oracleGeneral.zst LIRS cache size     4676, 2193373 req, miss ratio 0.1304, byte miss ratio 0.1304
result/cdn2_allcolo.ns3111.oracleGeneral.zst LIRS cache size     9353, 2193373 req, miss ratio 0.0578, byte miss ratio 0.0578
result/cdn2_allcolo.ns3111.oracleGeneral.zst LIRS cache size    18707, 2193373 req, miss ratio 0.0134, byte miss ratio 0.0134
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d-1 cache size       23, 2193373 req, miss ratio 0.7591, byte miss ratio 0.7591
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d-1 cache size       70, 2193373 req, miss ratio 0.6109, byte miss ratio 0.6109
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d-1 cache size      233, 2193373 req, miss ratio 0.4566, byte miss ratio 0.4566
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d-1 cache size      701, 2193373 req, miss ratio 0.3322, byte miss ratio 0.3322
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d-1 cache size     2338, 2193373 req, miss ratio 0.2031, byte miss ratio 0.2031
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d-1 cache size     4676, 2193373 req, miss ratio 0.1261, byte miss ratio 0.1261
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d-1 cache size     9353, 2193373 req, miss ratio 0.0559, byte miss ratio 0.0559
result/cdn2_allcolo.ns3111.oracleGeneral.zst S3FIFO-d-1 cache size    18707, 2193373 req, miss ratio 0.0133, byte miss ratio 0.0133
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRB cache size       23, 2193373 req, miss ratio 0.7218, byte miss ratio 0.7218
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRB cache size       70, 2193373 req, miss ratio 0.5894, byte miss ratio 0.5894
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRB cache size      233, 2193373 req, miss ratio 0.4474, byte miss ratio 0.4474
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRB cache size      701, 2193373 req, miss ratio 0.3208, byte miss ratio 0.3208
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRB cache size     2338, 2193373 req, miss ratio 0.1889, byte miss ratio 0.1889
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRB cache size     4676, 2193373 req, miss ratio 0.1159, byte miss ratio 0.1159
result/cdn2_allcolo.ns3111.oracleGeneral.zst LRB cache size     9353, 2193373 req, miss ratio 0.0531, byte miss ratio 0.0531
