result/tencentBlock.ns13571.oracleGeneral.zst ARC cache size      477, 4020705 req, miss ratio 0.5057, byte miss ratio 0.5057
result/tencentBlock.ns13571.oracleGeneral.zst ARC cache size     1432, 4020705 req, miss ratio 0.3561, byte miss ratio 0.3561
result/tencentBlock.ns13571.oracleGeneral.zst ARC cache size     4774, 4020705 req, miss ratio 0.2904, byte miss ratio 0.2904
result/tencentBlock.ns13571.oracleGeneral.zst ARC cache size    14322, 4020705 req, miss ratio 0.2568, byte miss ratio 0.2568
result/tencentBlock.ns13571.oracleGeneral.zst ARC cache size    47742, 4020705 req, miss ratio 0.1955, byte miss ratio 0.1955
result/tencentBlock.ns13571.oracleGeneral.zst ARC cache size    95485, 4020705 req, miss ratio 0.1630, byte miss ratio 0.1630
result/tencentBlock.ns13571.oracleGeneral.zst ARC cache size   190971, 4020705 req, miss ratio 0.1327, byte miss ratio 0.1327
result/tencentBlock.ns13571.oracleGeneral.zst ARC cache size   381942, 4020705 req, miss ratio 0.1203, byte miss ratio 0.1203
result/tencentBlock.ns13571.oracleGeneral.zst LRU cache size      477, 4020705 req, miss ratio 0.5146, byte miss ratio 0.5146
result/tencentBlock.ns13571.oracleGeneral.zst LRU cache size     1432, 4020705 req, miss ratio 0.4086, byte miss ratio 0.4086
result/tencentBlock.ns13571.oracleGeneral.zst LRU cache size     4774, 4020705 req, miss ratio 0.2987, byte miss ratio 0.2987
result/tencentBlock.ns13571.oracleGeneral.zst LRU cache size    14322, 4020705 req, miss ratio 0.2635, byte miss ratio 0.2635
result/tencentBlock.ns13571.oracleGeneral.zst LRU cache size    47742, 4020705 req, miss ratio 0.1933, byte miss ratio 0.1933
result/tencentBlock.ns13571.oracleGeneral.zst LRU cache size    95485, 4020705 req, miss ratio 0.1583, byte miss ratio 0.1583
result/tencentBlock.ns13571.oracleGeneral.zst LRU cache size   190971, 4020705 req, miss ratio 0.1305, byte miss ratio 0.1305
result/tencentBlock.ns13571.oracleGeneral.zst LRU cache size   381942, 4020705 req, miss ratio 0.1194, byte miss ratio 0.1194
result/tencentBlock.ns13571.oracleGeneral.zst FIFO cache size      477, 4020705 req, miss ratio 0.5786, byte miss ratio 0.5786
result/tencentBlock.ns13571.oracleGeneral.zst FIFO cache size     1432, 4020705 req, miss ratio 0.4466, byte miss ratio 0.4466
result/tencentBlock.ns13571.oracleGeneral.zst FIFO cache size     4774, 4020705 req, miss ratio 0.3429, byte miss ratio 0.3429
result/tencentBlock.ns13571.oracleGeneral.zst FIFO cache size    14322, 4020705 req, miss ratio 0.2817, byte miss ratio 0.2817
result/tencentBlock.ns13571.oracleGeneral.zst FIFO cache size    47742, 4020705 req, miss ratio 0.2068, byte miss ratio 0.2068
result/tencentBlock.ns13571.oracleGeneral.zst FIFO cache size    95485, 4020705 req, miss ratio 0.1702, byte miss ratio 0.1702
result/tencentBlock.ns13571.oracleGeneral.zst FIFO cache size   190971, 4020705 req, miss ratio 0.1427, byte miss ratio 0.1427
result/tencentBlock.ns13571.oracleGeneral.zst FIFO cache size   381942, 4020705 req, miss ratio 0.1245, byte miss ratio 0.1245
result/tencentBlock.ns13571.oracleGeneral.zst Cacheus cache size      477, 4020705 req, miss ratio 0.5022, byte miss ratio 0.5022
result/tencentBlock.ns13571.oracleGeneral.zst Cacheus cache size     1432, 4020705 req, miss ratio 0.3837, byte miss ratio 0.3837
result/tencentBlock.ns13571.oracleGeneral.zst Cacheus cache size     4774, 4020705 req, miss ratio 0.2903, byte miss ratio 0.2903
result/tencentBlock.ns13571.oracleGeneral.zst Cacheus cache size    14322, 4020705 req, miss ratio 0.2629, byte miss ratio 0.2629
