result/tencentBlock.ns11501.oracleGeneral.zst Clock cache size      111, 2395920 req, miss ratio 0.4824, byte miss ratio 0.4824
result/tencentBlock.ns11501.oracleGeneral.zst Clock cache size      334, 2395920 req, miss ratio 0.3259, byte miss ratio 0.3259
result/tencentBlock.ns11501.oracleGeneral.zst Clock cache size     1114, 2395920 req, miss ratio 0.2755, byte miss ratio 0.2755
result/tencentBlock.ns11501.oracleGeneral.zst Clock cache size     3342, 2395920 req, miss ratio 0.2644, byte miss ratio 0.2644
result/tencentBlock.ns11501.oracleGeneral.zst Clock cache size    11141, 2395920 req, miss ratio 0.2065, byte miss ratio 0.2065
result/tencentBlock.ns11501.oracleGeneral.zst Clock cache size    22282, 2395920 req, miss ratio 0.2006, byte miss ratio 0.2006
result/tencentBlock.ns11501.oracleGeneral.zst Clock cache size    44565, 2395920 req, miss ratio 0.1320, byte miss ratio 0.1320
result/tencentBlock.ns11501.oracleGeneral.zst Clock cache size    89130, 2395920 req, miss ratio 0.0483, byte miss ratio 0.0483
result/tencentBlock.ns11501.oracleGeneral.zst LHD cache size      111, 2395920 req, miss ratio 0.4286, byte miss ratio 0.4286
result/tencentBlock.ns11501.oracleGeneral.zst LHD cache size      334, 2395920 req, miss ratio 0.3085, byte miss ratio 0.3085
result/tencentBlock.ns11501.oracleGeneral.zst LHD cache size     1114, 2395920 req, miss ratio 0.2721, byte miss ratio 0.2721
result/tencentBlock.ns11501.oracleGeneral.zst LHD cache size     3342, 2395920 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns11501.oracleGeneral.zst LHD cache size    11141, 2395920 req, miss ratio 0.2023, byte miss ratio 0.2023
result/tencentBlock.ns11501.oracleGeneral.zst LHD cache size    22282, 2395920 req, miss ratio 0.1861, byte miss ratio 0.1861
result/tencentBlock.ns11501.oracleGeneral.zst LHD cache size    44565, 2395920 req, miss ratio 0.1232, byte miss ratio 0.1232
result/tencentBlock.ns11501.oracleGeneral.zst LHD cache size    89130, 2395920 req, miss ratio 0.0529, byte miss ratio 0.0529
result/tencentBlock.ns11501.oracleGeneral.zst ARC cache size      111, 2395920 req, miss ratio 0.4214, byte miss ratio 0.4214
result/tencentBlock.ns11501.oracleGeneral.zst ARC cache size      334, 2395920 req, miss ratio 0.2965, byte miss ratio 0.2965
result/tencentBlock.ns11501.oracleGeneral.zst ARC cache size     1114, 2395920 req, miss ratio 0.2631, byte miss ratio 0.2631
result/tencentBlock.ns11501.oracleGeneral.zst ARC cache size     3342, 2395920 req, miss ratio 0.2546, byte miss ratio 0.2546
result/tencentBlock.ns11501.oracleGeneral.zst ARC cache size    11141, 2395920 req, miss ratio 0.1959, byte miss ratio 0.1959
result/tencentBlock.ns11501.oracleGeneral.zst ARC cache size    22282, 2395920 req, miss ratio 0.1636, byte miss ratio 0.1636
result/tencentBlock.ns11501.oracleGeneral.zst ARC cache size    44565, 2395920 req, miss ratio 0.1137, byte miss ratio 0.1137
result/tencentBlock.ns11501.oracleGeneral.zst ARC cache size    89130, 2395920 req, miss ratio 0.0471, byte miss ratio 0.0471
