result/tencentBlock.ns5382.oracleGeneral.zst LeCaR cache size      200, 3189792 req, miss ratio 0.3097, byte miss ratio 0.3097
result/tencentBlock.ns5382.oracleGeneral.zst LeCaR cache size      601, 3189792 req, miss ratio 0.2566, byte miss ratio 0.2566
result/tencentBlock.ns5382.oracleGeneral.zst LeCaR cache size     2006, 3189792 req, miss ratio 0.2520, byte miss ratio 0.2520
result/tencentBlock.ns5382.oracleGeneral.zst LeCaR cache size     6019, 3189792 req, miss ratio 0.2504, byte miss ratio 0.2504
result/tencentBlock.ns5382.oracleGeneral.zst LeCaR cache size    20063, 3189792 req, miss ratio 0.2203, byte miss ratio 0.2203
result/tencentBlock.ns5382.oracleGeneral.zst LeCaR cache size    40127, 3189792 req, miss ratio 0.1976, byte miss ratio 0.1976
result/tencentBlock.ns5382.oracleGeneral.zst LeCaR cache size    80255, 3189792 req, miss ratio 0.1381, byte miss ratio 0.1381
result/tencentBlock.ns5382.oracleGeneral.zst LeCaR cache size   160511, 3189792 req, miss ratio 0.0675, byte miss ratio 0.0675
result/tencentBlock.ns5382.oracleGeneral.zst S3FIFO-1 cache size      200, 3189792 req, miss ratio 0.2870, byte miss ratio 0.2870
result/tencentBlock.ns5382.oracleGeneral.zst S3FIFO-1 cache size      601, 3189792 req, miss ratio 0.2552, byte miss ratio 0.2552
result/tencentBlock.ns5382.oracleGeneral.zst S3FIFO-1 cache size     2006, 3189792 req, miss ratio 0.2511, byte miss ratio 0.2511
result/tencentBlock.ns5382.oracleGeneral.zst S3FIFO-1 cache size     6019, 3189792 req, miss ratio 0.2407, byte miss ratio 0.2407
result/tencentBlock.ns5382.oracleGeneral.zst S3FIFO-1 cache size    20063, 3189792 req, miss ratio 0.2212, byte miss ratio 0.2212
result/tencentBlock.ns5382.oracleGeneral.zst S3FIFO-1 cache size    40127, 3189792 req, miss ratio 0.1986, byte miss ratio 0.1986
result/tencentBlock.ns5382.oracleGeneral.zst S3FIFO-1 cache size    80255, 3189792 req, miss ratio 0.1285, byte miss ratio 0.1285
result/tencentBlock.ns5382.oracleGeneral.zst S3FIFO-1 cache size   160511, 3189792 req, miss ratio 0.0734, byte miss ratio 0.0734
result/tencentBlock.ns5382.oracleGeneral.zst clock2 cache size      200, 3189792 req, miss ratio 0.3234, byte miss ratio 0.3234
result/tencentBlock.ns5382.oracleGeneral.zst clock2 cache size      601, 3189792 req, miss ratio 0.2576, byte miss ratio 0.2576
result/tencentBlock.ns5382.oracleGeneral.zst clock2 cache size     2006, 3189792 req, miss ratio 0.2524, byte miss ratio 0.2524
result/tencentBlock.ns5382.oracleGeneral.zst clock2 cache size     6019, 3189792 req, miss ratio 0.2506, byte miss ratio 0.2506
result/tencentBlock.ns5382.oracleGeneral.zst clock2 cache size    20063, 3189792 req, miss ratio 0.2273, byte miss ratio 0.2273
result/tencentBlock.ns5382.oracleGeneral.zst clock2 cache size    40127, 3189792 req, miss ratio 0.2113, byte miss ratio 0.2113
result/tencentBlock.ns5382.oracleGeneral.zst clock2 cache size    80255, 3189792 req, miss ratio 0.1660, byte miss ratio 0.1660
result/tencentBlock.ns5382.oracleGeneral.zst clock2 cache size   160511, 3189792 req, miss ratio 0.0753, byte miss ratio 0.0753
result/tencentBlock.ns5382.oracleGeneral.zst Cacheus cache size      200, 3189792 req, miss ratio 0.3062, byte miss ratio 0.3062
result/tencentBlock.ns5382.oracleGeneral.zst Cacheus cache size      601, 3189792 req, miss ratio 0.2546, byte miss ratio 0.2546
result/tencentBlock.ns5382.oracleGeneral.zst Cacheus cache size     2006, 3189792 req, miss ratio 0.2510, byte miss ratio 0.2510
result/tencentBlock.ns5382.oracleGeneral.zst Cacheus cache size     6019, 3189792 req, miss ratio 0.2401, byte miss ratio 0.2401
result/tencentBlock.ns5382.oracleGeneral.zst Cacheus cache size    20063, 3189792 req, miss ratio 0.2209, byte miss ratio 0.2209
result/tencentBlock.ns5382.oracleGeneral.zst Cacheus cache size    40127, 3189792 req, miss ratio 0.1999, byte miss ratio 0.1999
result/tencentBlock.ns5382.oracleGeneral.zst Cacheus cache size    80255, 3189792 req, miss ratio 0.1244, byte miss ratio 0.1244
result/tencentBlock.ns5382.oracleGeneral.zst Cacheus cache size   160511, 3189792 req, miss ratio 0.0679, byte miss ratio 0.0679
result/tencentBlock.ns5382.oracleGeneral.zst Clock cache size      200, 3189792 req, miss ratio 0.3144, byte miss ratio 0.3144
result/tencentBlock.ns5382.oracleGeneral.zst Clock cache size      601, 3189792 req, miss ratio 0.2572, byte miss ratio 0.2572
result/tencentBlock.ns5382.oracleGeneral.zst Clock cache size     2006, 3189792 req, miss ratio 0.2523, byte miss ratio 0.2523
result/tencentBlock.ns5382.oracleGeneral.zst Clock cache size     6019, 3189792 req, miss ratio 0.2506, byte miss ratio 0.2506
result/tencentBlock.ns5382.oracleGeneral.zst Clock cache size    20063, 3189792 req, miss ratio 0.2256, byte miss ratio 0.2256
result/tencentBlock.ns5382.oracleGeneral.zst Clock cache size    40127, 3189792 req, miss ratio 0.2035, byte miss ratio 0.2035
result/tencentBlock.ns5382.oracleGeneral.zst Clock cache size    80255, 3189792 req, miss ratio 0.1548, byte miss ratio 0.1548
result/tencentBlock.ns5382.oracleGeneral.zst Clock cache size   160511, 3189792 req, miss ratio 0.0722, byte miss ratio 0.0722
result/tencentBlock.ns5382.oracleGeneral.zst LIRS cache size      200, 3189792 req, miss ratio 0.3244, byte miss ratio 0.3244
result/tencentBlock.ns5382.oracleGeneral.zst LIRS cache size      601, 3189792 req, miss ratio 0.2918, byte miss ratio 0.2918
result/tencentBlock.ns5382.oracleGeneral.zst LIRS cache size     2006, 3189792 req, miss ratio 0.2539, byte miss ratio 0.2539
