result/cdn2_colo28.ns290.oracleGeneral.zst LHD cache size  4868606, 9434426 req, miss ratio 0.6465, byte miss ratio 0.6465
result/cdn2_colo28.ns290.oracleGeneral.zst LIRS cache size     6085, 9434426 req, miss ratio 0.8256, byte miss ratio 0.8256
result/cdn2_colo28.ns290.oracleGeneral.zst LIRS cache size    18257, 9434426 req, miss ratio 0.8014, byte miss ratio 0.8014
result/cdn2_colo28.ns290.oracleGeneral.zst LIRS cache size    60857, 9434426 req, miss ratio 0.7715, byte miss ratio 0.7715
result/cdn2_colo28.ns290.oracleGeneral.zst LIRS cache size   182572, 9434426 req, miss ratio 0.7413, byte miss ratio 0.7413
result/cdn2_colo28.ns290.oracleGeneral.zst LIRS cache size   608575, 9434426 req, miss ratio 0.7100, byte miss ratio 0.7100
result/cdn2_colo28.ns290.oracleGeneral.zst LIRS cache size  1217151, 9434426 req, miss ratio 0.6909, byte miss ratio 0.6909
result/cdn2_colo28.ns290.oracleGeneral.zst LIRS cache size  2434303, 9434426 req, miss ratio 0.6747, byte miss ratio 0.6747
result/cdn2_colo28.ns290.oracleGeneral.zst LIRS cache size  4868606, 9434426 req, miss ratio 0.6479, byte miss ratio 0.6479
result/cdn2_colo28.ns290.oracleGeneral.zst LRU cache size     6085, 9434426 req, miss ratio 0.8326, byte miss ratio 0.8326
result/cdn2_colo28.ns290.oracleGeneral.zst LRU cache size    18257, 9434426 req, miss ratio 0.8062, byte miss ratio 0.8062
result/cdn2_colo28.ns290.oracleGeneral.zst LRU cache size    60857, 9434426 req, miss ratio 0.7784, byte miss ratio 0.7784
result/cdn2_colo28.ns290.oracleGeneral.zst LRU cache size   182572, 9434426 req, miss ratio 0.7486, byte miss ratio 0.7486
result/cdn2_colo28.ns290.oracleGeneral.zst LRU cache size   608575, 9434426 req, miss ratio 0.7017, byte miss ratio 0.7017
result/cdn2_colo28.ns290.oracleGeneral.zst LRU cache size  1217151, 9434426 req, miss ratio 0.6800, byte miss ratio 0.6800
result/cdn2_colo28.ns290.oracleGeneral.zst LRU cache size  2434303, 9434426 req, miss ratio 0.6605, byte miss ratio 0.6605
result/cdn2_colo28.ns290.oracleGeneral.zst LRU cache size  4868606, 9434426 req, miss ratio 0.6457, byte miss ratio 0.6457
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-1 cache size     6085, 9434426 req, miss ratio 0.8147, byte miss ratio 0.8147
result/cdn2_colo28.ns290.oracleGeneral.zst S3FIFO-1 cache size    18257, 9434426 req, miss ratio 0.7895, byte miss ratio 0.7895
