result/tencentBlock.ns3097.oracleGeneral.zst Cacheus cache size      139, 1968351 req, miss ratio 0.4652, byte miss ratio 0.4652
result/tencentBlock.ns3097.oracleGeneral.zst Cacheus cache size      418, 1968351 req, miss ratio 0.3499, byte miss ratio 0.3499
result/tencentBlock.ns3097.oracleGeneral.zst Cacheus cache size     1394, 1968351 req, miss ratio 0.3275, byte miss ratio 0.3275
result/tencentBlock.ns3097.oracleGeneral.zst Cacheus cache size     4184, 1968351 req, miss ratio 0.3223, byte miss ratio 0.3223
result/tencentBlock.ns3097.oracleGeneral.zst Cacheus cache size    13947, 1968351 req, miss ratio 0.3021, byte miss ratio 0.3021
result/tencentBlock.ns3097.oracleGeneral.zst Cacheus cache size    27894, 1968351 req, miss ratio 0.2693, byte miss ratio 0.2693
result/tencentBlock.ns3097.oracleGeneral.zst Cacheus cache size    55789, 1968351 req, miss ratio 0.2067, byte miss ratio 0.2067
result/tencentBlock.ns3097.oracleGeneral.zst Cacheus cache size   111579, 1968351 req, miss ratio 0.0958, byte miss ratio 0.0958
result/tencentBlock.ns3097.oracleGeneral.zst LeCaR cache size      139, 1968351 req, miss ratio 0.4963, byte miss ratio 0.4963
result/tencentBlock.ns3097.oracleGeneral.zst LeCaR cache size      418, 1968351 req, miss ratio 0.3584, byte miss ratio 0.3584
result/tencentBlock.ns3097.oracleGeneral.zst LeCaR cache size     1394, 1968351 req, miss ratio 0.3306, byte miss ratio 0.3306
result/tencentBlock.ns3097.oracleGeneral.zst LeCaR cache size     4184, 1968351 req, miss ratio 0.3238, byte miss ratio 0.3238
result/tencentBlock.ns3097.oracleGeneral.zst LeCaR cache size    13947, 1968351 req, miss ratio 0.3191, byte miss ratio 0.3191
result/tencentBlock.ns3097.oracleGeneral.zst LeCaR cache size    27894, 1968351 req, miss ratio 0.2728, byte miss ratio 0.2728
result/tencentBlock.ns3097.oracleGeneral.zst LeCaR cache size    55789, 1968351 req, miss ratio 0.2044, byte miss ratio 0.2044
result/tencentBlock.ns3097.oracleGeneral.zst LeCaR cache size   111579, 1968351 req, miss ratio 0.0890, byte miss ratio 0.0890
result/tencentBlock.ns3097.oracleGeneral.zst clock2 cache size      139, 1968351 req, miss ratio 0.5014, byte miss ratio 0.5014
result/tencentBlock.ns3097.oracleGeneral.zst clock2 cache size      418, 1968351 req, miss ratio 0.3622, byte miss ratio 0.3622
result/tencentBlock.ns3097.oracleGeneral.zst clock2 cache size     1394, 1968351 req, miss ratio 0.3319, byte miss ratio 0.3319
result/tencentBlock.ns3097.oracleGeneral.zst clock2 cache size     4184, 1968351 req, miss ratio 0.3238, byte miss ratio 0.3238
result/tencentBlock.ns3097.oracleGeneral.zst clock2 cache size    13947, 1968351 req, miss ratio 0.3199, byte miss ratio 0.3199
result/tencentBlock.ns3097.oracleGeneral.zst clock2 cache size    27894, 1968351 req, miss ratio 0.2847, byte miss ratio 0.2847
result/tencentBlock.ns3097.oracleGeneral.zst clock2 cache size    55789, 1968351 req, miss ratio 0.2462, byte miss ratio 0.2462
result/tencentBlock.ns3097.oracleGeneral.zst clock2 cache size   111579, 1968351 req, miss ratio 0.0949, byte miss ratio 0.0949
result/tencentBlock.ns3097.oracleGeneral.zst ARC cache size      139, 1968351 req, miss ratio 0.4305, byte miss ratio 0.4305
result/tencentBlock.ns3097.oracleGeneral.zst ARC cache size      418, 1968351 req, miss ratio 0.3423, byte miss ratio 0.3423
result/tencentBlock.ns3097.oracleGeneral.zst ARC cache size     1394, 1968351 req, miss ratio 0.3275, byte miss ratio 0.3275
result/tencentBlock.ns3097.oracleGeneral.zst ARC cache size     4184, 1968351 req, miss ratio 0.3224, byte miss ratio 0.3224
result/tencentBlock.ns3097.oracleGeneral.zst ARC cache size    13947, 1968351 req, miss ratio 0.3090, byte miss ratio 0.3090
result/tencentBlock.ns3097.oracleGeneral.zst ARC cache size    27894, 1968351 req, miss ratio 0.2655, byte miss ratio 0.2655
result/tencentBlock.ns3097.oracleGeneral.zst ARC cache size    55789, 1968351 req, miss ratio 0.2221, byte miss ratio 0.2221
result/tencentBlock.ns3097.oracleGeneral.zst ARC cache size   111579, 1968351 req, miss ratio 0.0908, byte miss ratio 0.0908
result/tencentBlock.ns3097.oracleGeneral.zst Clock cache size      139, 1968351 req, miss ratio 0.5082, byte miss ratio 0.5082
result/tencentBlock.ns3097.oracleGeneral.zst Clock cache size      418, 1968351 req, miss ratio 0.3688, byte miss ratio 0.3688
result/tencentBlock.ns3097.oracleGeneral.zst Clock cache size     1394, 1968351 req, miss ratio 0.3333, byte miss ratio 0.3333
result/tencentBlock.ns3097.oracleGeneral.zst Clock cache size     4184, 1968351 req, miss ratio 0.3242, byte miss ratio 0.3242
result/tencentBlock.ns3097.oracleGeneral.zst Clock cache size    13947, 1968351 req, miss ratio 0.3202, byte miss ratio 0.3202
result/tencentBlock.ns3097.oracleGeneral.zst Clock cache size    27894, 1968351 req, miss ratio 0.2817, byte miss ratio 0.2817
result/tencentBlock.ns3097.oracleGeneral.zst Clock cache size    55789, 1968351 req, miss ratio 0.2397, byte miss ratio 0.2397
result/tencentBlock.ns3097.oracleGeneral.zst Clock cache size   111579, 1968351 req, miss ratio 0.0972, byte miss ratio 0.0972
result/tencentBlock.ns3097.oracleGeneral.zst LHD cache size      139, 1968351 req, miss ratio 0.4891, byte miss ratio 0.4891
result/tencentBlock.ns3097.oracleGeneral.zst LHD cache size      418, 1968351 req, miss ratio 0.3661, byte miss ratio 0.3661
result/tencentBlock.ns3097.oracleGeneral.zst LHD cache size     1394, 1968351 req, miss ratio 0.3313, byte miss ratio 0.3313
result/tencentBlock.ns3097.oracleGeneral.zst LHD cache size     4184, 1968351 req, miss ratio 0.3237, byte miss ratio 0.3237
result/tencentBlock.ns3097.oracleGeneral.zst LHD cache size    13947, 1968351 req, miss ratio 0.3009, byte miss ratio 0.3009
result/tencentBlock.ns3097.oracleGeneral.zst LHD cache size    27894, 1968351 req, miss ratio 0.2628, byte miss ratio 0.2628
result/tencentBlock.ns3097.oracleGeneral.zst LHD cache size    55789, 1968351 req, miss ratio 0.2009, byte miss ratio 0.2009
result/tencentBlock.ns3097.oracleGeneral.zst LHD cache size   111579, 1968351 req, miss ratio 0.0876, byte miss ratio 0.0876
result/tencentBlock.ns3097.oracleGeneral.zst LIRS cache size      139, 1968351 req, miss ratio 0.4553, byte miss ratio 0.4553
result/tencentBlock.ns3097.oracleGeneral.zst LIRS cache size      418, 1968351 req, miss ratio 0.3703, byte miss ratio 0.3703
result/tencentBlock.ns3097.oracleGeneral.zst LIRS cache size     1394, 1968351 req, miss ratio 0.3309, byte miss ratio 0.3309
result/tencentBlock.ns3097.oracleGeneral.zst LIRS cache size     4184, 1968351 req, miss ratio 0.3235, byte miss ratio 0.3235
result/tencentBlock.ns3097.oracleGeneral.zst LIRS cache size    13947, 1968351 req, miss ratio 0.2964, byte miss ratio 0.2964
result/tencentBlock.ns3097.oracleGeneral.zst LIRS cache size    27894, 1968351 req, miss ratio 0.2597, byte miss ratio 0.2597
result/tencentBlock.ns3097.oracleGeneral.zst LIRS cache size    55789, 1968351 req, miss ratio 0.2315, byte miss ratio 0.2315
