result/tencentBlock.ns3162.oracleGeneral.zst ARC cache size       90, 1827413 req, miss ratio 0.3217, byte miss ratio 0.3217
result/tencentBlock.ns3162.oracleGeneral.zst ARC cache size      272, 1827413 req, miss ratio 0.3056, byte miss ratio 0.3056
result/tencentBlock.ns3162.oracleGeneral.zst ARC cache size      908, 1827413 req, miss ratio 0.2837, byte miss ratio 0.2837
result/tencentBlock.ns3162.oracleGeneral.zst ARC cache size     2725, 1827413 req, miss ratio 0.1883, byte miss ratio 0.1883
result/tencentBlock.ns3162.oracleGeneral.zst ARC cache size     9084, 1827413 req, miss ratio 0.1286, byte miss ratio 0.1286
result/tencentBlock.ns3162.oracleGeneral.zst ARC cache size    18169, 1827413 req, miss ratio 0.1119, byte miss ratio 0.1119
result/tencentBlock.ns3162.oracleGeneral.zst ARC cache size    36338, 1827413 req, miss ratio 0.0573, byte miss ratio 0.0573
result/tencentBlock.ns3162.oracleGeneral.zst ARC cache size    72677, 1827413 req, miss ratio 0.0500, byte miss ratio 0.0500
result/tencentBlock.ns3162.oracleGeneral.zst Cacheus cache size       90, 1827413 req, miss ratio 0.3280, byte miss ratio 0.3280
result/tencentBlock.ns3162.oracleGeneral.zst Cacheus cache size      272, 1827413 req, miss ratio 0.3059, byte miss ratio 0.3059
result/tencentBlock.ns3162.oracleGeneral.zst Cacheus cache size      908, 1827413 req, miss ratio 0.2819, byte miss ratio 0.2819
result/tencentBlock.ns3162.oracleGeneral.zst Cacheus cache size     2725, 1827413 req, miss ratio 0.1972, byte miss ratio 0.1972
result/tencentBlock.ns3162.oracleGeneral.zst Cacheus cache size     9084, 1827413 req, miss ratio 0.1428, byte miss ratio 0.1428
result/tencentBlock.ns3162.oracleGeneral.zst Cacheus cache size    18169, 1827413 req, miss ratio 0.1144, byte miss ratio 0.1144
result/tencentBlock.ns3162.oracleGeneral.zst Cacheus cache size    36338, 1827413 req, miss ratio 0.0585, byte miss ratio 0.0585
result/tencentBlock.ns3162.oracleGeneral.zst Cacheus cache size    72677, 1827413 req, miss ratio 0.0501, byte miss ratio 0.0501
result/tencentBlock.ns3162.oracleGeneral.zst LHD cache size       90, 1827413 req, miss ratio 0.3324, byte miss ratio 0.3324
result/tencentBlock.ns3162.oracleGeneral.zst LHD cache size      272, 1827413 req, miss ratio 0.3109, byte miss ratio 0.3109
result/tencentBlock.ns3162.oracleGeneral.zst LHD cache size      908, 1827413 req, miss ratio 0.2961, byte miss ratio 0.2961
result/tencentBlock.ns3162.oracleGeneral.zst LHD cache size     2725, 1827413 req, miss ratio 0.2027, byte miss ratio 0.2027
result/tencentBlock.ns3162.oracleGeneral.zst LHD cache size     9084, 1827413 req, miss ratio 0.1437, byte miss ratio 0.1437
result/tencentBlock.ns3162.oracleGeneral.zst LHD cache size    18169, 1827413 req, miss ratio 0.1163, byte miss ratio 0.1163
result/tencentBlock.ns3162.oracleGeneral.zst LHD cache size    36338, 1827413 req, miss ratio 0.0693, byte miss ratio 0.0693
result/tencentBlock.ns3162.oracleGeneral.zst LHD cache size    72677, 1827413 req, miss ratio 0.0538, byte miss ratio 0.0538
