result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LIRS cache size  5397585, 468248714 req, miss ratio 0.0151, byte miss ratio 0.0151
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LeCaR cache size     6746, 468248714 req, miss ratio 0.4905, byte miss ratio 0.4905
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LeCaR cache size    20240, 468248714 req, miss ratio 0.3507, byte miss ratio 0.3507
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LeCaR cache size    67469, 468248714 req, miss ratio 0.2250, byte miss ratio 0.2250
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LeCaR cache size   202409, 468248714 req, miss ratio 0.1410, byte miss ratio 0.1410
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LeCaR cache size   674698, 468248714 req, miss ratio 0.0799, byte miss ratio 0.0799
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LeCaR cache size  1349396, 468248714 req, miss ratio 0.0534, byte miss ratio 0.0534
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LeCaR cache size  2698792, 468248714 req, miss ratio 0.0278, byte miss ratio 0.0278
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LeCaR cache size  5397585, 468248714 req, miss ratio 0.0151, byte miss ratio 0.0151
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst clock2 cache size     6746, 468248714 req, miss ratio 0.4719, byte miss ratio 0.4719
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst clock2 cache size    20240, 468248714 req, miss ratio 0.3383, byte miss ratio 0.3383
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst clock2 cache size    67469, 468248714 req, miss ratio 0.2189, byte miss ratio 0.2189
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst clock2 cache size   202409, 468248714 req, miss ratio 0.1380, byte miss ratio 0.1380
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst clock2 cache size   674698, 468248714 req, miss ratio 0.0783, byte miss ratio 0.0783
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst clock2 cache size  1349396, 468248714 req, miss ratio 0.0524, byte miss ratio 0.0524
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst clock2 cache size  2698792, 468248714 req, miss ratio 0.0281, byte miss ratio 0.0281
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst clock2 cache size  5397585, 468248714 req, miss ratio 0.0150, byte miss ratio 0.0150
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LHD cache size     6746, 468248714 req, miss ratio 0.4481, byte miss ratio 0.4481
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LHD cache size    20240, 468248714 req, miss ratio 0.3225, byte miss ratio 0.3225
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LHD cache size    67469, 468248714 req, miss ratio 0.2091, byte miss ratio 0.2091
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LHD cache size   202409, 468248714 req, miss ratio 0.1324, byte miss ratio 0.1324
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LHD cache size   674698, 468248714 req, miss ratio 0.0782, byte miss ratio 0.0782
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LHD cache size  1349396, 468248714 req, miss ratio 0.0523, byte miss ratio 0.0523
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LHD cache size  2698792, 468248714 req, miss ratio 0.0306, byte miss ratio 0.0306
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LHD cache size  5397585, 468248714 req, miss ratio 0.0152, byte miss ratio 0.0152
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size     6746, 468248714 req, miss ratio 0.4426, byte miss ratio 0.4426
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    20240, 468248714 req, miss ratio 0.3167, byte miss ratio 0.3167
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size    67469, 468248714 req, miss ratio 0.2047, byte miss ratio 0.2047
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   202409, 468248714 req, miss ratio 0.1294, byte miss ratio 0.1294
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size   674698, 468248714 req, miss ratio 0.0735, byte miss ratio 0.0735
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  1349396, 468248714 req, miss ratio 0.0480, byte miss ratio 0.0480
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  2698792, 468248714 req, miss ratio 0.0262, byte miss ratio 0.0262
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-1 cache size  5397585, 468248714 req, miss ratio 0.0149, byte miss ratio 0.0149
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size     6746, 468248714 req, miss ratio 0.4430, byte miss ratio 0.4430
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    20240, 468248714 req, miss ratio 0.3171, byte miss ratio 0.3171
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size    67469, 468248714 req, miss ratio 0.2049, byte miss ratio 0.2049
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   202409, 468248714 req, miss ratio 0.1295, byte miss ratio 0.1295
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size   674698, 468248714 req, miss ratio 0.0734, byte miss ratio 0.0734
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  1349396, 468248714 req, miss ratio 0.0469, byte miss ratio 0.0469
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  2698792, 468248714 req, miss ratio 0.0311, byte miss ratio 0.0311
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst S3FIFO-d-1 cache size  5397585, 468248714 req, miss ratio 0.0149, byte miss ratio 0.0149
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LRB cache size     6746, 468248714 req, miss ratio 0.4363, byte miss ratio 0.4363
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LRB cache size    20240, 468248714 req, miss ratio 0.3144, byte miss ratio 0.3144
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LRB cache size    67469, 468248714 req, miss ratio 0.2041, byte miss ratio 0.2041
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LRB cache size   202409, 468248714 req, miss ratio 0.1293, byte miss ratio 0.1293
result/tls_unread_counts_cache.0.oracleGeneral.sample10.zst LRB cache size   674698, 468248714 req, miss ratio 0.0726, byte miss ratio 0.0726
