result/io_traces.ns453.oracleGeneral.zst LeCaR cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst LeCaR cache size     1121, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst LeCaR cache size     3738, 2600000 req, miss ratio 0.6688, byte miss ratio 0.6688
result/io_traces.ns453.oracleGeneral.zst LeCaR cache size     7477, 2600000 req, miss ratio 0.5028, byte miss ratio 0.5028
result/io_traces.ns453.oracleGeneral.zst LeCaR cache size    14954, 2600000 req, miss ratio 0.3305, byte miss ratio 0.3305
result/io_traces.ns453.oracleGeneral.zst LeCaR cache size    29908, 2600000 req, miss ratio 0.1154, byte miss ratio 0.1154
result/io_traces.ns453.oracleGeneral.zst Cacheus cache size       37, 2600000 req, miss ratio 0.9894, byte miss ratio 0.9894
result/io_traces.ns453.oracleGeneral.zst Cacheus cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst Cacheus cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst Cacheus cache size     1121, 2600000 req, miss ratio 0.8909, byte miss ratio 0.8909
result/io_traces.ns453.oracleGeneral.zst Cacheus cache size     3738, 2600000 req, miss ratio 0.5766, byte miss ratio 0.5766
result/io_traces.ns453.oracleGeneral.zst Cacheus cache size     7477, 2600000 req, miss ratio 0.4625, byte miss ratio 0.4625
result/io_traces.ns453.oracleGeneral.zst Cacheus cache size    14954, 2600000 req, miss ratio 0.3369, byte miss ratio 0.3369
result/io_traces.ns453.oracleGeneral.zst Cacheus cache size    29908, 2600000 req, miss ratio 0.1155, byte miss ratio 0.1155
result/io_traces.ns453.oracleGeneral.zst LRU cache size       37, 2600000 req, miss ratio 1.0000, byte miss ratio 1.0000
result/io_traces.ns453.oracleGeneral.zst LRU cache size      112, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst LRU cache size      373, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst LRU cache size     1121, 2600000 req, miss ratio 0.9834, byte miss ratio 0.9834
result/io_traces.ns453.oracleGeneral.zst LRU cache size     3738, 2600000 req, miss ratio 0.7128, byte miss ratio 0.7128
result/io_traces.ns453.oracleGeneral.zst LRU cache size     7477, 2600000 req, miss ratio 0.5186, byte miss ratio 0.5186
