result/cdn1_lax.ns93.oracleGeneral.bin.zst LeCaR cache size     1506, 2676544 req, miss ratio 0.6478, byte miss ratio 0.6478
result/cdn1_lax.ns93.oracleGeneral.bin.zst LeCaR cache size     4519, 2676544 req, miss ratio 0.6211, byte miss ratio 0.6211
result/cdn1_lax.ns93.oracleGeneral.bin.zst LeCaR cache size    15065, 2676544 req, miss ratio 0.5963, byte miss ratio 0.5963
result/cdn1_lax.ns93.oracleGeneral.bin.zst LeCaR cache size    45196, 2676544 req, miss ratio 0.5761, byte miss ratio 0.5761
result/cdn1_lax.ns93.oracleGeneral.bin.zst LeCaR cache size   150654, 2676544 req, miss ratio 0.5632, byte miss ratio 0.5632
result/cdn1_lax.ns93.oracleGeneral.bin.zst LeCaR cache size   301309, 2676544 req, miss ratio 0.5630, byte miss ratio 0.5630
result/cdn1_lax.ns93.oracleGeneral.bin.zst LeCaR cache size   602618, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst LeCaR cache size  1205237, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst Clock cache size     1506, 2676544 req, miss ratio 0.6493, byte miss ratio 0.6493
result/cdn1_lax.ns93.oracleGeneral.bin.zst Clock cache size     4519, 2676544 req, miss ratio 0.6225, byte miss ratio 0.6225
result/cdn1_lax.ns93.oracleGeneral.bin.zst Clock cache size    15065, 2676544 req, miss ratio 0.5976, byte miss ratio 0.5976
result/cdn1_lax.ns93.oracleGeneral.bin.zst Clock cache size    45196, 2676544 req, miss ratio 0.5768, byte miss ratio 0.5768
result/cdn1_lax.ns93.oracleGeneral.bin.zst Clock cache size   150654, 2676544 req, miss ratio 0.5635, byte miss ratio 0.5635
result/cdn1_lax.ns93.oracleGeneral.bin.zst Clock cache size   301309, 2676544 req, miss ratio 0.5630, byte miss ratio 0.5630
result/cdn1_lax.ns93.oracleGeneral.bin.zst Clock cache size   602618, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst Clock cache size  1205237, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst Cacheus cache size     1506, 2676544 req, miss ratio 0.6580, byte miss ratio 0.6580
result/cdn1_lax.ns93.oracleGeneral.bin.zst Cacheus cache size     4519, 2676544 req, miss ratio 0.6227, byte miss ratio 0.6227
result/cdn1_lax.ns93.oracleGeneral.bin.zst Cacheus cache size    15065, 2676544 req, miss ratio 0.5980, byte miss ratio 0.5980
result/cdn1_lax.ns93.oracleGeneral.bin.zst Cacheus cache size    45196, 2676544 req, miss ratio 0.5833, byte miss ratio 0.5833
result/cdn1_lax.ns93.oracleGeneral.bin.zst Cacheus cache size   150654, 2676544 req, miss ratio 0.5657, byte miss ratio 0.5657
result/cdn1_lax.ns93.oracleGeneral.bin.zst Cacheus cache size   301309, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst Cacheus cache size   602618, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst Cacheus cache size  1205237, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst LIRS cache size     1506, 2676544 req, miss ratio 0.7099, byte miss ratio 0.7099
result/cdn1_lax.ns93.oracleGeneral.bin.zst LIRS cache size     4519, 2676544 req, miss ratio 0.6865, byte miss ratio 0.6865
result/cdn1_lax.ns93.oracleGeneral.bin.zst LIRS cache size    15065, 2676544 req, miss ratio 0.6531, byte miss ratio 0.6531
result/cdn1_lax.ns93.oracleGeneral.bin.zst LIRS cache size    45196, 2676544 req, miss ratio 0.6226, byte miss ratio 0.6226
result/cdn1_lax.ns93.oracleGeneral.bin.zst LIRS cache size   150654, 2676544 req, miss ratio 0.5990, byte miss ratio 0.5990
result/cdn1_lax.ns93.oracleGeneral.bin.zst LIRS cache size   301309, 2676544 req, miss ratio 0.5875, byte miss ratio 0.5875
result/cdn1_lax.ns93.oracleGeneral.bin.zst LIRS cache size   602618, 2676544 req, miss ratio 0.5758, byte miss ratio 0.5758
result/cdn1_lax.ns93.oracleGeneral.bin.zst LIRS cache size  1205237, 2676544 req, miss ratio 0.5646, byte miss ratio 0.5646
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1506, 2676544 req, miss ratio 0.6562, byte miss ratio 0.6562
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d-1 cache size     4519, 2676544 req, miss ratio 0.6306, byte miss ratio 0.6306
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d-1 cache size    15065, 2676544 req, miss ratio 0.6050, byte miss ratio 0.6050
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d-1 cache size    45196, 2676544 req, miss ratio 0.5859, byte miss ratio 0.5859
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d-1 cache size   150654, 2676544 req, miss ratio 0.5726, byte miss ratio 0.5726
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d-1 cache size   301309, 2676544 req, miss ratio 0.5644, byte miss ratio 0.5644
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d-1 cache size   602618, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst S3FIFO-d-1 cache size  1205237, 2676544 req, miss ratio 0.5629, byte miss ratio 0.5629
result/cdn1_lax.ns93.oracleGeneral.bin.zst LRB cache size     1506, 2676544 req, miss ratio 0.6495, byte miss ratio 0.6495
result/cdn1_lax.ns93.oracleGeneral.bin.zst LRB cache size     4519, 2676544 req, miss ratio 0.6234, byte miss ratio 0.6234
result/cdn1_lax.ns93.oracleGeneral.bin.zst LRB cache size    15065, 2676544 req, miss ratio 0.5989, byte miss ratio 0.5989
result/cdn1_lax.ns93.oracleGeneral.bin.zst LRB cache size    45196, 2676544 req, miss ratio 0.5789, byte miss ratio 0.5789
result/cdn1_lax.ns93.oracleGeneral.bin.zst LRB cache size   150654, 2676544 req, miss ratio 0.5633, byte miss ratio 0.5633
