result/usr_2.IQI.bin.oracleGeneral.zst Clock cache size    22124, 10570046 req, miss ratio 0.8457, byte miss ratio 0.8457
result/usr_2.IQI.bin.oracleGeneral.zst Clock cache size    73747, 10570046 req, miss ratio 0.8273, byte miss ratio 0.8273
result/usr_2.IQI.bin.oracleGeneral.zst Clock cache size   221242, 10570046 req, miss ratio 0.7958, byte miss ratio 0.7958
result/usr_2.IQI.bin.oracleGeneral.zst Clock cache size   737475, 10570046 req, miss ratio 0.7525, byte miss ratio 0.7525
result/usr_2.IQI.bin.oracleGeneral.zst Clock cache size  1474951, 10570046 req, miss ratio 0.7421, byte miss ratio 0.7421
result/usr_2.IQI.bin.oracleGeneral.zst Clock cache size  2949902, 10570046 req, miss ratio 0.7058, byte miss ratio 0.7058
result/usr_2.IQI.bin.oracleGeneral.zst Clock cache size  5899805, 10570046 req, miss ratio 0.6997, byte miss ratio 0.6997
result/usr_2.IQI.bin.oracleGeneral.zst FIFO cache size     7374, 10570046 req, miss ratio 0.8692, byte miss ratio 0.8692
result/usr_2.IQI.bin.oracleGeneral.zst FIFO cache size    22124, 10570046 req, miss ratio 0.8519, byte miss ratio 0.8519
result/usr_2.IQI.bin.oracleGeneral.zst FIFO cache size    73747, 10570046 req, miss ratio 0.8315, byte miss ratio 0.8315
result/usr_2.IQI.bin.oracleGeneral.zst FIFO cache size   221242, 10570046 req, miss ratio 0.8033, byte miss ratio 0.8033
result/usr_2.IQI.bin.oracleGeneral.zst FIFO cache size   737475, 10570046 req, miss ratio 0.7538, byte miss ratio 0.7538
result/usr_2.IQI.bin.oracleGeneral.zst FIFO cache size  1474951, 10570046 req, miss ratio 0.7462, byte miss ratio 0.7462
result/usr_2.IQI.bin.oracleGeneral.zst FIFO cache size  2949902, 10570046 req, miss ratio 0.7342, byte miss ratio 0.7342
result/usr_2.IQI.bin.oracleGeneral.zst FIFO cache size  5899805, 10570046 req, miss ratio 0.7124, byte miss ratio 0.7124
result/usr_2.IQI.bin.oracleGeneral.zst LRU cache size     7374, 10570046 req, miss ratio 0.8638, byte miss ratio 0.8638
result/usr_2.IQI.bin.oracleGeneral.zst LRU cache size    22124, 10570046 req, miss ratio 0.8473, byte miss ratio 0.8473
result/usr_2.IQI.bin.oracleGeneral.zst LRU cache size    73747, 10570046 req, miss ratio 0.8290, byte miss ratio 0.8290
