result/tencentBlock.ns23464.oracleGeneral.zst clock2 cache size      192, 1668642 req, miss ratio 0.5013, byte miss ratio 0.5013
result/tencentBlock.ns23464.oracleGeneral.zst clock2 cache size      576, 1668642 req, miss ratio 0.4107, byte miss ratio 0.4107
result/tencentBlock.ns23464.oracleGeneral.zst clock2 cache size     1920, 1668642 req, miss ratio 0.3304, byte miss ratio 0.3304
result/tencentBlock.ns23464.oracleGeneral.zst clock2 cache size     5761, 1668642 req, miss ratio 0.2616, byte miss ratio 0.2616
result/tencentBlock.ns23464.oracleGeneral.zst clock2 cache size    19204, 1668642 req, miss ratio 0.2417, byte miss ratio 0.2417
result/tencentBlock.ns23464.oracleGeneral.zst clock2 cache size    38409, 1668642 req, miss ratio 0.1914, byte miss ratio 0.1914
result/tencentBlock.ns23464.oracleGeneral.zst clock2 cache size    76818, 1668642 req, miss ratio 0.1391, byte miss ratio 0.1391
result/tencentBlock.ns23464.oracleGeneral.zst clock2 cache size   153637, 1668642 req, miss ratio 0.1154, byte miss ratio 0.1154
result/tencentBlock.ns23464.oracleGeneral.zst S3FIFO-1 cache size      192, 1668642 req, miss ratio 0.4547, byte miss ratio 0.4547
result/tencentBlock.ns23464.oracleGeneral.zst S3FIFO-1 cache size      576, 1668642 req, miss ratio 0.4071, byte miss ratio 0.4071
result/tencentBlock.ns23464.oracleGeneral.zst S3FIFO-1 cache size     1920, 1668642 req, miss ratio 0.2728, byte miss ratio 0.2728
result/tencentBlock.ns23464.oracleGeneral.zst S3FIFO-1 cache size     5761, 1668642 req, miss ratio 0.2582, byte miss ratio 0.2582
result/tencentBlock.ns23464.oracleGeneral.zst S3FIFO-1 cache size    19204, 1668642 req, miss ratio 0.2178, byte miss ratio 0.2178
result/tencentBlock.ns23464.oracleGeneral.zst S3FIFO-1 cache size    38409, 1668642 req, miss ratio 0.1777, byte miss ratio 0.1777
result/tencentBlock.ns23464.oracleGeneral.zst S3FIFO-1 cache size    76818, 1668642 req, miss ratio 0.1329, byte miss ratio 0.1329
result/tencentBlock.ns23464.oracleGeneral.zst S3FIFO-1 cache size   153637, 1668642 req, miss ratio 0.1155, byte miss ratio 0.1155
result/tencentBlock.ns23464.oracleGeneral.zst LeCaR cache size      192, 1668642 req, miss ratio 0.4842, byte miss ratio 0.4842
result/tencentBlock.ns23464.oracleGeneral.zst LeCaR cache size      576, 1668642 req, miss ratio 0.4055, byte miss ratio 0.4055
