result/tencentBlock.ns7131.oracleGeneral.zst clock2 cache size      123, 9229317 req, miss ratio 0.7859, byte miss ratio 0.7859
result/tencentBlock.ns7131.oracleGeneral.zst clock2 cache size      369, 9229317 req, miss ratio 0.7484, byte miss ratio 0.7484
result/tencentBlock.ns7131.oracleGeneral.zst clock2 cache size     1232, 9229317 req, miss ratio 0.7284, byte miss ratio 0.7284
result/tencentBlock.ns7131.oracleGeneral.zst clock2 cache size     3698, 9229317 req, miss ratio 0.7215, byte miss ratio 0.7215
result/tencentBlock.ns7131.oracleGeneral.zst clock2 cache size    12327, 9229317 req, miss ratio 0.5617, byte miss ratio 0.5617
result/tencentBlock.ns7131.oracleGeneral.zst clock2 cache size    24655, 9229317 req, miss ratio 0.2030, byte miss ratio 0.2030
result/tencentBlock.ns7131.oracleGeneral.zst clock2 cache size    49310, 9229317 req, miss ratio 0.0493, byte miss ratio 0.0493
result/tencentBlock.ns7131.oracleGeneral.zst clock2 cache size    98620, 9229317 req, miss ratio 0.0159, byte miss ratio 0.0159
result/tencentBlock.ns7131.oracleGeneral.zst S3FIFO-1 cache size      123, 9229317 req, miss ratio 0.7474, byte miss ratio 0.7474
result/tencentBlock.ns7131.oracleGeneral.zst S3FIFO-1 cache size      369, 9229317 req, miss ratio 0.7253, byte miss ratio 0.7253
result/tencentBlock.ns7131.oracleGeneral.zst S3FIFO-1 cache size     1232, 9229317 req, miss ratio 0.7059, byte miss ratio 0.7059
result/tencentBlock.ns7131.oracleGeneral.zst S3FIFO-1 cache size     3698, 9229317 req, miss ratio 0.6054, byte miss ratio 0.6054
result/tencentBlock.ns7131.oracleGeneral.zst S3FIFO-1 cache size    12327, 9229317 req, miss ratio 0.3869, byte miss ratio 0.3869
result/tencentBlock.ns7131.oracleGeneral.zst S3FIFO-1 cache size    24655, 9229317 req, miss ratio 0.0901, byte miss ratio 0.0901
result/tencentBlock.ns7131.oracleGeneral.zst S3FIFO-1 cache size    49310, 9229317 req, miss ratio 0.0480, byte miss ratio 0.0480
result/tencentBlock.ns7131.oracleGeneral.zst S3FIFO-1 cache size    98620, 9229317 req, miss ratio 0.0152, byte miss ratio 0.0152
result/tencentBlock.ns7131.oracleGeneral.zst LeCaR cache size      123, 9229317 req, miss ratio 0.7818, byte miss ratio 0.7818
result/tencentBlock.ns7131.oracleGeneral.zst LeCaR cache size      369, 9229317 req, miss ratio 0.7420, byte miss ratio 0.7420
result/tencentBlock.ns7131.oracleGeneral.zst LeCaR cache size     1232, 9229317 req, miss ratio 0.7238, byte miss ratio 0.7238
result/tencentBlock.ns7131.oracleGeneral.zst LeCaR cache size     3698, 9229317 req, miss ratio 0.7219, byte miss ratio 0.7219
result/tencentBlock.ns7131.oracleGeneral.zst LeCaR cache size    12327, 9229317 req, miss ratio 0.4018, byte miss ratio 0.4018
result/tencentBlock.ns7131.oracleGeneral.zst LeCaR cache size    24655, 9229317 req, miss ratio 0.0888, byte miss ratio 0.0888
result/tencentBlock.ns7131.oracleGeneral.zst LeCaR cache size    49310, 9229317 req, miss ratio 0.0481, byte miss ratio 0.0481
result/tencentBlock.ns7131.oracleGeneral.zst LeCaR cache size    98620, 9229317 req, miss ratio 0.0145, byte miss ratio 0.0145
result/tencentBlock.ns7131.oracleGeneral.zst ARC cache size      123, 9229317 req, miss ratio 0.7468, byte miss ratio 0.7468
result/tencentBlock.ns7131.oracleGeneral.zst ARC cache size      369, 9229317 req, miss ratio 0.7257, byte miss ratio 0.7257
result/tencentBlock.ns7131.oracleGeneral.zst ARC cache size     1232, 9229317 req, miss ratio 0.7060, byte miss ratio 0.7060
result/tencentBlock.ns7131.oracleGeneral.zst ARC cache size     3698, 9229317 req, miss ratio 0.6963, byte miss ratio 0.6963
result/tencentBlock.ns7131.oracleGeneral.zst ARC cache size    12327, 9229317 req, miss ratio 0.3893, byte miss ratio 0.3893
result/tencentBlock.ns7131.oracleGeneral.zst ARC cache size    24655, 9229317 req, miss ratio 0.0838, byte miss ratio 0.0838
result/tencentBlock.ns7131.oracleGeneral.zst ARC cache size    49310, 9229317 req, miss ratio 0.0520, byte miss ratio 0.0520
result/tencentBlock.ns7131.oracleGeneral.zst ARC cache size    98620, 9229317 req, miss ratio 0.0147, byte miss ratio 0.0147
result/tencentBlock.ns7131.oracleGeneral.zst Clock cache size      123, 9229317 req, miss ratio 0.7881, byte miss ratio 0.7881
result/tencentBlock.ns7131.oracleGeneral.zst Clock cache size      369, 9229317 req, miss ratio 0.7539, byte miss ratio 0.7539
result/tencentBlock.ns7131.oracleGeneral.zst Clock cache size     1232, 9229317 req, miss ratio 0.7311, byte miss ratio 0.7311
result/tencentBlock.ns7131.oracleGeneral.zst Clock cache size     3698, 9229317 req, miss ratio 0.7227, byte miss ratio 0.7227
result/tencentBlock.ns7131.oracleGeneral.zst Clock cache size    12327, 9229317 req, miss ratio 0.5656, byte miss ratio 0.5656
result/tencentBlock.ns7131.oracleGeneral.zst Clock cache size    24655, 9229317 req, miss ratio 0.1989, byte miss ratio 0.1989
result/tencentBlock.ns7131.oracleGeneral.zst Clock cache size    49310, 9229317 req, miss ratio 0.0505, byte miss ratio 0.0505
result/tencentBlock.ns7131.oracleGeneral.zst Clock cache size    98620, 9229317 req, miss ratio 0.0151, byte miss ratio 0.0151
result/tencentBlock.ns7131.oracleGeneral.zst LHD cache size      123, 9229317 req, miss ratio 0.7819, byte miss ratio 0.7819
result/tencentBlock.ns7131.oracleGeneral.zst LHD cache size      369, 9229317 req, miss ratio 0.7444, byte miss ratio 0.7444
result/tencentBlock.ns7131.oracleGeneral.zst LHD cache size     1232, 9229317 req, miss ratio 0.7203, byte miss ratio 0.7203
result/tencentBlock.ns7131.oracleGeneral.zst LHD cache size     3698, 9229317 req, miss ratio 0.6659, byte miss ratio 0.6659
result/tencentBlock.ns7131.oracleGeneral.zst LHD cache size    12327, 9229317 req, miss ratio 0.4109, byte miss ratio 0.4109
result/tencentBlock.ns7131.oracleGeneral.zst LHD cache size    24655, 9229317 req, miss ratio 0.1138, byte miss ratio 0.1138
result/tencentBlock.ns7131.oracleGeneral.zst LHD cache size    49310, 9229317 req, miss ratio 0.0438, byte miss ratio 0.0438
result/tencentBlock.ns7131.oracleGeneral.zst LHD cache size    98620, 9229317 req, miss ratio 0.0153, byte miss ratio 0.0153
result/tencentBlock.ns7131.oracleGeneral.zst Cacheus cache size      123, 9229317 req, miss ratio 0.7534, byte miss ratio 0.7534
result/tencentBlock.ns7131.oracleGeneral.zst Cacheus cache size      369, 9229317 req, miss ratio 0.7292, byte miss ratio 0.7292
result/tencentBlock.ns7131.oracleGeneral.zst Cacheus cache size     1232, 9229317 req, miss ratio 0.7145, byte miss ratio 0.7145
result/tencentBlock.ns7131.oracleGeneral.zst Cacheus cache size     3698, 9229317 req, miss ratio 0.6974, byte miss ratio 0.6974
result/tencentBlock.ns7131.oracleGeneral.zst Cacheus cache size    12327, 9229317 req, miss ratio 0.5350, byte miss ratio 0.5350
result/tencentBlock.ns7131.oracleGeneral.zst Cacheus cache size    24655, 9229317 req, miss ratio 0.1689, byte miss ratio 0.1689
result/tencentBlock.ns7131.oracleGeneral.zst Cacheus cache size    49310, 9229317 req, miss ratio 0.0457, byte miss ratio 0.0457
result/tencentBlock.ns7131.oracleGeneral.zst Cacheus cache size    98620, 9229317 req, miss ratio 0.0145, byte miss ratio 0.0145
result/tencentBlock.ns7131.oracleGeneral.zst LIRS cache size      123, 9229317 req, miss ratio 0.7478, byte miss ratio 0.7478
result/tencentBlock.ns7131.oracleGeneral.zst LIRS cache size      369, 9229317 req, miss ratio 0.7282, byte miss ratio 0.7282
result/tencentBlock.ns7131.oracleGeneral.zst LIRS cache size     1232, 9229317 req, miss ratio 0.7068, byte miss ratio 0.7068
result/tencentBlock.ns7131.oracleGeneral.zst LIRS cache size     3698, 9229317 req, miss ratio 0.6502, byte miss ratio 0.6502
result/tencentBlock.ns7131.oracleGeneral.zst LIRS cache size    12327, 9229317 req, miss ratio 0.3121, byte miss ratio 0.3121
result/tencentBlock.ns7131.oracleGeneral.zst LIRS cache size    24655, 9229317 req, miss ratio 0.0657, byte miss ratio 0.0657
result/tencentBlock.ns7131.oracleGeneral.zst LIRS cache size    49310, 9229317 req, miss ratio 0.0412, byte miss ratio 0.0412
result/tencentBlock.ns7131.oracleGeneral.zst LIRS cache size    98620, 9229317 req, miss ratio 0.0145, byte miss ratio 0.0145
result/tencentBlock.ns7131.oracleGeneral.zst LRU cache size      123, 9229317 req, miss ratio 0.7903, byte miss ratio 0.7903
result/tencentBlock.ns7131.oracleGeneral.zst LRU cache size      369, 9229317 req, miss ratio 0.7635, byte miss ratio 0.7635
