result/cdn1_sjc.ns764.oracleGeneral.bin.zst LIRS cache size    74118, 1232453 req, miss ratio 0.4589, byte miss ratio 0.4589
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LIRS cache size   148237, 1232453 req, miss ratio 0.3673, byte miss ratio 0.3673
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LIRS cache size   296474, 1232453 req, miss ratio 0.3089, byte miss ratio 0.3089
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LHD cache size      370, 1232453 req, miss ratio 0.8426, byte miss ratio 0.8426
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LHD cache size     1111, 1232453 req, miss ratio 0.8086, byte miss ratio 0.8086
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LHD cache size     3705, 1232453 req, miss ratio 0.7495, byte miss ratio 0.7495
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LHD cache size    11117, 1232453 req, miss ratio 0.6646, byte miss ratio 0.6646
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LHD cache size    37059, 1232453 req, miss ratio 0.5428, byte miss ratio 0.5428
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LHD cache size    74118, 1232453 req, miss ratio 0.4518, byte miss ratio 0.4518
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LHD cache size   148237, 1232453 req, miss ratio 0.3572, byte miss ratio 0.3572
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LHD cache size   296474, 1232453 req, miss ratio 0.3044, byte miss ratio 0.3044
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LeCaR cache size      370, 1232453 req, miss ratio 0.8362, byte miss ratio 0.8362
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LeCaR cache size     1111, 1232453 req, miss ratio 0.8084, byte miss ratio 0.8084
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LeCaR cache size     3705, 1232453 req, miss ratio 0.7521, byte miss ratio 0.7521
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LeCaR cache size    11117, 1232453 req, miss ratio 0.6659, byte miss ratio 0.6659
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LeCaR cache size    37059, 1232453 req, miss ratio 0.5450, byte miss ratio 0.5450
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LeCaR cache size    74118, 1232453 req, miss ratio 0.4455, byte miss ratio 0.4455
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LeCaR cache size   148237, 1232453 req, miss ratio 0.3534, byte miss ratio 0.3534
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LeCaR cache size   296474, 1232453 req, miss ratio 0.3031, byte miss ratio 0.3031
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRU cache size      370, 1232453 req, miss ratio 0.8364, byte miss ratio 0.8364
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRU cache size     1111, 1232453 req, miss ratio 0.8088, byte miss ratio 0.8088
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRU cache size     3705, 1232453 req, miss ratio 0.7529, byte miss ratio 0.7529
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRU cache size    11117, 1232453 req, miss ratio 0.6668, byte miss ratio 0.6668
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRU cache size    37059, 1232453 req, miss ratio 0.5489, byte miss ratio 0.5489
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRU cache size    74118, 1232453 req, miss ratio 0.4583, byte miss ratio 0.4583
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRU cache size   148237, 1232453 req, miss ratio 0.3579, byte miss ratio 0.3579
result/cdn1_sjc.ns764.oracleGeneral.bin.zst LRU cache size   296474, 1232453 req, miss ratio 0.3031, byte miss ratio 0.3031
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO cache size      370, 1232453 req, miss ratio 0.8371, byte miss ratio 0.8371
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO cache size     1111, 1232453 req, miss ratio 0.8103, byte miss ratio 0.8103
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO cache size     3705, 1232453 req, miss ratio 0.7568, byte miss ratio 0.7568
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO cache size    11117, 1232453 req, miss ratio 0.6752, byte miss ratio 0.6752
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO cache size    37059, 1232453 req, miss ratio 0.5641, byte miss ratio 0.5641
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO cache size    74118, 1232453 req, miss ratio 0.4841, byte miss ratio 0.4841
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO cache size   148237, 1232453 req, miss ratio 0.3930, byte miss ratio 0.3930
result/cdn1_sjc.ns764.oracleGeneral.bin.zst FIFO cache size   296474, 1232453 req, miss ratio 0.3139, byte miss ratio 0.3139
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d-1 cache size      370, 1232453 req, miss ratio 0.8384, byte miss ratio 0.8384
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d-1 cache size     1111, 1232453 req, miss ratio 0.8088, byte miss ratio 0.8088
result/cdn1_sjc.ns764.oracleGeneral.bin.zst S3FIFO-d-1 cache size     3705, 1232453 req, miss ratio 0.7533, byte miss ratio 0.7533
