result/cdn2_allcolo.ns2892.oracleGeneral.zst ARC cache size    38244, 4237023 req, miss ratio 0.1148, byte miss ratio 0.1148
result/cdn2_allcolo.ns2892.oracleGeneral.zst ARC cache size    76489, 4237023 req, miss ratio 0.0667, byte miss ratio 0.0667
result/cdn2_allcolo.ns2892.oracleGeneral.zst ARC cache size   152978, 4237023 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRU cache size      191, 4237023 req, miss ratio 0.8741, byte miss ratio 0.8741
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRU cache size      573, 4237023 req, miss ratio 0.7735, byte miss ratio 0.7735
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRU cache size     1912, 4237023 req, miss ratio 0.6102, byte miss ratio 0.6102
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRU cache size     5736, 4237023 req, miss ratio 0.4259, byte miss ratio 0.4259
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRU cache size    19122, 4237023 req, miss ratio 0.2233, byte miss ratio 0.2233
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRU cache size    38244, 4237023 req, miss ratio 0.1320, byte miss ratio 0.1320
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRU cache size    76489, 4237023 req, miss ratio 0.0714, byte miss ratio 0.0714
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRU cache size   152978, 4237023 req, miss ratio 0.0467, byte miss ratio 0.0467
result/cdn2_allcolo.ns2892.oracleGeneral.zst Clock cache size      191, 4237023 req, miss ratio 0.8669, byte miss ratio 0.8669
result/cdn2_allcolo.ns2892.oracleGeneral.zst Clock cache size      573, 4237023 req, miss ratio 0.7620, byte miss ratio 0.7620
result/cdn2_allcolo.ns2892.oracleGeneral.zst Clock cache size     1912, 4237023 req, miss ratio 0.5956, byte miss ratio 0.5956
result/cdn2_allcolo.ns2892.oracleGeneral.zst Clock cache size     5736, 4237023 req, miss ratio 0.4122, byte miss ratio 0.4122
result/cdn2_allcolo.ns2892.oracleGeneral.zst Clock cache size    19122, 4237023 req, miss ratio 0.2143, byte miss ratio 0.2143
result/cdn2_allcolo.ns2892.oracleGeneral.zst Clock cache size    38244, 4237023 req, miss ratio 0.1263, byte miss ratio 0.1263
result/cdn2_allcolo.ns2892.oracleGeneral.zst Clock cache size    76489, 4237023 req, miss ratio 0.0694, byte miss ratio 0.0694
result/cdn2_allcolo.ns2892.oracleGeneral.zst Clock cache size   152978, 4237023 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO cache size      191, 4237023 req, miss ratio 0.8879, byte miss ratio 0.8879
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO cache size      573, 4237023 req, miss ratio 0.7999, byte miss ratio 0.7999
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO cache size     1912, 4237023 req, miss ratio 0.6540, byte miss ratio 0.6540
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO cache size     5736, 4237023 req, miss ratio 0.4800, byte miss ratio 0.4800
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO cache size    19122, 4237023 req, miss ratio 0.2743, byte miss ratio 0.2743
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO cache size    38244, 4237023 req, miss ratio 0.1725, byte miss ratio 0.1725
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO cache size    76489, 4237023 req, miss ratio 0.0962, byte miss ratio 0.0962
result/cdn2_allcolo.ns2892.oracleGeneral.zst FIFO cache size   152978, 4237023 req, miss ratio 0.0549, byte miss ratio 0.0549
result/cdn2_allcolo.ns2892.oracleGeneral.zst clock2 cache size      191, 4237023 req, miss ratio 0.8598, byte miss ratio 0.8598
result/cdn2_allcolo.ns2892.oracleGeneral.zst clock2 cache size      573, 4237023 req, miss ratio 0.7496, byte miss ratio 0.7496
result/cdn2_allcolo.ns2892.oracleGeneral.zst clock2 cache size     1912, 4237023 req, miss ratio 0.5783, byte miss ratio 0.5783
result/cdn2_allcolo.ns2892.oracleGeneral.zst clock2 cache size     5736, 4237023 req, miss ratio 0.3949, byte miss ratio 0.3949
result/cdn2_allcolo.ns2892.oracleGeneral.zst clock2 cache size    19122, 4237023 req, miss ratio 0.2013, byte miss ratio 0.2013
result/cdn2_allcolo.ns2892.oracleGeneral.zst clock2 cache size    38244, 4237023 req, miss ratio 0.1182, byte miss ratio 0.1182
result/cdn2_allcolo.ns2892.oracleGeneral.zst clock2 cache size    76489, 4237023 req, miss ratio 0.0671, byte miss ratio 0.0671
result/cdn2_allcolo.ns2892.oracleGeneral.zst clock2 cache size   152978, 4237023 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d-1 cache size      191, 4237023 req, miss ratio 0.7741, byte miss ratio 0.7741
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d-1 cache size      573, 4237023 req, miss ratio 0.6580, byte miss ratio 0.6580
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d-1 cache size     1912, 4237023 req, miss ratio 0.5040, byte miss ratio 0.5040
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d-1 cache size     5736, 4237023 req, miss ratio 0.3473, byte miss ratio 0.3473
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d-1 cache size    19122, 4237023 req, miss ratio 0.1818, byte miss ratio 0.1818
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d-1 cache size    38244, 4237023 req, miss ratio 0.1101, byte miss ratio 0.1101
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d-1 cache size    76489, 4237023 req, miss ratio 0.0653, byte miss ratio 0.0653
result/cdn2_allcolo.ns2892.oracleGeneral.zst S3FIFO-d-1 cache size   152978, 4237023 req, miss ratio 0.0465, byte miss ratio 0.0465
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRB cache size      191, 4237023 req, miss ratio 0.7658, byte miss ratio 0.7658
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRB cache size      573, 4237023 req, miss ratio 0.6484, byte miss ratio 0.6484
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRB cache size     1912, 4237023 req, miss ratio 0.4930, byte miss ratio 0.4930
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRB cache size     5736, 4237023 req, miss ratio 0.3355, byte miss ratio 0.3355
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRB cache size    19122, 4237023 req, miss ratio 0.1786, byte miss ratio 0.1786
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRB cache size    38244, 4237023 req, miss ratio 0.1154, byte miss ratio 0.1154
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRB cache size    76489, 4237023 req, miss ratio 0.0719, byte miss ratio 0.0719
result/cdn2_allcolo.ns2892.oracleGeneral.zst LRB cache size   152978, 4237023 req, miss ratio 0.0466, byte miss ratio 0.0466
result/cdn2_allcolo.ns2892.oracleGeneral.zst B-LRU cache size      191, 4237023 req, miss ratio 0.8717, byte miss ratio 0.8717
result/cdn2_allcolo.ns2892.oracleGeneral.zst B-LRU cache size      573, 4237023 req, miss ratio 0.7690, byte miss ratio 0.7690
result/cdn2_allcolo.ns2892.oracleGeneral.zst B-LRU cache size     1912, 4237023 req, miss ratio 0.6028, byte miss ratio 0.6028
result/cdn2_allcolo.ns2892.oracleGeneral.zst B-LRU cache size     5736, 4237023 req, miss ratio 0.4163, byte miss ratio 0.4163
result/cdn2_allcolo.ns2892.oracleGeneral.zst B-LRU cache size    19122, 4237023 req, miss ratio 0.2145, byte miss ratio 0.2145
result/cdn2_allcolo.ns2892.oracleGeneral.zst B-LRU cache size    38244, 4237023 req, miss ratio 0.1281, byte miss ratio 0.1281
