result/tencentBlock.ns9514.oracleGeneral.zst LHD cache size       78, 1777846 req, miss ratio 0.3235, byte miss ratio 0.3235
result/tencentBlock.ns9514.oracleGeneral.zst LHD cache size      234, 1777846 req, miss ratio 0.2713, byte miss ratio 0.2713
result/tencentBlock.ns9514.oracleGeneral.zst LHD cache size      780, 1777846 req, miss ratio 0.2473, byte miss ratio 0.2473
result/tencentBlock.ns9514.oracleGeneral.zst LHD cache size     2340, 1777846 req, miss ratio 0.2358, byte miss ratio 0.2358
result/tencentBlock.ns9514.oracleGeneral.zst LHD cache size     7801, 1777846 req, miss ratio 0.2046, byte miss ratio 0.2046
result/tencentBlock.ns9514.oracleGeneral.zst LHD cache size    15603, 1777846 req, miss ratio 0.1900, byte miss ratio 0.1900
result/tencentBlock.ns9514.oracleGeneral.zst LHD cache size    31207, 1777846 req, miss ratio 0.1481, byte miss ratio 0.1481
result/tencentBlock.ns9514.oracleGeneral.zst LHD cache size    62414, 1777846 req, miss ratio 0.0503, byte miss ratio 0.0503
result/tencentBlock.ns9514.oracleGeneral.zst LRU cache size       78, 1777846 req, miss ratio 0.3265, byte miss ratio 0.3265
result/tencentBlock.ns9514.oracleGeneral.zst LRU cache size      234, 1777846 req, miss ratio 0.2709, byte miss ratio 0.2709
result/tencentBlock.ns9514.oracleGeneral.zst LRU cache size      780, 1777846 req, miss ratio 0.2528, byte miss ratio 0.2528
result/tencentBlock.ns9514.oracleGeneral.zst LRU cache size     2340, 1777846 req, miss ratio 0.2408, byte miss ratio 0.2408
result/tencentBlock.ns9514.oracleGeneral.zst LRU cache size     7801, 1777846 req, miss ratio 0.2110, byte miss ratio 0.2110
result/tencentBlock.ns9514.oracleGeneral.zst LRU cache size    15603, 1777846 req, miss ratio 0.2027, byte miss ratio 0.2027
result/tencentBlock.ns9514.oracleGeneral.zst LRU cache size    31207, 1777846 req, miss ratio 0.1894, byte miss ratio 0.1894
result/tencentBlock.ns9514.oracleGeneral.zst LRU cache size    62414, 1777846 req, miss ratio 0.0471, byte miss ratio 0.0471
result/tencentBlock.ns9514.oracleGeneral.zst clock2 cache size       78, 1777846 req, miss ratio 0.3526, byte miss ratio 0.3526
result/tencentBlock.ns9514.oracleGeneral.zst clock2 cache size      234, 1777846 req, miss ratio 0.2704, byte miss ratio 0.2704
result/tencentBlock.ns9514.oracleGeneral.zst clock2 cache size      780, 1777846 req, miss ratio 0.2498, byte miss ratio 0.2498
result/tencentBlock.ns9514.oracleGeneral.zst clock2 cache size     2340, 1777846 req, miss ratio 0.2382, byte miss ratio 0.2382
result/tencentBlock.ns9514.oracleGeneral.zst clock2 cache size     7801, 1777846 req, miss ratio 0.2089, byte miss ratio 0.2089
result/tencentBlock.ns9514.oracleGeneral.zst clock2 cache size    15603, 1777846 req, miss ratio 0.2016, byte miss ratio 0.2016
result/tencentBlock.ns9514.oracleGeneral.zst clock2 cache size    31207, 1777846 req, miss ratio 0.1867, byte miss ratio 0.1867
result/tencentBlock.ns9514.oracleGeneral.zst clock2 cache size    62414, 1777846 req, miss ratio 0.0564, byte miss ratio 0.0564
result/tencentBlock.ns9514.oracleGeneral.zst FIFO cache size       78, 1777846 req, miss ratio 0.4269, byte miss ratio 0.4269
result/tencentBlock.ns9514.oracleGeneral.zst FIFO cache size      234, 1777846 req, miss ratio 0.3175, byte miss ratio 0.3175
result/tencentBlock.ns9514.oracleGeneral.zst FIFO cache size      780, 1777846 req, miss ratio 0.2710, byte miss ratio 0.2710
result/tencentBlock.ns9514.oracleGeneral.zst FIFO cache size     2340, 1777846 req, miss ratio 0.2513, byte miss ratio 0.2513
result/tencentBlock.ns9514.oracleGeneral.zst FIFO cache size     7801, 1777846 req, miss ratio 0.2251, byte miss ratio 0.2251
result/tencentBlock.ns9514.oracleGeneral.zst FIFO cache size    15603, 1777846 req, miss ratio 0.2116, byte miss ratio 0.2116
result/tencentBlock.ns9514.oracleGeneral.zst FIFO cache size    31207, 1777846 req, miss ratio 0.1803, byte miss ratio 0.1803
result/tencentBlock.ns9514.oracleGeneral.zst FIFO cache size    62414, 1777846 req, miss ratio 0.0672, byte miss ratio 0.0672
result/tencentBlock.ns9514.oracleGeneral.zst LeCaR cache size       78, 1777846 req, miss ratio 0.3036, byte miss ratio 0.3036
result/tencentBlock.ns9514.oracleGeneral.zst LeCaR cache size      234, 1777846 req, miss ratio 0.2660, byte miss ratio 0.2660
result/tencentBlock.ns9514.oracleGeneral.zst LeCaR cache size      780, 1777846 req, miss ratio 0.2468, byte miss ratio 0.2468
result/tencentBlock.ns9514.oracleGeneral.zst LeCaR cache size     2340, 1777846 req, miss ratio 0.2354, byte miss ratio 0.2354
result/tencentBlock.ns9514.oracleGeneral.zst LeCaR cache size     7801, 1777846 req, miss ratio 0.2077, byte miss ratio 0.2077
result/tencentBlock.ns9514.oracleGeneral.zst LeCaR cache size    15603, 1777846 req, miss ratio 0.2018, byte miss ratio 0.2018
result/tencentBlock.ns9514.oracleGeneral.zst LeCaR cache size    31207, 1777846 req, miss ratio 0.1893, byte miss ratio 0.1893
result/tencentBlock.ns9514.oracleGeneral.zst LeCaR cache size    62414, 1777846 req, miss ratio 0.0475, byte miss ratio 0.0475
result/tencentBlock.ns9514.oracleGeneral.zst Clock cache size       78, 1777846 req, miss ratio 0.3153, byte miss ratio 0.3153
result/tencentBlock.ns9514.oracleGeneral.zst Clock cache size      234, 1777846 req, miss ratio 0.2703, byte miss ratio 0.2703
result/tencentBlock.ns9514.oracleGeneral.zst Clock cache size      780, 1777846 req, miss ratio 0.2500, byte miss ratio 0.2500
result/tencentBlock.ns9514.oracleGeneral.zst Clock cache size     2340, 1777846 req, miss ratio 0.2391, byte miss ratio 0.2391
result/tencentBlock.ns9514.oracleGeneral.zst Clock cache size     7801, 1777846 req, miss ratio 0.2098, byte miss ratio 0.2098
result/tencentBlock.ns9514.oracleGeneral.zst Clock cache size    15603, 1777846 req, miss ratio 0.2019, byte miss ratio 0.2019
result/tencentBlock.ns9514.oracleGeneral.zst Clock cache size    31207, 1777846 req, miss ratio 0.1872, byte miss ratio 0.1872
result/tencentBlock.ns9514.oracleGeneral.zst Clock cache size    62414, 1777846 req, miss ratio 0.0499, byte miss ratio 0.0499
result/tencentBlock.ns9514.oracleGeneral.zst LIRS cache size       78, 1777846 req, miss ratio 0.3065, byte miss ratio 0.3065
result/tencentBlock.ns9514.oracleGeneral.zst LIRS cache size      234, 1777846 req, miss ratio 0.2671, byte miss ratio 0.2671
result/tencentBlock.ns9514.oracleGeneral.zst LIRS cache size      780, 1777846 req, miss ratio 0.2444, byte miss ratio 0.2444
result/tencentBlock.ns9514.oracleGeneral.zst LIRS cache size     2340, 1777846 req, miss ratio 0.2196, byte miss ratio 0.2196
result/tencentBlock.ns9514.oracleGeneral.zst LIRS cache size     7801, 1777846 req, miss ratio 0.2001, byte miss ratio 0.2001
result/tencentBlock.ns9514.oracleGeneral.zst LIRS cache size    15603, 1777846 req, miss ratio 0.1764, byte miss ratio 0.1764
result/tencentBlock.ns9514.oracleGeneral.zst LIRS cache size    31207, 1777846 req, miss ratio 0.1296, byte miss ratio 0.1296
result/tencentBlock.ns9514.oracleGeneral.zst LIRS cache size    62414, 1777846 req, miss ratio 0.0493, byte miss ratio 0.0493
result/tencentBlock.ns9514.oracleGeneral.zst Cacheus cache size       78, 1777846 req, miss ratio 0.2961, byte miss ratio 0.2961
result/tencentBlock.ns9514.oracleGeneral.zst Cacheus cache size      234, 1777846 req, miss ratio 0.2640, byte miss ratio 0.2640
result/tencentBlock.ns9514.oracleGeneral.zst Cacheus cache size      780, 1777846 req, miss ratio 0.2418, byte miss ratio 0.2418
result/tencentBlock.ns9514.oracleGeneral.zst Cacheus cache size     2340, 1777846 req, miss ratio 0.2261, byte miss ratio 0.2261
result/tencentBlock.ns9514.oracleGeneral.zst Cacheus cache size     7801, 1777846 req, miss ratio 0.2068, byte miss ratio 0.2068
result/tencentBlock.ns9514.oracleGeneral.zst Cacheus cache size    15603, 1777846 req, miss ratio 0.1946, byte miss ratio 0.1946
result/tencentBlock.ns9514.oracleGeneral.zst Cacheus cache size    31207, 1777846 req, miss ratio 0.1804, byte miss ratio 0.1804
result/tencentBlock.ns9514.oracleGeneral.zst Cacheus cache size    62414, 1777846 req, miss ratio 0.0485, byte miss ratio 0.0485
result/tencentBlock.ns9514.oracleGeneral.zst ARC cache size       78, 1777846 req, miss ratio 0.2862, byte miss ratio 0.2862
result/tencentBlock.ns9514.oracleGeneral.zst ARC cache size      234, 1777846 req, miss ratio 0.2530, byte miss ratio 0.2530
