result/tencentBlock.ns16081.oracleGeneral.zst LHD cache size      406, 3777928 req, miss ratio 0.4844, byte miss ratio 0.4844
result/tencentBlock.ns16081.oracleGeneral.zst LHD cache size     1218, 3777928 req, miss ratio 0.3933, byte miss ratio 0.3933
result/tencentBlock.ns16081.oracleGeneral.zst LHD cache size     4063, 3777928 req, miss ratio 0.2958, byte miss ratio 0.2958
result/tencentBlock.ns16081.oracleGeneral.zst LHD cache size    12189, 3777928 req, miss ratio 0.2684, byte miss ratio 0.2684
result/tencentBlock.ns16081.oracleGeneral.zst LHD cache size    40630, 3777928 req, miss ratio 0.2182, byte miss ratio 0.2182
result/tencentBlock.ns16081.oracleGeneral.zst LHD cache size    81261, 3777928 req, miss ratio 0.1628, byte miss ratio 0.1628
result/tencentBlock.ns16081.oracleGeneral.zst LHD cache size   162522, 3777928 req, miss ratio 0.1247, byte miss ratio 0.1247
result/tencentBlock.ns16081.oracleGeneral.zst LHD cache size   325045, 3777928 req, miss ratio 0.1083, byte miss ratio 0.1083
result/tencentBlock.ns16081.oracleGeneral.zst S3FIFO-1 cache size      406, 3777928 req, miss ratio 0.4860, byte miss ratio 0.4860
result/tencentBlock.ns16081.oracleGeneral.zst S3FIFO-1 cache size     1218, 3777928 req, miss ratio 0.3538, byte miss ratio 0.3538
result/tencentBlock.ns16081.oracleGeneral.zst S3FIFO-1 cache size     4063, 3777928 req, miss ratio 0.2905, byte miss ratio 0.2905
result/tencentBlock.ns16081.oracleGeneral.zst S3FIFO-1 cache size    12189, 3777928 req, miss ratio 0.2656, byte miss ratio 0.2656
result/tencentBlock.ns16081.oracleGeneral.zst S3FIFO-1 cache size    40630, 3777928 req, miss ratio 0.2276, byte miss ratio 0.2276
result/tencentBlock.ns16081.oracleGeneral.zst S3FIFO-1 cache size    81261, 3777928 req, miss ratio 0.1782, byte miss ratio 0.1782
result/tencentBlock.ns16081.oracleGeneral.zst S3FIFO-1 cache size   162522, 3777928 req, miss ratio 0.1282, byte miss ratio 0.1282
result/tencentBlock.ns16081.oracleGeneral.zst S3FIFO-1 cache size   325045, 3777928 req, miss ratio 0.1082, byte miss ratio 0.1082
result/tencentBlock.ns16081.oracleGeneral.zst Cacheus cache size      406, 3777928 req, miss ratio 0.4751, byte miss ratio 0.4751
result/tencentBlock.ns16081.oracleGeneral.zst Cacheus cache size     1218, 3777928 req, miss ratio 0.3918, byte miss ratio 0.3918
result/tencentBlock.ns16081.oracleGeneral.zst Cacheus cache size     4063, 3777928 req, miss ratio 0.2915, byte miss ratio 0.2915
result/tencentBlock.ns16081.oracleGeneral.zst Cacheus cache size    12189, 3777928 req, miss ratio 0.2674, byte miss ratio 0.2674
result/tencentBlock.ns16081.oracleGeneral.zst Cacheus cache size    40630, 3777928 req, miss ratio 0.2233, byte miss ratio 0.2233
