result/fiu_ikki-110108-112108.oracleGeneral.zst Clock cache size    28447, 5256676 req, miss ratio 0.6338, byte miss ratio 0.6338
result/fiu_ikki-110108-112108.oracleGeneral.zst Clock cache size    94825, 5256676 req, miss ratio 0.4633, byte miss ratio 0.4633
result/fiu_ikki-110108-112108.oracleGeneral.zst Clock cache size   189651, 5256676 req, miss ratio 0.3268, byte miss ratio 0.3268
result/fiu_ikki-110108-112108.oracleGeneral.zst Clock cache size   379302, 5256676 req, miss ratio 0.2150, byte miss ratio 0.2150
result/fiu_ikki-110108-112108.oracleGeneral.zst Clock cache size   758605, 5256676 req, miss ratio 0.1833, byte miss ratio 0.1833
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO cache size      948, 5256676 req, miss ratio 0.8281, byte miss ratio 0.8281
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO cache size     2844, 5256676 req, miss ratio 0.7828, byte miss ratio 0.7828
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO cache size     9482, 5256676 req, miss ratio 0.7358, byte miss ratio 0.7358
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO cache size    28447, 5256676 req, miss ratio 0.6517, byte miss ratio 0.6517
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO cache size    94825, 5256676 req, miss ratio 0.4659, byte miss ratio 0.4659
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO cache size   189651, 5256676 req, miss ratio 0.3504, byte miss ratio 0.3504
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO cache size   379302, 5256676 req, miss ratio 0.2591, byte miss ratio 0.2591
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO cache size   758605, 5256676 req, miss ratio 0.2057, byte miss ratio 0.2057
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-1 cache size      948, 5256676 req, miss ratio 0.7656, byte miss ratio 0.7656
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-1 cache size     2844, 5256676 req, miss ratio 0.7343, byte miss ratio 0.7343
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-1 cache size     9482, 5256676 req, miss ratio 0.6787, byte miss ratio 0.6787
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-1 cache size    28447, 5256676 req, miss ratio 0.6146, byte miss ratio 0.6146
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-1 cache size    94825, 5256676 req, miss ratio 0.4353, byte miss ratio 0.4353
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-1 cache size   189651, 5256676 req, miss ratio 0.2992, byte miss ratio 0.2992
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-1 cache size   379302, 5256676 req, miss ratio 0.2061, byte miss ratio 0.2061
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-1 cache size   758605, 5256676 req, miss ratio 0.1833, byte miss ratio 0.1833
result/fiu_ikki-110108-112108.oracleGeneral.zst LRU cache size      948, 5256676 req, miss ratio 0.8083, byte miss ratio 0.8083
result/fiu_ikki-110108-112108.oracleGeneral.zst LRU cache size     2844, 5256676 req, miss ratio 0.7657, byte miss ratio 0.7657
result/fiu_ikki-110108-112108.oracleGeneral.zst LRU cache size     9482, 5256676 req, miss ratio 0.7231, byte miss ratio 0.7231
result/fiu_ikki-110108-112108.oracleGeneral.zst LRU cache size    28447, 5256676 req, miss ratio 0.6375, byte miss ratio 0.6375
result/fiu_ikki-110108-112108.oracleGeneral.zst LRU cache size    94825, 5256676 req, miss ratio 0.4597, byte miss ratio 0.4597
result/fiu_ikki-110108-112108.oracleGeneral.zst LRU cache size   189651, 5256676 req, miss ratio 0.3297, byte miss ratio 0.3297
result/fiu_ikki-110108-112108.oracleGeneral.zst LRU cache size   379302, 5256676 req, miss ratio 0.2207, byte miss ratio 0.2207
result/fiu_ikki-110108-112108.oracleGeneral.zst LRU cache size   758605, 5256676 req, miss ratio 0.1834, byte miss ratio 0.1834
result/fiu_ikki-110108-112108.oracleGeneral.zst ARC cache size      948, 5256676 req, miss ratio 0.7652, byte miss ratio 0.7652
result/fiu_ikki-110108-112108.oracleGeneral.zst ARC cache size     2844, 5256676 req, miss ratio 0.7341, byte miss ratio 0.7341
result/fiu_ikki-110108-112108.oracleGeneral.zst ARC cache size     9482, 5256676 req, miss ratio 0.6825, byte miss ratio 0.6825
result/fiu_ikki-110108-112108.oracleGeneral.zst ARC cache size    28447, 5256676 req, miss ratio 0.6027, byte miss ratio 0.6027
result/fiu_ikki-110108-112108.oracleGeneral.zst ARC cache size    94825, 5256676 req, miss ratio 0.4363, byte miss ratio 0.4363
result/fiu_ikki-110108-112108.oracleGeneral.zst ARC cache size   189651, 5256676 req, miss ratio 0.2911, byte miss ratio 0.2911
result/fiu_ikki-110108-112108.oracleGeneral.zst ARC cache size   379302, 5256676 req, miss ratio 0.2052, byte miss ratio 0.2052
result/fiu_ikki-110108-112108.oracleGeneral.zst ARC cache size   758605, 5256676 req, miss ratio 0.1833, byte miss ratio 0.1833
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d-1 cache size      948, 5256676 req, miss ratio 0.7645, byte miss ratio 0.7645
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d-1 cache size     2844, 5256676 req, miss ratio 0.7331, byte miss ratio 0.7331
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d-1 cache size     9482, 5256676 req, miss ratio 0.6793, byte miss ratio 0.6793
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d-1 cache size    28447, 5256676 req, miss ratio 0.6096, byte miss ratio 0.6096
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d-1 cache size    94825, 5256676 req, miss ratio 0.4392, byte miss ratio 0.4392
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d-1 cache size   189651, 5256676 req, miss ratio 0.3016, byte miss ratio 0.3016
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d-1 cache size   379302, 5256676 req, miss ratio 0.2060, byte miss ratio 0.2060
result/fiu_ikki-110108-112108.oracleGeneral.zst S3FIFO-d-1 cache size   758605, 5256676 req, miss ratio 0.1833, byte miss ratio 0.1833
result/fiu_ikki-110108-112108.oracleGeneral.zst LRB cache size      948, 5256676 req, miss ratio 0.7646, byte miss ratio 0.7646
result/fiu_ikki-110108-112108.oracleGeneral.zst LRB cache size     2844, 5256676 req, miss ratio 0.7389, byte miss ratio 0.7389
result/fiu_ikki-110108-112108.oracleGeneral.zst LRB cache size     9482, 5256676 req, miss ratio 0.7034, byte miss ratio 0.7034
result/fiu_ikki-110108-112108.oracleGeneral.zst LRB cache size    28447, 5256676 req, miss ratio 0.6517, byte miss ratio 0.6517
result/fiu_ikki-110108-112108.oracleGeneral.zst LRB cache size    94825, 5256676 req, miss ratio 0.4734, byte miss ratio 0.4734
result/fiu_ikki-110108-112108.oracleGeneral.zst LRB cache size   189651, 5256676 req, miss ratio 0.3679, byte miss ratio 0.3679
result/fiu_ikki-110108-112108.oracleGeneral.zst LRB cache size   379302, 5256676 req, miss ratio 0.2510, byte miss ratio 0.2510
result/fiu_ikki-110108-112108.oracleGeneral.zst LRB cache size   758605, 5256676 req, miss ratio 0.1887, byte miss ratio 0.1887
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      948, 5256676 req, miss ratio 0.8031, byte miss ratio 0.8031
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2844, 5256676 req, miss ratio 0.7631, byte miss ratio 0.7631
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     9482, 5256676 req, miss ratio 0.7119, byte miss ratio 0.7119
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    28447, 5256676 req, miss ratio 0.6239, byte miss ratio 0.6239
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    94825, 5256676 req, miss ratio 0.4755, byte miss ratio 0.4755
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   189651, 5256676 req, miss ratio 0.3797, byte miss ratio 0.3797
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   379302, 5256676 req, miss ratio 0.2485, byte miss ratio 0.2485
result/fiu_ikki-110108-112108.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   758605, 5256676 req, miss ratio 0.1995, byte miss ratio 0.1995
result/fiu_ikki-110108-112108.oracleGeneral.zst S4LRU(25:25:25:25) cache size      948, 5256676 req, miss ratio 0.7785, byte miss ratio 0.7785
result/fiu_ikki-110108-112108.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2844, 5256676 req, miss ratio 0.7504, byte miss ratio 0.7504
result/fiu_ikki-110108-112108.oracleGeneral.zst S4LRU(25:25:25:25) cache size     9482, 5256676 req, miss ratio 0.7032, byte miss ratio 0.7032
result/fiu_ikki-110108-112108.oracleGeneral.zst S4LRU(25:25:25:25) cache size    28447, 5256676 req, miss ratio 0.6574, byte miss ratio 0.6574
result/fiu_ikki-110108-112108.oracleGeneral.zst S4LRU(25:25:25:25) cache size    94825, 5256676 req, miss ratio 0.4860, byte miss ratio 0.4860
