result/tencentBlock.ns23716.oracleGeneral.zst clock2 cache size      395, 2282076 req, miss ratio 0.6105, byte miss ratio 0.6105
result/tencentBlock.ns23716.oracleGeneral.zst clock2 cache size     1186, 2282076 req, miss ratio 0.5491, byte miss ratio 0.5491
result/tencentBlock.ns23716.oracleGeneral.zst clock2 cache size     3954, 2282076 req, miss ratio 0.4682, byte miss ratio 0.4682
result/tencentBlock.ns23716.oracleGeneral.zst clock2 cache size    11862, 2282076 req, miss ratio 0.4246, byte miss ratio 0.4246
result/tencentBlock.ns23716.oracleGeneral.zst clock2 cache size    39541, 2282076 req, miss ratio 0.3482, byte miss ratio 0.3482
result/tencentBlock.ns23716.oracleGeneral.zst clock2 cache size    79082, 2282076 req, miss ratio 0.2947, byte miss ratio 0.2947
result/tencentBlock.ns23716.oracleGeneral.zst clock2 cache size   158164, 2282076 req, miss ratio 0.1928, byte miss ratio 0.1928
result/tencentBlock.ns23716.oracleGeneral.zst clock2 cache size   316328, 2282076 req, miss ratio 0.1734, byte miss ratio 0.1734
result/tencentBlock.ns23716.oracleGeneral.zst LeCaR cache size      395, 2282076 req, miss ratio 0.6115, byte miss ratio 0.6115
result/tencentBlock.ns23716.oracleGeneral.zst LeCaR cache size     1186, 2282076 req, miss ratio 0.5518, byte miss ratio 0.5518
result/tencentBlock.ns23716.oracleGeneral.zst LeCaR cache size     3954, 2282076 req, miss ratio 0.4669, byte miss ratio 0.4669
result/tencentBlock.ns23716.oracleGeneral.zst LeCaR cache size    11862, 2282076 req, miss ratio 0.4243, byte miss ratio 0.4243
result/tencentBlock.ns23716.oracleGeneral.zst LeCaR cache size    39541, 2282076 req, miss ratio 0.3444, byte miss ratio 0.3444
result/tencentBlock.ns23716.oracleGeneral.zst LeCaR cache size    79082, 2282076 req, miss ratio 0.2789, byte miss ratio 0.2789
result/tencentBlock.ns23716.oracleGeneral.zst LeCaR cache size   158164, 2282076 req, miss ratio 0.1858, byte miss ratio 0.1858
result/tencentBlock.ns23716.oracleGeneral.zst LeCaR cache size   316328, 2282076 req, miss ratio 0.1734, byte miss ratio 0.1734
result/tencentBlock.ns23716.oracleGeneral.zst LHD cache size      395, 2282076 req, miss ratio 0.6086, byte miss ratio 0.6086
result/tencentBlock.ns23716.oracleGeneral.zst LHD cache size     1186, 2282076 req, miss ratio 0.5449, byte miss ratio 0.5449
result/tencentBlock.ns23716.oracleGeneral.zst LHD cache size     3954, 2282076 req, miss ratio 0.4643, byte miss ratio 0.4643
result/tencentBlock.ns23716.oracleGeneral.zst LHD cache size    11862, 2282076 req, miss ratio 0.4190, byte miss ratio 0.4190
result/tencentBlock.ns23716.oracleGeneral.zst LHD cache size    39541, 2282076 req, miss ratio 0.3431, byte miss ratio 0.3431
result/tencentBlock.ns23716.oracleGeneral.zst LHD cache size    79082, 2282076 req, miss ratio 0.2724, byte miss ratio 0.2724
result/tencentBlock.ns23716.oracleGeneral.zst LHD cache size   158164, 2282076 req, miss ratio 0.1953, byte miss ratio 0.1953
result/tencentBlock.ns23716.oracleGeneral.zst LHD cache size   316328, 2282076 req, miss ratio 0.1768, byte miss ratio 0.1768
result/tencentBlock.ns23716.oracleGeneral.zst ARC cache size      395, 2282076 req, miss ratio 0.5972, byte miss ratio 0.5972
result/tencentBlock.ns23716.oracleGeneral.zst ARC cache size     1186, 2282076 req, miss ratio 0.5079, byte miss ratio 0.5079
result/tencentBlock.ns23716.oracleGeneral.zst ARC cache size     3954, 2282076 req, miss ratio 0.4434, byte miss ratio 0.4434
result/tencentBlock.ns23716.oracleGeneral.zst ARC cache size    11862, 2282076 req, miss ratio 0.4035, byte miss ratio 0.4035
result/tencentBlock.ns23716.oracleGeneral.zst ARC cache size    39541, 2282076 req, miss ratio 0.3260, byte miss ratio 0.3260
result/tencentBlock.ns23716.oracleGeneral.zst ARC cache size    79082, 2282076 req, miss ratio 0.2438, byte miss ratio 0.2438
result/tencentBlock.ns23716.oracleGeneral.zst ARC cache size   158164, 2282076 req, miss ratio 0.1803, byte miss ratio 0.1803
result/tencentBlock.ns23716.oracleGeneral.zst ARC cache size   316328, 2282076 req, miss ratio 0.1734, byte miss ratio 0.1734
result/tencentBlock.ns23716.oracleGeneral.zst Clock cache size      395, 2282076 req, miss ratio 0.6130, byte miss ratio 0.6130
result/tencentBlock.ns23716.oracleGeneral.zst Clock cache size     1186, 2282076 req, miss ratio 0.5512, byte miss ratio 0.5512
result/tencentBlock.ns23716.oracleGeneral.zst Clock cache size     3954, 2282076 req, miss ratio 0.4766, byte miss ratio 0.4766
result/tencentBlock.ns23716.oracleGeneral.zst Clock cache size    11862, 2282076 req, miss ratio 0.4270, byte miss ratio 0.4270
result/tencentBlock.ns23716.oracleGeneral.zst Clock cache size    39541, 2282076 req, miss ratio 0.3468, byte miss ratio 0.3468
result/tencentBlock.ns23716.oracleGeneral.zst Clock cache size    79082, 2282076 req, miss ratio 0.2919, byte miss ratio 0.2919
result/tencentBlock.ns23716.oracleGeneral.zst Clock cache size   158164, 2282076 req, miss ratio 0.1938, byte miss ratio 0.1938
result/tencentBlock.ns23716.oracleGeneral.zst Clock cache size   316328, 2282076 req, miss ratio 0.1734, byte miss ratio 0.1734
result/tencentBlock.ns23716.oracleGeneral.zst LIRS cache size      395, 2282076 req, miss ratio 0.6112, byte miss ratio 0.6112
result/tencentBlock.ns23716.oracleGeneral.zst LIRS cache size     1186, 2282076 req, miss ratio 0.5185, byte miss ratio 0.5185
result/tencentBlock.ns23716.oracleGeneral.zst LIRS cache size     3954, 2282076 req, miss ratio 0.4547, byte miss ratio 0.4547
result/tencentBlock.ns23716.oracleGeneral.zst LIRS cache size    11862, 2282076 req, miss ratio 0.4025, byte miss ratio 0.4025
result/tencentBlock.ns23716.oracleGeneral.zst LIRS cache size    39541, 2282076 req, miss ratio 0.3232, byte miss ratio 0.3232
result/tencentBlock.ns23716.oracleGeneral.zst LIRS cache size    79082, 2282076 req, miss ratio 0.2417, byte miss ratio 0.2417
result/tencentBlock.ns23716.oracleGeneral.zst LIRS cache size   158164, 2282076 req, miss ratio 0.1831, byte miss ratio 0.1831
result/tencentBlock.ns23716.oracleGeneral.zst LIRS cache size   316328, 2282076 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns23716.oracleGeneral.zst LRU cache size      395, 2282076 req, miss ratio 0.6187, byte miss ratio 0.6187
result/tencentBlock.ns23716.oracleGeneral.zst LRU cache size     1186, 2282076 req, miss ratio 0.5546, byte miss ratio 0.5546
result/tencentBlock.ns23716.oracleGeneral.zst LRU cache size     3954, 2282076 req, miss ratio 0.4828, byte miss ratio 0.4828
result/tencentBlock.ns23716.oracleGeneral.zst LRU cache size    11862, 2282076 req, miss ratio 0.4298, byte miss ratio 0.4298
result/tencentBlock.ns23716.oracleGeneral.zst LRU cache size    39541, 2282076 req, miss ratio 0.3483, byte miss ratio 0.3483
result/tencentBlock.ns23716.oracleGeneral.zst LRU cache size    79082, 2282076 req, miss ratio 0.2879, byte miss ratio 0.2879
result/tencentBlock.ns23716.oracleGeneral.zst LRU cache size   158164, 2282076 req, miss ratio 0.1946, byte miss ratio 0.1946
result/tencentBlock.ns23716.oracleGeneral.zst LRU cache size   316328, 2282076 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns23716.oracleGeneral.zst S3FIFO-1 cache size      395, 2282076 req, miss ratio 0.6051, byte miss ratio 0.6051
result/tencentBlock.ns23716.oracleGeneral.zst S3FIFO-1 cache size     1186, 2282076 req, miss ratio 0.4969, byte miss ratio 0.4969
result/tencentBlock.ns23716.oracleGeneral.zst S3FIFO-1 cache size     3954, 2282076 req, miss ratio 0.4424, byte miss ratio 0.4424
result/tencentBlock.ns23716.oracleGeneral.zst S3FIFO-1 cache size    11862, 2282076 req, miss ratio 0.4033, byte miss ratio 0.4033
result/tencentBlock.ns23716.oracleGeneral.zst S3FIFO-1 cache size    39541, 2282076 req, miss ratio 0.3299, byte miss ratio 0.3299
result/tencentBlock.ns23716.oracleGeneral.zst S3FIFO-1 cache size    79082, 2282076 req, miss ratio 0.2549, byte miss ratio 0.2549
result/tencentBlock.ns23716.oracleGeneral.zst S3FIFO-1 cache size   158164, 2282076 req, miss ratio 0.1806, byte miss ratio 0.1806
result/tencentBlock.ns23716.oracleGeneral.zst S3FIFO-1 cache size   316328, 2282076 req, miss ratio 0.1734, byte miss ratio 0.1734
result/tencentBlock.ns23716.oracleGeneral.zst Cacheus cache size      395, 2282076 req, miss ratio 0.5963, byte miss ratio 0.5963
result/tencentBlock.ns23716.oracleGeneral.zst Cacheus cache size     1186, 2282076 req, miss ratio 0.5216, byte miss ratio 0.5216
result/tencentBlock.ns23716.oracleGeneral.zst Cacheus cache size     3954, 2282076 req, miss ratio 0.4468, byte miss ratio 0.4468
result/tencentBlock.ns23716.oracleGeneral.zst Cacheus cache size    11862, 2282076 req, miss ratio 0.4072, byte miss ratio 0.4072
result/tencentBlock.ns23716.oracleGeneral.zst Cacheus cache size    39541, 2282076 req, miss ratio 0.3324, byte miss ratio 0.3324
result/tencentBlock.ns23716.oracleGeneral.zst Cacheus cache size    79082, 2282076 req, miss ratio 0.2535, byte miss ratio 0.2535
result/tencentBlock.ns23716.oracleGeneral.zst Cacheus cache size   158164, 2282076 req, miss ratio 0.1875, byte miss ratio 0.1875
result/tencentBlock.ns23716.oracleGeneral.zst Cacheus cache size   316328, 2282076 req, miss ratio 0.1734, byte miss ratio 0.1734
result/tencentBlock.ns23716.oracleGeneral.zst FIFO cache size      395, 2282076 req, miss ratio 0.6906, byte miss ratio 0.6906
