result/tencentBlock.ns21276.oracleGeneral.zst Clock cache size      764, 9620076 req, miss ratio 0.8282, byte miss ratio 0.8282
result/tencentBlock.ns21276.oracleGeneral.zst Clock cache size     2293, 9620076 req, miss ratio 0.7422, byte miss ratio 0.7422
result/tencentBlock.ns21276.oracleGeneral.zst Clock cache size     7644, 9620076 req, miss ratio 0.5827, byte miss ratio 0.5827
result/tencentBlock.ns21276.oracleGeneral.zst Clock cache size    22934, 9620076 req, miss ratio 0.4032, byte miss ratio 0.4032
result/tencentBlock.ns21276.oracleGeneral.zst Clock cache size    76448, 9620076 req, miss ratio 0.2392, byte miss ratio 0.2392
result/tencentBlock.ns21276.oracleGeneral.zst Clock cache size   152896, 9620076 req, miss ratio 0.1776, byte miss ratio 0.1776
result/tencentBlock.ns21276.oracleGeneral.zst Clock cache size   305792, 9620076 req, miss ratio 0.1097, byte miss ratio 0.1097
result/tencentBlock.ns21276.oracleGeneral.zst Clock cache size   611584, 9620076 req, miss ratio 0.0804, byte miss ratio 0.0804
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-1 cache size      764, 9620076 req, miss ratio 0.7982, byte miss ratio 0.7982
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-1 cache size     2293, 9620076 req, miss ratio 0.6604, byte miss ratio 0.6604
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-1 cache size     7644, 9620076 req, miss ratio 0.5150, byte miss ratio 0.5150
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-1 cache size    22934, 9620076 req, miss ratio 0.3638, byte miss ratio 0.3638
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-1 cache size    76448, 9620076 req, miss ratio 0.2318, byte miss ratio 0.2318
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-1 cache size   152896, 9620076 req, miss ratio 0.1720, byte miss ratio 0.1720
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-1 cache size   305792, 9620076 req, miss ratio 0.1114, byte miss ratio 0.1114
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-1 cache size   611584, 9620076 req, miss ratio 0.0804, byte miss ratio 0.0804
result/tencentBlock.ns21276.oracleGeneral.zst Cacheus cache size      764, 9620076 req, miss ratio 0.7907, byte miss ratio 0.7907
result/tencentBlock.ns21276.oracleGeneral.zst Cacheus cache size     2293, 9620076 req, miss ratio 0.6994, byte miss ratio 0.6994
result/tencentBlock.ns21276.oracleGeneral.zst Cacheus cache size     7644, 9620076 req, miss ratio 0.5457, byte miss ratio 0.5457
result/tencentBlock.ns21276.oracleGeneral.zst Cacheus cache size    22934, 9620076 req, miss ratio 0.3719, byte miss ratio 0.3719
result/tencentBlock.ns21276.oracleGeneral.zst Cacheus cache size    76448, 9620076 req, miss ratio 0.2351, byte miss ratio 0.2351
result/tencentBlock.ns21276.oracleGeneral.zst Cacheus cache size   152896, 9620076 req, miss ratio 0.1837, byte miss ratio 0.1837
result/tencentBlock.ns21276.oracleGeneral.zst Cacheus cache size   305792, 9620076 req, miss ratio 0.1095, byte miss ratio 0.1095
result/tencentBlock.ns21276.oracleGeneral.zst Cacheus cache size   611584, 9620076 req, miss ratio 0.0803, byte miss ratio 0.0803
result/tencentBlock.ns21276.oracleGeneral.zst clock2 cache size      764, 9620076 req, miss ratio 0.8267, byte miss ratio 0.8267
result/tencentBlock.ns21276.oracleGeneral.zst clock2 cache size     2293, 9620076 req, miss ratio 0.7434, byte miss ratio 0.7434
result/tencentBlock.ns21276.oracleGeneral.zst clock2 cache size     7644, 9620076 req, miss ratio 0.5796, byte miss ratio 0.5796
result/tencentBlock.ns21276.oracleGeneral.zst clock2 cache size    22934, 9620076 req, miss ratio 0.4040, byte miss ratio 0.4040
result/tencentBlock.ns21276.oracleGeneral.zst clock2 cache size    76448, 9620076 req, miss ratio 0.2387, byte miss ratio 0.2387
result/tencentBlock.ns21276.oracleGeneral.zst clock2 cache size   152896, 9620076 req, miss ratio 0.1782, byte miss ratio 0.1782
result/tencentBlock.ns21276.oracleGeneral.zst clock2 cache size   305792, 9620076 req, miss ratio 0.1219, byte miss ratio 0.1219
result/tencentBlock.ns21276.oracleGeneral.zst clock2 cache size   611584, 9620076 req, miss ratio 0.0804, byte miss ratio 0.0804
result/tencentBlock.ns21276.oracleGeneral.zst LIRS cache size      764, 9620076 req, miss ratio 0.8047, byte miss ratio 0.8047
result/tencentBlock.ns21276.oracleGeneral.zst LIRS cache size     2293, 9620076 req, miss ratio 0.6628, byte miss ratio 0.6628
result/tencentBlock.ns21276.oracleGeneral.zst LIRS cache size     7644, 9620076 req, miss ratio 0.5111, byte miss ratio 0.5111
result/tencentBlock.ns21276.oracleGeneral.zst LIRS cache size    22934, 9620076 req, miss ratio 0.3655, byte miss ratio 0.3655
result/tencentBlock.ns21276.oracleGeneral.zst LIRS cache size    76448, 9620076 req, miss ratio 0.2453, byte miss ratio 0.2453
result/tencentBlock.ns21276.oracleGeneral.zst LIRS cache size   152896, 9620076 req, miss ratio 0.1777, byte miss ratio 0.1777
result/tencentBlock.ns21276.oracleGeneral.zst LIRS cache size   305792, 9620076 req, miss ratio 0.1143, byte miss ratio 0.1143
result/tencentBlock.ns21276.oracleGeneral.zst LIRS cache size   611584, 9620076 req, miss ratio 0.0825, byte miss ratio 0.0825
result/tencentBlock.ns21276.oracleGeneral.zst FIFO cache size      764, 9620076 req, miss ratio 0.8623, byte miss ratio 0.8623
result/tencentBlock.ns21276.oracleGeneral.zst FIFO cache size     2293, 9620076 req, miss ratio 0.7778, byte miss ratio 0.7778
result/tencentBlock.ns21276.oracleGeneral.zst FIFO cache size     7644, 9620076 req, miss ratio 0.6198, byte miss ratio 0.6198
result/tencentBlock.ns21276.oracleGeneral.zst FIFO cache size    22934, 9620076 req, miss ratio 0.4431, byte miss ratio 0.4431
result/tencentBlock.ns21276.oracleGeneral.zst FIFO cache size    76448, 9620076 req, miss ratio 0.2721, byte miss ratio 0.2721
result/tencentBlock.ns21276.oracleGeneral.zst FIFO cache size   152896, 9620076 req, miss ratio 0.1996, byte miss ratio 0.1996
result/tencentBlock.ns21276.oracleGeneral.zst FIFO cache size   305792, 9620076 req, miss ratio 0.1255, byte miss ratio 0.1255
result/tencentBlock.ns21276.oracleGeneral.zst FIFO cache size   611584, 9620076 req, miss ratio 0.0903, byte miss ratio 0.0903
result/tencentBlock.ns21276.oracleGeneral.zst LRU cache size      764, 9620076 req, miss ratio 0.8325, byte miss ratio 0.8325
result/tencentBlock.ns21276.oracleGeneral.zst LRU cache size     2293, 9620076 req, miss ratio 0.7458, byte miss ratio 0.7458
result/tencentBlock.ns21276.oracleGeneral.zst LRU cache size     7644, 9620076 req, miss ratio 0.5880, byte miss ratio 0.5880
result/tencentBlock.ns21276.oracleGeneral.zst LRU cache size    22934, 9620076 req, miss ratio 0.4054, byte miss ratio 0.4054
result/tencentBlock.ns21276.oracleGeneral.zst LRU cache size    76448, 9620076 req, miss ratio 0.2405, byte miss ratio 0.2405
result/tencentBlock.ns21276.oracleGeneral.zst LRU cache size   152896, 9620076 req, miss ratio 0.1750, byte miss ratio 0.1750
result/tencentBlock.ns21276.oracleGeneral.zst LRU cache size   305792, 9620076 req, miss ratio 0.1036, byte miss ratio 0.1036
result/tencentBlock.ns21276.oracleGeneral.zst LRU cache size   611584, 9620076 req, miss ratio 0.0802, byte miss ratio 0.0802
result/tencentBlock.ns21276.oracleGeneral.zst LeCaR cache size      764, 9620076 req, miss ratio 0.8273, byte miss ratio 0.8273
result/tencentBlock.ns21276.oracleGeneral.zst LeCaR cache size     2293, 9620076 req, miss ratio 0.7366, byte miss ratio 0.7366
result/tencentBlock.ns21276.oracleGeneral.zst LeCaR cache size     7644, 9620076 req, miss ratio 0.5703, byte miss ratio 0.5703
result/tencentBlock.ns21276.oracleGeneral.zst LeCaR cache size    22934, 9620076 req, miss ratio 0.3919, byte miss ratio 0.3919
result/tencentBlock.ns21276.oracleGeneral.zst LeCaR cache size    76448, 9620076 req, miss ratio 0.2358, byte miss ratio 0.2358
result/tencentBlock.ns21276.oracleGeneral.zst LeCaR cache size   152896, 9620076 req, miss ratio 0.1735, byte miss ratio 0.1735
result/tencentBlock.ns21276.oracleGeneral.zst LeCaR cache size   305792, 9620076 req, miss ratio 0.1020, byte miss ratio 0.1020
result/tencentBlock.ns21276.oracleGeneral.zst LeCaR cache size   611584, 9620076 req, miss ratio 0.0802, byte miss ratio 0.0802
result/tencentBlock.ns21276.oracleGeneral.zst ARC cache size      764, 9620076 req, miss ratio 0.7934, byte miss ratio 0.7934
result/tencentBlock.ns21276.oracleGeneral.zst ARC cache size     2293, 9620076 req, miss ratio 0.6647, byte miss ratio 0.6647
result/tencentBlock.ns21276.oracleGeneral.zst ARC cache size     7644, 9620076 req, miss ratio 0.5185, byte miss ratio 0.5185
result/tencentBlock.ns21276.oracleGeneral.zst ARC cache size    22934, 9620076 req, miss ratio 0.3651, byte miss ratio 0.3651
result/tencentBlock.ns21276.oracleGeneral.zst ARC cache size    76448, 9620076 req, miss ratio 0.2349, byte miss ratio 0.2349
result/tencentBlock.ns21276.oracleGeneral.zst ARC cache size   152896, 9620076 req, miss ratio 0.1747, byte miss ratio 0.1747
result/tencentBlock.ns21276.oracleGeneral.zst ARC cache size   305792, 9620076 req, miss ratio 0.1027, byte miss ratio 0.1027
result/tencentBlock.ns21276.oracleGeneral.zst ARC cache size   611584, 9620076 req, miss ratio 0.0804, byte miss ratio 0.0804
result/tencentBlock.ns21276.oracleGeneral.zst LHD cache size      764, 9620076 req, miss ratio 0.8228, byte miss ratio 0.8228
result/tencentBlock.ns21276.oracleGeneral.zst LHD cache size     2293, 9620076 req, miss ratio 0.7086, byte miss ratio 0.7086
result/tencentBlock.ns21276.oracleGeneral.zst LHD cache size     7644, 9620076 req, miss ratio 0.5569, byte miss ratio 0.5569
result/tencentBlock.ns21276.oracleGeneral.zst LHD cache size    22934, 9620076 req, miss ratio 0.3835, byte miss ratio 0.3835
result/tencentBlock.ns21276.oracleGeneral.zst LHD cache size    76448, 9620076 req, miss ratio 0.2310, byte miss ratio 0.2310
result/tencentBlock.ns21276.oracleGeneral.zst LHD cache size   152896, 9620076 req, miss ratio 0.1765, byte miss ratio 0.1765
result/tencentBlock.ns21276.oracleGeneral.zst LHD cache size   305792, 9620076 req, miss ratio 0.1044, byte miss ratio 0.1044
result/tencentBlock.ns21276.oracleGeneral.zst LHD cache size   611584, 9620076 req, miss ratio 0.0807, byte miss ratio 0.0807
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d-1 cache size      764, 9620076 req, miss ratio 0.7926, byte miss ratio 0.7926
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d-1 cache size     2293, 9620076 req, miss ratio 0.6646, byte miss ratio 0.6646
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d-1 cache size     7644, 9620076 req, miss ratio 0.5172, byte miss ratio 0.5172
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d-1 cache size    22934, 9620076 req, miss ratio 0.3702, byte miss ratio 0.3702
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d-1 cache size    76448, 9620076 req, miss ratio 0.2312, byte miss ratio 0.2312
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d-1 cache size   152896, 9620076 req, miss ratio 0.1722, byte miss ratio 0.1722
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d-1 cache size   305792, 9620076 req, miss ratio 0.1110, byte miss ratio 0.1110
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d-1 cache size   611584, 9620076 req, miss ratio 0.0804, byte miss ratio 0.0804
result/tencentBlock.ns21276.oracleGeneral.zst LRB cache size      764, 9620076 req, miss ratio 0.8131, byte miss ratio 0.8131
result/tencentBlock.ns21276.oracleGeneral.zst LRB cache size     2293, 9620076 req, miss ratio 0.6906, byte miss ratio 0.6906
result/tencentBlock.ns21276.oracleGeneral.zst LRB cache size     7644, 9620076 req, miss ratio 0.5300, byte miss ratio 0.5300
result/tencentBlock.ns21276.oracleGeneral.zst LRB cache size    22934, 9620076 req, miss ratio 0.3732, byte miss ratio 0.3732
result/tencentBlock.ns21276.oracleGeneral.zst LRB cache size    76448, 9620076 req, miss ratio 0.2458, byte miss ratio 0.2458
result/tencentBlock.ns21276.oracleGeneral.zst LRB cache size   152896, 9620076 req, miss ratio 0.1762, byte miss ratio 0.1762
result/tencentBlock.ns21276.oracleGeneral.zst LRB cache size   305792, 9620076 req, miss ratio 0.1016, byte miss ratio 0.1016
result/tencentBlock.ns21276.oracleGeneral.zst LRB cache size   611584, 9620076 req, miss ratio 0.0836, byte miss ratio 0.0836
result/tencentBlock.ns21276.oracleGeneral.zst TwoQ cache size      764, 9620076 req, miss ratio 0.8083, byte miss ratio 0.8083
result/tencentBlock.ns21276.oracleGeneral.zst TwoQ cache size     2293, 9620076 req, miss ratio 0.6736, byte miss ratio 0.6736
result/tencentBlock.ns21276.oracleGeneral.zst TwoQ cache size     7644, 9620076 req, miss ratio 0.5211, byte miss ratio 0.5211
result/tencentBlock.ns21276.oracleGeneral.zst TwoQ cache size    22934, 9620076 req, miss ratio 0.3769, byte miss ratio 0.3769
result/tencentBlock.ns21276.oracleGeneral.zst TwoQ cache size    76448, 9620076 req, miss ratio 0.2347, byte miss ratio 0.2347
result/tencentBlock.ns21276.oracleGeneral.zst TwoQ cache size   152896, 9620076 req, miss ratio 0.1706, byte miss ratio 0.1706
result/tencentBlock.ns21276.oracleGeneral.zst TwoQ cache size   305792, 9620076 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns21276.oracleGeneral.zst TwoQ cache size   611584, 9620076 req, miss ratio 0.0903, byte miss ratio 0.0903
result/tencentBlock.ns21276.oracleGeneral.zst S4LRU(25:25:25:25) cache size      764, 9620076 req, miss ratio 0.8433, byte miss ratio 0.8433
result/tencentBlock.ns21276.oracleGeneral.zst S4LRU(25:25:25:25) cache size     2293, 9620076 req, miss ratio 0.7633, byte miss ratio 0.7633
result/tencentBlock.ns21276.oracleGeneral.zst S4LRU(25:25:25:25) cache size     7644, 9620076 req, miss ratio 0.5893, byte miss ratio 0.5893
result/tencentBlock.ns21276.oracleGeneral.zst S4LRU(25:25:25:25) cache size    22934, 9620076 req, miss ratio 0.4215, byte miss ratio 0.4215
result/tencentBlock.ns21276.oracleGeneral.zst S4LRU(25:25:25:25) cache size    76448, 9620076 req, miss ratio 0.2447, byte miss ratio 0.2447
result/tencentBlock.ns21276.oracleGeneral.zst S4LRU(25:25:25:25) cache size   152896, 9620076 req, miss ratio 0.1773, byte miss ratio 0.1773
result/tencentBlock.ns21276.oracleGeneral.zst S4LRU(25:25:25:25) cache size   305792, 9620076 req, miss ratio 0.1131, byte miss ratio 0.1131
result/tencentBlock.ns21276.oracleGeneral.zst S4LRU(25:25:25:25) cache size   611584, 9620076 req, miss ratio 0.0804, byte miss ratio 0.0804
result/tencentBlock.ns21276.oracleGeneral.zst B-LRU cache size      764, 9620076 req, miss ratio 0.8469, byte miss ratio 0.8469
result/tencentBlock.ns21276.oracleGeneral.zst B-LRU cache size     2293, 9620076 req, miss ratio 0.7552, byte miss ratio 0.7552
result/tencentBlock.ns21276.oracleGeneral.zst B-LRU cache size     7644, 9620076 req, miss ratio 0.5952, byte miss ratio 0.5952
result/tencentBlock.ns21276.oracleGeneral.zst B-LRU cache size    22934, 9620076 req, miss ratio 0.4181, byte miss ratio 0.4181
result/tencentBlock.ns21276.oracleGeneral.zst B-LRU cache size    76448, 9620076 req, miss ratio 0.2674, byte miss ratio 0.2674
result/tencentBlock.ns21276.oracleGeneral.zst B-LRU cache size   152896, 9620076 req, miss ratio 0.2089, byte miss ratio 0.2089
result/tencentBlock.ns21276.oracleGeneral.zst B-LRU cache size   305792, 9620076 req, miss ratio 0.1491, byte miss ratio 0.1491
result/tencentBlock.ns21276.oracleGeneral.zst B-LRU cache size   611584, 9620076 req, miss ratio 0.1396, byte miss ratio 0.1396
result/tencentBlock.ns21276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      764, 9620076 req, miss ratio 0.8290, byte miss ratio 0.8290
result/tencentBlock.ns21276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     2293, 9620076 req, miss ratio 0.7329, byte miss ratio 0.7329
result/tencentBlock.ns21276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     7644, 9620076 req, miss ratio 0.5817, byte miss ratio 0.5817
result/tencentBlock.ns21276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    22934, 9620076 req, miss ratio 0.4294, byte miss ratio 0.4294
result/tencentBlock.ns21276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    76448, 9620076 req, miss ratio 0.2707, byte miss ratio 0.2707
result/tencentBlock.ns21276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   152896, 9620076 req, miss ratio 0.2003, byte miss ratio 0.2003
result/tencentBlock.ns21276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   305792, 9620076 req, miss ratio 0.1309, byte miss ratio 0.1309
result/tencentBlock.ns21276.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size   611584, 9620076 req, miss ratio 0.0875, byte miss ratio 0.0875
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO cache size      764, 9620076 req, miss ratio 0.8085, byte miss ratio 0.8085
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO cache size     2293, 9620076 req, miss ratio 0.6614, byte miss ratio 0.6614
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO cache size     7644, 9620076 req, miss ratio 0.5161, byte miss ratio 0.5161
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO cache size    22934, 9620076 req, miss ratio 0.3664, byte miss ratio 0.3664
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO cache size    76448, 9620076 req, miss ratio 0.2343, byte miss ratio 0.2343
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO cache size   152896, 9620076 req, miss ratio 0.1753, byte miss ratio 0.1753
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO cache size   305792, 9620076 req, miss ratio 0.1077, byte miss ratio 0.1077
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO cache size   611584, 9620076 req, miss ratio 0.0807, byte miss ratio 0.0807
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d cache size      764, 9620076 req, miss ratio 0.7928, byte miss ratio 0.7928
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d cache size     2293, 9620076 req, miss ratio 0.6620, byte miss ratio 0.6620
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d cache size     7644, 9620076 req, miss ratio 0.5196, byte miss ratio 0.5196
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d cache size    22934, 9620076 req, miss ratio 0.3881, byte miss ratio 0.3881
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d cache size    76448, 9620076 req, miss ratio 0.2363, byte miss ratio 0.2363
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d cache size   152896, 9620076 req, miss ratio 0.1768, byte miss ratio 0.1768
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d cache size   305792, 9620076 req, miss ratio 0.1089, byte miss ratio 0.1089
result/tencentBlock.ns21276.oracleGeneral.zst S3FIFO-d cache size   611584, 9620076 req, miss ratio 0.0807, byte miss ratio 0.0807
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size      764, 9620076 req, miss ratio 0.8290, byte miss ratio 0.8290
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     2293, 9620076 req, miss ratio 0.7145, byte miss ratio 0.7145
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size     7644, 9620076 req, miss ratio 0.5479, byte miss ratio 0.5479
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    22934, 9620076 req, miss ratio 0.5647, byte miss ratio 0.5647
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size    76448, 9620076 req, miss ratio 0.2727, byte miss ratio 0.2727
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   152896, 9620076 req, miss ratio 0.1970, byte miss ratio 0.1970
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   305792, 9620076 req, miss ratio 0.1383, byte miss ratio 0.1383
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.01-SLRU cache size   611584, 9620076 req, miss ratio 0.0857, byte miss ratio 0.0857
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size      764, 9620076 req, miss ratio 0.7911, byte miss ratio 0.7911
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     2293, 9620076 req, miss ratio 0.6760, byte miss ratio 0.6760
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size     7644, 9620076 req, miss ratio 0.6775, byte miss ratio 0.6775
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    22934, 9620076 req, miss ratio 0.4014, byte miss ratio 0.4014
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size    76448, 9620076 req, miss ratio 0.2645, byte miss ratio 0.2645
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   152896, 9620076 req, miss ratio 0.1853, byte miss ratio 0.1853
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   305792, 9620076 req, miss ratio 0.1239, byte miss ratio 0.1239
result/tencentBlock.ns21276.oracleGeneral.zst              WTinyLFU-w0.10-SLRU cache size   611584, 9620076 req, miss ratio 0.0864, byte miss ratio 0.0864
