result/cdn2_allcolo.ns170.oracleGeneral.zst LRU cache size   263286, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst LRU cache size   789858, 26625142 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns170.oracleGeneral.zst LRU cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst LRU cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst LRU cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst LRU cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst LIRS cache size    26328, 26625142 req, miss ratio 0.9928, byte miss ratio 0.9928
result/cdn2_allcolo.ns170.oracleGeneral.zst LIRS cache size    78985, 26625142 req, miss ratio 0.9925, byte miss ratio 0.9925
result/cdn2_allcolo.ns170.oracleGeneral.zst LIRS cache size   263286, 26625142 req, miss ratio 0.9920, byte miss ratio 0.9920
result/cdn2_allcolo.ns170.oracleGeneral.zst LIRS cache size   789858, 26625142 req, miss ratio 0.9914, byte miss ratio 0.9914
result/cdn2_allcolo.ns170.oracleGeneral.zst LIRS cache size  2632860, 26625142 req, miss ratio 0.9908, byte miss ratio 0.9908
result/cdn2_allcolo.ns170.oracleGeneral.zst LIRS cache size  5265721, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst LIRS cache size 10531442, 26625142 req, miss ratio 0.9897, byte miss ratio 0.9897
result/cdn2_allcolo.ns170.oracleGeneral.zst LIRS cache size 21062884, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst LeCaR cache size    26328, 26625142 req, miss ratio 0.9912, byte miss ratio 0.9912
result/cdn2_allcolo.ns170.oracleGeneral.zst LeCaR cache size    78985, 26625142 req, miss ratio 0.9907, byte miss ratio 0.9907
result/cdn2_allcolo.ns170.oracleGeneral.zst LeCaR cache size   263286, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst LeCaR cache size   789858, 26625142 req, miss ratio 0.9899, byte miss ratio 0.9899
result/cdn2_allcolo.ns170.oracleGeneral.zst LeCaR cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
result/cdn2_allcolo.ns170.oracleGeneral.zst LeCaR cache size  5265721, 26625142 req, miss ratio 0.9891, byte miss ratio 0.9891
result/cdn2_allcolo.ns170.oracleGeneral.zst LeCaR cache size 10531442, 26625142 req, miss ratio 0.9890, byte miss ratio 0.9890
result/cdn2_allcolo.ns170.oracleGeneral.zst LeCaR cache size 21062884, 26625142 req, miss ratio 0.9889, byte miss ratio 0.9889
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO cache size    26328, 26625142 req, miss ratio 0.9913, byte miss ratio 0.9913
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO cache size    78985, 26625142 req, miss ratio 0.9908, byte miss ratio 0.9908
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO cache size   263286, 26625142 req, miss ratio 0.9903, byte miss ratio 0.9903
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO cache size   789858, 26625142 req, miss ratio 0.9900, byte miss ratio 0.9900
result/cdn2_allcolo.ns170.oracleGeneral.zst FIFO cache size  2632860, 26625142 req, miss ratio 0.9895, byte miss ratio 0.9895
