result/cdn1_nyc.ns113.oracleGeneral.bin.zst clock2 cache size      176, 2066009 req, miss ratio 0.6337, byte miss ratio 0.6337
result/cdn1_nyc.ns113.oracleGeneral.bin.zst clock2 cache size      528, 2066009 req, miss ratio 0.4904, byte miss ratio 0.4904
result/cdn1_nyc.ns113.oracleGeneral.bin.zst clock2 cache size     1761, 2066009 req, miss ratio 0.3722, byte miss ratio 0.3722
result/cdn1_nyc.ns113.oracleGeneral.bin.zst clock2 cache size     5283, 2066009 req, miss ratio 0.2786, byte miss ratio 0.2786
result/cdn1_nyc.ns113.oracleGeneral.bin.zst clock2 cache size    17611, 2066009 req, miss ratio 0.2079, byte miss ratio 0.2079
result/cdn1_nyc.ns113.oracleGeneral.bin.zst clock2 cache size    35223, 2066009 req, miss ratio 0.1679, byte miss ratio 0.1679
result/cdn1_nyc.ns113.oracleGeneral.bin.zst clock2 cache size    70447, 2066009 req, miss ratio 0.1224, byte miss ratio 0.1224
result/cdn1_nyc.ns113.oracleGeneral.bin.zst clock2 cache size   140894, 2066009 req, miss ratio 0.0879, byte miss ratio 0.0879
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-1 cache size      176, 2066009 req, miss ratio 0.5545, byte miss ratio 0.5545
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-1 cache size      528, 2066009 req, miss ratio 0.4456, byte miss ratio 0.4456
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-1 cache size     1761, 2066009 req, miss ratio 0.3382, byte miss ratio 0.3382
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-1 cache size     5283, 2066009 req, miss ratio 0.2623, byte miss ratio 0.2623
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-1 cache size    17611, 2066009 req, miss ratio 0.2003, byte miss ratio 0.2003
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-1 cache size    35223, 2066009 req, miss ratio 0.1620, byte miss ratio 0.1620
result/cdn1_nyc.ns113.oracleGeneral.bin.zst S3FIFO-1 cache size    70447, 2066009 req, miss ratio 0.1194, byte miss ratio 0.1194
