result/tencentBlock.ns7889.oracleGeneral.zst clock2 cache size      611, 3383476 req, miss ratio 0.4509, byte miss ratio 0.4509
result/tencentBlock.ns7889.oracleGeneral.zst clock2 cache size     1834, 3383476 req, miss ratio 0.4367, byte miss ratio 0.4367
result/tencentBlock.ns7889.oracleGeneral.zst clock2 cache size     6115, 3383476 req, miss ratio 0.4144, byte miss ratio 0.4144
result/tencentBlock.ns7889.oracleGeneral.zst clock2 cache size    18347, 3383476 req, miss ratio 0.3403, byte miss ratio 0.3403
result/tencentBlock.ns7889.oracleGeneral.zst clock2 cache size    61158, 3383476 req, miss ratio 0.3028, byte miss ratio 0.3028
result/tencentBlock.ns7889.oracleGeneral.zst clock2 cache size   122316, 3383476 req, miss ratio 0.2583, byte miss ratio 0.2583
result/tencentBlock.ns7889.oracleGeneral.zst clock2 cache size   244632, 3383476 req, miss ratio 0.1912, byte miss ratio 0.1912
result/tencentBlock.ns7889.oracleGeneral.zst clock2 cache size   489265, 3383476 req, miss ratio 0.1818, byte miss ratio 0.1818
result/tencentBlock.ns7889.oracleGeneral.zst LeCaR cache size      611, 3383476 req, miss ratio 0.4513, byte miss ratio 0.4513
result/tencentBlock.ns7889.oracleGeneral.zst LeCaR cache size     1834, 3383476 req, miss ratio 0.4356, byte miss ratio 0.4356
result/tencentBlock.ns7889.oracleGeneral.zst LeCaR cache size     6115, 3383476 req, miss ratio 0.4044, byte miss ratio 0.4044
result/tencentBlock.ns7889.oracleGeneral.zst LeCaR cache size    18347, 3383476 req, miss ratio 0.3354, byte miss ratio 0.3354
result/tencentBlock.ns7889.oracleGeneral.zst LeCaR cache size    61158, 3383476 req, miss ratio 0.2900, byte miss ratio 0.2900
result/tencentBlock.ns7889.oracleGeneral.zst LeCaR cache size   122316, 3383476 req, miss ratio 0.2238, byte miss ratio 0.2238
result/tencentBlock.ns7889.oracleGeneral.zst LeCaR cache size   244632, 3383476 req, miss ratio 0.1863, byte miss ratio 0.1863
result/tencentBlock.ns7889.oracleGeneral.zst LeCaR cache size   489265, 3383476 req, miss ratio 0.1817, byte miss ratio 0.1817
result/tencentBlock.ns7889.oracleGeneral.zst Clock cache size      611, 3383476 req, miss ratio 0.4517, byte miss ratio 0.4517
result/tencentBlock.ns7889.oracleGeneral.zst Clock cache size     1834, 3383476 req, miss ratio 0.4359, byte miss ratio 0.4359
