result/tencentBlock.ns18974.oracleGeneral.zst ARC cache size      310, 3703185 req, miss ratio 0.4983, byte miss ratio 0.4983
result/tencentBlock.ns18974.oracleGeneral.zst ARC cache size      930, 3703185 req, miss ratio 0.3587, byte miss ratio 0.3587
result/tencentBlock.ns18974.oracleGeneral.zst ARC cache size     3101, 3703185 req, miss ratio 0.2347, byte miss ratio 0.2347
result/tencentBlock.ns18974.oracleGeneral.zst ARC cache size     9305, 3703185 req, miss ratio 0.2045, byte miss ratio 0.2045
result/tencentBlock.ns18974.oracleGeneral.zst ARC cache size    31018, 3703185 req, miss ratio 0.1460, byte miss ratio 0.1460
result/tencentBlock.ns18974.oracleGeneral.zst ARC cache size    62036, 3703185 req, miss ratio 0.1187, byte miss ratio 0.1187
result/tencentBlock.ns18974.oracleGeneral.zst ARC cache size   124073, 3703185 req, miss ratio 0.0914, byte miss ratio 0.0914
result/tencentBlock.ns18974.oracleGeneral.zst ARC cache size   248146, 3703185 req, miss ratio 0.0845, byte miss ratio 0.0845
result/tencentBlock.ns18974.oracleGeneral.zst LeCaR cache size      310, 3703185 req, miss ratio 0.5139, byte miss ratio 0.5139
result/tencentBlock.ns18974.oracleGeneral.zst LeCaR cache size      930, 3703185 req, miss ratio 0.3987, byte miss ratio 0.3987
result/tencentBlock.ns18974.oracleGeneral.zst LeCaR cache size     3101, 3703185 req, miss ratio 0.2405, byte miss ratio 0.2405
result/tencentBlock.ns18974.oracleGeneral.zst LeCaR cache size     9305, 3703185 req, miss ratio 0.2113, byte miss ratio 0.2113
result/tencentBlock.ns18974.oracleGeneral.zst LeCaR cache size    31018, 3703185 req, miss ratio 0.1425, byte miss ratio 0.1425
result/tencentBlock.ns18974.oracleGeneral.zst LeCaR cache size    62036, 3703185 req, miss ratio 0.1116, byte miss ratio 0.1116
result/tencentBlock.ns18974.oracleGeneral.zst LeCaR cache size   124073, 3703185 req, miss ratio 0.0908, byte miss ratio 0.0908
result/tencentBlock.ns18974.oracleGeneral.zst LeCaR cache size   248146, 3703185 req, miss ratio 0.0839, byte miss ratio 0.0839
result/tencentBlock.ns18974.oracleGeneral.zst FIFO cache size      310, 3703185 req, miss ratio 0.6092, byte miss ratio 0.6092
result/tencentBlock.ns18974.oracleGeneral.zst FIFO cache size      930, 3703185 req, miss ratio 0.4444, byte miss ratio 0.4444
result/tencentBlock.ns18974.oracleGeneral.zst FIFO cache size     3101, 3703185 req, miss ratio 0.3061, byte miss ratio 0.3061
result/tencentBlock.ns18974.oracleGeneral.zst FIFO cache size     9305, 3703185 req, miss ratio 0.2353, byte miss ratio 0.2353
result/tencentBlock.ns18974.oracleGeneral.zst FIFO cache size    31018, 3703185 req, miss ratio 0.1564, byte miss ratio 0.1564
result/tencentBlock.ns18974.oracleGeneral.zst FIFO cache size    62036, 3703185 req, miss ratio 0.1195, byte miss ratio 0.1195
result/tencentBlock.ns18974.oracleGeneral.zst FIFO cache size   124073, 3703185 req, miss ratio 0.1019, byte miss ratio 0.1019
result/tencentBlock.ns18974.oracleGeneral.zst FIFO cache size   248146, 3703185 req, miss ratio 0.0892, byte miss ratio 0.0892
result/tencentBlock.ns18974.oracleGeneral.zst Cacheus cache size      310, 3703185 req, miss ratio 0.4977, byte miss ratio 0.4977
