result/tencentBlock.ns14851.oracleGeneral.zst LeCaR cache size      773, 7452730 req, miss ratio 0.4664, byte miss ratio 0.4664
result/tencentBlock.ns14851.oracleGeneral.zst LeCaR cache size     2321, 7452730 req, miss ratio 0.4437, byte miss ratio 0.4437
result/tencentBlock.ns14851.oracleGeneral.zst LeCaR cache size     7736, 7452730 req, miss ratio 0.4296, byte miss ratio 0.4296
result/tencentBlock.ns14851.oracleGeneral.zst LeCaR cache size    23210, 7452730 req, miss ratio 0.3888, byte miss ratio 0.3888
result/tencentBlock.ns14851.oracleGeneral.zst LeCaR cache size    77368, 7452730 req, miss ratio 0.3181, byte miss ratio 0.3181
result/tencentBlock.ns14851.oracleGeneral.zst LeCaR cache size   154736, 7452730 req, miss ratio 0.2791, byte miss ratio 0.2791
result/tencentBlock.ns14851.oracleGeneral.zst LeCaR cache size   309473, 7452730 req, miss ratio 0.2526, byte miss ratio 0.2526
result/tencentBlock.ns14851.oracleGeneral.zst LeCaR cache size   618947, 7452730 req, miss ratio 0.2432, byte miss ratio 0.2432
result/tencentBlock.ns14851.oracleGeneral.zst clock2 cache size      773, 7452730 req, miss ratio 0.4663, byte miss ratio 0.4663
result/tencentBlock.ns14851.oracleGeneral.zst clock2 cache size     2321, 7452730 req, miss ratio 0.4436, byte miss ratio 0.4436
result/tencentBlock.ns14851.oracleGeneral.zst clock2 cache size     7736, 7452730 req, miss ratio 0.4319, byte miss ratio 0.4319
result/tencentBlock.ns14851.oracleGeneral.zst clock2 cache size    23210, 7452730 req, miss ratio 0.3943, byte miss ratio 0.3943
result/tencentBlock.ns14851.oracleGeneral.zst clock2 cache size    77368, 7452730 req, miss ratio 0.3340, byte miss ratio 0.3340
result/tencentBlock.ns14851.oracleGeneral.zst clock2 cache size   154736, 7452730 req, miss ratio 0.2886, byte miss ratio 0.2886
result/tencentBlock.ns14851.oracleGeneral.zst clock2 cache size   309473, 7452730 req, miss ratio 0.2554, byte miss ratio 0.2554
result/tencentBlock.ns14851.oracleGeneral.zst clock2 cache size   618947, 7452730 req, miss ratio 0.2345, byte miss ratio 0.2345
result/tencentBlock.ns14851.oracleGeneral.zst LRU cache size      773, 7452730 req, miss ratio 0.4796, byte miss ratio 0.4796
result/tencentBlock.ns14851.oracleGeneral.zst LRU cache size     2321, 7452730 req, miss ratio 0.4467, byte miss ratio 0.4467
result/tencentBlock.ns14851.oracleGeneral.zst LRU cache size     7736, 7452730 req, miss ratio 0.4325, byte miss ratio 0.4325
