result/tencentBlock.ns2576.oracleGeneral.zst S3FIFO-1 cache size      148, 1228794 req, miss ratio 0.6211, byte miss ratio 0.6211
result/tencentBlock.ns2576.oracleGeneral.zst S3FIFO-1 cache size      446, 1228794 req, miss ratio 0.6019, byte miss ratio 0.6019
result/tencentBlock.ns2576.oracleGeneral.zst S3FIFO-1 cache size     1487, 1228794 req, miss ratio 0.5948, byte miss ratio 0.5948
result/tencentBlock.ns2576.oracleGeneral.zst S3FIFO-1 cache size     4463, 1228794 req, miss ratio 0.5895, byte miss ratio 0.5895
result/tencentBlock.ns2576.oracleGeneral.zst S3FIFO-1 cache size    14879, 1228794 req, miss ratio 0.5578, byte miss ratio 0.5578
result/tencentBlock.ns2576.oracleGeneral.zst S3FIFO-1 cache size    29759, 1228794 req, miss ratio 0.4790, byte miss ratio 0.4790
result/tencentBlock.ns2576.oracleGeneral.zst S3FIFO-1 cache size    59518, 1228794 req, miss ratio 0.3959, byte miss ratio 0.3959
result/tencentBlock.ns2576.oracleGeneral.zst S3FIFO-1 cache size   119037, 1228794 req, miss ratio 0.1602, byte miss ratio 0.1602
result/tencentBlock.ns2576.oracleGeneral.zst LHD cache size      148, 1228794 req, miss ratio 0.6369, byte miss ratio 0.6369
result/tencentBlock.ns2576.oracleGeneral.zst LHD cache size      446, 1228794 req, miss ratio 0.6101, byte miss ratio 0.6101
result/tencentBlock.ns2576.oracleGeneral.zst LHD cache size     1487, 1228794 req, miss ratio 0.5979, byte miss ratio 0.5979
result/tencentBlock.ns2576.oracleGeneral.zst LHD cache size     4463, 1228794 req, miss ratio 0.5917, byte miss ratio 0.5917
result/tencentBlock.ns2576.oracleGeneral.zst LHD cache size    14879, 1228794 req, miss ratio 0.5768, byte miss ratio 0.5768
result/tencentBlock.ns2576.oracleGeneral.zst LHD cache size    29759, 1228794 req, miss ratio 0.5232, byte miss ratio 0.5232
result/tencentBlock.ns2576.oracleGeneral.zst LHD cache size    59518, 1228794 req, miss ratio 0.4217, byte miss ratio 0.4217
result/tencentBlock.ns2576.oracleGeneral.zst LHD cache size   119037, 1228794 req, miss ratio 0.1506, byte miss ratio 0.1506
result/tencentBlock.ns2576.oracleGeneral.zst ARC cache size      148, 1228794 req, miss ratio 0.6197, byte miss ratio 0.6197
result/tencentBlock.ns2576.oracleGeneral.zst ARC cache size      446, 1228794 req, miss ratio 0.6022, byte miss ratio 0.6022
result/tencentBlock.ns2576.oracleGeneral.zst ARC cache size     1487, 1228794 req, miss ratio 0.5949, byte miss ratio 0.5949
result/tencentBlock.ns2576.oracleGeneral.zst ARC cache size     4463, 1228794 req, miss ratio 0.5914, byte miss ratio 0.5914
result/tencentBlock.ns2576.oracleGeneral.zst ARC cache size    14879, 1228794 req, miss ratio 0.5559, byte miss ratio 0.5559
result/tencentBlock.ns2576.oracleGeneral.zst ARC cache size    29759, 1228794 req, miss ratio 0.4866, byte miss ratio 0.4866
result/tencentBlock.ns2576.oracleGeneral.zst ARC cache size    59518, 1228794 req, miss ratio 0.4548, byte miss ratio 0.4548
result/tencentBlock.ns2576.oracleGeneral.zst ARC cache size   119037, 1228794 req, miss ratio 0.1524, byte miss ratio 0.1524
result/tencentBlock.ns2576.oracleGeneral.zst LIRS cache size      148, 1228794 req, miss ratio 0.6858, byte miss ratio 0.6858
result/tencentBlock.ns2576.oracleGeneral.zst LIRS cache size      446, 1228794 req, miss ratio 0.6528, byte miss ratio 0.6528
result/tencentBlock.ns2576.oracleGeneral.zst LIRS cache size     1487, 1228794 req, miss ratio 0.6003, byte miss ratio 0.6003
result/tencentBlock.ns2576.oracleGeneral.zst LIRS cache size     4463, 1228794 req, miss ratio 0.5948, byte miss ratio 0.5948
result/tencentBlock.ns2576.oracleGeneral.zst LIRS cache size    14879, 1228794 req, miss ratio 0.5507, byte miss ratio 0.5507
result/tencentBlock.ns2576.oracleGeneral.zst LIRS cache size    29759, 1228794 req, miss ratio 0.4582, byte miss ratio 0.4582
result/tencentBlock.ns2576.oracleGeneral.zst LIRS cache size    59518, 1228794 req, miss ratio 0.3503, byte miss ratio 0.3503
result/tencentBlock.ns2576.oracleGeneral.zst LIRS cache size   119037, 1228794 req, miss ratio 0.1478, byte miss ratio 0.1478
result/tencentBlock.ns2576.oracleGeneral.zst Clock cache size      148, 1228794 req, miss ratio 0.6309, byte miss ratio 0.6309
result/tencentBlock.ns2576.oracleGeneral.zst Clock cache size      446, 1228794 req, miss ratio 0.6096, byte miss ratio 0.6096
result/tencentBlock.ns2576.oracleGeneral.zst Clock cache size     1487, 1228794 req, miss ratio 0.5985, byte miss ratio 0.5985
result/tencentBlock.ns2576.oracleGeneral.zst Clock cache size     4463, 1228794 req, miss ratio 0.5919, byte miss ratio 0.5919
result/tencentBlock.ns2576.oracleGeneral.zst Clock cache size    14879, 1228794 req, miss ratio 0.5854, byte miss ratio 0.5854
result/tencentBlock.ns2576.oracleGeneral.zst Clock cache size    29759, 1228794 req, miss ratio 0.5295, byte miss ratio 0.5295
result/tencentBlock.ns2576.oracleGeneral.zst Clock cache size    59518, 1228794 req, miss ratio 0.4637, byte miss ratio 0.4637
result/tencentBlock.ns2576.oracleGeneral.zst Clock cache size   119037, 1228794 req, miss ratio 0.1601, byte miss ratio 0.1601
