result/tencentBlock.ns15754.oracleGeneral.zst LIRS cache size      472, 3136254 req, miss ratio 0.4573, byte miss ratio 0.4573
result/tencentBlock.ns15754.oracleGeneral.zst LIRS cache size     1416, 3136254 req, miss ratio 0.4247, byte miss ratio 0.4247
result/tencentBlock.ns15754.oracleGeneral.zst LIRS cache size     4720, 3136254 req, miss ratio 0.4069, byte miss ratio 0.4069
result/tencentBlock.ns15754.oracleGeneral.zst LIRS cache size    14161, 3136254 req, miss ratio 0.3755, byte miss ratio 0.3755
result/tencentBlock.ns15754.oracleGeneral.zst LIRS cache size    47204, 3136254 req, miss ratio 0.3165, byte miss ratio 0.3165
result/tencentBlock.ns15754.oracleGeneral.zst LIRS cache size    94409, 3136254 req, miss ratio 0.2391, byte miss ratio 0.2391
result/tencentBlock.ns15754.oracleGeneral.zst LIRS cache size   188819, 3136254 req, miss ratio 0.1670, byte miss ratio 0.1670
result/tencentBlock.ns15754.oracleGeneral.zst LIRS cache size   377638, 3136254 req, miss ratio 0.1517, byte miss ratio 0.1517
result/tencentBlock.ns15754.oracleGeneral.zst FIFO cache size      472, 3136254 req, miss ratio 0.4939, byte miss ratio 0.4939
result/tencentBlock.ns15754.oracleGeneral.zst FIFO cache size     1416, 3136254 req, miss ratio 0.4391, byte miss ratio 0.4391
result/tencentBlock.ns15754.oracleGeneral.zst FIFO cache size     4720, 3136254 req, miss ratio 0.4169, byte miss ratio 0.4169
result/tencentBlock.ns15754.oracleGeneral.zst FIFO cache size    14161, 3136254 req, miss ratio 0.4039, byte miss ratio 0.4039
result/tencentBlock.ns15754.oracleGeneral.zst FIFO cache size    47204, 3136254 req, miss ratio 0.3551, byte miss ratio 0.3551
result/tencentBlock.ns15754.oracleGeneral.zst FIFO cache size    94409, 3136254 req, miss ratio 0.2826, byte miss ratio 0.2826
result/tencentBlock.ns15754.oracleGeneral.zst FIFO cache size   188819, 3136254 req, miss ratio 0.2141, byte miss ratio 0.2141
result/tencentBlock.ns15754.oracleGeneral.zst FIFO cache size   377638, 3136254 req, miss ratio 0.1694, byte miss ratio 0.1694
result/tencentBlock.ns15754.oracleGeneral.zst LHD cache size      472, 3136254 req, miss ratio 0.4264, byte miss ratio 0.4264
result/tencentBlock.ns15754.oracleGeneral.zst LHD cache size     1416, 3136254 req, miss ratio 0.4127, byte miss ratio 0.4127
result/tencentBlock.ns15754.oracleGeneral.zst LHD cache size     4720, 3136254 req, miss ratio 0.4070, byte miss ratio 0.4070
result/tencentBlock.ns15754.oracleGeneral.zst LHD cache size    14161, 3136254 req, miss ratio 0.3808, byte miss ratio 0.3808
result/tencentBlock.ns15754.oracleGeneral.zst LHD cache size    47204, 3136254 req, miss ratio 0.3228, byte miss ratio 0.3228
result/tencentBlock.ns15754.oracleGeneral.zst LHD cache size    94409, 3136254 req, miss ratio 0.2529, byte miss ratio 0.2529
result/tencentBlock.ns15754.oracleGeneral.zst LHD cache size   188819, 3136254 req, miss ratio 0.1694, byte miss ratio 0.1694
result/tencentBlock.ns15754.oracleGeneral.zst LHD cache size   377638, 3136254 req, miss ratio 0.1515, byte miss ratio 0.1515
result/tencentBlock.ns15754.oracleGeneral.zst Cacheus cache size      472, 3136254 req, miss ratio 0.4165, byte miss ratio 0.4165
result/tencentBlock.ns15754.oracleGeneral.zst Cacheus cache size     1416, 3136254 req, miss ratio 0.4102, byte miss ratio 0.4102
result/tencentBlock.ns15754.oracleGeneral.zst Cacheus cache size     4720, 3136254 req, miss ratio 0.4056, byte miss ratio 0.4056
result/tencentBlock.ns15754.oracleGeneral.zst Cacheus cache size    14161, 3136254 req, miss ratio 0.3768, byte miss ratio 0.3768
result/tencentBlock.ns15754.oracleGeneral.zst Cacheus cache size    47204, 3136254 req, miss ratio 0.3343, byte miss ratio 0.3343
result/tencentBlock.ns15754.oracleGeneral.zst Cacheus cache size    94409, 3136254 req, miss ratio 0.2560, byte miss ratio 0.2560
result/tencentBlock.ns15754.oracleGeneral.zst Cacheus cache size   188819, 3136254 req, miss ratio 0.1692, byte miss ratio 0.1692
result/tencentBlock.ns15754.oracleGeneral.zst Cacheus cache size   377638, 3136254 req, miss ratio 0.1512, byte miss ratio 0.1512
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d-1 cache size      472, 3136254 req, miss ratio 0.4146, byte miss ratio 0.4146
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d-1 cache size     1416, 3136254 req, miss ratio 0.4099, byte miss ratio 0.4099
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d-1 cache size     4720, 3136254 req, miss ratio 0.4036, byte miss ratio 0.4036
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d-1 cache size    14161, 3136254 req, miss ratio 0.3726, byte miss ratio 0.3726
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d-1 cache size    47204, 3136254 req, miss ratio 0.3182, byte miss ratio 0.3182
result/tencentBlock.ns15754.oracleGeneral.zst S3FIFO-d-1 cache size    94409, 3136254 req, miss ratio 0.2387, byte miss ratio 0.2387
