result/moments_api_cache.1.oracleGeneral.sample10.zst ARC cache size     1711, 207690332 req, miss ratio 0.0755, byte miss ratio 0.0755
result/moments_api_cache.1.oracleGeneral.sample10.zst ARC cache size     5705, 207690332 req, miss ratio 0.0736, byte miss ratio 0.0736
result/moments_api_cache.1.oracleGeneral.sample10.zst ARC cache size    17116, 207690332 req, miss ratio 0.0711, byte miss ratio 0.0711
result/moments_api_cache.1.oracleGeneral.sample10.zst ARC cache size    57056, 207690332 req, miss ratio 0.0431, byte miss ratio 0.0431
result/moments_api_cache.1.oracleGeneral.sample10.zst ARC cache size   114112, 207690332 req, miss ratio 0.0390, byte miss ratio 0.0390
result/moments_api_cache.1.oracleGeneral.sample10.zst ARC cache size   228224, 207690332 req, miss ratio 0.0230, byte miss ratio 0.0230
result/moments_api_cache.1.oracleGeneral.sample10.zst ARC cache size   456448, 207690332 req, miss ratio 0.0030, byte miss ratio 0.0030
result/moments_api_cache.1.oracleGeneral.sample10.zst LRU cache size      570, 207690332 req, miss ratio 0.0770, byte miss ratio 0.0770
result/moments_api_cache.1.oracleGeneral.sample10.zst LRU cache size     1711, 207690332 req, miss ratio 0.0755, byte miss ratio 0.0755
result/moments_api_cache.1.oracleGeneral.sample10.zst LRU cache size     5705, 207690332 req, miss ratio 0.0739, byte miss ratio 0.0739
result/moments_api_cache.1.oracleGeneral.sample10.zst LRU cache size    17116, 207690332 req, miss ratio 0.0709, byte miss ratio 0.0709
result/moments_api_cache.1.oracleGeneral.sample10.zst LRU cache size    57056, 207690332 req, miss ratio 0.0426, byte miss ratio 0.0426
result/moments_api_cache.1.oracleGeneral.sample10.zst LRU cache size   114112, 207690332 req, miss ratio 0.0387, byte miss ratio 0.0387
result/moments_api_cache.1.oracleGeneral.sample10.zst LRU cache size   228224, 207690332 req, miss ratio 0.0241, byte miss ratio 0.0241
result/moments_api_cache.1.oracleGeneral.sample10.zst LRU cache size   456448, 207690332 req, miss ratio 0.0030, byte miss ratio 0.0030
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size      570, 207690332 req, miss ratio 0.0768, byte miss ratio 0.0768
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     1711, 207690332 req, miss ratio 0.0755, byte miss ratio 0.0755
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size     5705, 207690332 req, miss ratio 0.0736, byte miss ratio 0.0736
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    17116, 207690332 req, miss ratio 0.0697, byte miss ratio 0.0697
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size    57056, 207690332 req, miss ratio 0.0419, byte miss ratio 0.0419
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   114112, 207690332 req, miss ratio 0.0376, byte miss ratio 0.0376
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   228224, 207690332 req, miss ratio 0.0245, byte miss ratio 0.0245
result/moments_api_cache.1.oracleGeneral.sample10.zst S3FIFO-1 cache size   456448, 207690332 req, miss ratio 0.0031, byte miss ratio 0.0031
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO cache size      570, 207690332 req, miss ratio 0.0785, byte miss ratio 0.0785
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO cache size     1711, 207690332 req, miss ratio 0.0764, byte miss ratio 0.0764
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO cache size     5705, 207690332 req, miss ratio 0.0743, byte miss ratio 0.0743
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO cache size    17116, 207690332 req, miss ratio 0.0716, byte miss ratio 0.0716
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO cache size    57056, 207690332 req, miss ratio 0.0513, byte miss ratio 0.0513
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO cache size   114112, 207690332 req, miss ratio 0.0439, byte miss ratio 0.0439
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO cache size   228224, 207690332 req, miss ratio 0.0253, byte miss ratio 0.0253
result/moments_api_cache.1.oracleGeneral.sample10.zst FIFO cache size   456448, 207690332 req, miss ratio 0.0048, byte miss ratio 0.0048
result/moments_api_cache.1.oracleGeneral.sample10.zst clock2 cache size      570, 207690332 req, miss ratio 0.0773, byte miss ratio 0.0773
result/moments_api_cache.1.oracleGeneral.sample10.zst clock2 cache size     1711, 207690332 req, miss ratio 0.0757, byte miss ratio 0.0757
result/moments_api_cache.1.oracleGeneral.sample10.zst clock2 cache size     5705, 207690332 req, miss ratio 0.0741, byte miss ratio 0.0741
result/moments_api_cache.1.oracleGeneral.sample10.zst clock2 cache size    17116, 207690332 req, miss ratio 0.0711, byte miss ratio 0.0711
result/moments_api_cache.1.oracleGeneral.sample10.zst clock2 cache size    57056, 207690332 req, miss ratio 0.0430, byte miss ratio 0.0430
result/moments_api_cache.1.oracleGeneral.sample10.zst clock2 cache size   114112, 207690332 req, miss ratio 0.0390, byte miss ratio 0.0390
result/moments_api_cache.1.oracleGeneral.sample10.zst clock2 cache size   228224, 207690332 req, miss ratio 0.0241, byte miss ratio 0.0241
