result/cdn2_allcolo.ns1569.oracleGeneral.zst clock2 cache size    40990, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst clock2 cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst Cacheus cache size      102, 1244890 req, miss ratio 0.1072, byte miss ratio 0.1072
result/cdn2_allcolo.ns1569.oracleGeneral.zst Cacheus cache size      307, 1244890 req, miss ratio 0.0934, byte miss ratio 0.0934
result/cdn2_allcolo.ns1569.oracleGeneral.zst Cacheus cache size     1024, 1244890 req, miss ratio 0.0880, byte miss ratio 0.0880
result/cdn2_allcolo.ns1569.oracleGeneral.zst Cacheus cache size     3074, 1244890 req, miss ratio 0.0852, byte miss ratio 0.0852
result/cdn2_allcolo.ns1569.oracleGeneral.zst Cacheus cache size    10247, 1244890 req, miss ratio 0.0830, byte miss ratio 0.0830
result/cdn2_allcolo.ns1569.oracleGeneral.zst Cacheus cache size    20495, 1244890 req, miss ratio 0.0825, byte miss ratio 0.0825
result/cdn2_allcolo.ns1569.oracleGeneral.zst Cacheus cache size    40990, 1244890 req, miss ratio 0.0824, byte miss ratio 0.0824
result/cdn2_allcolo.ns1569.oracleGeneral.zst Cacheus cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst ARC cache size      102, 1244890 req, miss ratio 0.1048, byte miss ratio 0.1048
result/cdn2_allcolo.ns1569.oracleGeneral.zst ARC cache size      307, 1244890 req, miss ratio 0.0935, byte miss ratio 0.0935
result/cdn2_allcolo.ns1569.oracleGeneral.zst ARC cache size     1024, 1244890 req, miss ratio 0.0877, byte miss ratio 0.0877
result/cdn2_allcolo.ns1569.oracleGeneral.zst ARC cache size     3074, 1244890 req, miss ratio 0.0850, byte miss ratio 0.0850
result/cdn2_allcolo.ns1569.oracleGeneral.zst ARC cache size    10247, 1244890 req, miss ratio 0.0837, byte miss ratio 0.0837
result/cdn2_allcolo.ns1569.oracleGeneral.zst ARC cache size    20495, 1244890 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn2_allcolo.ns1569.oracleGeneral.zst ARC cache size    40990, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst ARC cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-1 cache size      102, 1244890 req, miss ratio 0.1055, byte miss ratio 0.1055
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-1 cache size      307, 1244890 req, miss ratio 0.0963, byte miss ratio 0.0963
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-1 cache size     1024, 1244890 req, miss ratio 0.0900, byte miss ratio 0.0900
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-1 cache size     3074, 1244890 req, miss ratio 0.0859, byte miss ratio 0.0859
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-1 cache size    10247, 1244890 req, miss ratio 0.0836, byte miss ratio 0.0836
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-1 cache size    20495, 1244890 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-1 cache size    40990, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-1 cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst LIRS cache size      102, 1244890 req, miss ratio 0.1081, byte miss ratio 0.1081
result/cdn2_allcolo.ns1569.oracleGeneral.zst LIRS cache size      307, 1244890 req, miss ratio 0.1005, byte miss ratio 0.1005
result/cdn2_allcolo.ns1569.oracleGeneral.zst LIRS cache size     1024, 1244890 req, miss ratio 0.0954, byte miss ratio 0.0954
result/cdn2_allcolo.ns1569.oracleGeneral.zst LIRS cache size     3074, 1244890 req, miss ratio 0.0911, byte miss ratio 0.0911
result/cdn2_allcolo.ns1569.oracleGeneral.zst LIRS cache size    10247, 1244890 req, miss ratio 0.0875, byte miss ratio 0.0875
result/cdn2_allcolo.ns1569.oracleGeneral.zst LIRS cache size    20495, 1244890 req, miss ratio 0.0857, byte miss ratio 0.0857
result/cdn2_allcolo.ns1569.oracleGeneral.zst LIRS cache size    40990, 1244890 req, miss ratio 0.0840, byte miss ratio 0.0840
result/cdn2_allcolo.ns1569.oracleGeneral.zst LIRS cache size    81981, 1244890 req, miss ratio 0.0828, byte miss ratio 0.0828
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d-1 cache size      102, 1244890 req, miss ratio 0.1060, byte miss ratio 0.1060
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d-1 cache size      307, 1244890 req, miss ratio 0.0946, byte miss ratio 0.0946
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d-1 cache size     1024, 1244890 req, miss ratio 0.0893, byte miss ratio 0.0893
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d-1 cache size     3074, 1244890 req, miss ratio 0.0858, byte miss ratio 0.0858
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d-1 cache size    10247, 1244890 req, miss ratio 0.0836, byte miss ratio 0.0836
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d-1 cache size    20495, 1244890 req, miss ratio 0.0826, byte miss ratio 0.0826
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d-1 cache size    40990, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst S3FIFO-d-1 cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRB cache size      102, 1244890 req, miss ratio 0.1313, byte miss ratio 0.1313
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRB cache size      307, 1244890 req, miss ratio 0.0948, byte miss ratio 0.0948
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRB cache size     1024, 1244890 req, miss ratio 0.0886, byte miss ratio 0.0886
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRB cache size     3074, 1244890 req, miss ratio 0.0853, byte miss ratio 0.0853
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRB cache size    10247, 1244890 req, miss ratio 0.0829, byte miss ratio 0.0829
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRB cache size    20495, 1244890 req, miss ratio 0.0825, byte miss ratio 0.0825
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRB cache size    40990, 1244890 req, miss ratio 0.0824, byte miss ratio 0.0824
result/cdn2_allcolo.ns1569.oracleGeneral.zst LRB cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst TwoQ cache size      102, 1244890 req, miss ratio 0.1068, byte miss ratio 0.1068
result/cdn2_allcolo.ns1569.oracleGeneral.zst TwoQ cache size      307, 1244890 req, miss ratio 0.0977, byte miss ratio 0.0977
result/cdn2_allcolo.ns1569.oracleGeneral.zst TwoQ cache size     1024, 1244890 req, miss ratio 0.0902, byte miss ratio 0.0902
result/cdn2_allcolo.ns1569.oracleGeneral.zst TwoQ cache size     3074, 1244890 req, miss ratio 0.0857, byte miss ratio 0.0857
result/cdn2_allcolo.ns1569.oracleGeneral.zst TwoQ cache size    10247, 1244890 req, miss ratio 0.0834, byte miss ratio 0.0834
result/cdn2_allcolo.ns1569.oracleGeneral.zst TwoQ cache size    20495, 1244890 req, miss ratio 0.0827, byte miss ratio 0.0827
result/cdn2_allcolo.ns1569.oracleGeneral.zst TwoQ cache size    40990, 1244890 req, miss ratio 0.0825, byte miss ratio 0.0825
result/cdn2_allcolo.ns1569.oracleGeneral.zst TwoQ cache size    81981, 1244890 req, miss ratio 0.0824, byte miss ratio 0.0824
result/cdn2_allcolo.ns1569.oracleGeneral.zst B-LRU cache size      102, 1244890 req, miss ratio 0.1091, byte miss ratio 0.1091
result/cdn2_allcolo.ns1569.oracleGeneral.zst B-LRU cache size      307, 1244890 req, miss ratio 0.1019, byte miss ratio 0.1019
result/cdn2_allcolo.ns1569.oracleGeneral.zst B-LRU cache size     1024, 1244890 req, miss ratio 0.0990, byte miss ratio 0.0990
result/cdn2_allcolo.ns1569.oracleGeneral.zst B-LRU cache size     3074, 1244890 req, miss ratio 0.0980, byte miss ratio 0.0980
result/cdn2_allcolo.ns1569.oracleGeneral.zst B-LRU cache size    10247, 1244890 req, miss ratio 0.0978, byte miss ratio 0.0978
result/cdn2_allcolo.ns1569.oracleGeneral.zst B-LRU cache size    20495, 1244890 req, miss ratio 0.0978, byte miss ratio 0.0978
result/cdn2_allcolo.ns1569.oracleGeneral.zst B-LRU cache size    40990, 1244890 req, miss ratio 0.0978, byte miss ratio 0.0978
result/cdn2_allcolo.ns1569.oracleGeneral.zst B-LRU cache size    81981, 1244890 req, miss ratio 0.0978, byte miss ratio 0.0978
result/cdn2_allcolo.ns1569.oracleGeneral.zst S4LRU(25:25:25:25) cache size      102, 1244890 req, miss ratio 0.1738, byte miss ratio 0.1738
result/cdn2_allcolo.ns1569.oracleGeneral.zst S4LRU(25:25:25:25) cache size      307, 1244890 req, miss ratio 0.0955, byte miss ratio 0.0955
result/cdn2_allcolo.ns1569.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1024, 1244890 req, miss ratio 0.0894, byte miss ratio 0.0894
result/cdn2_allcolo.ns1569.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3074, 1244890 req, miss ratio 0.0858, byte miss ratio 0.0858
result/cdn2_allcolo.ns1569.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10247, 1244890 req, miss ratio 0.0837, byte miss ratio 0.0837
result/cdn2_allcolo.ns1569.oracleGeneral.zst S4LRU(25:25:25:25) cache size    20495, 1244890 req, miss ratio 0.0828, byte miss ratio 0.0828
result/cdn2_allcolo.ns1569.oracleGeneral.zst S4LRU(25:25:25:25) cache size    40990, 1244890 req, miss ratio 0.0824, byte miss ratio 0.0824
result/cdn2_allcolo.ns1569.oracleGeneral.zst S4LRU(25:25:25:25) cache size    81981, 1244890 req, miss ratio 0.0823, byte miss ratio 0.0823
result/cdn2_allcolo.ns1569.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      102, 1244890 req, miss ratio 0.1567, byte miss ratio 0.1567
result/cdn2_allcolo.ns1569.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      307, 1244890 req, miss ratio 0.0973, byte miss ratio 0.0973
result/cdn2_allcolo.ns1569.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1024, 1244890 req, miss ratio 0.0896, byte miss ratio 0.0896
result/cdn2_allcolo.ns1569.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3074, 1244890 req, miss ratio 0.0857, byte miss ratio 0.0857
result/cdn2_allcolo.ns1569.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10247, 1244890 req, miss ratio 0.0835, byte miss ratio 0.0835
