result/tencentBlock.ns8456.oracleGeneral.zst FIFO cache size      102, 1997665 req, miss ratio 0.4684, byte miss ratio 0.4684
result/tencentBlock.ns8456.oracleGeneral.zst FIFO cache size      308, 1997665 req, miss ratio 0.3410, byte miss ratio 0.3410
result/tencentBlock.ns8456.oracleGeneral.zst FIFO cache size     1028, 1997665 req, miss ratio 0.2813, byte miss ratio 0.2813
result/tencentBlock.ns8456.oracleGeneral.zst FIFO cache size     3085, 1997665 req, miss ratio 0.2522, byte miss ratio 0.2522
result/tencentBlock.ns8456.oracleGeneral.zst FIFO cache size    10285, 1997665 req, miss ratio 0.2303, byte miss ratio 0.2303
result/tencentBlock.ns8456.oracleGeneral.zst FIFO cache size    20571, 1997665 req, miss ratio 0.2126, byte miss ratio 0.2126
result/tencentBlock.ns8456.oracleGeneral.zst FIFO cache size    41142, 1997665 req, miss ratio 0.1417, byte miss ratio 0.1417
result/tencentBlock.ns8456.oracleGeneral.zst FIFO cache size    82285, 1997665 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns8456.oracleGeneral.zst Cacheus cache size      102, 1997665 req, miss ratio 0.3374, byte miss ratio 0.3374
result/tencentBlock.ns8456.oracleGeneral.zst Cacheus cache size      308, 1997665 req, miss ratio 0.2846, byte miss ratio 0.2846
result/tencentBlock.ns8456.oracleGeneral.zst Cacheus cache size     1028, 1997665 req, miss ratio 0.2440, byte miss ratio 0.2440
result/tencentBlock.ns8456.oracleGeneral.zst Cacheus cache size     3085, 1997665 req, miss ratio 0.2249, byte miss ratio 0.2249
result/tencentBlock.ns8456.oracleGeneral.zst Cacheus cache size    10285, 1997665 req, miss ratio 0.2073, byte miss ratio 0.2073
result/tencentBlock.ns8456.oracleGeneral.zst Cacheus cache size    20571, 1997665 req, miss ratio 0.1928, byte miss ratio 0.1928
result/tencentBlock.ns8456.oracleGeneral.zst Cacheus cache size    41142, 1997665 req, miss ratio 0.1342, byte miss ratio 0.1342
result/tencentBlock.ns8456.oracleGeneral.zst Cacheus cache size    82285, 1997665 req, miss ratio 0.0537, byte miss ratio 0.0537
result/tencentBlock.ns8456.oracleGeneral.zst LHD cache size      102, 1997665 req, miss ratio 0.3741, byte miss ratio 0.3741
result/tencentBlock.ns8456.oracleGeneral.zst LHD cache size      308, 1997665 req, miss ratio 0.2953, byte miss ratio 0.2953
result/tencentBlock.ns8456.oracleGeneral.zst LHD cache size     1028, 1997665 req, miss ratio 0.2515, byte miss ratio 0.2515
result/tencentBlock.ns8456.oracleGeneral.zst LHD cache size     3085, 1997665 req, miss ratio 0.2326, byte miss ratio 0.2326
result/tencentBlock.ns8456.oracleGeneral.zst LHD cache size    10285, 1997665 req, miss ratio 0.2096, byte miss ratio 0.2096
result/tencentBlock.ns8456.oracleGeneral.zst LHD cache size    20571, 1997665 req, miss ratio 0.1874, byte miss ratio 0.1874
result/tencentBlock.ns8456.oracleGeneral.zst LHD cache size    41142, 1997665 req, miss ratio 0.1308, byte miss ratio 0.1308
result/tencentBlock.ns8456.oracleGeneral.zst LHD cache size    82285, 1997665 req, miss ratio 0.0553, byte miss ratio 0.0553
result/tencentBlock.ns8456.oracleGeneral.zst ARC cache size      102, 1997665 req, miss ratio 0.3290, byte miss ratio 0.3290
result/tencentBlock.ns8456.oracleGeneral.zst ARC cache size      308, 1997665 req, miss ratio 0.2684, byte miss ratio 0.2684
result/tencentBlock.ns8456.oracleGeneral.zst ARC cache size     1028, 1997665 req, miss ratio 0.2414, byte miss ratio 0.2414
result/tencentBlock.ns8456.oracleGeneral.zst ARC cache size     3085, 1997665 req, miss ratio 0.2241, byte miss ratio 0.2241
result/tencentBlock.ns8456.oracleGeneral.zst ARC cache size    10285, 1997665 req, miss ratio 0.2032, byte miss ratio 0.2032
result/tencentBlock.ns8456.oracleGeneral.zst ARC cache size    20571, 1997665 req, miss ratio 0.1830, byte miss ratio 0.1830
result/tencentBlock.ns8456.oracleGeneral.zst ARC cache size    41142, 1997665 req, miss ratio 0.1400, byte miss ratio 0.1400
result/tencentBlock.ns8456.oracleGeneral.zst ARC cache size    82285, 1997665 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns8456.oracleGeneral.zst LeCaR cache size      102, 1997665 req, miss ratio 0.3490, byte miss ratio 0.3490
result/tencentBlock.ns8456.oracleGeneral.zst LeCaR cache size      308, 1997665 req, miss ratio 0.2857, byte miss ratio 0.2857
result/tencentBlock.ns8456.oracleGeneral.zst LeCaR cache size     1028, 1997665 req, miss ratio 0.2509, byte miss ratio 0.2509
result/tencentBlock.ns8456.oracleGeneral.zst LeCaR cache size     3085, 1997665 req, miss ratio 0.2339, byte miss ratio 0.2339
result/tencentBlock.ns8456.oracleGeneral.zst LeCaR cache size    10285, 1997665 req, miss ratio 0.2158, byte miss ratio 0.2158
result/tencentBlock.ns8456.oracleGeneral.zst LeCaR cache size    20571, 1997665 req, miss ratio 0.1917, byte miss ratio 0.1917
result/tencentBlock.ns8456.oracleGeneral.zst LeCaR cache size    41142, 1997665 req, miss ratio 0.1249, byte miss ratio 0.1249
result/tencentBlock.ns8456.oracleGeneral.zst LeCaR cache size    82285, 1997665 req, miss ratio 0.0533, byte miss ratio 0.0533
result/tencentBlock.ns8456.oracleGeneral.zst LRU cache size      102, 1997665 req, miss ratio 0.3617, byte miss ratio 0.3617
result/tencentBlock.ns8456.oracleGeneral.zst LRU cache size      308, 1997665 req, miss ratio 0.2969, byte miss ratio 0.2969
result/tencentBlock.ns8456.oracleGeneral.zst LRU cache size     1028, 1997665 req, miss ratio 0.2551, byte miss ratio 0.2551
result/tencentBlock.ns8456.oracleGeneral.zst LRU cache size     3085, 1997665 req, miss ratio 0.2374, byte miss ratio 0.2374
result/tencentBlock.ns8456.oracleGeneral.zst LRU cache size    10285, 1997665 req, miss ratio 0.2210, byte miss ratio 0.2210
result/tencentBlock.ns8456.oracleGeneral.zst LRU cache size    20571, 1997665 req, miss ratio 0.2017, byte miss ratio 0.2017
result/tencentBlock.ns8456.oracleGeneral.zst LRU cache size    41142, 1997665 req, miss ratio 0.1266, byte miss ratio 0.1266
result/tencentBlock.ns8456.oracleGeneral.zst LRU cache size    82285, 1997665 req, miss ratio 0.0532, byte miss ratio 0.0532
result/tencentBlock.ns8456.oracleGeneral.zst LIRS cache size      102, 1997665 req, miss ratio 0.3486, byte miss ratio 0.3486
result/tencentBlock.ns8456.oracleGeneral.zst LIRS cache size      308, 1997665 req, miss ratio 0.2891, byte miss ratio 0.2891
result/tencentBlock.ns8456.oracleGeneral.zst LIRS cache size     1028, 1997665 req, miss ratio 0.2520, byte miss ratio 0.2520
result/tencentBlock.ns8456.oracleGeneral.zst LIRS cache size     3085, 1997665 req, miss ratio 0.2268, byte miss ratio 0.2268
result/tencentBlock.ns8456.oracleGeneral.zst LIRS cache size    10285, 1997665 req, miss ratio 0.2007, byte miss ratio 0.2007
result/tencentBlock.ns8456.oracleGeneral.zst LIRS cache size    20571, 1997665 req, miss ratio 0.1758, byte miss ratio 0.1758
result/tencentBlock.ns8456.oracleGeneral.zst LIRS cache size    41142, 1997665 req, miss ratio 0.1205, byte miss ratio 0.1205
result/tencentBlock.ns8456.oracleGeneral.zst LIRS cache size    82285, 1997665 req, miss ratio 0.0540, byte miss ratio 0.0540
result/tencentBlock.ns8456.oracleGeneral.zst clock2 cache size      102, 1997665 req, miss ratio 0.3538, byte miss ratio 0.3538
result/tencentBlock.ns8456.oracleGeneral.zst clock2 cache size      308, 1997665 req, miss ratio 0.2936, byte miss ratio 0.2936
result/tencentBlock.ns8456.oracleGeneral.zst clock2 cache size     1028, 1997665 req, miss ratio 0.2554, byte miss ratio 0.2554
result/tencentBlock.ns8456.oracleGeneral.zst clock2 cache size     3085, 1997665 req, miss ratio 0.2354, byte miss ratio 0.2354
result/tencentBlock.ns8456.oracleGeneral.zst clock2 cache size    10285, 1997665 req, miss ratio 0.2191, byte miss ratio 0.2191
result/tencentBlock.ns8456.oracleGeneral.zst clock2 cache size    20571, 1997665 req, miss ratio 0.1963, byte miss ratio 0.1963
result/tencentBlock.ns8456.oracleGeneral.zst clock2 cache size    41142, 1997665 req, miss ratio 0.1787, byte miss ratio 0.1787
result/tencentBlock.ns8456.oracleGeneral.zst clock2 cache size    82285, 1997665 req, miss ratio 0.0568, byte miss ratio 0.0568
result/tencentBlock.ns8456.oracleGeneral.zst Clock cache size      102, 1997665 req, miss ratio 0.3544, byte miss ratio 0.3544
result/tencentBlock.ns8456.oracleGeneral.zst Clock cache size      308, 1997665 req, miss ratio 0.2939, byte miss ratio 0.2939
result/tencentBlock.ns8456.oracleGeneral.zst Clock cache size     1028, 1997665 req, miss ratio 0.2537, byte miss ratio 0.2537
result/tencentBlock.ns8456.oracleGeneral.zst Clock cache size     3085, 1997665 req, miss ratio 0.2353, byte miss ratio 0.2353
result/tencentBlock.ns8456.oracleGeneral.zst Clock cache size    10285, 1997665 req, miss ratio 0.2201, byte miss ratio 0.2201
result/tencentBlock.ns8456.oracleGeneral.zst Clock cache size    20571, 1997665 req, miss ratio 0.1999, byte miss ratio 0.1999
result/tencentBlock.ns8456.oracleGeneral.zst Clock cache size    41142, 1997665 req, miss ratio 0.1750, byte miss ratio 0.1750
result/tencentBlock.ns8456.oracleGeneral.zst Clock cache size    82285, 1997665 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-1 cache size      102, 1997665 req, miss ratio 0.3408, byte miss ratio 0.3408
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-1 cache size      308, 1997665 req, miss ratio 0.2729, byte miss ratio 0.2729
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-1 cache size     1028, 1997665 req, miss ratio 0.2411, byte miss ratio 0.2411
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-1 cache size     3085, 1997665 req, miss ratio 0.2218, byte miss ratio 0.2218
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-1 cache size    10285, 1997665 req, miss ratio 0.2015, byte miss ratio 0.2015
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-1 cache size    20571, 1997665 req, miss ratio 0.1823, byte miss ratio 0.1823
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-1 cache size    41142, 1997665 req, miss ratio 0.1319, byte miss ratio 0.1319
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-1 cache size    82285, 1997665 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-d-1 cache size      102, 1997665 req, miss ratio 0.3308, byte miss ratio 0.3308
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-d-1 cache size      308, 1997665 req, miss ratio 0.2711, byte miss ratio 0.2711
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-d-1 cache size     1028, 1997665 req, miss ratio 0.2406, byte miss ratio 0.2406
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-d-1 cache size     3085, 1997665 req, miss ratio 0.2218, byte miss ratio 0.2218
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-d-1 cache size    10285, 1997665 req, miss ratio 0.2014, byte miss ratio 0.2014
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-d-1 cache size    20571, 1997665 req, miss ratio 0.1823, byte miss ratio 0.1823
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-d-1 cache size    41142, 1997665 req, miss ratio 0.1311, byte miss ratio 0.1311
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO-d-1 cache size    82285, 1997665 req, miss ratio 0.0556, byte miss ratio 0.0556
result/tencentBlock.ns8456.oracleGeneral.zst LRB cache size      102, 1997665 req, miss ratio 0.4046, byte miss ratio 0.4046
result/tencentBlock.ns8456.oracleGeneral.zst LRB cache size      308, 1997665 req, miss ratio 0.3057, byte miss ratio 0.3057
result/tencentBlock.ns8456.oracleGeneral.zst LRB cache size     1028, 1997665 req, miss ratio 0.2450, byte miss ratio 0.2450
result/tencentBlock.ns8456.oracleGeneral.zst LRB cache size     3085, 1997665 req, miss ratio 0.2220, byte miss ratio 0.2220
result/tencentBlock.ns8456.oracleGeneral.zst LRB cache size    10285, 1997665 req, miss ratio 0.1989, byte miss ratio 0.1989
result/tencentBlock.ns8456.oracleGeneral.zst LRB cache size    20571, 1997665 req, miss ratio 0.1715, byte miss ratio 0.1715
result/tencentBlock.ns8456.oracleGeneral.zst LRB cache size    41142, 1997665 req, miss ratio 0.1187, byte miss ratio 0.1187
result/tencentBlock.ns8456.oracleGeneral.zst LRB cache size    82285, 1997665 req, miss ratio 0.0573, byte miss ratio 0.0573
result/tencentBlock.ns8456.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      102, 1997665 req, miss ratio 0.4343, byte miss ratio 0.4343
result/tencentBlock.ns8456.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size      308, 1997665 req, miss ratio 0.3034, byte miss ratio 0.3034
result/tencentBlock.ns8456.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     1028, 1997665 req, miss ratio 0.2616, byte miss ratio 0.2616
result/tencentBlock.ns8456.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size     3085, 1997665 req, miss ratio 0.2399, byte miss ratio 0.2399
result/tencentBlock.ns8456.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    10285, 1997665 req, miss ratio 0.2184, byte miss ratio 0.2184
result/tencentBlock.ns8456.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    20571, 1997665 req, miss ratio 0.1954, byte miss ratio 0.1954
result/tencentBlock.ns8456.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    41142, 1997665 req, miss ratio 0.1561, byte miss ratio 0.1561
result/tencentBlock.ns8456.oracleGeneral.zst FIFO_Merge_FREQUENCY cache size    82285, 1997665 req, miss ratio 0.0678, byte miss ratio 0.0678
result/tencentBlock.ns8456.oracleGeneral.zst B-LRU cache size      102, 1997665 req, miss ratio 0.3687, byte miss ratio 0.3687
result/tencentBlock.ns8456.oracleGeneral.zst B-LRU cache size      308, 1997665 req, miss ratio 0.3100, byte miss ratio 0.3100
result/tencentBlock.ns8456.oracleGeneral.zst B-LRU cache size     1028, 1997665 req, miss ratio 0.2696, byte miss ratio 0.2696
result/tencentBlock.ns8456.oracleGeneral.zst B-LRU cache size     3085, 1997665 req, miss ratio 0.2522, byte miss ratio 0.2522
result/tencentBlock.ns8456.oracleGeneral.zst B-LRU cache size    10285, 1997665 req, miss ratio 0.2368, byte miss ratio 0.2368
result/tencentBlock.ns8456.oracleGeneral.zst B-LRU cache size    20571, 1997665 req, miss ratio 0.2204, byte miss ratio 0.2204
result/tencentBlock.ns8456.oracleGeneral.zst B-LRU cache size    41142, 1997665 req, miss ratio 0.1473, byte miss ratio 0.1473
result/tencentBlock.ns8456.oracleGeneral.zst B-LRU cache size    82285, 1997665 req, miss ratio 0.0991, byte miss ratio 0.0991
result/tencentBlock.ns8456.oracleGeneral.zst S4LRU(25:25:25:25) cache size      102, 1997665 req, miss ratio 0.3869, byte miss ratio 0.3869
result/tencentBlock.ns8456.oracleGeneral.zst S4LRU(25:25:25:25) cache size      308, 1997665 req, miss ratio 0.2782, byte miss ratio 0.2782
result/tencentBlock.ns8456.oracleGeneral.zst S4LRU(25:25:25:25) cache size     1028, 1997665 req, miss ratio 0.2469, byte miss ratio 0.2469
result/tencentBlock.ns8456.oracleGeneral.zst S4LRU(25:25:25:25) cache size     3085, 1997665 req, miss ratio 0.2302, byte miss ratio 0.2302
result/tencentBlock.ns8456.oracleGeneral.zst S4LRU(25:25:25:25) cache size    10285, 1997665 req, miss ratio 0.2094, byte miss ratio 0.2094
result/tencentBlock.ns8456.oracleGeneral.zst S4LRU(25:25:25:25) cache size    20571, 1997665 req, miss ratio 0.1898, byte miss ratio 0.1898
result/tencentBlock.ns8456.oracleGeneral.zst S4LRU(25:25:25:25) cache size    41142, 1997665 req, miss ratio 0.1463, byte miss ratio 0.1463
result/tencentBlock.ns8456.oracleGeneral.zst S4LRU(25:25:25:25) cache size    82285, 1997665 req, miss ratio 0.0546, byte miss ratio 0.0546
result/tencentBlock.ns8456.oracleGeneral.zst TwoQ cache size      102, 1997665 req, miss ratio 0.3388, byte miss ratio 0.3388
result/tencentBlock.ns8456.oracleGeneral.zst TwoQ cache size      308, 1997665 req, miss ratio 0.2786, byte miss ratio 0.2786
result/tencentBlock.ns8456.oracleGeneral.zst TwoQ cache size     1028, 1997665 req, miss ratio 0.2444, byte miss ratio 0.2444
result/tencentBlock.ns8456.oracleGeneral.zst TwoQ cache size     3085, 1997665 req, miss ratio 0.2213, byte miss ratio 0.2213
result/tencentBlock.ns8456.oracleGeneral.zst TwoQ cache size    10285, 1997665 req, miss ratio 0.2025, byte miss ratio 0.2025
result/tencentBlock.ns8456.oracleGeneral.zst TwoQ cache size    20571, 1997665 req, miss ratio 0.1909, byte miss ratio 0.1909
result/tencentBlock.ns8456.oracleGeneral.zst TwoQ cache size    41142, 1997665 req, miss ratio 0.1317, byte miss ratio 0.1317
result/tencentBlock.ns8456.oracleGeneral.zst TwoQ cache size    82285, 1997665 req, miss ratio 0.0683, byte miss ratio 0.0683
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO cache size      102, 1997665 req, miss ratio 0.3458, byte miss ratio 0.3458
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO cache size      308, 1997665 req, miss ratio 0.2784, byte miss ratio 0.2784
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO cache size     1028, 1997665 req, miss ratio 0.2434, byte miss ratio 0.2434
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO cache size     3085, 1997665 req, miss ratio 0.2221, byte miss ratio 0.2221
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO cache size    10285, 1997665 req, miss ratio 0.2009, byte miss ratio 0.2009
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO cache size    20571, 1997665 req, miss ratio 0.1831, byte miss ratio 0.1831
result/tencentBlock.ns8456.oracleGeneral.zst S3FIFO cache size    41142, 1997665 req, miss ratio 0.1281, byte miss ratio 0.1281
