result/cdn2_allcolo.ns769.oracleGeneral.zst ARC cache size  2817670, 22909474 req, miss ratio 0.1555, byte miss ratio 0.1555
result/cdn2_allcolo.ns769.oracleGeneral.zst LeCaR cache size     3522, 22909474 req, miss ratio 0.7372, byte miss ratio 0.7372
result/cdn2_allcolo.ns769.oracleGeneral.zst LeCaR cache size    10566, 22909474 req, miss ratio 0.6329, byte miss ratio 0.6329
result/cdn2_allcolo.ns769.oracleGeneral.zst LeCaR cache size    35220, 22909474 req, miss ratio 0.4937, byte miss ratio 0.4937
result/cdn2_allcolo.ns769.oracleGeneral.zst LeCaR cache size   105662, 22909474 req, miss ratio 0.3700, byte miss ratio 0.3700
result/cdn2_allcolo.ns769.oracleGeneral.zst LeCaR cache size   352208, 22909474 req, miss ratio 0.2784, byte miss ratio 0.2784
result/cdn2_allcolo.ns769.oracleGeneral.zst LeCaR cache size   704417, 22909474 req, miss ratio 0.2190, byte miss ratio 0.2190
result/cdn2_allcolo.ns769.oracleGeneral.zst LeCaR cache size  1408835, 22909474 req, miss ratio 0.1805, byte miss ratio 0.1805
result/cdn2_allcolo.ns769.oracleGeneral.zst LeCaR cache size  2817670, 22909474 req, miss ratio 0.1554, byte miss ratio 0.1554
result/cdn2_allcolo.ns769.oracleGeneral.zst LHD cache size     3522, 22909474 req, miss ratio 0.7001, byte miss ratio 0.7001
result/cdn2_allcolo.ns769.oracleGeneral.zst LHD cache size    10566, 22909474 req, miss ratio 0.5850, byte miss ratio 0.5850
result/cdn2_allcolo.ns769.oracleGeneral.zst LHD cache size    35220, 22909474 req, miss ratio 0.4628, byte miss ratio 0.4628
result/cdn2_allcolo.ns769.oracleGeneral.zst LHD cache size   105662, 22909474 req, miss ratio 0.3588, byte miss ratio 0.3588
result/cdn2_allcolo.ns769.oracleGeneral.zst LHD cache size   352208, 22909474 req, miss ratio 0.2527, byte miss ratio 0.2527
result/cdn2_allcolo.ns769.oracleGeneral.zst LHD cache size   704417, 22909474 req, miss ratio 0.2094, byte miss ratio 0.2094
result/cdn2_allcolo.ns769.oracleGeneral.zst LHD cache size  1408835, 22909474 req, miss ratio 0.1751, byte miss ratio 0.1751
