result/cdn2_colo28.ns2756.oracleGeneral.zst FIFO cache size    38205, 1991545 req, miss ratio 0.0700, byte miss ratio 0.0700
result/cdn2_colo28.ns2756.oracleGeneral.zst FIFO cache size    76411, 1991545 req, miss ratio 0.0506, byte miss ratio 0.0506
result/cdn2_colo28.ns2756.oracleGeneral.zst LRU cache size       95, 1991545 req, miss ratio 0.6612, byte miss ratio 0.6612
result/cdn2_colo28.ns2756.oracleGeneral.zst LRU cache size      286, 1991545 req, miss ratio 0.4777, byte miss ratio 0.4777
result/cdn2_colo28.ns2756.oracleGeneral.zst LRU cache size      955, 1991545 req, miss ratio 0.3725, byte miss ratio 0.3725
result/cdn2_colo28.ns2756.oracleGeneral.zst LRU cache size     2865, 1991545 req, miss ratio 0.2638, byte miss ratio 0.2638
result/cdn2_colo28.ns2756.oracleGeneral.zst LRU cache size     9551, 1991545 req, miss ratio 0.1320, byte miss ratio 0.1320
result/cdn2_colo28.ns2756.oracleGeneral.zst LRU cache size    19102, 1991545 req, miss ratio 0.0806, byte miss ratio 0.0806
result/cdn2_colo28.ns2756.oracleGeneral.zst LRU cache size    38205, 1991545 req, miss ratio 0.0576, byte miss ratio 0.0576
result/cdn2_colo28.ns2756.oracleGeneral.zst LRU cache size    76411, 1991545 req, miss ratio 0.0485, byte miss ratio 0.0485
result/cdn2_colo28.ns2756.oracleGeneral.zst Clock cache size       95, 1991545 req, miss ratio 0.6497, byte miss ratio 0.6497
result/cdn2_colo28.ns2756.oracleGeneral.zst Clock cache size      286, 1991545 req, miss ratio 0.4699, byte miss ratio 0.4699
result/cdn2_colo28.ns2756.oracleGeneral.zst Clock cache size      955, 1991545 req, miss ratio 0.3695, byte miss ratio 0.3695
result/cdn2_colo28.ns2756.oracleGeneral.zst Clock cache size     2865, 1991545 req, miss ratio 0.2620, byte miss ratio 0.2620
result/cdn2_colo28.ns2756.oracleGeneral.zst Clock cache size     9551, 1991545 req, miss ratio 0.1324, byte miss ratio 0.1324
